ENTRY            L0140   20111210                             L017L014000000001 
SUBENT        L0140001   20111210                             L017L014000100001 
BIB                 12         40                                 L014000100002 
TITLE      Dipole strength in 89Y up to the neutron-separation    L014000100003 
           energy                                                 L014000100004 
AUTHOR     (N.Benouaret,R.Schwengner,G.Rusev,F.Donau,R.Beyer,     L014000100005 
           M.Erhard, E.Grosse,A.R.Junghans,K.Kosev,C.Nair,        L014000100006 
           K.D.Schilling,A.Wagner,N.Bendjaballah)                 L014000100007 
INSTITUTE  (2GERZFK,2GERDRE)                                      L014000100008 
           (3ALGALG)Universite des Sciences et de la              L014000100009 
           Technologie d'Alger,Algeria                            L014000100010 
REFERENCE  (J,PR/C,79,014303,2009)                                L014000100011 
FACILITY   (LINAC,2GERZFK) Superconducting electron accelerator   L014000100012 
           ELBE of the research center Dresden-Rossendorf         L014000100013 
SAMPLE     The target consisted of 3303.2 mg of natural yttrium   L014000100014 
           powder formed into a disk of about 20 mm in            L014000100015 
           diameter, enabling a uniform photon flux within the    L014000100016 
           beam spot diameter of 38 mm at the target position.    L014000100017 
DETECTOR   (HPGE)Scattered photons were measured with four high-  L014000100018 
           purity germanium (HPGe) detectors of about 100%        L014000100019 
           efficiency relative to a 3 x 3 in. NaI detector.       L014000100020 
           Two HPGe detectors were placed at theta = 90 deg       L014000100021 
           with respect to the incident photon beam at a          L014000100022 
           distance of 28 cm to the target while the other two    L014000100023 
           were positioned at theta= 127 deg at a distance of     L014000100024 
           32 cm to the target, corresponding to opening angles   L014000100025 
           of 16 and 14 deg, respectively. Each HPGe              L014000100026 
           detector was surrounded by an escape-suppression       L014000100027 
           shield made of bismuthe-germanate (BGO)                L014000100028 
           scintillation detectors.                               L014000100029 
METHOD     (GSPEC)                                                L014000100030 
MONITOR    (5-B-11(G,INL)5-B-11,,SIG,,BRS) The target was combinedL014000100031 
           with 339.5 mg of 11B enriched to 99.52%, also formed   L014000100032 
           into a disk of 20 mm in diameter and used for the      L014000100033 
           determination of the photon flux.                      L014000100034 
INC-SOURCE (BRST) Bremsstrahlung was produced by irradiating      L014000100035 
           niobium foils of 4 mum or 7 mum thickness with         L014000100036 
           electron beams with energies of 9.5 and 13.2MeV and    L014000100037 
           average currents of 520 and 600 muA                    L014000100038 
ERR-ANALYS (DATA-ERR) No information given                        L014000100039 
HISTORY    (20090113C) Compiled by S.H.                           L014000100040 
           (20110727U) OS. Text corr. under FACILITY              L014000100041 
           (20111210A) OS. REACTION in sub.2 corrected            L014000100042 
ENDBIB              40          0                                 L014000100043 
NOCOMMON             0          0                                 L014000100044 
ENDSUBENT           43          0                                 L014000199999 
SUBENT        L0140002   20111210                             L017L014000200001 
BIB                  3          5                                 L014000200002 
REACTION  1(39-Y-89(G,0),,EN)                                     L014000200003 
          2(39-Y-89(G,EL),,ARE)                                   L014000200004 
          3(39-Y-89(G,EL),,WID/STR)                               L014000200005 
STATUS     (TABLE) Data taken from tab. 1 of the reference        L014000200006 
HISTORY    (20111210A) OS. REACTION SF1 corrected                 L014000200007 
ENDBIB               5          0                                 L014000200008 
NOCOMMON             0          0                                 L014000200009 
DATA                 6        251                                 L014000200010 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3DATA-ERR  3L014000200011 
 7225.3      0.8        23.0         5.0       312.0      68.0    L014000200070 
 7240.0      0.3         7.0         4.0        95.0      55.0    L014000200071 
 7255.0      0.3         4.0         2.0        55.0      27.0    L014000200072 
 7304.4      0.5        32.0         4.0       444.0      56.0    L014000200073 
 7325.4      0.9        15.0         3.0       209.0      42.0    L014000200074 
 7383.7      0.5        33.0         4.0       468.0      57.0    L014000200075 
 7420.4      0.8        29.0         5.0       416.0      72.0    L014000200076 
 7452.1      0.8        23.0         5.0       332.0      72.0    L014000200077 
 7475.2      1.5        18.0         4.0       262.0      58.0    L014000200078 
 7484.1      1.1        25.0         5.0       364.0      73.0    L014000200079 
 7527.9      1.4        20.0         4.0       295.0      59.0    L014000200080 
 7536.0      0.3        10.0         3.0       148.0      44.0    L014000200081 
 7548.0      0.5         5.0         3.0        74.0      44.0    L014000200082 
 7556.0      0.4         8.0         3.0       119.0      45.0    L014000200083 
 7566.0      0.3         7.0         3.0       104.0      45.0    L014000200084 
 7588.1      1.8        10.0         3.0       150.0      45.0    L014000200085 
 7618.4      0.9        15.0         3.0       227.0      45.0    L014000200086 
 7640.8      1.1        12.0         3.0       182.0      46.0    L014000200087 
 7652.3      0.2         7.0         3.0       107.0      46.0    L014000200088 
 7666.1      0.6        26.0         5.0       398.0      76.0    L014000200089 
 7692.2      0.8        22.0         4.0       339.0      62.0    L014000200090 
 7703.3      1.5        11.0         3.0       170.0      46.0    L014000200091 
 7714.0      1.4        18.0         4.0       279.0      62.0    L014000200092 
 7722.2      0.9        27.0         5.0       419.0      78.0    L014000200093 
 7750.5      0.5        50.0         6.0       782.0      94.0    L014000200094 
 7774.4      0.5        61.0         7.0       959.0     110.0    L014000200095 
 7787.5      0.3       101.0        11.0      1594.0     174.0    L014000200096 
 7799.2      0.8        30.0         4.0       475.0      63.0    L014000200097 
 7811.8      1.7        12.0         3.0       191.0      48.0    L014000200098 
 7830.2      0.6        57.0         7.0       909.0     112.0    L014000200099 
 7838.7      0.8        36.0         5.0       576.0      80.0    L014000200100 
 7866.8      1.7        18.0         7.0       290.0     112.0    L014000200101 
 7902.5      0.5        50.0         8.0       812.0     130.0    L014000200102 
 7920.5      0.3        15.0         5.0       245.0      82.0    L014000200103 
 7922.7      0.2        19.0         2.0       310.0      33.0    L014000200104 
 7937.8      0.9        24.0         5.0       393.0      82.0    L014000200105 
 7961.7      1.1        32.0         6.0       528.0      99.0    L014000200106 
 7968.8      0.9        34.0         6.0       562.0      99.0    L014000200107 
 7986.0      0.8        41.0         6.0       680.0     100.0    L014000200108 
 7996.1      0.5        66.0         9.0      1098.0     150.0    L014000200109 
 8018.0      0.2        11.0         4.0       184.0      67.0    L014000200110 
 8027.7      0.8        34.0         5.0       570.0      84.0    L014000200111 
 8067.3      0.5        32.0         6.0       542.0     102.0    L014000200112 
 8099.0      1.4        16.0         4.0       273.0      68.0    L014000200113 
 8129.3      0.3        69.0         9.0      1187.0     155.0    L014000200114 
 8142.1      1.2        19.0         5.0       328.0      86.0    L014000200115 
 8150.8      1.7        23.0         5.0       398.0      86.0    L014000200116 
 8159.7      0.9        28.0         5.0       485.0      87.0    L014000200117 
 8175.6      0.9        19.0         5.0       330.0      87.0    L014000200118 
 8198.9      0.5        63.0         8.0      1102.0     140.0    L014000200119 
 8210.9      0.8        30.0         6.0       526.0     105.0    L014000200120 
 8221.2      0.3        73.0        10.0      1284.0     176.0    L014000200121 
 8270.7      0.6        19.0         5.0       338.0      89.0    L014000200122 
 8285.4      1.7         9.0         4.0       161.0      71.0    L014000200123 
 8311.0      0.5        45.0         7.0       809.0     126.0    L014000200124 
 8320.1      0.6        40.0         6.0       721.0     108.0    L014000200125 
 8330.4      1.4        14.0         5.0       253.0      90.0    L014000200126 
 8338.1      0.8        31.0         6.0       561.0     109.0    L014000200127 
 8369.0      0.2        17.0         4.0       310.0      73.0    L014000200128 
 8380.0      0.9        16.0         4.0       292.0      73.0    L014000200129 
 8403.1      0.9        19.0         4.0       349.0      73.0    L014000200130 
 8438.0      0.8        21.0         5.0       389.0      93.0    L014000200131 
 8455.0      0.4        15.0         4.0       279.0      74.0    L014000200132 
 8466.9      0.8        42.0         7.0       783.0     131.0    L014000200133 
 8483.2      0.9        31.0         5.0       580.0      94.0    L014000200134 
 8495.2      0.8        35.0         6.0       657.0     113.0    L014000200135 
 8513.5      0.5        39.0         7.0       736.0     132.0    L014000200136 
 8530.6      0.8        53.0         8.0      1004.0     151.0    L014000200137 
 8548.3      1.2        28.0         7.0       532.0     133.0    L014000200138 
 8556.0      0.9        18.0         6.0       343.0     114.0    L014000200139 
 8568.0      0.6        36.0         7.0       688.0     134.0    L014000200140 
 8586.9      0.6        36.0         7.0       691.0     134.0    L014000200141 
 8603.0      0.3        10.0         5.0       193.0      96.0    L014000200142 
 8610.8      1.2        33.0         8.0       637.0     154.0    L014000200143 
 8642.1      0.8        20.0         6.0       389.0     117.0    L014000200144 
 8668.0      0.5       168.0        22.0      3284.0     430.0    L014000200145 
 8764.2      0.3        97.0        13.0      1939.0     260.0    L014000200146 
 8779.3      1.1        16.0         5.0       321.0     100.0    L014000200147 
 8843.4      0.5        55.0        12.0      1119.0     244.0    L014000200148 
 8864.0      0.4        17.0         7.0       348.0     143.0    L014000200149 
 8877.3      0.5        55.0        12.0      1128.0     246.0    L014000200150 
 8899.3      0.6        41.0         9.0       845.0     185.0    L014000200151 
 8926.3      1.4        23.0         5.0       477.0     104.0    L014000200152 
 8981.0      0.3        13.0         5.0       273.0     105.0    L014000200153 
 8994.5      1.7        39.0         8.0       821.0     168.0    L014000200154 
 9002.8      1.5        41.0         9.0       865.0     190.0    L014000200155 
 9024.2      0.9        30.0         6.0       636.0     127.0    L014000200156 
 9043.4      0.6        59.0         8.0      1256.0     170.0    L014000200157 
 9057.8      1.5        29.0         6.0       619.0     128.0    L014000200158 
 9069.0      1.1        48.0         7.0      1027.0     150.0    L014000200159 
 9082.0      0.2        18.0         5.0       386.0     107.0    L014000200160 
 9093.4      0.8        53.0         9.0      1140.0     194.0    L014000200161 
 9112.7      1.9        25.0         6.0       540.0     130.0    L014000200162 
 9121.4      0.8        50.0        11.0      1082.0     238.0    L014000200163 
 9147.0      0.9        31.0         6.0       675.0     131.0    L014000200164 
 9161.2      1.4        22.0         5.0       480.0     109.0    L014000200165 
 9175.7      0.9        31.0         5.0       679.0     110.0    L014000200166 
 9191.2      0.8        44.0         6.0       967.0     132.0    L014000200167 
 9204.5      0.5        90.0        10.0      1984.0     220.0    L014000200168 
 9240.0      0.6        39.0         6.0       859.0     122.0    L014000200169 
 9256.1      0.6        45.0         7.0      1003.0     156.0    L014000200170 
 9280.2      1.5        17.0         4.0       381.0      90.0    L014000200171 
 9290.8      1.5        21.0         4.0       472.0      90.0    L014000200172 
 9301.1      1.2        48.0         8.0      1081.0     180.0    L014000200173 
 9308.4      1.4        39.0         7.0       879.0     158.0    L014000200174 
 9320.0      0.2        24.0         8.0       542.0     181.0    L014000200175 
 9326.7      1.1        44.0         9.0       996.0     204.0    L014000200176 
 9351.2      0.8        55.0        12.0      1251.0     273.0    L014000200177 
 9374.7      0.8        59.0        16.0      1349.0     366.0    L014000200178 
 9401.8      1.8        63.0        16.0      1449.0     368.0    L014000200179 
 9410.0      1.7        77.0        17.0      1774.0     392.0    L014000200180 
 9449.6      0.9        46.0         7.0      1069.0     163.0    L014000200181 
 9471.0      0.3        24.0         7.0       560.0     163.0    L014000200182 
 9482.0      1.5        55.0        10.0      1287.0     234.0    L014000200183 
 9503.0      0.3        37.0        15.0       869.0     353.0    L014000200184 
 9532.0      0.4        31.0        14.0       733.0     331.0    L014000200185 
 9541.0      0.3        33.0        12.0       782.0     284.0    L014000200186 
 9575.6      1.8        42.0         9.0      1002.0     215.0    L014000200187 
 9593.6      1.5        52.0        11.0      1245.0     263.0    L014000200188 
 9623.7      1.1        33.0         7.0       795.0     169.0    L014000200189 
 9660.9      0.8        48.0         7.0      1166.0     170.0    L014000200190 
 9679.4      0.2        12.0         5.0       293.0     122.0    L014000200191 
 9901.0      0.8        31.0         5.0       791.0     128.0    L014000200192 
 9912.0      0.8        30.0         5.0       767.0     128.0    L014000200193 
 9964.2      0.9        22.0         4.0       568.0     103.0    L014000200194 
 9973.2      0.6        36.0         5.0       932.0     129.0    L014000200195 
 9990.3      1.2        12.0         3.0       312.0      78.0    L014000200196 
10005.8      1.5         9.0         3.0       234.0      78.0    L014000200197 
10017.6      1.8         8.0         3.0       209.0      78.0    L014000200198 
10037.4      1.5        22.0         8.0       577.0     210.0    L014000200199 
10049.0      0.2        21.0        11.0       552.0     289.0    L014000200200 
10065.0      0.4        19.0        14.0       501.0     369.0    L014000200201 
10073.9      1.9        26.0        20.0       687.0     528.0    L014000200202 
10091.3      1.4        25.0        16.0       662.0     424.0    L014000200203 
10108.2      1.4        25.0        15.0       665.0     399.0    L014000200204 
10141.3      1.2        40.0         9.0      1070.0     241.0    L014000200205 
10173.0      1.1        45.0         8.0      1212.0     215.0    L014000200206 
10194.5      2.4        20.0         5.0       541.0     135.0    L014000200207 
10276.2      1.9        11.0         5.0       302.0     137.0    L014000200208 
10286.9      1.9        18.0         5.0       496.0     138.0    L014000200209 
10307.1      1.1        28.0         5.0       774.0     138.0    L014000200210 
10324.5      1.2        23.0         4.0       638.0     111.0    L014000200211 
10340.5      1.5        18.0         4.0       501.0     111.0    L014000200212 
10379.3      0.9        14.0         4.0       392.0     112.0    L014000200213 
10395.0      1.2        11.0         3.0       309.0      84.0    L014000200214 
10412.7      0.7        39.0         5.0      1100.0     141.0    L014000200215 
10424.8      0.9        19.0         3.0       537.0      85.0    L014000200216 
10460.9      1.8        28.0         8.0       797.0     228.0    L014000200217 
10469.0      0.6         7.0         5.0       200.0     143.0    L014000200218 
10504.0      0.5         9.0         4.0       258.0     115.0    L014000200219 
10513.8      1.5        21.0         6.0       604.0     173.0    L014000200220 
10538.1      1.9       130.0         5.0       376.0     144.0    L014000200221 
10641.6      1.1        25.0         5.0       737.0     147.0    L014000200222 
10659.7      1.8        25.0         5.0       739.0     148.0    L014000200223 
10668.2      1.1        28.0         6.0       829.0     178.0    L014000200224 
10697.4      0.8        35.0         6.0      1042.0     179.0    L014000200225 
10736.8      1.4        29.0         8.0       870.0     240.0    L014000200226 
10744.5      1.8        25.0         7.0       751.0     210.0    L014000200227 
10753.0      0.3        11.0         5.0       331.0     150.0    L014000200228 
10967.5      1.1        25.0         6.0       782.0     188.0    L014000200229 
11058.9      1.5        19.0         4.0       605.0     127.0    L014000200230 
11069.0      0.2        13.0         4.0       414.0     128.0    L014000200231 
11081.8      0.9        26.0         5.0       831.0     160.0    L014000200232 
11106.9      1.8        12.0         4.0       385.0     128.0    L014000200233 
11192.5      1.9        18.0         7.0       587.0     228.0    L014000200234 
11200.0      0.2        14.0         6.0       457.0     196.0    L014000200235 
11419.3      1.4        19.0         4.0       645.0     136.0    L014000200236 
11463.0      1.8        18.0         4.0       615.0     137.0    L014000200237 
11474.0      0.3        10.0         4.0       343.0     137.0    L014000200238 
11498.0      0.3         7.0         4.0       241.0     138.0    L014000200239 
11517.0      0.2         8.0         5.0       276.0     173.0    L014000200240 
11535.9      0.5         6.0         2.0       208.0      69.0    L014000200241 
11560.7      0.6         8.0         3.0       278.0     104.0    L014000200242 
11571.2      0.8         6.0         3.0       209.0     105.0    L014000200243 
11601.8      1.7         9.0         4.0       315.0     140.0    L014000200244 
11611.0      0.2         7.0         3.0       246.0     105.0    L014000200245 
11623.0      0.3         9.0         4.0       316.0     141.0    L014000200246 
11646.0      1.9         7.0         4.0       247.0     142.0    L014000200247 
11660.4      1.4        10.0         7.0       354.0     248.0    L014000200248 
11669.3      1.8         7.0         6.0       248.0     213.0    L014000200249 
11691.4      1.8         7.0         5.0       249.0     178.0    L014000200250 
11739.8      1.2        13.0         3.0       466.0     108.0    L014000200251 
11770.0      1.2        12.0         3.0       433.0     108.0    L014000200252 
11802.0      0.2         9.0         4.0       326.0     145.0    L014000200253 
11817.0      0.3         5.0         2.0       182.0      73.0    L014000200254 
11832.1      1.5        10.0         4.0       364.0     146.0    L014000200255 
11843.0      0.2         6.0         3.0       219.0     109.0    L014000200256 
11854.0      0.2         8.0         3.0       293.0     110.0    L014000200257 
11873.5      1.9         5.0         3.0       183.0     110.0    L014000200258 
11913.2      1.4         8.0         3.0       295.0     111.0    L014000200259 
11946.9      1.8         4.0         2.0       149.0      74.0    L014000200260 
11962.3      1.4         5.0         2.0       186.0      74.0    L014000200261 
11984.0      0.2         3.0         2.0       112.0      75.0    L014000200262 
11991.0      0.2         4.0         2.0       150.0      75.0    L014000200263 
ENDDATA            253          0                                 L014000200264 
ENDSUBENT          263          0                                 L014000299999 
SUBENT        L0140003   20090113                             L012L014000300001 
BIB                  2          3                                 L014000300002 
REACTION   (39-Y-89(G,INL)39-Y-89,,SIG,,BRS)                      L014000300003 
STATUS     (TABLE) Data shown in fig. 12. of the reference sent byL014000300004 
           author (R.Sch.)                                        L014000300005 
ENDBIB               3          0                                 L014000300006 
NOCOMMON             0          0                                 L014000300007 
DATA                 3         66                                 L014000300008 
EN         DATA       DATA-ERR                                    L014000300009 
MEV        MB         MB                                          L014000300010 
       5.0     1.80        0.50                                   L014000300011 
       5.1     2.26        1.38                                   L014000300012 
       5.2     1.61        0.53                                   L014000300013 
       5.3     1.58        0.31                                   L014000300014 
       5.4     2.13        0.42                                   L014000300015 
       5.5     1.63        0.30                                   L014000300016 
       5.6     3.52        0.53                                   L014000300017 
       5.7     2.38        0.36                                   L014000300018 
       5.8     2.40        0.36                                   L014000300019 
       5.9     4.21        0.59                                   L014000300020 
       6.0     2.95        0.39                                   L014000300021 
       6.1     4.42        0.60                                   L014000300022 
       6.2    11.62        1.50                                   L014000300023 
       6.3     6.52        0.81                                   L014000300024 
       6.4     5.39        0.66                                   L014000300025 
       6.5     4.66        0.57                                   L014000300026 
       6.6     3.24        0.38                                   L014000300027 
       6.7     4.38        0.52                                   L014000300028 
       6.8     3.27        0.39                                   L014000300029 
       6.9     3.76        0.44                                   L014000300030 
       7.0     4.87        0.56                                   L014000300031 
       7.1     5.25        0.60                                   L014000300032 
       7.2     3.96        0.45                                   L014000300033 
       7.3     4.64        0.52                                   L014000300034 
       7.4     5.47        0.61                                   L014000300035 
       7.5     4.40        0.49                                   L014000300036 
       7.6     4.63        0.51                                   L014000300037 
       7.7     9.21        1.01                                   L014000300038 
       7.8     7.31        0.80                                   L014000300039 
       7.9     8.91        0.97                                   L014000300040 
       8.0     5.92        0.65                                   L014000300041 
       8.1     7.83        0.85                                   L014000300042 
       8.2     7.38        0.81                                   L014000300043 
       8.3     9.05        0.99                                   L014000300044 
       8.4     9.90        1.08                                   L014000300045 
       8.5    12.28        1.34                                   L014000300046 
       8.6    14.05        1.52                                   L014000300047 
       8.7    11.56        1.25                                   L014000300048 
       8.8    10.97        1.19                                   L014000300049 
       8.9    10.20        1.10                                   L014000300050 
       9.0    13.21        1.44                                   L014000300051 
       9.1    12.79        1.40                                   L014000300052 
       9.2    12.01        1.33                                   L014000300053 
       9.3    13.23        1.47                                   L014000300054 
       9.4    16.06        1.79                                   L014000300055 
       9.5    14.17        1.59                                   L014000300056 
       9.6    11.53        1.29                                   L014000300057 
       9.7     9.17        1.04                                   L014000300058 
       9.8     7.58        0.87                                   L014000300059 
       9.9     9.07        1.04                                   L014000300060 
      10.0     6.82        0.78                                   L014000300061 
      10.1     9.70        1.12                                   L014000300062 
      10.2     7.80        0.91                                   L014000300063 
      10.3     8.19        0.95                                   L014000300064 
      10.4     7.62        0.89                                   L014000300065 
      10.5     7.19        0.84                                   L014000300066 
      10.6     9.95        1.17                                   L014000300067 
      10.7     8.66        1.02                                   L014000300068 
      10.8     7.86        0.93                                   L014000300069 
      10.9     7.26        0.86                                   L014000300070 
      11.0     8.65        1.02                                   L014000300071 
      11.1     8.52        1.01                                   L014000300072 
      11.2     9.68        1.15                                   L014000300073 
      11.3     8.15        0.97                                   L014000300074 
      11.4     8.04        0.96                                   L014000300075 
      11.5     7.85        0.94                                   L014000300076 
ENDDATA             68          0                                 L014000300077 
ENDSUBENT           76          0                                 L014000399999 
ENDENTRY             3          0                                 L014099999999 
