ENTRY            F1522   20250113                             F100F1522000    1 
SUBENT        F1522001   20250113                             F100F1522001    1 
BIB                 11         28                                 F1522001    2 
TITLE      Optical model analysis of deuteron elastic scattering  F1522001    3 
           on O-16 nuclei with allowance for the contribution     F1522001    4 
           from resonance                                         F1522001    5 
AUTHOR     (L.N.Generalov,V.A.Zherebtsov,A.V.Morozova,            F1522001    6 
           S.M.Selyankina,S.M.Taova)                              F1522001    7 
INSTITUTE  (4RUSEPA)                                              F1522001    8 
REFERENCE  (J,BAS,88,1825,2024) English translation               F1522001    9 
           #doi:10.1134/S1062873824708328                         F1522001   10 
           (J,IZV,88,133,2024) Russian original                   F1522001   11 
REL-REF    (M,,S.N.Abramovich+,J,BAS,57,165,1993)                 F1522001   12 
           English translation. Experiment description is given.  F1522001   13 
           (M,,S.N.Abramovich+,J,IZV,57,179,1993) Russian         F1522001   14 
           original                                               F1522001   15 
           (M,F0524001,S.N.Abramovich+,J,BAS,64,352,2000)         F1522001   16 
           English translation. Experiment description is given.  F1522001   17 
           (M,F0524001,S.N.Abramovich+,J,IZV,64,440,2000)         F1522001   18 
           Russian original                                       F1522001   19 
FACILITY   (VDGT,4RUSEPA) EGP-10 tandem accelerator               F1522001   20 
SAMPLE     Al(2)O(3) target with 39.5+-0.4 mu-g/cm2 thickness     F1522001   21 
           positioned at an angle of 45 degrees relative to the   F1522001   22 
           direction of the deuteron beam was used.               F1522001   23 
ERR-ANALYS (ERR-S) Statistical error                              F1522001   24 
           (ERR-SYS) Systematic error                             F1522001   25 
ADD-RES    Total 16O + d reaction cross section was obtained.     F1522001   26 
           Energy dependences of the optical-model parameters     F1522001   27 
           were defined.                                          F1522001   28 
STATUS     (APRVD) Entry was approved by Dr. L.N.Generalov.       F1522001   29 
HISTORY    (20250113C)                                            F1522001   30 
ENDBIB              28          0                                 F1522001   31 
COMMON               1          3                                 F1522001   32 
ERR-SYS                                                           F1522001   33 
PER-CENT                                                          F1522001   34 
         7.                                                       F1522001   35 
ENDCOMMON            3          0                                 F1522001   36 
ENDSUBENT           35          0                                 F152200199999 
SUBENT        F1522002   20250113                             F100F1522002    1 
BIB                  2          3                                 F1522002    2 
REACTION   (8-O-16(D,EL)8-O-16,,DA)                               F1522002    3 
STATUS     (TABLE,,L.N.Generalov+,J,BAS,88,1825,2024) Data were   F1522002    4 
           presented by authors. The same on fig. 9.              F1522002    5 
ENDBIB               3          0                                 F1522002    6 
NOCOMMON             0          0                                 F1522002    7 
DATA                 4        190                                 F1522002    8 
         7.    39.1115   139.3286     9.7529                      F1522002  107 
         7.    44.6086    66.9540     4.6868                      F1522002  108 
         7.    55.4948    67.2106     4.7050                      F1522002  109 
         7.    60.8770    57.2123     4.0047                      F1522002  110 
         7.    66.2146    49.3571     3.4550                      F1522002  111 
         7.    76.7456    23.2385     1.6267                      F1522002  112 
         7.    81.9348     9.8838     0.6918                      F1522002  113 
         7.    97.1808     4.9502     0.3465                      F1522002  114 
         7.   102.1533     4.1020     0.2872                      F1522002  115 
         7.   107.0711     6.0331     0.4223                      F1522002  116 
         7.   111.9348     6.9451     0.4862                      F1522002  117 
         7.   116.7456     7.7689     0.5438                      F1522002  118 
         7.   121.5049     8.9118     0.6238                      F1522002  119 
         7.   126.2146    10.3436     0.7715                      F1522002  120 
         7.   130.8770    10.9429     0.7660                      F1522002  121 
         7.   135.4948    10.3807     0.7267                      F1522002  122 
         7.   144.6086    10.2543     0.7178                      F1522002  123 
         7.   149.1115    15.4129     1.1137                      F1522002  124 
         7.   153.5833    15.1604     1.0612                      F1522002  125 
         7.   158.0282    16.8124     1.1769                      F1522002  126 
         9.    11.2438  8298.1218   259.3163                      F1522002  127 
         9.    16.8540  2358.7424    73.6993                      F1522002  128 
         9.    22.4503   931.9786    29.1229                      F1522002  129 
         9.    33.5833   129.0001     4.0306                      F1522002  130 
         9.    39.1115    48.6159     1.5189                      F1522002  131 
         9.    44.6086    31.9893     0.9997                      F1522002  132 
         9.    50.0709    44.5201     1.3915                      F1522002  133 
         9.    55.4948    51.1384     1.5981                      F1522002  134 
         9.    60.8770    50.5208     1.5789                      F1522002  135 
         9.    66.2146    34.5940     1.0811                      F1522002  136 
         9.    76.7456    20.7210     0.6476                      F1522002  137 
         9.    81.9348     9.1129     0.2848                      F1522002  138 
         9.    97.1808     2.5948     0.0811                      F1522002  139 
         9.   102.1533     4.1020     0.1282                      F1522002  140 
         9.   107.0711     7.5826     0.2370                      F1522002  141 
         9.   111.9348     9.9852     0.3120                      F1522002  142 
         9.   116.7456    11.2936     0.3529                      F1522002  143 
         9.   121.5049    11.5517     0.3610                      F1522002  144 
         9.   126.2146    10.6728     0.3335                      F1522002  145 
         9.   130.8770     9.7508     0.3047                      F1522002  146 
         9.   135.4948     9.0150     0.2817                      F1522002  147 
         9.   144.6086    10.0842     0.3151                      F1522002  148 
         9.   149.1115    10.0144     0.3130                      F1522002  149 
         9.   153.5833     9.1028     0.2845                      F1522002  150 
         9.   166.8540    10.5013     0.3282                      F1522002  151 
        10.    11.2438  7868.2853   550.8005                      F1522002  152 
        10.    16.8540  1950.0598   136.5108                      F1522002  153 
        10.    22.4503   803.1653    56.2211                      F1522002  154 
        10.    33.5833    84.9315     5.9455                      F1522002  155 
        10.    39.1115    33.0086     2.3107                      F1522002  156 
        10.    44.6086    27.0145     1.8911                      F1522002  157 
        10.    55.4948    52.9647     3.7075                      F1522002  158 
        10.    60.8770    43.4948     3.0446                      F1522002  159 
        10.    66.2146    26.2760     1.8393                      F1522002  160 
        10.    76.7456    14.6209     1.0235                      F1522002  161 
        10.    81.9348     9.3896     0.6573                      F1522002  162 
        10.    97.1808     2.3168     0.1622                      F1522002  163 
        10.   102.1533     3.3726     0.2361                      F1522002  164 
        10.   107.0711     5.8104     0.4067                      F1522002  165 
        10.   111.9348     7.0431     0.4930                      F1522002  166 
        10.   116.7456     8.1059     0.5674                      F1522002  167 
        10.   121.5049     8.1012     0.5671                      F1522002  168 
        10.   126.2146     8.6777     0.6074                      F1522002  169 
        10.   130.8770     7.8006     0.5461                      F1522002  170 
        10.   135.4948     7.6250     0.5337                      F1522002  171 
        10.   144.6086     7.3062     0.5114                      F1522002  172 
        10.   149.1115     8.2822     0.5797                      F1522002  173 
        10.   166.8540     9.7150     0.6801                      F1522002  174 
        11.    11.2438 10455.9878   731.9163                      F1522002  175 
        11.    16.8540  2309.5179   161.6649                      F1522002  176 
        11.    22.4503   982.9983    68.8091                      F1522002  177 
        11.    33.5833    78.4144     5.4887                      F1522002  178 
        11.    39.1115    34.7934     2.4358                      F1522002  179 
        11.    44.6086    42.6523     2.9855                      F1522002  180 
        11.    50.0709    60.3280     4.2230                      F1522002  181 
        11.    55.4948    69.6150     4.8730                      F1522002  182 
        11.    60.8770    49.0709     3.4350                      F1522002  183 
        11.    66.2146    29.2323     2.0462                      F1522002  184 
        11.    71.5049    14.4435     1.0111                      F1522002  185 
        11.    76.7456     5.6792     0.3976                      F1522002  186 
        11.    81.9348     3.5112     0.2458                      F1522002  187 
        11.    97.1808     4.0776     0.2854                      F1522002  188 
        11.   102.1533     4.4210     0.3095                      F1522002  189 
        11.   107.0711     5.1519     0.3606                      F1522002  190 
        11.   111.9348     5.4919     0.3844                      F1522002  191 
        11.   116.7456     6.3997     0.4480                      F1522002  192 
        11.   121.5049     8.1999     0.5740                      F1522002  193 
        11.   126.2146     8.0570     0.5640                      F1522002  194 
        11.   130.8770     7.8006     0.5460                      F1522002  195 
        11.   135.4948     7.3891     0.5172                      F1522002  196 
        11.   140.0709     8.7285     0.6110                      F1522002  197 
        11.   144.6086     8.6070     0.6025                      F1522002  198 
        11.   149.1115    10.2000     0.7140                      F1522002  199 
        11.   166.8540    11.8947     0.8326                      F1522002  200 
ENDDATA            192          0                                 F1522002  201 
ENDSUBENT          200          0                                 F152200299999 
ENDENTRY             2          0                                 F152299999999 
