ENTRY            F0696   20130320                             F050F069600000001 
SUBENT        F0696001   20130320                             F050F069600100001 
BIB                 10         20                                 F069600100002 
TITLE      Investigation of the reaction 28Si(3He,p)30P.          F069600100003 
AUTHOR     (Y.V.Nikitenko,G.M.Osetinskii,Song Wong Nam,M.A.Farouk)F069600100004 
INSTITUTE  (4ZZZDUB)                                              F069600100005 
REFERENCE  (J,YF,18,954,1973)                                     F069600100006 
           (J,SNP,18,492,1974) English translation                F069600100007 
FACILITY   (VDG,4ZZZDUB)                                          F069600100008 
SAMPLE     Thin self-supporting 28Si target with the thickness    F069600100009 
           of 28 mu-g/cm2.                                        F069600100010 
METHOD     (BCINT)                                                F069600100011 
DETECTOR   (SIBAR) Five surface barrier detectors with lithium    F069600100012 
           drift. One of them was used as a monitor and it was    F069600100013 
           set at 90 degr. The others were mounted on a mobile    F069600100014 
           corbel providing measurements at the angles 0-160 degr.F069600100015 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F069600100016 
           (DATA-ERR1)  Mean square error                         F069600100017 
           (DATA-ERR2)  Error from the graphic bars               F069600100018 
HISTORY    (20041018C)                                            F069600100019 
           (20130320A)English translation in REFERENCE was added. F069600100020 
           MONITOR record was removed. Data presentation in sub   F069600100021 
           002-005 was changed.                                   F069600100022 
ENDBIB              20          0                                 F069600100023 
NOCOMMON             0          0                                 F069600100024 
ENDSUBENT           23          0                                 F069600199999 
SUBENT        F0696002   20130320                             F050F069600200001 
BIB                  3          3                                 F069600200002 
REACTION   (14-SI-28(HE3,P)15-P-30,PAR,DA)                        F069600200003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F069600200004 
STATUS     (CURVE)Fig.2                                           F069600200005 
ENDBIB               3          0                                 F069600200006 
COMMON               3          3                                 F069600200007 
DATA-ERR1  EN-ERR-DIG ERR-DIG                                     F069600200008 
PER-CENT   MEV        MU-B/SR                                     F069600200009 
         9.      0.001       0.13                                 F069600200010 
ENDCOMMON            3          0                                 F069600200011 
DATA                 5        284                                 F069600200012 
E-LVL      ANG        EN         DATA       DATA-ERR2             F069600200013 
         0.        90.     3.9424     54.690     3.2581           F069600200063 
         0.        90.     3.9967     56.199     3.0075           F069600200064 
         0.        90.     4.0461     53.697     3.2581           F069600200065 
         0.        90.     4.0917     54.203     4.0100           F069600200066 
         0.        90.     4.1473     67.741     3.2581           F069600200067 
         0.        90.     4.1978     74.764     3.2581           F069600200068 
         0.        90.     4.2447     76.272     4.2606           F069600200069 
         0.       135.     2.9646     2.7968     3.4947           F069600200070 
         0.       135.     3.0015     4.2946     3.4947           F069600200071 
         0.       135.     3.0618     6.0421     3.4947           F069600200072 
         0.       135.     3.1036     6.5415     3.2451           F069600200073 
         0.       135.     3.1529     8.2890     2.9955           F069600200074 
         0.       135.     3.1996     10.036     3.2451           F069600200075 
         0.       135.     3.2513     15.778     3.4947           F069600200076 
         0.       135.     3.3005     12.783     3.4947           F069600200077 
         0.       135.     3.3583     18.274     3.4947           F069600200078 
         0.       135.     3.4001     21.020     3.2451           F069600200079 
         0.       135.     3.4481     22.518     3.7443           F069600200080 
         0.       135.     3.5465     17.027     2.9955           F069600200081 
         0.       135.     3.6007     24.516     3.2451           F069600200082 
         0.       135.     3.6486     35.499     4.2436           F069600200083 
         0.       135.     3.6966     48.729     3.4947           F069600200084 
         0.       135.     3.7471     49.728     3.4947           F069600200085 
         0.       135.     3.7938     50.976     3.9940           F069600200086 
         0.       135.     3.8479     55.470     2.9955           F069600200087 
         0.       135.     3.8934     64.955     3.7443           F069600200088 
         0.       135.     3.9427     82.429     4.4932           F069600200089 
         0.       135.     3.9992     46.234     5.7413           F069600200090 
         0.       135.     4.0472     55.221     6.7398           F069600200091 
         0.       135.     4.0903     83.178     6.4902           F069600200092 
         0.       135.     4.1432     100.65     3.4947           F069600200093 
         0.       135.     4.1936     152.32     5.7413           F069600200094 
         0.       135.     4.2428     139.84     4.7428           F069600200095 
         0.       160.     3.0959     5.7783     3.5750           F069600200096 
         0.       160.     3.1440     6.0288     3.8304           F069600200097 
         0.       160.     3.1947     8.5774     3.3197           F069600200098 
         0.       160.     3.2390     13.425     3.5750           F069600200099 
         0.       160.     3.2922     22.868     5.1072           F069600200100 
         0.       160.     3.3504     36.396     3.5750           F069600200101 
         0.       160.     3.3935     51.969     4.5965           F069600200102 
         0.       160.     3.4378     50.688     3.3197           F069600200103 
         0.       160.     3.4909     37.404     4.0858           F069600200104 
         0.       160.     3.5542     20.799     3.8304           F069600200105 
         0.       160.     3.5960     29.988     3.5750           F069600200106 
         0.       160.     3.6492     51.177     3.5750           F069600200107 
         0.       160.     3.6948     61.643     4.8518           F069600200108 
         0.       160.     3.7479     54.487     4.0858           F069600200109 
         0.       160.     3.7986     73.379     3.8304           F069600200110 
         0.       160.     3.8556     77.714     4.3411           F069600200111 
         0.       160.     3.9011     58.047     5.1072           F069600200112 
         0.       160.     3.9518     86.642     5.8733           F069600200113 
         0.       160.     4.0086     34.799     5.3626           F069600200114 
         0.       160.     4.0554     31.219     3.5750           F069600200115 
         0.       160.     4.1011     90.713     8.9376           F069600200116 
         0.       160.     4.1481     142.80     3.5750           F069600200117 
         0.       160.     4.2039     172.67     4.8518           F069600200118 
         0.       160.     4.2570     157.35     4.0858           F069600200119 
       1.45        45.     2.9616     1.7348    0.74257           F069600200120 
       1.45        45.     3.0164     3.1234    0.69307           F069600200121 
       1.45        45.     3.0639     4.4127    0.69307           F069600200122 
       1.45        45.     3.1017     5.1074    0.69307           F069600200123 
       1.45        45.     3.1504     5.2581    0.69307           F069600200124 
       1.45        45.     3.2028     8.0822    0.69307           F069600200125 
       1.45        45.     3.2528     6.6488    0.69307           F069600200126 
       1.45        45.     3.3016     5.2153    0.69307           F069600200127 
       1.45        45.     3.3528     4.7720    0.64356           F069600200128 
       1.45        45.     3.4076     6.1111    0.69307           F069600200129 
       1.45        45.     3.4514     8.3408    0.74257           F069600200130 
       1.45        45.     3.5085     16.066    0.74257           F069600200131 
       1.45        45.     3.5560     16.860    0.69307           F069600200132 
       1.45        45.     3.6011     16.318    0.69307           F069600200133 
       1.45        45.     3.6499     15.379    0.74257           F069600200134 
       1.45        45.     3.6974     17.164    0.74257           F069600200135 
       1.45        45.     3.7511     14.097    0.59406           F069600200136 
       1.45        45.     3.7985     18.653    0.59406           F069600200137 
       1.45        45.     3.8509     20.141    0.74257           F069600200138 
       1.45        45.     3.8947     23.955    0.64356           F069600200139 
       1.45        45.     3.9421     28.264    0.84158           F069600200140 
       1.45        45.     3.9958     24.504    0.74257           F069600200141 
       1.45        45.     4.0493     30.051    0.69307           F069600200142 
       1.45        45.     4.0969     29.409    0.64356           F069600200143 
       1.45        45.     4.1396     27.084    0.69307           F069600200144 
       1.45        45.     4.1922     20.354    0.74257           F069600200145 
       1.45        45.     4.2420     27.089    0.89109           F069600200146 
       1.45        90.     2.9508     9.0234     3.7276           F069600200147 
       1.45        90.     3.0491     13.998     3.7276           F069600200148 
       1.45        90.     3.0976     12.509     3.7276           F069600200149 
       1.45        90.     3.1486     11.020     3.4791           F069600200150 
       1.45        90.     3.1971     14.998     3.4791           F069600200151 
       1.45        90.     3.2494     14.006     3.4791           F069600200152 
       1.45        90.     3.2991     15.499     3.7276           F069600200153 
       1.45        90.     3.3539     13.265     3.4791           F069600200154 
       1.45        90.     3.4036     14.261     3.4791           F069600200155 
       1.45        90.     3.4596     16.500     3.4791           F069600200156 
       1.45        90.     3.5006     26.939     3.4791           F069600200157 
       1.45        90.     3.5554     23.959     3.4791           F069600200158 
       1.45        90.     3.6076     23.216     3.4791           F069600200159 
       1.45        90.     3.6549     30.922     3.2306           F069600200160 
       1.45        90.     3.7009     32.663     3.4791           F069600200161 
       1.45        90.     3.7519     33.659     3.2306           F069600200162 
       1.45        90.     3.8029     39.874     7.4552           F069600200163 
       1.45        90.     3.8502     37.391     3.4791           F069600200164 
       1.45        90.     3.9061     46.588     5.7157           F069600200165 
       1.45        90.     3.9546     65.974     4.7216           F069600200166 
       1.45        90.     4.0069     57.527     5.2186           F069600200167 
       1.45        90.     4.0516     68.463     4.9701           F069600200168 
       1.45        90.     4.1039     51.318     5.9642           F069600200169 
       1.45        90.     4.1561     80.396     3.9761           F069600200170 
       1.45        90.     4.2021     115.44     4.4731           F069600200171 
       1.45        90.     4.2531     111.71     3.4791           F069600200172 
       1.45       135.     2.9491     4.0663     3.4878           F069600200173 
       1.45       135.     2.9969     4.5691     3.7369           F069600200174 
       1.45       135.     3.0484     5.8196     3.7369           F069600200175 
       1.45       135.     3.0924     8.0659     3.7369           F069600200176 
       1.45       135.     3.1426     10.064     3.4878           F069600200177 
       1.45       135.     3.1904     10.816     3.4878           F069600200178 
       1.45       135.     3.2431     11.817     3.4878           F069600200179 
       1.45       135.     3.2997     11.324     3.4878           F069600200180 
       1.45       135.     3.3499     10.582     3.4878           F069600200181 
       1.45       135.     3.3977     10.835     3.4878           F069600200182 
       1.45       135.     3.4479     13.581     3.7369           F069600200183 
       1.45       135.     3.5032     30.028     3.7369           F069600200184 
       1.45       135.     3.5534     26.545     3.4878           F069600200185 
       1.45       135.     3.5999     20.072     3.4878           F069600200186 
       1.45       135.     3.6514     23.316     3.2386           F069600200187 
       1.45       135.     3.7042     25.314     3.9860           F069600200188 
       1.45       135.     3.7532     36.031     3.4878           F069600200189 
       1.45       135.     3.8034     39.773     4.7334           F069600200190 
       1.45       135.     3.8549     41.770     3.7369           F069600200191 
       1.45       135.     3.9014     57.968     3.7369           F069600200192 
       1.45       135.     3.9542     53.489     3.4878           F069600200193 
       1.45       135.     4.0031     62.960     8.7194           F069600200194 
       1.45       135.     4.0509     77.663     3.2386           F069600200195 
       1.45       135.     4.1037     59.233     3.4878           F069600200196 
       1.45       135.     4.1589     89.382     5.4808           F069600200197 
       1.45       135.     4.2078     141.70     6.4773           F069600200198 
       1.45       135.     4.2568     108.57     3.2386           F069600200199 
       1.45       160.     3.1007     9.5535     3.2679           F069600200200 
       1.45       160.     3.1513     13.066     3.5193           F069600200201 
       1.45       160.     3.2019     13.814     3.5193           F069600200202 
       1.45       160.     3.2487     12.049     3.2679           F069600200203 
       1.45       160.     3.3043     14.807     3.5193           F069600200204 
       1.45       160.     3.3511     14.298     3.2679           F069600200205 
       1.45       160.     3.4017     10.521     3.5193           F069600200206 
       1.45       160.     3.4535     10.766     3.7706           F069600200207 
       1.45       160.     3.5054     25.088     3.5193           F069600200208 
       1.45       160.     3.5534     21.814     5.2789           F069600200209 
       1.45       160.     3.6040     12.004     4.2734           F069600200210 
       1.45       160.     3.6546     14.512     3.2679           F069600200211 
       1.45       160.     3.7001     12.746     3.5193           F069600200212 
       1.45       160.     3.7469     20.784     3.5193           F069600200213 
       1.45       160.     3.8013     24.548     4.5248           F069600200214 
       1.45       160.     3.8518     19.766     3.5193           F069600200215 
       1.45       160.     3.9012     29.563     3.2679           F069600200216 
       1.45       160.     3.9543     27.043     6.2844           F069600200217 
       1.45       160.     4.0049     63.737     9.5523           F069600200218 
       1.45       160.     4.0569     84.595     3.2679           F069600200219 
       1.45       160.     4.1099     61.965     4.2734           F069600200220 
       1.45       160.     4.1605     90.615     5.5303           F069600200221 
       1.45       160.     4.2088     153.45     5.0275           F069600200222 
       1.45       160.     4.2554     107.45     5.5303           F069600200223 
       1.97        90.     2.9475     3.0002     1.7500           F069600200224 
       1.97        90.     3.0004     3.5004     3.2500           F069600200225 
       1.97        90.     3.0509     6.3756     1.7500           F069600200226 
       1.97        90.     3.0977     4.7508     1.8750           F069600200227 
       1.97        90.     3.1519     5.2510     1.8750           F069600200228 
       1.97        90.     3.2036     6.7512     1.7500           F069600200229 
       1.97        90.     3.2492     5.2514     1.7500           F069600200230 
       1.97        90.     3.3021     4.3766     1.8750           F069600200231 
       1.97        90.     3.3539     6.8768     1.8750           F069600200232 
       1.97        90.     3.3957     7.8769     1.8750           F069600200233 
       1.97        90.     3.4499     10.002     1.7500           F069600200234 
       1.97        90.     3.5016     12.127     1.7500           F069600200235 
       1.97        90.     3.5546     14.253     1.7500           F069600200236 
       1.97        90.     3.6039     15.503     1.7500           F069600200237 
       1.97        90.     3.6531     16.878     1.8750           F069600200238 
       1.97        90.     3.7036     24.753     1.8750           F069600200239 
       1.97        90.     3.7553     27.628     3.0000           F069600200240 
       1.97        90.     3.8095     44.254     2.5000           F069600200241 
       1.97        90.     3.9068     35.629     2.6250           F069600200242 
       1.97        90.     3.9548     41.629     2.1250           F069600200243 
       1.97        90.     4.0041     23.879     1.8750           F069600200244 
       1.97        90.     4.0546     28.379     1.7500           F069600200245 
       1.97        90.     4.1063     37.380     1.7500           F069600200246 
       1.97        90.     4.1506     32.880     2.7500           F069600200247 
       1.97        90.     4.2036     34.255     2.1250           F069600200248 
       1.97        90.     4.2504     39.880     2.7500           F069600200249 
       1.97       135.     2.9960     9.6819     1.7526           F069600200250 
       1.97       135.     3.0497     11.812     1.7526           F069600200251 
       1.97       135.     3.0958     13.066     1.6274           F069600200252 
       1.97       135.     3.1495     14.069     1.7526           F069600200253 
       1.97       135.     3.1994     11.567     1.7526           F069600200254 
       1.97       135.     3.2469     10.568     1.7526           F069600200255 
       1.97       135.     3.2980     11.947     1.7526           F069600200256 
       1.97       135.     3.3517     14.202     1.7526           F069600200257 
       1.97       135.     3.3991     15.080     1.7526           F069600200258 
       1.97       135.     3.4503     14.206     1.7526           F069600200259 
       1.97       135.     3.5065     18.464     1.7526           F069600200260 
       1.97       135.     3.5626     20.970     1.6274           F069600200261 
       1.97       135.     3.6612     28.610     2.1281           F069600200262 
       1.97       135.     3.7061     33.744     1.7526           F069600200263 
       1.97       135.     3.7598     40.005     2.3785           F069600200264 
       1.97       135.     3.8134     45.515     1.7526           F069600200265 
       1.97       135.     3.8621     41.010     1.8778           F069600200266 
       1.97       135.     3.9120     47.397     1.6274           F069600200267 
       1.97       135.     3.9532     41.264     1.6274           F069600200268 
       1.97       135.     4.0094     34.882     1.7526           F069600200269 
       1.97       135.     4.0556     45.274     1.8778           F069600200270 
       1.97       135.     4.1129     56.918     1.6274           F069600200271 
       1.97       135.     4.1566     51.537     1.6274           F069600200272 
       1.97       135.     4.2041     51.539     1.6274           F069600200273 
       1.97       135.     4.2602     60.429     3.6303           F069600200274 
       1.97       160.     3.0971     9.8646     1.7676           F069600200275 
       1.97       160.     3.1497     10.247     1.6414           F069600200276 
       1.97       160.     3.1997     11.640     1.7676           F069600200277 
       1.97       160.     3.2522     9.8764     1.7676           F069600200278 
       1.97       160.     3.3035     14.173     1.7676           F069600200279 
       1.97       160.     3.3548     10.768     1.6414           F069600200280 
       1.97       160.     3.4010     12.539     1.7676           F069600200281 
       1.97       160.     3.4510     11.407     1.6414           F069600200282 
       1.97       160.     3.5035     18.481     1.8939           F069600200283 
       1.97       160.     3.5560     19.243     2.3989           F069600200284 
       1.97       160.     3.6049     13.565     1.6414           F069600200285 
       1.97       160.     3.6536     20.639     1.7676           F069600200286 
       1.97       160.     3.7011     16.223     1.7676           F069600200287 
       1.97       160.     3.7498     28.727     1.6414           F069600200288 
       1.97       160.     3.7999     21.281     2.1464           F069600200289 
       1.97       160.     3.8512     20.654     1.7676           F069600200290 
       1.97       160.     3.8986     29.496     1.7676           F069600200291 
       1.97       160.     3.9511     33.793     2.7777           F069600200292 
       1.97       160.     4.0036     35.185     1.7676           F069600200293 
       1.97       160.     4.0512     33.295     1.6414           F069600200294 
       1.97       160.     4.1037     36.329     2.2727           F069600200295 
       1.97       160.     4.1549     44.035     2.2727           F069600200296 
       1.97       160.     4.2024     45.428     2.9040           F069600200297 
       1.97       160.     4.2598     65.507     2.1464           F069600200298 
ENDDATA            286          0                                 F069600200299 
ENDSUBENT          298          0                                 F069600299999 
SUBENT        F0696003   20130320                             F050F069600300001 
BIB                  3          3                                 F069600300002 
REACTION   (14-SI-28(HE3,P)15-P-30,PAR,DA)                        F069600300003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F069600300004 
STATUS     (CURVE)Fig.2                                           F069600300005 
ENDBIB               3          0                                 F069600300006 
COMMON               5          3                                 F069600300007 
E-LVL-MIN  E-LVL-MAX  DATA-ERR1  EN-ERR-DIG ERR-DIG               F069600300008 
MEV        MEV        PER-CENT   MEV        MU-B/SR               F069600300009 
       0.68       0.71         9.     0.0001        0.1           F069600300010 
ENDCOMMON            3          0                                 F069600300011 
DATA                 4         99                                 F069600300012 
ANG        EN         DATA       DATA-ERR2                        F069600300013 
ADEG       MEV        MU-B/SR    MU-B/SR                          F069600300014 
        45.     2.9588     6.1953     3.2176                      F069600300015 
        45.     3.0012     6.9409     3.4651                      F069600300016 
        45.     3.0460     7.9342     3.2176                      F069600300017 
        45.     3.0956     6.2052     3.2176                      F069600300018 
        45.     3.1453     5.9613     3.2176                      F069600300019 
        45.     3.1973     6.7075     2.9701                      F069600300020 
        45.     3.2482     8.9388     3.2176                      F069600300021 
        45.     3.2942     11.912     2.7226                      F069600300022 
        45.     3.3523     13.649     2.9701                      F069600300023 
        45.     3.3995     11.425     3.7126                      F069600300024 
        45.     3.4382     11.428     3.2176                      F069600300025 
        45.     3.4915     13.906     3.2176                      F069600300026 
        45.     3.5448     15.643     3.2176                      F069600300027 
        45.     3.5920     16.636     4.7026                      F069600300028 
        45.     3.6489     28.273     3.2176                      F069600300029 
        45.     3.6936     32.484     3.9601                      F069600300030 
        45.     3.7493     30.013     2.9701                      F069600300031 
        45.     3.7966     25.561     4.9501                      F069600300032 
        45.     3.8389     29.277     2.9701                      F069600300033 
        45.     3.8910     26.806     3.9601                      F069600300034 
        45.     3.9358     35.224     3.2176                      F069600300035 
        45.     3.9890     44.881     4.4551                      F069600300036 
        45.     4.0302     55.279     3.4651                      F069600300037 
        45.     4.0822     67.658     4.2076                      F069600300038 
        45.     4.1319     58.256     3.7126                      F069600300039 
        45.     4.1791     65.685     5.9402                      F069600300040 
        45.     4.2275     78.064     4.4551                      F069600300041 
        90.     2.9502     6.1565     3.1785                      F069600300042 
        90.     2.9992     8.6046     3.1785                      F069600300043 
        90.     3.0984     10.078     3.1785                      F069600300044 
        90.     3.1928     10.084     2.9340                      F069600300045 
        90.     3.2504     12.777     3.1785                      F069600300046 
        90.     3.3006     10.824     2.9340                      F069600300047 
        90.     3.3497     12.050     2.9340                      F069600300048 
        90.     3.3999     13.765     3.1785                      F069600300049 
        90.     3.4501     14.257     3.1785                      F069600300050 
        90.     3.5053     20.617     3.4230                      F069600300051 
        90.     3.5555     21.598     3.1785                      F069600300052 
        90.     3.6021     16.467     3.4230                      F069600300053 
        90.     3.6560     23.316     3.1785                      F069600300054 
        90.     3.7062     26.009     3.1785                      F069600300055 
        90.     3.7553     31.880     3.1785                      F069600300056 
        90.     3.8521     39.710     3.4230                      F069600300057 
        90.     3.8998     47.537     3.6675                      F069600300058 
        90.     3.9476     57.076     3.4230                      F069600300059 
        90.     4.0003     60.502     3.9120                      F069600300060 
        90.     4.0457     58.060     3.4230                      F069600300061 
        90.     4.0959     65.642     3.4230                      F069600300062 
        90.     4.1474     62.956     3.6675                      F069600300063 
        90.     4.1976     73.473     3.1785                      F069600300064 
        90.     4.2393     75.920     4.6455                      F069600300065 
       135.     2.9473     5.5576     3.2386                      F069600300066 
       135.     3.0002     6.8031     3.7368                      F069600300067 
       135.     3.0937     10.540     3.4877                      F069600300068 
       135.     3.1466     11.785     3.2386                      F069600300069 
       135.     3.2007     10.539     3.2386                      F069600300070 
       135.     3.2499     8.7954     3.4877                      F069600300071 
       135.     3.2991     10.290     3.4877                      F069600300072 
       135.     3.3520     15.770     3.2386                      F069600300073 
       135.     3.4012     14.027     3.2386                      F069600300074 
       135.     3.4541     19.258     3.7368                      F069600300075 
       135.     3.5070     33.458     4.2350                      F069600300076 
       135.     3.5513     27.479     2.9894                      F069600300077 
       135.     3.6017     18.759     4.7333                      F069600300078 
       135.     3.6509     20.752     3.2386                      F069600300079 
       135.     3.7025     24.987     3.2386                      F069600300080 
       135.     3.7530     23.243     3.2386                      F069600300081 
       135.     3.8022     33.208     4.4842                      F069600300082 
       135.     3.8526     39.685     3.7368                      F069600300083 
       135.     3.9006     58.867     4.4842                      F069600300084 
       135.     3.9424     82.284     3.4877                      F069600300085 
       135.     3.9953     119.40     5.2315                      F069600300086 
       135.     4.0371     120.15     3.4877                      F069600300087 
       135.     4.0925     72.319     6.2280                      F069600300088 
       135.     4.1503     92.248     3.4877                      F069600300089 
       135.     4.1921     141.08     3.7368                      F069600300090 
       135.     4.2401     133.10     4.2350                      F069600300091 
       160.     3.0973     9.4204     3.6649                      F069600300092 
       160.     3.1995     7.8478     3.4031                      F069600300093 
       160.     3.2512     5.4908     3.4031                      F069600300094 
       160.     3.2980     9.4166     3.6649                      F069600300095 
       160.     3.3535     15.960     3.6649                      F069600300096 
       160.     3.4052     12.032     3.4031                      F069600300097 
       160.     3.4471     20.147     3.6649                      F069600300098 
       160.     3.4963     43.968     3.6649                      F069600300099 
       160.     3.5530     27.998     3.1414                      F069600300100 
       160.     3.5998     17.526     3.4031                      F069600300101 
       160.     3.6478     19.881     3.6649                      F069600300102 
       160.     3.6958     38.728     4.1885                      F069600300103 
       160.     3.7451     35.848     3.4031                      F069600300104 
       160.     3.7919     44.224     3.4031                      F069600300105 
       160.     3.8436     58.883     5.2356                      F069600300106 
       160.     3.8941     85.060     3.9267                      F069600300107 
       160.     3.9372     118.04     3.4031                      F069600300108 
       160.     3.9976     170.66     6.2827                      F069600300109 
       160.     4.0875     88.197     5.2356                      F069600300110 
       160.     4.1466     158.88     3.9267                      F069600300111 
       160.     4.1885     206.78     7.8534                      F069600300112 
       160.     4.2328     206.00     3.1414                      F069600300113 
ENDDATA            101          0                                 F069600300114 
ENDSUBENT          113          0                                 F069600399999 
SUBENT        F0696004   20130320                             F050F069600400001 
BIB                  3          3                                 F069600400002 
REACTION   (14-SI-28(HE3,P)15-P-30,PAR,DA)                        F069600400003 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    F069600400004 
STATUS     (CURVE)Fig.3                                           F069600400005 
ENDBIB               3          0                                 F069600400006 
COMMON               3          3                                 F069600400007 
DATA-ERR1  ANG-ERR-D  ERR-DIG                                     F069600400008 
PER-CENT   ADEG       MU-B/SR                                     F069600400009 
        10.        0.2       0.06                                 F069600400010 
ENDCOMMON            3          0                                 F069600400011 
DATA                 5        148                                 F069600400012 
E-LVL      EN         ANG-CM     DATA-CM    DATA-ERR2             F069600400013 
MEV        MEV        ADEG       MU-B/SR    MU-B/SR               F069600400014 
         0.       3.56     7.2629     18.160     1.7964           F069600400015 
         0.       3.56     16.965     20.312     1.7964           F069600400016 
         0.       3.56     26.903     22.583     2.0359           F069600400017 
         0.       3.56     36.134     26.171     1.9161           F069600400018 
         0.       3.56     46.071     27.724     1.7964           F069600400019 
         0.       3.56     51.038     27.482     1.9161           F069600400020 
         0.       3.56     61.445     27.358     2.6347           F069600400021 
