ENTRY            F0812   20220427                             F090F0812  0    1 
SUBENT        F0812001   20220427                             F090F0812  1    1 
BIB                  5          9                                 F0812  1    2 
TITLE      Band structure in 180Ta studied with transfer reactionsF0812  1    3 
AUTHOR     (E.Warde,G.J.Costa,D.Magnac,R.Seltz,C.Gerardin,        F0812  1    4 
           M.Buenerd,Ph.Martin,W.Saathoff,C.A.Wiedner)            F0812  1    5 
INSTITUTE  (2FR STR,2FR GRE,2GERMPH)                              F0812  1    6 
REFERENCE  (J,PR/C,27,98,1983)                                    F0812  1    7 
HISTORY    (20070306C)                                            F0812  1    8 
           (20110808U) SD: year in ref. corrected.                F0812  1    9 
           (20220427A) SD: Correction in all Subents. Subent 008  F0812  1   10 
           deleted (info moved to Subent 007).                    F0812  1   11 
ENDBIB               9          0                                 F0812  1   12 
NOCOMMON             0          0                                 F0812  1   13 
ENDSUBENT           12          0                                 F0812  199999 
SUBENT        F0812002   20220427                             F090F0812  2    1 
BIB                  7         13                                 F0812  2    2 
REACTION   (73-TA-181(P,D)73-TA-180,PAR,DA)                       F0812  2    3 
FACILITY   (VDGT,2FR STR)                                         F0812  2    4 
DETECTOR   (PS) Four solid state position sensitive detectors     F0812  2    5 
           of 50 mm length each. The energy calibration of the    F0812  2    6 
           focal plane was achieved through the 13C(p,d)12C       F0812  2    7 
           reaction. The estimated error on the excitation energy F0812  2    8 
           is of the order of 5 keV.                              F0812  2    9 
SAMPLE     The natural tantalum target, 193 mu-g/cm2 thick, was   F0812  2   10 
           obtained by evaporation on a 20 mu-g/cm2 carbon backingF0812  2   11 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0812  2   12 
STATUS     (CURVE) Fig.4 from Phys.Rev.,C27(1983)98               F0812  2   13 
HISTORY    (20220427U) SD: ERR-ANALYS and STATUS updated. The     F0812  2   14 
           accuracy of data presentation has been revised.        F0812  2   15 
ENDBIB              13          0                                 F0812  2   16 
COMMON               4          3                                 F0812  2   17 
       173.      30.21  1.892E+01  3.665E+00                      F0812  2   53 
       173.      35.54  2.282E+01  4.930E+00                      F0812  2   54 
       173.      40.55  2.507E+01  4.279E+00                      F0812  2   55 
       173.      45.88  3.383E+01  6.552E+00                      F0812  2   56 
       173.      50.26  3.821E+01  4.693E+00                      F0812  2   57 
       173.      55.59  4.043E+01  7.523E+00                      F0812  2   58 
       173.      60.93  3.787E+01  5.571E+00                      F0812  2   59 
       173.      65.00  4.198E+01  8.132E+00                      F0812  2   60 
       173.      70.35  3.026E+01  6.314E+00                      F0812  2   61 
       173.      75.37  3.232E+01  6.502E+00                      F0812  2   62 
       173.      85.11  2.535E+01  4.130E+00                      F0812  2   63 
       303.      10.65  4.360E+00  1.541E+00                      F0812  2   64 
       303.      16.01  6.101E+00  2.010E+00                      F0812  2   65 
       303.      25.78  9.965E+00  3.580E+00                      F0812  2   66 
       303.      36.18  9.786E+00  3.224E+00                      F0812  2   67 
       303.      45.95  8.086E+00  2.202E+00                      F0812  2   68 
       303.      56.35  1.555E+01  3.493E+00                      F0812  2   69 
       303.      66.12  1.598E+01  3.131E+00                      F0812  2   70 
       366.       6.90  4.686E+00  9.576E-01                      F0812  2   71 
       366.      10.09  9.649E+00  3.255E+00                      F0812  2   72 
       366.      15.78  8.805E+00  3.281E+00                      F0812  2   73 
       366.      20.85  1.087E+01  2.141E+00                      F0812  2   74 
       366.      25.60  1.038E+01  3.374E+00                      F0812  2   75 
       366.      30.35  1.169E+01  1.953E+00                      F0812  2   76 
       366.      40.16  1.223E+01  2.044E+00                      F0812  2   77 
       366.      45.54  1.076E+01  2.947E+00                      F0812  2   78 
       366.      50.30  1.932E+01  2.931E+00                      F0812  2   79 
       366.      55.68  1.565E+01  4.077E+00                      F0812  2   80 
       366.      60.76  2.362E+01  3.027E+00                      F0812  2   81 
       366.      65.50  2.472E+01  4.131E+00                      F0812  2   82 
       366.      70.57  2.383E+01  3.430E+00                      F0812  2   83 
       366.      75.64  2.517E+01  5.144E+00                      F0812  2   84 
       366.      85.14  2.994E+01  4.544E+00                      F0812  2   85 
       366.      90.19  2.002E+01  2.882E+00                      F0812  2   86 
       414.       7.35  7.705E+00  1.792E+00                      F0812  2   87 
       414.      10.23  1.644E+01  3.823E+00                      F0812  2   88 
       414.      15.65  2.283E+01  4.324E+00                      F0812  2   89 
       414.      20.42  2.221E+01  2.305E+00                      F0812  2   90 
       414.      25.19  3.085E+01  6.959E+00                      F0812  2   91 
       414.      30.29  3.380E+01  4.055E+00                      F0812  2   92 
       414.      40.46  3.288E+01  4.208E+00                      F0812  2   93 
       414.      45.56  4.284E+01  9.663E+00                      F0812  2   94 
       414.      50.64  3.839E+01  5.519E+00                      F0812  2   95 
       414.      55.73  3.701E+01  8.348E+00                      F0812  2   96 
       414.      60.50  4.322E+01  5.874E+00                      F0812  2   97 
       414.      65.59  3.256E+01  6.880E+00                      F0812  2   98 
       414.      70.36  3.535E+01  4.804E+00                      F0812  2   99 
       414.      75.76  2.918E+01  5.954E+00                      F0812  2  100 
       414.      85.62  2.787E+01  5.484E+00                      F0812  2  101 
       414.      90.38  2.139E+01  3.406E+00                      F0812  2  102 
       476.      10.28  4.077E+01  5.717E+00                      F0812  2  103 
       476.      15.64  4.007E+01  6.821E+00                      F0812  2  104 
       476.      20.68  4.419E+01  5.170E+00                      F0812  2  105 
       476.      25.41  5.327E+01  9.459E+00                      F0812  2  106 
       476.      30.13  6.421E+01  7.511E+00                      F0812  2  107 
       476.      35.48  7.949E+01  9.920E+00                      F0812  2  108 
       476.      41.16  7.275E+01  9.079E+00                      F0812  2  109 
       476.      45.57  7.744E+01  1.026E+01                      F0812  2  110 
       476.      50.93  8.316E+01  9.073E+00                      F0812  2  111 
       476.      55.67  7.886E+01  1.045E+01                      F0812  2  112 
       476.      60.40  7.958E+01  8.049E+00                      F0812  2  113 
       476.      65.46  6.374E+01  7.955E+00                      F0812  2  114 
       476.      70.83  5.433E+01  6.780E+00                      F0812  2  115 
       476.      76.19  6.046E+01  8.477E+00                      F0812  2  116 
       476.      85.03  4.930E+01  7.660E+00                      F0812  2  117 
       476.      90.41  3.711E+01  6.317E+00                      F0812  2  118 
       540.       7.82  2.020E+01  3.254E+00                      F0812  2  119 
       540.      11.18  9.377E+01  2.004E+01                      F0812  2  120 
       540.      15.95  9.039E+01  1.866E+01                      F0812  2  121 
       540.      21.35  8.714E+01  1.268E+01                      F0812  2  122 
       540.      26.11  8.323E+01  1.718E+01                      F0812  2  123 
       540.      30.54  1.049E+02  1.102E+01                      F0812  2  124 
       540.      35.28  1.275E+02  2.537E+01                      F0812  2  125 
       540.      40.68  1.287E+02  1.667E+01                      F0812  2  126 
       540.      45.76  1.195E+02  2.379E+01                      F0812  2  127 
       540.      50.85  1.060E+02  1.288E+01                      F0812  2  128 
       540.      55.94  9.852E+01  1.961E+01                      F0812  2  129 
       540.      61.02  9.237E+01  1.196E+01                      F0812  2  130 
       540.      65.48  7.609E+01  1.226E+01                      F0812  2  131 
       540.      70.57  7.069E+01  1.084E+01                      F0812  2  132 
       540.      75.33  7.137E+01  8.084E+00                      F0812  2  133 
       540.      85.47  8.055E+01  1.108E+01                      F0812  2  134 
       540.      90.30  3.917E+01  5.387E+00                      F0812  2  135 
       573.       7.43  3.102E+01  3.744E+00                      F0812  2  136 
       573.      10.59  8.066E+01  1.230E+01                      F0812  2  137 
       573.      15.69  1.243E+02  1.600E+01                      F0812  2  138 
       573.      20.81  1.053E+02  1.100E+01                      F0812  2  139 
       573.      25.60  1.414E+02  2.044E+01                      F0812  2  140 
       573.      30.07  1.684E+02  1.758E+01                      F0812  2  141 
       573.      35.50  2.119E+02  2.728E+01                      F0812  2  142 
       573.      40.63  1.780E+02  1.858E+01                      F0812  2  143 
       573.      46.39  1.881E+02  1.964E+01                      F0812  2  144 
       573.      51.19  1.814E+02  2.623E+01                      F0812  2  145 
       573.      55.67  1.685E+02  1.760E+01                      F0812  2  146 
       573.      61.11  1.655E+02  1.998E+01                      F0812  2  147 
       573.      66.23  1.581E+02  2.286E+01                      F0812  2  148 
       573.      71.05  1.189E+02  1.436E+01                      F0812  2  149 
       573.      76.17  1.190E+02  1.436E+01                      F0812  2  150 
       573.      91.22  8.630E+01  1.042E+01                      F0812  2  151 
       659.       7.56  2.823E+01  4.731E+00                      F0812  2  152 
       659.      10.12  1.393E+02  2.334E+01                      F0812  2  153 
       659.      14.93  1.499E+02  2.626E+01                      F0812  2  154 
       659.      20.69  1.704E+02  1.636E+01                      F0812  2  155 
       659.      25.50  1.192E+02  1.997E+01                      F0812  2  156 
       659.      30.63  1.689E+02  2.171E+01                      F0812  2  157 
       659.      34.80  2.010E+02  2.744E+01                      F0812  2  158 
       659.      40.24  2.144E+02  2.234E+01                      F0812  2  159 
       659.      45.05  1.956E+02  3.278E+01                      F0812  2  160 
       659.      50.18  1.584E+02  1.909E+01                      F0812  2  161 
       659.      54.99  1.406E+02  2.778E+01                      F0812  2  162 
       659.      60.44  1.355E+02  1.742E+01                      F0812  2  163 
       659.      65.56  1.406E+02  2.140E+01                      F0812  2  164 
       659.      70.69  1.048E+02  1.263E+01                      F0812  2  165 
       659.      75.50  1.058E+02  1.444E+01                      F0812  2  166 
       659.      85.76  7.197E+01  8.674E+00                      F0812  2  167 
       659.      89.93  5.828E+01  7.024E+00                      F0812  2  168 
       723.       6.90  6.156E+01  7.899E+00                      F0812  2  169 
       723.      10.36  4.022E+02  4.838E+01                      F0812  2  170 
       723.      15.76  5.342E+02  7.700E+01                      F0812  2  171 
       723.      20.84  4.490E+02  5.401E+01                      F0812  2  172 
       723.      25.29  3.914E+02  5.022E+01                      F0812  2  173 
       723.      29.74  3.572E+02  3.422E+01                      F0812  2  174 
       723.      35.13  4.329E+02  4.147E+01                      F0812  2  175 
       723.      39.90  4.491E+02  4.673E+01                      F0812  2  176 
       723.      45.30  4.251E+02  4.770E+01                      F0812  2  177 
       723.      50.38  3.382E+02  3.519E+01                      F0812  2  178 
       723.      55.15  3.261E+02  4.184E+01                      F0812  2  179 
       723.      60.23  3.202E+02  4.362E+01                      F0812  2  180 
       723.      65.31  2.766E+02  4.416E+01                      F0812  2  181 
       723.      69.77  1.935E+02  2.171E+01                      F0812  2  182 
       723.      75.49  1.672E+02  2.278E+01                      F0812  2  183 
       723.      85.33  1.380E+02  1.880E+01                      F0812  2  184 
       723.      90.42  1.271E+02  1.731E+01                      F0812  2  185 
       759.       8.27  1.994E+01  3.171E+00                      F0812  2  186 
       759.      20.64  6.462E+01  9.276E+00                      F0812  2  187 
       759.      30.78  1.223E+02  1.367E+01                      F0812  2  188 
       759.      40.61  1.441E+02  1.014E+01                      F0812  2  189 
       759.      50.75  1.377E+02  1.085E+01                      F0812  2  190 
       759.      60.90  9.916E+01  1.028E+01                      F0812  2  191 
       759.      65.33  1.234E+02  1.379E+01                      F0812  2  192 
       759.      71.04  8.188E+01  8.485E+00                      F0812  2  193 
       759.      76.11  7.967E+01  6.942E+00                      F0812  2  194 
       759.      85.30  7.967E+01  6.941E+00                      F0812  2  195 
       759.      90.37  5.897E+01  5.626E+00                      F0812  2  196 
       785.       7.93  7.302E+01  9.459E+00                      F0812  2  197 
       785.       9.84  4.233E+02  4.796E+01                      F0812  2  198 
       785.      15.23  4.774E+02  4.218E+01                      F0812  2  199 
       785.      20.31  4.687E+02  4.534E+01                      F0812  2  200 
       785.      25.07  4.156E+02  5.048E+01                      F0812  2  201 
       785.      30.79  4.774E+02  6.185E+01                      F0812  2  202 
       785.      34.60  4.559E+02  5.165E+01                      F0812  2  203 
       785.      39.68  5.485E+02  4.846E+01                      F0812  2  204 
       785.      45.07  4.601E+02  6.848E+01                      F0812  2  205 
       785.      50.47  4.601E+02  4.834E+01                      F0812  2  206 
       785.      55.23  4.005E+02  4.865E+01                      F0812  2  207 
       785.      59.99  4.080E+02  3.947E+01                      F0812  2  208 
       785.      65.39  3.789E+02  3.981E+01                      F0812  2  209 
       785.      70.47  3.035E+02  3.931E+01                      F0812  2  210 
       785.      85.08  1.983E+02  1.584E+01                      F0812  2  211 
       785.      90.47  1.859E+02  2.258E+01                      F0812  2  212 
       837.       7.36  1.695E+01  3.480E+00                      F0812  2  213 
       837.       9.66  6.197E+01  6.983E+00                      F0812  2  214 
       837.      15.11  6.792E+01  9.294E+00                      F0812  2  215 
       837.      20.23  6.138E+01  7.909E+00                      F0812  2  216 
       837.      24.72  7.242E+01  9.332E+00                      F0812  2  217 
       837.      29.82  4.447E+01  6.085E+00                      F0812  2  218 
       837.      34.97  7.650E+01  9.858E+00                      F0812  2  219 
       837.      39.78  8.233E+01  1.192E+01                      F0812  2  220 
       837.      45.54  6.662E+01  8.585E+00                      F0812  2  221 
       837.      50.66  6.480E+01  7.302E+00                      F0812  2  222 
       837.      55.78  4.827E+01  7.364E+00                      F0812  2  223 
       837.      61.22  5.100E+01  1.144E+01                      F0812  2  224 
       837.      65.71  4.737E+01  6.105E+00                      F0812  2  225 
       837.      71.15  4.441E+01  5.723E+00                      F0812  2  226 
       837.      74.66  3.309E+01  5.048E+00                      F0812  2  227 
       837.      85.88  3.560E+01  6.787E+00                      F0812  2  228 
       837.      91.65  4.605E+01  5.563E+00                      F0812  2  229 
       914.       7.20  6.717E+01  6.995E+00                      F0812  2  230 
       914.       9.82  1.175E+02  1.608E+01                      F0812  2  231 
       914.      15.60  9.864E+01  9.459E+00                      F0812  2  232 
       914.      20.10  9.506E+01  1.105E+01                      F0812  2  233 
       914.      25.56  9.160E+01  1.103E+01                      F0812  2  234 
       914.      30.08  1.051E+02  1.008E+01                      F0812  2  235 
       914.      35.24  1.239E+02  1.591E+01                      F0812  2  236 
       914.      40.38  1.140E+02  1.187E+01                      F0812  2  237 
       914.      45.20  1.050E+02  1.916E+01                      F0812  2  238 
       914.      50.33  9.060E+01  8.688E+00                      F0812  2  239 
       914.      55.78  7.471E+01  1.251E+01                      F0812  2  240 
       914.      60.61  8.110E+01  8.447E+00                      F0812  2  241 
       914.      65.12  8.566E+01  9.621E+00                      F0812  2  242 
       914.      70.24  6.156E+01  6.915E+00                      F0812  2  243 
       914.      76.04  6.562E+01  8.950E+00                      F0812  2  244 
       914.      85.66  4.802E+01  7.673E+00                      F0812  2  245 
       914.      90.78  3.782E+01  5.456E+00                      F0812  2  246 
ENDDATA            224          0                                 F0812  2  247 
ENDSUBENT          246          0                                 F0812  299999 
SUBENT        F0812003   20220427                             F090F0812  3    1 
BIB                  7         17                                 F0812  3    2 
REACTION   (72-HF-179(HE3,D)73-TA-180,PAR,DA)                     F0812  3    3 
FACILITY   (VDGT,2GERMPH)                                         F0812  3    4 
DETECTOR   (TELES,PROPC)The focal plane detector of 1.40 m length F0812  3    5 
           is a position sensitive telescope of three resistive   F0812  3    6 
           wire proportional counters. Elastically scattered 3He  F0812  3    7 
           particles were used both for energy calibration and    F0812  3    8 
           nonlinearity corrections of the counter. Depending on  F0812  3    9 
           the target the overall resolution was 20 to 40 keV     F0812  3   10 
           FWHM.                                                  F0812  3   11 
SAMPLE     The 179Hf targets were obtained by evaporation of      F0812  3   12 
           hafnium oxide enriched to 87% with a main contaminationF0812  3   13 
           of 8.55% 180Hf on 20 mu-g/cm2 carbon backing. Targets  F0812  3   14 
           of 211 and 148 mu-g/cm2 were used.                     F0812  3   15 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0812  3   16 
STATUS     (CURVE) Fig.6 from Phys.Rev.,C27(1983)98               F0812  3   17 
HISTORY    (20220427U) SD: ERR-ANALYS and STATUS updated. The     F0812  3   18 
           accuracy of data presentation has been revised.        F0812  3   19 
ENDBIB              17          0                                 F0812  3   20 
COMMON               3          3                                 F0812  3   21 
EN         ANG-ERR-D  ERR-DIG                                     F0812  3   22 
MEV        ADEG       PER-CENT                                    F0812  3   23 
 36.          0.3          1.                                     F0812  3   24 
ENDCOMMON            3          0                                 F0812  3   25 
DATA                 4         24                                 F0812  3   26 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F0812  3   27 
KEV        ADEG       MU-B/SR    MU-B/SR                          F0812  3   28 
       181.       16.0   4.87E+01   9.45E+00                      F0812  3   29 
       181.       20.8   6.87E+01   1.23E+01                      F0812  3   30 
       181.       23.9   5.94E+01   1.48E+01                      F0812  3   31 
       181.       36.5   7.25E+01   1.52E+01                      F0812  3   32 
       296.       11.5   2.32E+01   4.63E+00                      F0812  3   33 
       296.       16.6   2.32E+01   4.64E+00                      F0812  3   34 
       296.       21.5   2.12E+01   3.81E+00                      F0812  3   35 
       296.       24.4   2.08E+01   3.93E+00                      F0812  3   36 
       296.       36.8   1.54E+01   3.52E+00                      F0812  3   37 
       296.       42.0   1.35E+01   3.37E+00                      F0812  3   38 
       361.       11.1   4.57E+01   1.06E+01                      F0812  3   39 
       361.       16.4   4.32E+01   9.04E+00                      F0812  3   40 
       361.       21.1   4.41E+01   8.32E+00                      F0812  3   41 
       361.       24.3   3.51E+01   7.17E+00                      F0812  3   42 
       361.       31.3   4.34E+01   8.85E+00                      F0812  3   43 
       361.       36.8   2.54E+01   5.43E+00                      F0812  3   44 
       361.       41.7   2.17E+01   4.09E+00                      F0812  3   45 
       563.       10.2   5.86E+01   1.27E+01                      F0812  3   46 
       563.       15.4   4.56E+01   9.85E+00                      F0812  3   47 
       563.       20.5   4.10E+01   9.82E+00                      F0812  3   48 
       563.       23.2   3.93E+01   8.49E+00                      F0812  3   49 
       563.       30.1   2.95E+01   5.91E+00                      F0812  3   50 
       563.       35.8   4.12E+01   9.54E+00                      F0812  3   51 
       563.       40.2   2.15E+01   4.65E+00                      F0812  3   52 
ENDDATA             26          0                                 F0812  3   53 
ENDSUBENT           52          0                                 F0812  399999 
SUBENT        F0812004   20220427                             F090F0812  4    1 
BIB                  7         12                                 F0812  4    2 
REACTION   (73-TA-181(P,D)73-TA-180,PAR,DA)                       F0812  4    3 
FACILITY   (VDGT,2FR STR)                                         F0812  4    4 
DETECTOR   (PS) Four solid state position sensitive detectors     F0812  4    5 
           of 50 mm length each. The energy calibration of the    F0812  4    6 
           focal plane was achieved through the 13C(p,d)12C       F0812  4    7 
           reaction. The estimated error on the excitation energy F0812  4    8 
           is of the order of 5 keV.                              F0812  4    9 
SAMPLE     The natural tantalum target, 193 mu-g/cm2 thick, was   F0812  4   10 
           obtained by evaporation on a 20 mu-g/cm2 carbon backingF0812  4   11 
ERR-ANALYS No information on errors is given.                     F0812  4   12 
STATUS     (TABLE) Tbl.IV, p.105 from Phys.Rev.,C27(1983)98       F0812  4   13 
HISTORY    (20220427U) SD: STATUS updated.                        F0812  4   14 
ENDBIB              12          0                                 F0812  4   15 
COMMON               1          3                                 F0812  4   16 
EN                                                                F0812  4   17 
MEV                                                               F0812  4   18 
 19.                                                              F0812  4   19 
ENDCOMMON            3          0                                 F0812  4   20 
DATA                 3         48                                 F0812  4   21 
E-LVL      ANG        DATA                                        F0812  4   22 
KEV        ADEG       MU-B/SR                                     F0812  4   23 
 0.0           30.          1.9                                   F0812  4   24 
 0.0           50.          4.5                                   F0812  4   25 
 0.0           65.          2.1                                   F0812  4   26 
 41.           15.          2.1                                   F0812  4   27 
 41.           50.          5.0                                   F0812  4   28 
 41.           65.          2.1                                   F0812  4   29 
 105.         15.           5.1                                   F0812  4   30 
 105.         45.           6.3                                   F0812  4   31 
 105.         65.           7.0                                   F0812  4   32 
 173.         15.           14.                                   F0812  4   33 
 173.         45.           34.                                   F0812  4   34 
 173.         65.           43.                                   F0812  4   35 
 303.         15.           6.                                    F0812  4   36 
 303.         45.           8.                                    F0812  4   37 
 303.         65.           16.                                   F0812  4   38 
 366.         15.           9.                                    F0812  4   39 
 366.         45.           11.                                   F0812  4   40 
 366.         65.           24.                                   F0812  4   41 
 414.         15.           21.                                   F0812  4   42 
 414.         45.           42.                                   F0812  4   43 
 414.         65.           32.                                   F0812  4   44 
 476.         15.           37.                                   F0812  4   45 
 476.         45.           73.                                   F0812  4   46 
 476.         65.           64.                                   F0812  4   47 
 540.         15.           90.                                   F0812  4   48 
 540.         45.          115.                                   F0812  4   49 
 540.         65.           80.                                   F0812  4   50 
 573.         15.          115.                                   F0812  4   51 
 573.         45.          174.                                   F0812  4   52 
 573.         65.          152.                                   F0812  4   53 
 659.         15.          147.                                   F0812  4   54 
 659.         45.          190.                                   F0812  4   55 
 659.         65.          130.                                   F0812  4   56 
 723.         15.          515.                                   F0812  4   57 
 723.         45.          430.                                   F0812  4   58 
 723.         65.          290.                                   F0812  4   59 
 759.         20.           61.                                   F0812  4   60 
 759.         50.          135.                                   F0812  4   61 
 759.         65.          120.                                   F0812  4   62 
 785.         20.          405.                                   F0812  4   63 
 785.         50.          320.                                   F0812  4   64 
 785.         65.          253.                                   F0812  4   65 
 837.         15.           68.                                   F0812  4   66 
 837.         45.           67.                                   F0812  4   67 
 837.         65.           48.                                   F0812  4   68 
 914.         15.           96.                                   F0812  4   69 
 914.         45.          103.                                   F0812  4   70 
 914.         65.           85.                                   F0812  4   71 
ENDDATA             50          0                                 F0812  4   72 
ENDSUBENT           71          0                                 F0812  499999 
SUBENT        F0812005   20220427                             F090F0812  5    1 
BIB                  7         15                                 F0812  5    2 
REACTION   (72-HF-179(A,T)73-TA-180,PAR,DA)                       F0812  5    3 
FACILITY   (CYCLO,2FR GRE)                                        F0812  5    4 
DETECTOR   (MWPC) The focal plane detector was a 50 cm long       F0812  5    5 
           multiwire proportional ionization chamber with spatial F0812  5    6 
           resolution of 0.4 mm. The energy calibration of the    F0812  5    7 
           spectrograph was obtained through the Zr(a,t)Nb        F0812  5    8 
           reaction.                                              F0812  5    9 
SAMPLE     The 179Hf targets were obtained by evaporation of      F0812  5   10 
           hafnium oxide enriched to 87% with a main contaminationF0812  5   11 
           of 8.55% 180Hf on 20 mu-g/cm2 carbon backing. Targets  F0812  5   12 
           of 211 and 148 mu-g/cm2 were used.                     F0812  5   13 
ERR-ANALYS No information on errors is given.                     F0812  5   14 
STATUS     (TABLE) Tbl.VII, p.108 from Phys.Rev.,C27(1983)98      F0812  5   15 
HISTORY    (20220427A) SD: Several values were added from         F0812  5   16 
           Subent 006 according to the REACTION code.             F0812  5   17 
ENDBIB              15          0                                 F0812  5   18 
COMMON               2          3                                 F0812  5   19 
EN         EN-RSL                                                 F0812  5   20 
MEV        KEV                                                    F0812  5   21 
 62.2       25.                                                   F0812  5   22 
ENDCOMMON            3          0                                 F0812  5   23 
DATA                 3         21                                 F0812  5   24 
E-LVL      ANG        DATA                                        F0812  5   25 
KEV        ADEG       MU-B/SR                                     F0812  5   26 
        0.0        10.        70.                                 F0812  5   27 
        40.        10.        81.                                 F0812  5   28 
        40.        15.        18.                                 F0812  5   29 
        82.        10.       187.                                 F0812  5   30 
        82.        15.       101.                                 F0812  5   31 
       134.        10.        55.                                 F0812  5   32 
       134.        15.        26.                                 F0812  5   33 
       181.        10.       296.                                 F0812  5   34 
       181.        15.       135.                                 F0812  5   35 
       235.        10.       115.                                 F0812  5   36 
       235.        15.        57.                                 F0812  5   37 
       285.        10.       274.                                 F0812  5   38 
       285.        15.       145.                                 F0812  5   39 
       320.        10.       156.                                 F0812  5   40 
       320.        15.        71.                                 F0812  5   41 
       361.        10.       215.                                 F0812  5   42 
       361.        15.       137.                                 F0812  5   43 
       426.        10.        84.                                 F0812  5   44 
       426.        15.        41.                                 F0812  5   45 
       563.        10.       260.                                 F0812  5   46 
       563.        15.       175.                                 F0812  5   47 
ENDDATA             23          0                                 F0812  5   48 
ENDSUBENT           47          0                                 F0812  599999 
SUBENT        F0812006   20220427                             F090F0812  6    1 
BIB                  7         15                                 F0812  6    2 
