ENTRY            10104   20000202                             00001010400000001 
SUBENT        10104001   20000202                             00001010400100001 
BIB                 13         30                                 1010400100002 
INSTITUTE  (1USAORL)                                              1010400100003 
REFERENCE  (R,ORNL-4518,197008)                                   1010400100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1010400100005 
TITLE      Neutron elastic- and inelastic- scattering cross       1010400100006 
            sections for Na in the range of 5.4 to 8.5 MeV        1010400100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1010400100008 
            bunched.                                              1010400100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1010400100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1010400100011 
            40 to 170 keV.                                        1010400100012 
SAMPLE     Solid right circular cylinder 2.5 cm diameter,         1010400100013 
            2.54 cm high placed 10 to 30 cm from gas cell.        1010400100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1010400100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1010400100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1010400100017 
            4 to 6 meters employed.                               1010400100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1010400100019 
            relative to n-p cross section.                        1010400100020 
CORRECTION  Corrected for multiple scattering and other finite    1010400100021 
            sample size effects.                                  1010400100022 
STATUS     (APRVD) Approved by authors.                           1010400100023 
           Data rec'd in private comm., Kinney, July 1972.        1010400100024 
HISTORY    (19720712R)                                            1010400100025 
           (19750407A) ISO-QUANT CORRECTED FOR SUBENTRIES 53-67.  1010400100026 
           (19760206U) SECONDARY REFERENCE CORRECTED              1010400100027 
           (19820511A) CONVERTED TO REACTION FORMALISM            1010400100028 
           (19820511A) CONVERTED TO REACTION FORMALISM.           1010400100029 
           (19840418A) BIB CORRECTIONS.                           1010400100030 
           (20000202A) Converted to new date format, lower case.  1010400100031 
                       BIB corrections.                           1010400100032 
ENDBIB              30          0                                 1010400100033 
NOCOMMON             0          0                                 1010400100034 
ENDSUBENT           33          0                                 1010400199999 
SUBENT        10104002   20000202                             00001010400200001 
BIB                  3         11                                 1010400200002 
REACTION   (11-NA-23(N,EL)11-NA-23,,DA)                           1010400200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400200004 
            . geometric parameters,                               1010400200005 
            . finite size corrections,                            1010400200006 
            . statistics,                                         1010400200007 
            . residual background effects due to peak stripping   1010400200008 
              procedures.                                         1010400200009 
            Does not include absolute error of + or - 7%,         1010400200010 
             estimated error in the absolute value of the         1010400200011 
             detector efficiency.                                 1010400200012 
HISTORY    (19820511A) SUBENTRIES 2,9,21,37 COMBINED.             1010400200013 
ENDBIB              11          0                                 1010400200014 
NOCOMMON             0          0                                 1010400200015 
DATA                 6         94                                 1010400200016 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010400200017 
  7.60     0.10         33.33        173.49     6.1        6.1    1010400200070 
  7.60     0.10         34.37        168.14     6.1        6.1    1010400200071 
  7.60     0.10         39.03         80.89     6.2        6.2    1010400200072 
  7.60     0.10         44.71         65.09     6.2        6.2    1010400200073 
  7.60     0.10         48.83         35.95     4.3        7.3    1010400200074 
  7.60     0.10         54.49         20.72     5.2        7.6    1010400200075 
  7.60     0.10         60.13         22.14     4.5       11.3    1010400200076 
  7.60     0.10         64.22         20.68     5.6        8.2    1010400200077 
  7.60     0.10         69.82         23.06     4.4       10.3    1010400200078 
  7.60     0.10         75.40         31.71     5.9        7.3    1010400200079 
  7.60     0.10         79.45         25.66     4.9        7.6    1010400200080 
  7.60     0.10         84.49         34.14     4.3        3.8    1010400200081 
  7.60     0.10         84.98         25.07     5.7        5.2    1010400200082 
  7.60     0.10         90.01         29.10     4.4        7.7    1010400200083 
  7.60     0.10         90.51         38.71     4.5        7.9    1010400200084 
  7.60     0.10         95.51         34.09     4.8        7.9    1010400200085 
  7.60     0.10         97.50         27.51     5.4        6.9    1010400200086 
  7.60     0.10        102.97         20.24     4.1        6.0    1010400200087 
  7.60     0.10        108.42         18.60     7.0        4.1    1010400200088 
  7.60     0.10        121.67          9.27     7.8        9.2    1010400200089 
  7.60     0.10        128.99         10.41     7.6        8.3    1010400200090 
  7.60     0.10        136.28         14.12     7.1        6.7    1010400200091 
  8.52     0.08         15.65        536.33     4.9        5.2    1010400200092 
  8.52     0.08         23.46        337.09     5.4        6.3    1010400200093 
  8.52     0.08         23.98        276.85     6.1        6.1    1010400200094 
  8.52     0.08         29.17        184.89     6.1        6.1    1010400200095 
  8.52     0.08         34.37        111.67     6.1        6.1    1010400200096 
  8.52     0.08         39.54         76.71     6.1        6.1    1010400200097 
  8.52     0.08         43.68         53.58     6.1        6.1    1010400200098 
  8.52     0.08         49.35         26.63     6.2        6.2    1010400200099 
  8.52     0.08         54.99         15.54     6.3        6.3    1010400200100 
  8.52     0.08         59.09         13.02     8.2       10.4    1010400200101 
  8.52     0.08         64.71         13.89     7.7        9.9    1010400200102 
  8.52     0.08         70.32         19.16     7.2       15.3    1010400200103 
  8.52     0.08         74.38         25.05     8.1        5.6    1010400200104 
  8.52     0.08         79.94         27.54     5.3        9.5    1010400200105 
  8.52     0.08         85.48         29.30     7.2        7.9    1010400200106 
  8.52     0.08         89.50         27.87     9.9        5.6    1010400200107 
  8.52     0.08         95.00         25.18     9.5        6.9    1010400200108 
  8.52     0.08        100.48         21.37     7.4        9.6    1010400200109 
  8.52     0.08        121.67          7.97     7.5        7.1    1010400200110 
  8.52     0.08        128.99          8.98     7.2        8.3    1010400200111 
  8.52     0.08        136.28         12.07     7.2        6.6    1010400200112 
ENDDATA             96          0                                 1010400200113 
ENDSUBENT          112          0                                 1010400299999 
SUBENT        10104003   20000202                             00001010400300001 
BIB                  2         10                                 1010400300002 
REACTION   (11-NA-23(N,EL)11-NA-23,,DA,,LEG/2L2)                  1010400300003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400300004 
            . geometric parameters,                               1010400300005 
            . finite size corrections,                            1010400300006 
            . statistics,                                         1010400300007 
            . residual background effects due to peak stripping   1010400300008 
              procedures.                                         1010400300009 
            Does not include absolute error of + or - 7%,         1010400300010 
             estimated error in the absolute value of the         1010400300011 
             detector efficiency.                                 1010400300012 
ENDBIB              10          0                                 1010400300013 
NOCOMMON             0          0                                 1010400300014 
DATA                 5         35                                 1010400300015 
EN         EN-RSL     NUMBER     DATA       DATA-ERR              1010400300016 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1010400300017 
  5.44     0.17        0.          154.41833    1.7               1010400300018 
  5.44     0.17        1.           79.24251    2.9               1010400300019 
  5.44     0.17        2.           54.22574    3.5               1010400300020 
  5.44     0.17        3.           33.08910    4.7               1010400300021 
  5.44     0.17        4.           18.01288    6.0               1010400300022 
  5.44     0.17        5.            7.20092   10.8               1010400300023 
  5.44     0.17        6.            0.61640   84.2               1010400300024 
  6.37     0.13        0.          135.26485    1.4               1010400300025 
  6.37     0.13        1.           73.73717    2.2               1010400300026 
  6.37     0.13        2.           53.49300    2.7               1010400300027 
  6.37     0.13        3.           39.62859    2.9               1010400300028 
  6.37     0.13        4.           23.76868    3.8               1010400300029 
  6.37     0.13        5.            9.46268    7.3               1010400300030 
  6.37     0.13        6.            3.46520   14.7               1010400300031 
  6.37     0.13        7.            1.40926   22.3               1010400300032 
  7.60     0.10        0.          113.71599    1.5               1010400300033 
  7.60     0.10        1.           70.16930    2.2               1010400300034 
  7.60     0.10        2.           52.60251    2.6               1010400300035 
  7.60     0.10        3.           39.96288    2.8               1010400300036 
  7.60     0.10        4.           29.57799    3.0               1010400300037 
  7.60     0.10        5.           16.36870    4.3               1010400300038 
  7.60     0.10        6.            6.46512    7.9               1010400300039 
  7.60     0.10        7.            3.39931   10.6               1010400300040 
  7.60     0.10        8.            1.17353   19.5               1010400300041 
  8.52     0.08        0.           97.22202    1.9               1010400300042 
  8.52     0.08        1.           60.44530    2.6               1010400300043 
  8.52     0.08        2.           45.42107    3.2               1010400300044 
  8.52     0.08        3.           36.24222    3.5               1010400300045 
  8.52     0.08        4.           27.74579    3.8               1010400300046 
  8.52     0.08        5.           16.36591    5.6               1010400300047 
  8.52     0.08        6.            7.42661    9.9               1010400300048 
  8.52     0.08        7.            4.46945   13.0               1010400300049 
  8.52     0.08        8.            2.83706   14.9               1010400300050 
  8.52     0.08        9.            1.34781   23.7               1010400300051 
  8.52     0.08       10.            0.87184   25.4               1010400300052 
ENDDATA             37          0                                 1010400300053 
ENDSUBENT           52          0                                 1010400399999 
SUBENT        10104004   20000202                             00001010400400001 
BIB                  3         11                                 1010400400002 
REACTION   (11-NA-23(N,INL)11-NA-23,PAR,DA)                       1010400400003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400400004 
            . geometric parameters,                               1010400400005 
            . finite size corrections,                            1010400400006 
            . statistics,                                         1010400400007 
            . residual background effects due to peak stripping   1010400400008 
              procedures.                                         1010400400009 
            Does not include absolute error of + or - 7%,         1010400400010 
             estimated error in the absolute value of the         1010400400011 
             detector efficiency.                                 1010400400012 
HISTORY    (19820511A) SUBENTRIES 4,10,22,38 COMBINED.            1010400400013 
ENDBIB              11          0                                 1010400400014 
COMMON               1          3                                 1010400400015 
E-LVL                                                             1010400400016 
MEV                                                               1010400400017 
 0.440                                                            1010400400018 
ENDCOMMON            3          0                                 1010400400019 
DATA                 6         56                                 1010400400020 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010400400021 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1010400400022 
  5.44     0.17         49.42         19.48     7.3       10.2    1010400400023 
  5.44     0.17         74.47         18.74    19.7       10.0    1010400400024 
  5.44     0.17         80.04         20.14    16.3       11.1    1010400400025 
  5.44     0.17         85.58         19.54    14.3       10.7    1010400400026 
  5.44     0.17         90.61         23.45    14.7        7.9    1010400400027 
  5.44     0.17        101.59         24.77    11.8       10.6    1010400400028 
  5.44     0.17        104.55         21.25     6.9        6.3    1010400400029 
  5.44     0.17        109.99         19.98     5.4        9.9    1010400400030 
  5.44     0.17        115.41         20.73     6.5        7.3    1010400400031 
  6.37     0.13         54.56         12.50    11.2        8.1    1010400400032 
  6.37     0.13         60.19         15.73     6.4       15.8    1010400400033 
  6.37     0.13         64.29         13.90     9.6       11.1    1010400400034 
  6.37     0.13         69.89         15.20     7.3        9.0    1010400400035 
  6.37     0.13         75.48         16.15     9.2       14.3    1010400400036 
  6.37     0.13         79.53         13.35     9.5        9.4    1010400400037 
  6.37     0.13         85.07         16.20     9.2        7.2    1010400400038 
  6.37     0.13         90.60         16.74    10.7        8.4    1010400400039 
  6.37     0.13         94.60         17.91     7.0       10.1    1010400400040 
  6.37     0.13        100.08         19.14     5.9       15.0    1010400400041 
  6.37     0.13        104.54         18.30     8.6        8.0    1010400400042 
  6.37     0.13        105.53         21.03     7.5        9.8    1010400400043 
  6.37     0.13        109.98         20.21     5.7       14.1    1010400400044 
  6.37     0.13        115.40         24.51     9.1        8.1    1010400400045 
  6.37     0.13        121.76         21.63     5.1        6.0    1010400400046 
  6.37     0.13        129.07         19.18     6.0        5.7    1010400400047 
  6.37     0.13        136.35         18.12     6.2        6.8    1010400400048 
  7.60     0.10         48.88          8.29     9.2       13.3    1010400400049 
  7.60     0.10         54.55          7.90    13.5       12.7    1010400400050 
  7.60     0.10         60.18          7.67    15.2       11.4    1010400400051 
  7.60     0.10         64.27          7.55     9.9        7.2    1010400400052 
  7.60     0.10         69.88          6.82    11.3       10.8    1010400400053 
  7.60     0.10         75.46          7.39     9.5       11.8    1010400400054 
  7.60     0.10         79.51          9.03     7.4       17.3    1010400400055 
  7.60     0.10         84.55          8.09    11.8       14.9    1010400400056 
  7.60     0.10         85.05          7.77     5.3       18.2    1010400400057 
  7.60     0.10         90.08          7.10     6.4       15.8    1010400400058 
  7.60     0.10         90.58          8.07     8.9       15.0    1010400400059 
  7.60     0.10         95.57          9.41    10.4       24.5    1010400400060 
  7.60     0.10         97.57          7.32    12.4       13.5    1010400400061 
  7.60     0.10        103.04          7.45    13.1       10.9    1010400400062 
  7.60     0.10        108.48         10.58    12.1       11.0    1010400400063 
  7.60     0.10        121.74         13.85     6.4        6.5    1010400400064 
  7.60     0.10        129.05         13.32     6.5        7.0    1010400400065 
  7.60     0.10        136.34         11.91     7.1        6.5    1010400400066 
  8.52     0.08         59.15         10.83    11.7       13.4    1010400400067 
  8.52     0.08         64.77         12.22    11.1       12.2    1010400400068 
  8.52     0.08         70.38         11.68    12.1       16.3    1010400400069 
  8.52     0.08         74.44         10.90    10.0       16.8    1010400400070 
  8.52     0.08         80.00          9.30    18.3       17.3    1010400400071 
  8.52     0.08         85.54         12.73    12.5       12.8    1010400400072 
  8.52     0.08         89.56         12.54     9.8       18.7    1010400400073 
  8.52     0.08         95.06         12.59     4.4        9.3    1010400400074 
  8.52     0.08        100.54         12.30    14.5        8.0    1010400400075 
  8.52     0.08        121.73         11.68     6.5        6.9    1010400400076 
  8.52     0.08        129.05         12.21     6.1        7.5    1010400400077 
  8.52     0.08        136.33         11.20     7.4        7.9    1010400400078 
ENDDATA             58          0                                 1010400400079 
ENDSUBENT           78          0                                 1010400499999 
SUBENT        10104005   20000202                             00001010400500001 
BIB                  2         10                                 1010400500002 
REACTION   (11-NA-23(N,INL)11-NA-23,,DA,,LEG/2L2)                 1010400500003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400500004 
            . geometric parameters,                               1010400500005 
            . finite size corrections,                            1010400500006 
            . statistics,                                         1010400500007 
            . residual background effects due to peak stripping   1010400500008 
              procedures.                                         1010400500009 
            Does not include absolute error of + or - 7%,         1010400500010 
             estimated error in the absolute value of the         1010400500011 
             detector efficiency.                                 1010400500012 
ENDBIB              10          0                                 1010400500013 
NOCOMMON             0          0                                 1010400500014 
DATA                 5          9                                 1010400500015 
EN         EN-RSL     NUMBER     DATA       DATA-ERR              1010400500016 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1010400500017 
  5.44     0.17        0.           41.37560    2.7               1010400500018 
  6.37     0.13        0.           32.07390    2.6               1010400500019 
  6.37     0.13        1.           -4.25871   14.2               1010400500020 
  6.37     0.13        2.           -1.26054   35.1               1010400500021 
  7.60     0.10        0.           20.05170    3.3               1010400500022 
  7.60     0.10        1.           -1.36402   35.0               1010400500023 
  7.60     0.10        2.            1.68446   21.4               1010400500024 
  7.60     0.10        3.            0.60076   42.1               1010400500025 
  8.52     0.08        0.           23.54276    2.5               1010400500026 
ENDDATA             11          0                                 1010400500027 
ENDSUBENT           26          0                                 1010400599999 
SUBENT        10104006   20000202                             00001010400600001 
BIB                  3         11                                 1010400600002 
REACTION   (11-NA-23(N,INL)11-NA-23,PAR,DA)                       1010400600003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400600004 
            . geometric parameters,                               1010400600005 
            . finite size corrections,                            1010400600006 
            . statistics,                                         1010400600007 
            . residual background effects due to peak stripping   1010400600008 
              procedures.                                         1010400600009 
            Does not include absolute error of + or - 7%,         1010400600010 
             estimated error in the absolute value of the         1010400600011 
             detector efficiency.                                 1010400600012 
HISTORY    (19820511A) SUBENTRIES 6,11,23,39 COMBINED.            1010400600013 
ENDBIB              11          0                                 1010400600014 
COMMON               1          3                                 1010400600015 
E-LVL                                                             1010400600016 
MEV                                                               1010400600017 
 2.080                                                            1010400600018 
ENDCOMMON            3          0                                 1010400600019 
DATA                 6         62                                 1010400600020 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010400600021 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1010400600022 
  5.44     0.17         55.56         11.47     7.3        9.9    1010400600023 
  5.44     0.17         65.34         11.29     8.2       10.2    1010400600024 
  5.44     0.17         70.98         11.27     7.2       11.7    1010400600025 
  5.44     0.17         75.05         11.89     8.1        7.9    1010400600026 
  5.44     0.17         80.63         11.97     7.6        9.2    1010400600027 
  5.44     0.17         86.19         12.89     7.2        8.4    1010400600028 
  5.44     0.17         91.23         12.26     8.1       13.3    1010400600029 
  5.44     0.17        102.19         12.73    10.8        8.1    1010400600030 
  5.44     0.17        105.15         12.28     6.3        8.4    1010400600031 
  5.44     0.17        110.56         11.38     7.5        6.5    1010400600032 
  5.44     0.17        115.96         12.90     5.8        7.9    1010400600033 
  6.37     0.13         49.25         10.76     8.6        7.2    1010400600034 
  6.37     0.13         54.93         10.41     7.9        9.1    1010400600035 
  6.37     0.13         60.60         12.55     7.6        8.8    1010400600036 
  6.37     0.13         64.71         11.03     7.2        7.5    1010400600037 
  6.37     0.13         70.34         12.90     7.4        6.5    1010400600038 
  6.37     0.13         75.93         12.54     6.9        6.5    1010400600039 
  6.37     0.13         79.99         10.54     8.7        7.3    1010400600040 
  6.37     0.13         85.54         11.92     6.2        6.6    1010400600041 
  6.37     0.13         91.07         13.26     5.6        7.5    1010400600042 
  6.37     0.13         95.08         13.07     6.9        8.3    1010400600043 
  6.37     0.13        100.54         12.21     8.5        7.0    1010400600044 
  6.37     0.13        105.01         14.16     8.6        6.9    1010400600045 
  6.37     0.13        105.99         13.03     6.4        7.4    1010400600046 
  6.37     0.13        110.42         13.86     6.6        6.6    1010400600047 
  6.37     0.13        115.83         13.24     7.2        8.3    1010400600048 
  6.37     0.13        122.17         11.04     6.2        6.6    1010400600049 
  6.37     0.13        129.45         10.72     7.2        7.0    1010400600050 
  6.37     0.13        136.69         10.34     8.1        7.6    1010400600051 
  7.60     0.10         49.16          6.77     6.9        4.8    1010400600052 
  7.60     0.10         54.84          6.79     7.7        6.3    1010400600053 
  7.60     0.10         60.50          8.24     7.7        6.1    1010400600054 
  7.60     0.10         64.61          7.40     5.5        6.0    1010400600055 
  7.60     0.10         70.22          7.15     7.3        5.1    1010400600056 
  7.60     0.10         75.82          7.67     7.6        6.6    1010400600057 
  7.60     0.10         79.87          7.19     5.4        6.0    1010400600058 
  7.60     0.10         84.92          6.83     8.4        7.9    1010400600059 
  7.60     0.10         85.42          6.55     6.9        7.1    1010400600060 
  7.60     0.10         90.45          6.84     6.5        7.4    1010400600061 
  7.60     0.10         90.94          7.61    10.0        7.6    1010400600062 
  7.60     0.10         95.95          7.86     7.2        8.2    1010400600063 
  7.60     0.10         97.94          6.99     5.4        8.2    1010400600064 
  7.60     0.10        103.40          7.22     8.8        6.7    1010400600065 
  7.60     0.10        108.84          8.74    10.5       11.0    1010400600066 
  7.60     0.10        122.07         10.20     6.8       13.0    1010400600067 
  7.60     0.10        129.36          9.38     6.9        8.8    1010400600068 
  7.60     0.10        136.61          9.01     6.5        8.6    1010400600069 
  8.52     0.08         43.93          7.05     9.6       13.6    1010400600070 
  8.52     0.08         49.62          6.76    12.6       14.2    1010400600071 
  8.52     0.08         55.28          5.74    12.3       19.7    1010400600072 
  8.52     0.08         59.42          5.76     9.3        8.9    1010400600073 
  8.52     0.08         65.05          4.44    14.7       12.0    1010400600074 
  8.52     0.08         70.67          5.00    12.0       13.8    1010400600075 
  8.52     0.08         74.74          4.93    11.9       14.6    1010400600076 
  8.52     0.08         80.31          5.42     8.5       13.4    1010400600077 
  8.52     0.08         85.86          4.99    12.2       14.2    1010400600078 
  8.52     0.08         89.88          4.79     8.3       13.1    1010400600079 
  8.52     0.08         95.38          4.94     7.7       12.2    1010400600080 
  8.52     0.08        100.86          5.59     6.3       10.4    1010400600081 
  8.52     0.08        122.01          5.54     9.9        7.7    1010400600082 
  8.52     0.08        129.30          5.54    12.2        7.9    1010400600083 
  8.52     0.08        136.55          4.95     9.1        8.5    1010400600084 
ENDDATA             64          0                                 1010400600085 
ENDSUBENT           84          0                                 1010400699999 
SUBENT        10104007   20000202                             00001010400700001 
BIB                  3         11                                 1010400700002 
REACTION   (11-NA-23(N,INL)11-NA-23,PAR,DA)                       1010400700003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400700004 
            . geometric parameters,                               1010400700005 
            . finite size corrections,                            1010400700006 
            . statistics,                                         1010400700007 
            . residual background effects due to peak stripping   1010400700008 
              procedures.                                         1010400700009 
            Does not include absolute error of + or - 7%,         1010400700010 
             estimated error in the absolute value of the         1010400700011 
             detector efficiency.                                 1010400700012 
HISTORY    (19820511A) SUBENTRIES 7,13,25 COMBINED.               1010400700013 
ENDBIB              11          0                                 1010400700014 
COMMON               2          3                                 1010400700015 
E-LVL-MIN  E-LVL-MAX                                              1010400700016 
MEV        MEV                                                    1010400700017 
  2.390      2.980                                                1010400700018 
ENDCOMMON            3          0                                 1010400700019 
DATA                 6         46                                 1010400700020 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010400700021 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1010400700022 
  5.44     0.17         65.73         18.55     7.0       13.4    1010400700023 
  5.44     0.17         71.40         19.21     6.9       11.8    1010400700024 
  5.44     0.17         75.49         21.12     6.4       13.2    1010400700025 
  5.44     0.17         81.07         19.35     7.4       10.2    1010400700026 
  5.44     0.17         86.63         19.23     6.9       11.9    1010400700027 
  5.44     0.17         91.68         17.33     7.7       14.1    1010400700028 
  5.44     0.17        102.63         19.53     7.5        9.4    1010400700029 
  5.44     0.17        105.59         19.38     6.2       13.7    1010400700030 
  5.44     0.17        110.97         19.29     6.3        9.9    1010400700031 
  5.44     0.17        116.35         18.73     6.3       10.6    1010400700032 
  6.37     0.13         39.54         27.49     8.9        9.7    1010400700033 
