ENTRY            13640   19970318                             00001364000000001 
SUBENT        13640001   19970318                             00001364000100001 
BIB                 13         17                                 1364000100002 
INSTITUTE  (1USAORL,1USADKE,1USANCA,1USATNL,1USALAS)              1364000100003 
REFERENCE  (J,PR/C,54,2051,9610)                                  1364000100004 
AUTHOR     (P.R.HUFFMAN,C.M.FRANKLE,C.R.GOULD,D.G.HAASE,          1364000100005 
           J.A.HARVEY,N.R.ROBERSON,L.W.WESTON)                    1364000100006 
TITLE      Neutron resonances in 166Ho                            1364000100007 
FACILITY   (LINAC) ORELA                                          1364000100008 
INC-SOURCE (PHOTO) Electrons on water-cooled tantalum target.     1364000100009 
SAMPLE     Solid metal sample, thickness 0.10 atoms/b.            1364000100010 
           Impurity of 0.03% 181Ta.                               1364000100011 
DETECTOR   (GLASD) 6Li-loaded glass scintillator viewed edge-on   1364000100012 
            by a pair of photomultiplier tubes operating in       1364000100013 
            coincidence.                                          1364000100014 
MONITOR    Beam intensity monitored by 235U fission chamber.      1364000100015 
METHOD     (TOF) 79.710-m flight path.                            1364000100016 
CORRECTION Corrected for background and dead-time losses.         1364000100017 
STATUS     No reply from P.R.Huffman to author proof.             1364000100018 
HISTORY    (961226C)                                              1364000100019 
ENDBIB              17          0                                 1364000100020 
NOCOMMON             0          0                                 1364000100021 
ENDSUBENT           20          0                                 1364000199999 
SUBENT        13640002   19970127                             00001364000200001 
BIB                  3          3                                 1364000200002 
REACTION   (67-HO-165(N,TOT),,SIG)                                1364000200003 
ERR-ANALYS No information                                         1364000200004 
STATUS     (UNOBT) Data requested from J.A. Harvey.               1364000200005 
ENDBIB               3          0                                 1364000200006 
NOCOMMON             0          0                                 1364000200007 
NODATA               0          0                                 1364000200008 
ENDSUBENT            7          0                                 1364000299999 
SUBENT        13640003   19970127                             00001364000300001 
BIB                  5         15                                 1364000300002 
REACTION  1(67-HO-165(N,0),,EN)                                   1364000300003 
          2(67-HO-165(N,EL),,WID,,2G)                             1364000300004 
ANALYSIS   (MLA) Analyzed with program SAMMY which uses a Reich-  1364000300005 
            Moore approximation of the R-matrix formalism.        1364000300006 
           Where parameters are not given for a resonance,        1364000300007 
            parameters are taken from the Mughabghab evaluation,  1364000300008 
            (see COMMENT for reference).                          1364000300009 
ERR-ANALYS (DATA-ERR) Statistical and systematic uncertainties    1364000300010 
            summed in quadrature.                                 1364000300011 
COMMENT    Authors report that the 10.32-eV resonance reported in 1364000300012 
            Mughabghab, Neutron Cross Sections, Vol. 1 (1984)     1364000300013 
            belongs to 181Ta.                                     1364000300014 
STATUS     Data taken from article.                               1364000300015 
           (COREL,10531002) Capture data used to confirm          1364000300016 
            assignment of resonances to 166Ho.                    1364000300017 
ENDBIB              15          0                                 1364000300018 
NOCOMMON             0          0                                 1364000300019 
DATA                 4        109                                 1364000300020 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2                      1364000300021 
EV         EV         MILLI-EV   MILLI-EV                         1364000300022 
297.09       0.07      21.         2.                             1364000300086 
300.02       0.07     112.         9.                             1364000300087 
306.60       0.07       5.5        0.4                            1364000300088 
312.99       0.07      17.         1.                             1364000300089 
320.42       0.07      15.8        0.9                            1364000300090 
323.91       0.07      66.         3.                             1364000300091 
327.63       0.07       4.0        0.2                            1364000300092 
329.12       0.07       2.2        0.2                            1364000300093 
331.65       0.07                                                 1364000300094 
332.57       0.08                                                 1364000300095 
339.47       0.08     219.        20.                             1364000300096 
341.95       0.08       6.6        0.7                            1364000300097 
350.17       0.08                                                 1364000300098 
351.90       0.08                                                 1364000300099 
351.96       0.08                                                 1364000300100 
354.12       0.08                                                 1364000300101 
358.90       0.08       6.3        0.5                            1364000300102 
366.62       0.08      34.         2.                             1364000300103 
371.21       0.08       0.75       0.05                           1364000300104 
374.80       0.08      87.         7.                             1364000300105 
379.66       0.08       1.81       0.09                           1364000300106 
384.60       0.09     127.         9.                             1364000300107 
386.35       0.09       5.2        0.4                            1364000300108 
388.87       0.09       0.32       0.05                           1364000300109 
401.25       0.09      10.5        0.5                            1364000300110 
405.26       0.09     195.         8.                             1364000300111 
413.56       0.09       5.6        0.1                            1364000300112 
414.95       0.09      27.         1.                             1364000300113 
416.51       0.09      63.         3.                             1364000300114 
422.64       0.09      29.         1.                             1364000300115 
430.46       0.09     205.        10.                             1364000300116 
433.64       0.09      13.3        0.6                            1364000300117 
436.41       0.09      51.0        2.0                            1364000300118 
438.33       0.09      31.0        1.0                            1364000300119 
443.10       0.09      37.4        2.0                            1364000300120 
445.83       0.09       2.6        0.1                            1364000300121 
450.9        0.1      105.0        5.0                            1364000300122 
454.7        0.1       14.9        0.7                            1364000300123 
461.3        0.1        8.4        0.7                            1364000300124 
464.9        0.1        1.05       0.2                            1364000300125 
467.6        0.1        0.62       0.2                            1364000300126 
475.2        0.1        5.1        0.5                            1364000300127 
479.6        0.1        0.88       0.09                           1364000300128 
485.4        0.1       12.0        0.3                            1364000300129 
487.7        0.1       24.         1.                             1364000300130 
495.1        0.1      116.         8.                             1364000300131 
ENDDATA            111          0                                 1364000300132 
ENDSUBENT          131          0                                 1364000399999 
ENDENTRY             3          0                                 1364099999999 
