ENTRY            14833   20240822                             15141483300000001 
SUBENT        14833001   20240822                             15141483300100001 
BIB                 15         44                                 1483300100002 
TITLE      Differential cross sections of the 16O(n,alpha)        1483300100003 
           reaction at neutron energies from 3.8 to 15 MeV        1483300100004 
AUTHOR     (H.Y.Lee,S.A.Kuvin,L.Zavorka,S.Mosby,B.Digiovine,      1483300100005 
           G.Hale,M.Paris,D.Votaw,M.White)                        1483300100006 
REFERENCE  (J,PR/C,109,014601,2024)                               1483300100007 
           #doi:10.1103/PhysRevC.109.014601                       1483300100008 
EXP-YEAR   (2021) Hye Young Lee (2024-11-27):                     1483300100009 
           The 2021 LENZ data is reported as the final in the     1483300100010 
            2024 report. The earlier (2016-2017) data sets were   1483300100011 
            used to validate our analyses and characterize        1483300100012 
            backgrounds, therefore we do not consider as our      1483300100013 
            final cross sections.                                 1483300100014 
REL-REF    (A,,D.A.Brown+,J,NDS,148,1,2018) ENDF/B-VIII.1 library.1483300100015 
INSTITUTE  (1USALAS)                                              1483300100016 
FACILITY   (LINAC,1USALAS) The Weapons Neutron Research (WNR)     1483300100017 
           facility.                                              1483300100018 
DETECTOR   (SISD,FISCH) LENZ (Low Energy NZ) instrument, fission  1483300100019 
           counter.                                               1483300100020 
SAMPLE     Ta2O5: 400 nm thick on 125 microm Ta backing. Mylar,   1483300100021 
           C10H8O4: 1.6 microm thick. Ta2O5: 350 and 500 nm       1483300100022 
           thick on 3 microm Ta backing.                          1483300100023 
METHOD     (TOF) The 15R flight path has the neutron flight       1483300100024 
           length of 13.28 meters from WNR T4 and is angled at    1483300100025 
           15 degree to the proton-beam right direction. The      1483300100026 
           neutron flux at the flight path is continuously        1483300100027 
           monitored by measuring fission fragments in a fission  1483300100028 
           counter. The 16O(n,alpha) reaction measurements were   1483300100029 
           performed in the LANSCE run cycles in 2016, 2017, and  1483300100030 
           2021. Based on the availability of silicon strip       1483300100031 
           detectors and the optimization of solid angle          1483300100032 
           coverage, LENZ configurations were complementary to    1483300100033 
           cover a broad range of solid angles for alpha          1483300100034 
           particles. Based on the results in the 2016/2017 data, 1483300100035 
           the 2021 experimental configuration was optimized to   1483300100036 
           reduce neutron scattering background and angular       1483300100037 
           broadening with a goal of direct application for       1483300100038 
           R-matrix analyses.                                     1483300100039 
MONITOR    (92-U-238(N,F),,SIG)                                   1483300100040 
CORRECTION The relative timing corrections between the different  1483300100041 
           particles, multiple scattering corrections, and        1483300100042 
           background corrections.                                1483300100043 
EXP-YEAR   (2021)                                                 1483300100044 
STATUS     (APRVD) Approved by H.Y.Lee on August 22, 2024.        1483300100045 
HISTORY    (20240822C) BP                                         1483300100046 
ENDBIB              44          0                                 1483300100047 
NOCOMMON             0          0                                 1483300100048 
ENDSUBENT           47          0                                 1483300199999 
SUBENT        14833002   20240822                             15141483300200001 
BIB                  3         17                                 1483300200002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300200003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300200004 
           (ERR-SYS) Total systematic uncertainty.                1483300200005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300200006 
           (ERR-2) Energy resolution.                             1483300200007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300200008 
           (ERR-4) Target thickness.                              1483300200009 
           (ERR-5) Stoichiometry.                                 1483300200010 
           (ERR-6) 238U deposit nonuniformity                     1483300200011 
           (ERR-7) 238U(n,f) cross section.                       1483300200012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300200013 
           (ERR-9) Geometric effects.                             1483300200014 
           (ERR-10) PSD background analysis.                      1483300200015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300200016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300200017 
           Author's data, also shown in Fig. 12,                  1483300200018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300200019 
ENDBIB              17          0                                 1483300200020 
COMMON               9          6                                 1483300200021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300200022 
ERR-7      ERR-9      ERR-10                                      1483300200023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300200024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300200025 
     5.9574     0.1006      28.96       4.17       0.67        2.31483300200093 
     5.9975     0.1015      16.91       3.88       0.39        2.31483300200094 
     6.0381     0.1024      12.59       3.26       0.35       2.751483300200095 
     6.0791     0.1033      20.35       4.06       0.56       2.751483300200096 
     6.1205     0.1042      29.95       4.32       0.82       2.751483300200097 
     6.1623     0.1051      20.81       3.65       0.57       2.751483300200098 
     6.2046     0.1061       6.84       3.64       0.19       2.751483300200099 
     6.2473     0.1070       8.46       3.42       0.23       2.751483300200100 
     6.2904     0.1080       9.09       3.13       0.25       2.751483300200101 
     6.3340     0.1090      20.21       4.25       0.56       2.751483300200102 
     6.3780     0.1100      25.31       4.74       0.70       2.751483300200103 
     6.4226     0.1110      47.92       5.69       1.32       2.751483300200104 
     6.4675     0.1120      59.56       5.56       1.64       2.751483300200105 
     6.5130     0.1130      69.65       6.38       1.92       2.751483300200106 
     6.5589     0.1141      66.83       6.41       1.84       2.751483300200107 
     6.6053     0.1151      77.99       6.34       2.14       2.751483300200108 
     6.6523     0.1162      51.49       5.74       1.42       2.751483300200109 
     6.6997     0.1173      39.52       5.28       1.09       2.751483300200110 
     6.7476     0.1184      35.71       5.55       0.98       2.751483300200111 
     6.7961     0.1195      31.09       5.26       0.85       2.751483300200112 
     6.8450     0.1207      25.82       4.42       0.71       2.751483300200113 
     6.8945     0.1218      30.07       4.66       0.83       2.751483300200114 
     6.9446     0.1230      23.42       4.19       0.64       2.751483300200115 
     6.9952     0.1242      23.43       4.07       0.64       2.751483300200116 
     7.0463     0.1254      23.72       5.04       0.65       2.751483300200117 
     7.0981     0.1266      23.54       5.19       0.65       2.751483300200118 
     7.1503     0.1278      19.80       4.49       0.54       2.751483300200119 
     7.2032     0.1291      12.31       3.91       0.34       2.751483300200120 
     7.2567     0.1303      10.60       3.64       0.29       2.751483300200121 
     7.3107     0.1316       8.32       3.84       0.23       2.751483300200122 
     7.3654     0.1329      16.33       3.15       0.45       2.751483300200123 
     7.4207     0.1343       5.38       2.62       0.15       2.751483300200124 
     7.4766     0.1356      13.77       2.95       0.38       2.751483300200125 
     7.5332     0.1370      10.85       4.24       0.30       2.751483300200126 
     7.5904     0.1383       8.22       2.93       0.23       2.751483300200127 
     7.6482     0.1398      11.01       3.78       0.30       2.751483300200128 
     7.7068     0.1412      20.62       3.34       0.57       2.751483300200129 
     7.7660     0.1426      13.45       3.42       0.37       2.751483300200130 
     7.8258     0.1441      17.16       3.31       0.47       2.751483300200131 
     7.8864     0.1456      11.99       2.60       0.33       2.751483300200132 
     7.9477     0.1471      10.93       2.49       0.30       2.751483300200133 
     8.0097     0.1486       4.02       1.51       0.11       2.751483300200134 
     8.0725     0.1502      13.17       2.72       0.36       2.751483300200135 
     8.1360     0.1518      14.26       3.53       0.39       2.751483300200136 
     8.2002     0.1534      17.66       3.78       0.49       2.751483300200137 
     8.2652     0.1550      14.62       3.33       0.40       2.751483300200138 
     8.3310     0.1567      12.21       2.89       0.34       2.751483300200139 
     8.3976     0.1584       5.94       2.21       0.16       2.751483300200140 
     8.4649     0.1601      14.06       3.08       0.39       2.751483300200141 
     8.5331     0.1618       8.91       2.58       0.24       2.751483300200142 
     8.6022     0.1636      10.52       2.46       0.29       2.751483300200143 
     8.6721     0.1654       6.04       2.25       0.17       2.751483300200144 
     8.7428     0.1672       4.08       2.65       0.11       2.751483300200145 
     8.8144     0.1691       9.40       2.34       0.26       2.751483300200146 
     8.8869     0.1709      10.01       2.41       0.28       2.751483300200147 
     8.9603     0.1728      15.34       2.98       0.42       2.751483300200148 
     9.0346     0.1748      19.28       3.78       0.53       2.751483300200149 
     9.1098     0.1768      15.97       3.04       0.44       2.751483300200150 
ENDDATA            121          0                                 1483300200151 
ENDSUBENT          150          0                                 1483300299999 
SUBENT        14833003   20240822                             15141483300300001 
BIB                  3         17                                 1483300300002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300300003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300300004 
           (ERR-SYS) Total systematic uncertainty.                1483300300005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300300006 
           (ERR-2) Energy resolution.                             1483300300007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300300008 
           (ERR-4) Target thickness.                              1483300300009 
           (ERR-5) Stoichiometry.                                 1483300300010 
           (ERR-6) 238U deposit nonuniformity                     1483300300011 
           (ERR-7) 238U(n,f) cross section.                       1483300300012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300300013 
           (ERR-9) Geometric effects.                             1483300300014 
           (ERR-10) PSD background analysis.                      1483300300015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300300016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300300017 
           Author's data, also shown in Fig. 12,                  1483300300018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300300019 
ENDBIB              17          0                                 1483300300020 
COMMON               9          6                                 1483300300021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300300022 
ERR-7      ERR-9      ERR-10                                      1483300300023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300300024 
PER-CENT   PER-CENT   PER-CENT                                    1483300300025 
        0.0       15.0       0.85        3.0        0.5        5.01483300300026 
        1.5        1.0        2.0                                 1483300300027 
ENDCOMMON            6          0                                 1483300300028 
DATA                 6        130                                 1483300300029 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS    ERR-11     1483300300030 
MEV        MEV        MB/SR      MB/SR      MB/SR      PER-CENT   1483300300031 
     3.7440     0.0559       2.10       1.13       0.05        2.31483300300032 
     3.7841     0.0566       1.37       1.16       0.03        2.31483300300033 
     3.8044     0.0570       0.63       1.18       0.01        2.31483300300034 
     3.8455     0.0578       1.40       1.00       0.03        2.31483300300035 
     3.8872     0.0586       2.66       1.03       0.06        2.31483300300036 
     3.9083     0.0589       1.43       0.83       0.03        2.31483300300037 
     3.9296     0.0593       1.27       1.08       0.03        2.31483300300038 
     3.9511     0.0598       1.87       1.16       0.04        2.31483300300039 
     3.9727     0.0602       1.43       0.83       0.03        2.31483300300040 
     3.9946     0.0606       2.57       1.14       0.06        2.31483300300041 
     4.0166     0.0610       2.35       0.99       0.05        2.31483300300042 
     4.0388     0.0614       2.36       0.99       0.05        2.31483300300043 
     4.0612     0.0618       0.90       1.16       0.02        2.31483300300044 
     4.0837     0.0623       0.76       0.88       0.02        2.31483300300045 
     4.1065     0.0627       1.77       0.90       0.04        2.31483300300046 
     4.1294     0.0631       4.00       1.52       0.09        2.31483300300047 
     4.1525     0.0636       7.92       1.64       0.18        2.31483300300048 
     4.1759     0.0640       9.12       1.74       0.21        2.31483300300049 
     4.1994     0.0645       3.65       1.48       0.08        2.31483300300050 
     4.2231     0.0649       8.89       1.86       0.20        2.31483300300051 
     4.2471     0.0654       5.61       1.49       0.13        2.31483300300052 
     4.2712     0.0658      13.32       2.06       0.31        2.31483300300053 
     4.2955     0.0663      12.67       2.08       0.29        2.31483300300054 
     4.3201     0.0668      16.76       2.29       0.39        2.31483300300055 
     4.3448     0.0673      16.51       2.28       0.38        2.31483300300056 
     4.3698     0.0677      16.14       2.32       0.37        2.31483300300057 
     4.3950     0.0682      12.71       2.09       0.29        2.31483300300058 
     4.4204     0.0687       8.31       1.82       0.19        2.31483300300059 
     4.4460     0.0692       6.07       1.70       0.14        2.31483300300060 
     4.4719     0.0697       6.05       1.69       0.14        2.31483300300061 
     4.4980     0.0703       5.50       1.56       0.13        2.31483300300062 
     4.5243     0.0708       6.98       1.69       0.16        2.31483300300063 
     4.5508     0.0713       7.25       1.71       0.17        2.31483300300064 
     4.5776     0.0718       9.44       2.01       0.22        2.31483300300065 
     4.6046     0.0724      11.27       1.81       0.26        2.31483300300066 
     4.6319     0.0729       9.89       1.84       0.23        2.31483300300067 
     4.6594     0.0734       9.27       2.05       0.21        2.31483300300068 
     4.6871     0.0740       7.22       1.61       0.17        2.31483300300069 
     4.7151     0.0746       3.81       1.45       0.09        2.31483300300070 
     4.7434     0.0751       1.75       1.23       0.04        2.31483300300071 
     4.7719     0.0757       3.06       1.54       0.07        2.31483300300072 
     4.8006     0.0763       3.86       1.69       0.09        2.31483300300073 
     4.8296     0.0769      10.33       1.93       0.24        2.31483300300074 
     4.8589     0.0775      10.59       2.18       0.24        2.31483300300075 
     4.8885     0.0781      18.06       2.31       0.42        2.31483300300076 
     4.9183     0.0787      16.74       2.34       0.39        2.31483300300077 
     4.9484     0.0793      18.58       2.45       0.43        2.31483300300078 
     4.9787     0.0799      20.50       2.71       0.47        2.31483300300079 
     5.0094     0.0805      30.02       3.19       0.69        2.31483300300080 
     5.0403     0.0811      38.10       3.45       0.88        2.31483300300081 
     5.0716     0.0818      35.64       3.47       0.82        2.31483300300082 
     5.1031     0.0824      35.85       3.41       0.82        2.31483300300083 
     5.1349     0.0831      26.60       2.85       0.61        2.31483300300084 
     5.1670     0.0838      17.81       2.65       0.41        2.31483300300085 
     5.1994     0.0844       2.70       1.36       0.06        2.31483300300086 
     5.2321     0.0851       1.94       1.47       0.04        2.31483300300087 
     5.2985     0.0865       3.17       1.22       0.07        2.31483300300088 
     5.3322     0.0872       3.70       1.38       0.09        2.31483300300089 
     5.3662     0.0879       2.87       1.18       0.07        2.31483300300090 
     5.4005     0.0886       0.89       1.15       0.02        2.31483300300091 
     5.4351     0.0894       1.57       1.12       0.04        2.31483300300092 
     5.4701     0.0901       0.96       1.03       0.02        2.31483300300093 
     5.5054     0.0909       0.06       0.88       0.00        2.31483300300094 
     5.6134     0.0932       0.65       0.97       0.01        2.31483300300095 
     5.6502     0.0940       4.25       1.32       0.10        2.31483300300096 
     5.6872     0.0947       4.54       1.35       0.10        2.31483300300097 
     5.7247     0.0956       2.98       1.61       0.07        2.31483300300098 
     5.7625     0.0964       2.17       1.45       0.05        2.31483300300099 
     5.8007     0.0972       2.97       1.26       0.07        2.31483300300100 
     5.8393     0.0980       4.62       1.51       0.11        2.31483300300101 
     5.8783     0.0989      11.90       2.02       0.27        2.31483300300102 
     5.9176     0.0997      19.18       2.36       0.44        2.31483300300103 
     5.9574     0.1006      16.37       2.29       0.38        2.31483300300104 
     5.9975     0.1015      15.23       2.37       0.35        2.31483300300105 
     6.0381     0.1024      12.20       2.07       0.34       2.751483300300106 
     6.0791     0.1033      13.70       2.26       0.38       2.751483300300107 
     6.1205     0.1042      20.01       2.50       0.55       2.751483300300108 
     6.1623     0.1051      20.04       2.45       0.55       2.751483300300109 
     6.2046     0.1061      10.32       2.21       0.28       2.751483300300110 
     6.2473     0.1070       6.54       1.85       0.18       2.751483300300111 
     6.2904     0.1080       5.57       1.64       0.15       2.751483300300112 
     6.3340     0.1090      10.46       2.17       0.29       2.751483300300113 
     6.3780     0.1100      33.07       3.30       0.91       2.751483300300114 
     6.4226     0.1110      47.47       3.76       1.31       2.751483300300115 
     6.4675     0.1120      53.58       3.76       1.47       2.751483300300116 
     6.5130     0.1130      50.86       3.85       1.40       2.751483300300117 
     6.5589     0.1141      61.45       4.16       1.69       2.751483300300118 
     6.6053     0.1151      55.98       3.89       1.54       2.751483300300119 
     6.6523     0.1162      48.67       3.77       1.34       2.751483300300120 
     6.6997     0.1173      42.51       3.58       1.17       2.751483300300121 
     6.7476     0.1184      29.13       3.26       0.80       2.751483300300122 
     6.7961     0.1195      24.83       3.05       0.68       2.751483300300123 
     6.8450     0.1207      26.65       2.93       0.73       2.751483300300124 
     6.8945     0.1218      21.32       2.70       0.59       2.751483300300125 
     6.9446     0.1230      20.67       2.64       0.57       2.751483300300126 
     6.9952     0.1242      21.50       2.64       0.59       2.751483300300127 
     7.0463     0.1254      25.88       3.16       0.71       2.751483300300128 
     7.0981     0.1266      21.52       3.03       0.59       2.751483300300129 
     7.1503     0.1278      17.76       2.68       0.49       2.751483300300130 
     7.2032     0.1291      11.59       2.29       0.32       2.751483300300131 
     7.2567     0.1303      11.45       2.24       0.31       2.751483300300132 
     7.3107     0.1316       5.83       1.99       0.16       2.751483300300133 
     7.3654     0.1329       8.93       1.73       0.25       2.751483300300134 
     7.4207     0.1343       7.86       1.80       0.22       2.751483300300135 
     7.4766     0.1356       8.06       1.66       0.22       2.751483300300136 
     7.5332     0.1370       6.81       2.16       0.19       2.751483300300137 
     7.5904     0.1383      10.50       2.02       0.29       2.751483300300138 
     7.6482     0.1398      14.12       2.46       0.39       2.751483300300139 
     7.7068     0.1412      13.75       2.06       0.38       2.751483300300140 
     7.7660     0.1426      11.65       2.13       0.32       2.751483300300141 
     7.8258     0.1441      13.84       2.15       0.38       2.751483300300142 
     7.8864     0.1456      10.77       1.85       0.30       2.751483300300143 
     7.9477     0.1471       8.21       1.63       0.23       2.751483300300144 
     8.0097     0.1486       8.86       1.69       0.24       2.751483300300145 
     8.0725     0.1502       9.85       1.78       0.27       2.751483300300146 
     8.1360     0.1518      13.85       2.31       0.38       2.751483300300147 
     8.2002     0.1534      17.47       2.54       0.48       2.751483300300148 
     8.2652     0.1550      11.97       2.11       0.33       2.751483300300149 
     8.3310     0.1567      16.93       2.37       0.47       2.751483300300150 
     8.3976     0.1584       9.38       1.82       0.26       2.751483300300151 
     8.4649     0.1601      12.60       2.07       0.35       2.751483300300152 
     8.5331     0.1618      18.09       2.43       0.50       2.751483300300153 
     8.6022     0.1636      16.86       2.29       0.46       2.751483300300154 
     8.6721     0.1654      10.38       1.90       0.29       2.751483300300155 
     8.7428     0.1672       6.67       1.76       0.18       2.751483300300156 
     8.8144     0.1691       5.01       1.28       0.14       2.751483300300157 
     8.8869     0.1709       9.11       1.74       0.25       2.751483300300158 
     8.9603     0.1728      10.91       1.90       0.30       2.751483300300159 
     9.0346     0.1748      11.46       2.12       0.32       2.751483300300160 
     9.1098     0.1768      16.51       2.34       0.45       2.751483300300161 
ENDDATA            132          0                                 1483300300162 
ENDSUBENT          161          0                                 1483300399999 
SUBENT        14833004   20240822                             15141483300400001 
BIB                  3         17                                 1483300400002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300400003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300400004 
           (ERR-SYS) Total systematic uncertainty.                1483300400005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300400006 
           (ERR-2) Energy resolution.                             1483300400007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300400008 
           (ERR-4) Target thickness.                              1483300400009 
           (ERR-5) Stoichiometry.                                 1483300400010 
           (ERR-6) 238U deposit nonuniformity                     1483300400011 
           (ERR-7) 238U(n,f) cross section.                       1483300400012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300400013 
           (ERR-9) Geometric effects.                             1483300400014 
           (ERR-10) PSD background analysis.                      1483300400015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300400016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300400017 
           Author's data, also shown in Fig. 12,                  1483300400018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300400019 
