ENTRY            10570   20040602                             00001057000000001 
SUBENT        10570001   20040602                             00001057000100001 
BIB                 11         17                                 1057000100002 
INSTITUTE  (1USAORE)                                              1057000100003 
REFERENCE  (J,BAP,20,1496(BD9),197512)                            1057000100004 
AUTHOR     (L.L.Yu,J.C.Overley)                                   1057000100005 
TITLE      Small Angle Neutron Scattering from Pb and 238U        1057000100006 
INC-SOURCE (P-LI7) Protons on lithium-7                           1057000100007 
METHOD     (TOF) Time-of-flight                                   1057000100008 
MONITOR    No information                                         1057000100009 
CORRECTION Data corrected for multiple scattering, inelastic      1057000100010 
            scattering, and background effects.                   1057000100011 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1057000100012 
STATUS     (APRVD) Approved by author 1976/5/24.                  1057000100013 
            Tabulated data received from Yu. 1976/1/20.           1057000100014 
HISTORY    (19760126C)                                            1057000100015 
           (19830913A) Converted to REACTION formalism            1057000100016 
           (19860529A) BIB updates.                               1057000100017 
           (20040602A) Converted to new date formats, lower case. 1057000100018 
                       Data restored.                             1057000100019 
ENDBIB              17          0                                 1057000100020 
NOCOMMON             0          0                                 1057000100021 
ENDSUBENT           20          0                                 1057000199999 
SUBENT        10570002   20040602                             00001057000200001 
BIB                  1          1                                 1057000200002 
REACTION   (82-PB-0(N,EL)82-PB-0,,DA)                             1057000200003 
ENDBIB               1          0                                 1057000200004 
NOCOMMON             0          0                                 1057000200005 
DATA                 5         54                                 1057000200006 
ANG        ANG-RSL    EN         DATA       DATA-ERR              1057000200007 
1.0         0.6        2.1         8.04       0.53                1057000300042 
1.0         0.6        2.2         8.10       0.49                1057000300043 
1.0         0.6        2.3         7.76       0.55                1057000300044 
1.5         0.6        0.6         2.84       0.45                1057000300045 
1.5         0.6        0.7         3.13       0.47                1057000300046 
1.5         0.6        0.8         3.12       0.47                1057000300047 
1.5         0.6        0.9         2.52       0.43                1057000300048 
1.5         0.6        1.0         3.50       0.51                1057000300049 
1.5         0.6        1.1         3.22       0.47                1057000300050 
1.5         0.6        1.2         3.42       0.47                1057000300051 
1.5         0.6        1.3         4.09       0.52                1057000300052 
1.5         0.6        1.4         4.52       0.54                1057000300053 
1.5         0.6        1.5         4.35       0.52                1057000300054 
1.5         0.6        1.6         4.65       0.53                1057000300055 
1.5         0.6        1.7         5.45       0.56                1057000300056 
1.5         0.6        1.8         4.65       0.54                1057000300057 
1.5         0.6        1.9         4.85       0.57                1057000300058 
1.5         0.6        2.0         4.98       0.57                1057000300059 
1.5         0.6        2.1         6.02       0.59                1057000300060 
1.5         0.6        2.2         6.45       0.56                1057000300061 
1.5         0.6        2.3         7.44       0.65                1057000300062 
ENDDATA             56          0                                 1057000300063 
ENDSUBENT           62          0                                 1057000399999 
ENDENTRY             3          0                                 1057099999999 
