ENTRY            11460   19820813                             00001146000000001 
SUBENT        11460001   19820813                             00001146000100001 
BIB                  5          6                                 1146000100002 
INSTITUTE  (1USAANL)                                              1146000100003 
REFERENCE  (W,HIBDON,6908) TABULATED DATA.                        1146000100004 
AUTHOR     (C.T.HIBDON)                                           1146000100005 
STATUS     (SCSRS)                                                1146000100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1146000100007 
           (820813A) CONVERTED TO REACTION FORMALISM              1146000100008 
ENDBIB               6          0                                 1146000100009 
NOCOMMON             0          0                                 1146000100010 
ENDSUBENT            9          0                                 1146000199999 
SUBENT        11460002   19820813                             00001146000200001 
BIB                  2          2                                 1146000200002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000200003 
METHOD     FLAT DETECTION, ZERO DEGREES.                          1146000200004 
ENDBIB               2          0                                 1146000200005 
NOCOMMON             0          0                                 1146000200006 
DATA                 3        421                                 1146000200007 
EN         DATA       DATA-ERR                                    1146000200008 
MEV        B          B                                           1146000200009 
 2.040  -01 5.33   +00 9.     -02                                 1146000200057 
 2.060  -01 5.30   +00 9.     -02                                 1146000200058 
 2.080  -01 5.60   +00 9.     -02                                 1146000200059 
 2.100  -01 5.78   +00 1.0    -01                                 1146000200060 
 2.120  -01 5.95   +00 1.0    -01                                 1146000200061 
 2.140  -01 5.90   +00 1.0    -01                                 1146000200062 
 2.160  -01 6.01   +00 1.0    -01                                 1146000200063 
 2.180  -01 6.23   +00 1.0    -01                                 1146000200064 
 2.200  -01 6.30   +00 1.0    -01                                 1146000200065 
 2.200  -01 6.33   +00 9.     -02                                 1146000200066 
 2.210  -01 6.36   +00 9.     -02                                 1146000200067 
 2.220  -01 6.59   +00 9.     -02                                 1146000200068 
 2.225  -01 6.64   +00 9.     -02                                 1146000200069 
 2.230  -01 6.42   +00 9.     -02                                 1146000200070 
 2.235  -01 6.85   +00 9.     -02                                 1146000200071 
 2.240  -01 6.70   +00 9.     -02                                 1146000200072 
 2.250  -01 6.63   +00 1.0    -01                                 1146000200073 
 2.260  -01 6.88   +00 1.0    -01                                 1146000200074 
 2.270  -01 7.17   +00 1.0    -01                                 1146000200075 
 2.280  -01 7.14   +00 1.0    -01                                 1146000200076 
 2.290  -01 7.50   +00 1.0    -01                                 1146000200077 
 2.300  -01 7.15   +00 1.0    -01                                 1146000200078 
 2.310  -01 7.50   +00 1.0    -01                                 1146000200079 
 2.320  -01 7.43   +00 1.0    -01                                 1146000200080 
 2.330  -01 7.51   +00 1.1    -01                                 1146000200081 
 2.340  -01 7.33   +00 1.1    -01                                 1146000200082 
 2.350  -01 7.66   +00 1.1    -01                                 1146000200083 
 2.360  -01 8.00   +00 1.1    -01                                 1146000200084 
 2.370  -01 7.81   +00 1.1    -01                                 1146000200085 
 2.380  -01 8.15   +00 1.1    -01                                 1146000200086 
 2.390  -01 8.27   +00 1.2    -01                                 1146000200087 
 2.400  -01 8.38   +00 1.2    -01                                 1146000200088 
 2.410  -01 8.71   +00 1.2    -01                                 1146000200089 
 2.420  -01 9.01   +00 1.2    -01                                 1146000200090 
 2.430  -01 9.07   +00 1.8    -01                                 1146000200091 
 2.440  -01 9.22   +00 1.8    -01                                 1146000200092 
 2.450  -01 9.18   +00 1.8    -01                                 1146000200093 
 2.460  -01 9.51   +00 1.8    -01                                 1146000200094 
 2.470  -01 9.93   +00 1.9    -01                                 1146000200095 
 2.480  -01 9.89   +00 1.9    -01                                 1146000200096 
 2.490  -01 1.036  +01 1.9    -01                                 1146000200097 
 2.500  -01 9.72   +00 1.9    -01                                 1146000200098 
 2.510  -01 1.021  +01 1.9    -01                                 1146000200099 
 2.520  -01 1.038  +01 1.9    -01                                 1146000200100 
 2.530  -01 1.077  +01 1.9    -01                                 1146000200101 
 2.540  -01 1.091  +01 1.9    -01                                 1146000200102 
 2.550  -01 1.096  +01 1.9    -01                                 1146000200103 
 2.560  -01 1.125  +01 2.4    -01                                 1146000200104 
 2.560  -01 1.090  +01 1.9    -01                                 1146000200105 
 2.570  -01 1.140  +01 2.4    -01                                 1146000200106 
 2.570  -01 1.095  +01 1.9    -01                                 1146000200107 
 2.580  -01 1.190  +01 2.4    -01                                 1146000200108 
 2.580  -01 1.140  +01 1.9    -01                                 1146000200109 
 2.590  -01 1.124  +01 2.4    -01                                 1146000200110 
 2.590  -01 1.116  +01 1.9    -01                                 1146000200111 
 2.600  -01 1.175  +01 2.4    -01                                 1146000200112 
 2.600  -01 1.220  +01 2.0    -01                                 1146000200113 
 2.610  -01 1.209  +01 2.5    -01                                 1146000200114 
 2.610  -01 1.219  +01 2.0    -01                                 1146000200115 
 2.620  -01 1.195  +01 2.5    -01                                 1146000200116 
 2.620  -01 1.183  +01 2.0    -01                                 1146000200117 
 2.630  -01 1.209  +01 2.5    -01                                 1146000200118 
 2.630  -01 1.195  +01 2.0    -01                                 1146000200119 
 2.640  -01 1.200  +01 2.5    -01                                 1146000200120 
 2.640  -01 1.183  +01 2.0    -01                                 1146000200121 
 2.650  -01 1.211  +01 2.5    -01                                 1146000200122 
 2.650  -01 1.214  +01 2.0    -01                                 1146000200123 
 2.660  -01 1.220  +01 2.5    -01                                 1146000200124 
 2.660  -01 1.176  +01 2.0    -01                                 1146000200125 
 2.670  -01 1.226  +01 2.5    -01                                 1146000200126 
 2.670  -01 1.176  +01 2.0    -01                                 1146000200127 
 2.680  -01 1.207  +01 2.5    -01                                 1146000200128 
 2.680  -01 1.203  +01 2.0    -01                                 1146000200129 
 2.690  -01 1.180  +01 2.5    -01                                 1146000200130 
 2.690  -01 1.172  +01 2.0    -01                                 1146000200131 
 2.700  -01 1.183  +01 2.5    -01                                 1146000200132 
 2.700  -01 1.140  +01 2.0    -01                                 1146000200133 
 2.710  -01 1.127  +01 2.5    -01                                 1146000200134 
 2.710  -01 1.140  +01 2.0    -01                                 1146000200135 
 2.720  -01 1.072  +01 2.5    -01                                 1146000200136 
 2.720  -01 1.090  +01 2.0    -01                                 1146000200137 
 2.730  -01 1.151  +01 2.5    -01                                 1146000200138 
 2.730  -01 1.157  +01 2.0    -01                                 1146000200139 
 2.740  -01 1.184  +01 2.5    -01                                 1146000200140 
 2.740  -01 1.170  +01 2.0    -01                                 1146000200141 
 2.750  -01 1.163  +01 2.5    -01                                 1146000200142 
 2.750  -01 1.225  +01 2.0    -01                                 1146000200143 
 2.760  -01 1.131  +01 2.5    -01                                 1146000200144 
 2.760  -01 1.147  +01 2.0    -01                                 1146000200145 
 2.770  -01 1.126  +01 2.5    -01                                 1146000200146 
 2.770  -01 1.165  +01 2.0    -01                                 1146000200147 
 2.780  -01 1.157  +01 2.5    -01                                 1146000200148 
 2.780  -01 1.189  +01 2.0    -01                                 1146000200149 
 2.790  -01 1.141  +01 2.5    -01                                 1146000200150 
 2.790  -01 1.112  +01 2.0    -01                                 1146000200151 
 2.800  -01 1.094  +01 2.5    -01                                 1146000200152 
 2.800  -01 1.130  +01 2.0    -01                                 1146000200153 
 2.810  -01 1.178  +01 2.5    -01                                 1146000200154 
 2.810  -01 1.087  +01 2.0    -01                                 1146000200155 
 2.820  -01 1.087  +01 2.5    -01                                 1146000200156 
 2.820  -01 1.126  +01 2.0    -01                                 1146000200157 
 2.830  -01 1.146  +01 2.5    -01                                 1146000200158 
 2.830  -01 1.123  +01 2.0    -01                                 1146000200159 
 2.840  -01 1.107  +01 2.5    -01                                 1146000200160 
 2.840  -01 1.090  +01 2.0    -01                                 1146000200161 
 2.850  -01 1.128  +01 2.5    -01                                 1146000200162 
 2.850  -01 1.122  +01 2.0    -01                                 1146000200163 
 2.860  -01 1.057  +01 2.5    -01                                 1146000200164 
 2.860  -01 1.068  +01 2.0    -01                                 1146000200165 
 2.870  -01 1.097  +01 2.5    -01                                 1146000200166 
 2.870  -01 1.055  +01 2.0    -01                                 1146000200167 
 2.880  -01 1.100  +01 2.5    -01                                 1146000200168 
 2.880  -01 1.036  +01 2.0    -01                                 1146000200169 
 2.890  -01 1.093  +01 2.5    -01                                 1146000200170 
 2.890  -01 1.075  +01 2.0    -01                                 1146000200171 
 2.900  -01 1.089  +01 2.5    -01                                 1146000200172 
 2.900  -01 1.077  +01 2.0    -01                                 1146000200173 
 2.910  -01 1.032  +01 2.0    -01                                 1146000200174 
 2.920  -01 1.070  +01 2.0    -01                                 1146000200175 
 2.930  -01 9.74   +00 2.0    -01                                 1146000200176 
 2.940  -01 9.33   +00 2.0    -01                                 1146000200177 
 2.950  -01 1.025  +01 2.0    -01                                 1146000200178 
 2.960  -01 9.73   +00 2.0    -01                                 1146000200179 
 2.970  -01 9.60   +00 2.0    -01                                 1146000200180 
 2.980  -01 9.68   +00 2.0    -01                                 1146000200181 
 2.990  -01 9.40   +00 2.0    -01                                 1146000200182 
 3.000  -01 8.75   +00 2.0    -01                                 1146000200183 
 3.010  -01 8.87   +00 2.0    -01                                 1146000200184 
 3.020  -01 9.03   +00 2.0    -01                                 1146000200185 
 3.030  -01 9.70   +00 2.0    -01                                 1146000200186 
 3.040  -01 9.56   +00 2.0    -01                                 1146000200187 
 3.050  -01 8.99   +00 2.0    -01                                 1146000200188 
 3.060  -01 9.01   +00 2.0    -01                                 1146000200189 
 3.070  -01 9.37   +00 2.0    -01                                 1146000200190 
 3.080  -01 8.28   +00 2.0    -01                                 1146000200191 
 3.090  -01 8.54   +00 2.0    -01                                 1146000200192 
 3.100  -01 8.57   +00 2.0    -01                                 1146000200193 
 3.110  -01 8.63   +00 1.5    -01                                 1146000200194 
 3.120  -01 8.35   +00 1.5    -01                                 1146000200195 
 3.130  -01 8.12   +00 1.5    -01                                 1146000200196 
 3.140  -01 8.21   +00 1.5    -01                                 1146000200197 
 3.150  -01 7.79   +00 1.5    -01                                 1146000200198 
 3.160  -01 8.32   +00 1.2    -01                                 1146000200199 
 3.170  -01 7.93   +00 1.2    -01                                 1146000200200 
 3.180  -01 7.72   +00 1.2    -01                                 1146000200201 
 3.190  -01 7.56   +00 1.2    -01                                 1146000200202 
 3.200  -01 7.51   +00 1.2    -01                                 1146000200203 
 3.210  -01 7.55   +00 1.2    -01                                 1146000200204 
 3.220  -01 7.41   +00 1.2    -01                                 1146000200205 
 3.230  -01 7.22   +00 1.2    -01                                 1146000200206 
 3.240  -01 7.60   +00 1.2    -01                                 1146000200207 
 3.250  -01 7.33   +00 1.2    -01                                 1146000200208 
 3.260  -01 6.91   +00 1.2    -01                                 1146000200209 
 3.270  -01 6.95   +00 1.2    -01                                 1146000200210 
 3.280  -01 7.05   +00 1.2    -01                                 1146000200211 
 3.290  -01 6.51   +00 1.2    -01                                 1146000200212 
 3.300  -01 6.76   +00 1.2    -01                                 1146000200213 
 3.310  -01 6.32   +00 1.2    -01                                 1146000200214 
 3.320  -01 6.44   +00 1.2    -01                                 1146000200215 
 3.330  -01 6.65   +00 1.2    -01                                 1146000200216 
 3.340  -01 6.52   +00 1.2    -01                                 1146000200217 
 3.350  -01 6.35   +00 1.2    -01                                 1146000200218 
 3.360  -01 6.44   +00 1.2    -01                                 1146000200219 
 3.370  -01 6.35   +00 1.2    -01                                 1146000200220 
 3.380  -01 6.47   +00 1.2    -01                                 1146000200221 
 3.390  -01 6.31   +00 1.2    -01                                 1146000200222 
 3.400  -01 6.06   +00 1.2    -01                                 1146000200223 
 3.410  -01 6.27   +00 1.2    -01                                 1146000200224 
 3.420  -01 6.17   +00 1.2    -01                                 1146000200225 
 3.430  -01 6.10   +00 1.2    -01                                 1146000200226 
 3.440  -01 6.01   +00 1.2    -01                                 1146000200227 
 3.450  -01 6.03   +00 1.2    -01                                 1146000200228 
 3.460  -01 5.83   +00 1.2    -01                                 1146000200229 
 3.470  -01 5.88   +00 1.2    -01                                 1146000200230 
 3.480  -01 6.02   +00 1.2    -01                                 1146000200231 
 3.490  -01 5.70   +00 1.2    -01                                 1146000200232 
 3.500  -01 5.58   +00 1.2    -01                                 1146000200233 
 3.510  -01 5.55   +00 1.2    -01                                 1146000200234 
 3.520  -01 5.45   +00 1.2    -01                                 1146000200235 
 3.530  -01 5.49   +00 1.2    -01                                 1146000200236 
 3.540  -01 5.32   +00 1.2    -01                                 1146000200237 
 3.550  -01 5.24   +00 1.2    -01                                 1146000200238 
 3.560  -01 5.37   +00 1.2    -01                                 1146000200239 
 3.570  -01 5.26   +00 1.2    -01                                 1146000200240 
 3.580  -01 5.25   +00 1.2    -01                                 1146000200241 
 3.590  -01 5.45   +00 1.2    -01                                 1146000200242 
 3.600  -01 5.20   +00 1.2    -01                                 1146000200243 
 3.610  -01 5.29   +00 1.2    -01                                 1146000200244 
 3.620  -01 5.00   +00 1.4    -01                                 1146000200245 
 3.640  -01 5.20   +00 1.4    -01                                 1146000200246 
 3.660  -01 5.15   +00 1.4    -01                                 1146000200247 
 3.680  -01 5.10   +00 1.4    -01                                 1146000200248 
 3.700  -01 4.96   +00 1.2    -01                                 1146000200249 
 3.720  -01 4.86   +00 1.2    -01                                 1146000200250 
 3.740  -01 4.95   +00 1.2    -01                                 1146000200251 
 3.760  -01 4.66   +00 1.2    -01                                 1146000200252 
 3.780  -01 4.82   +00 1.2    -01                                 1146000200253 
 3.790  -01 4.95   +00 1.2    -01                                 1146000200254 
 3.800  -01 4.95   +00 1.2    -01                                 1146000200255 
 3.820  -01 5.05   +00 1.2    -01                                 1146000200256 
 3.840  -01 5.32   +00 1.2    -01                                 1146000200257 
 3.850  -01 5.13   +00 1.2    -01                                 1146000200258 
 3.860  -01 5.35   +00 1.2    -01                                 1146000200259 
 3.870  -01 5.53   +00 1.2    -01                                 1146000200260 
 3.880  -01 5.27   +00 1.2    -01                                 1146000200261 
 3.900  -01 5.13   +00 1.2    -01                                 1146000200262 
 3.920  -01 5.20   +00 1.2    -01                                 1146000200263 
 3.940  -01 5.10   +00 1.2    -01                                 1146000200264 
 3.960  -01 5.05   +00 1.2    -01                                 1146000200265 
 3.980  -01 5.15   +00 1.2    -01                                 1146000200266 
 4.000  -01 5.25   +00 1.2    -01                                 1146000200267 
 4.020  -01 5.28   +00 1.2    -01                                 1146000200268 
 4.040  -01 5.42   +00 1.2    -01                                 1146000200269 
 4.060  -01 5.60   +00 1.2    -01                                 1146000200270 
 4.080  -01 6.10   +00 1.2    -01                                 1146000200271 
 4.110  -01 6.46   +00 1.2    -01                                 1146000200272 
 4.130  -01 6.96   +00 1.5    -01                                 1146000200273 
 4.130  -01 7.10   +00 1.2    -01                                 1146000200274 
 4.150  -01 7.60   +00 1.5    -01                                 1146000200275 
 4.150  -01 7.42   +00 1.2    -01                                 1146000200276 
 4.160  -01 7.89   +00 1.7    -01                                 1146000200277 
 4.160  -01 7.55   +00 1.2    -01                                 1146000200278 
 4.170  -01 8.02   +00 1.7    -01                                 1146000200279 
 4.170  -01 8.07   +00 1.2    -01                                 1146000200280 
 4.180  -01 8.35   +00 2.2    -01                                 1146000200281 
 4.180  -01 8.14   +00 1.5    -01                                 1146000200282 
 4.190  -01 8.56   +00 2.2    -01                                 1146000200283 
 4.190  -01 8.52   +00 1.5    -01                                 1146000200284 
 4.200  -01 9.02   +00 2.2    -01                                 1146000200285 
 4.200  -01 9.71   +00 2.0    -01                                 1146000200286 
 4.210  -01 9.49   +00 2.5    -01                                 1146000200287 
 4.210  -01 9.72   +00 2.0    -01                                 1146000200288 
 4.220  -01 1.050  +01 2.8    -01                                 1146000200289 
 4.220  -01 1.030  +01 2.0    -01                                 1146000200290 
 4.230  -01 1.093  +01 2.8    -01                                 1146000200291 
 4.230  -01 1.115  +01 2.0    -01                                 1146000200292 
 4.240  -01 1.175  +01 1.4    -01                                 1146000200293 
 4.240  -01 1.110  +01 1.5    -01                                 1146000200294 
 4.260  -01 1.260  +01 1.8    -01                                 1146000200295 
 4.260  -01 1.218  +01 1.5    -01                                 1146000200296 
 4.280  -01 1.360  +01 1.8    -01                                 1146000200297 
 4.280  -01 1.312  +01 1.5    -01                                 1146000200298 
 4.300  -01 1.361  +01 1.8    -01                                 1146000200299 
 4.300  -01 1.358  +01 1.5    -01                                 1146000200300 
 4.320  -01 1.414  +01 1.8    -01                                 1146000200301 
 4.320  -01 1.379  +01 1.4    -01                                 1146000200302 
 4.340  -01 1.333  +01 1.6    -01                                 1146000200303 
 4.340  -01 1.288  +01 1.4    -01                                 1146000200304 
 4.360  -01 1.331  +01 1.6    -01                                 1146000200305 
 4.360  -01 1.306  +01 1.3    -01                                 1146000200306 
 4.380  -01 1.280  +01 1.5    -01                                 1146000200307 
 4.380  -01 1.238  +01 1.3    -01                                 1146000200308 
 4.400  -01 1.182  +01 1.5    -01                                 1146000200309 
 4.400  -01 1.167  +01 1.2    -01                                 1146000200310 
 4.420  -01 1.137  +01 1.5    -01                                 1146000200311 
 4.420  -01 1.042  +01 1.2    -01                                 1146000200312 
 4.440  -01 1.016  +01 1.5    -01                                 1146000200313 
 4.440  -01 1.000  +01 1.2    -01                                 1146000200314 
 4.460  -01 9.95   +00 1.5    -01                                 1146000200315 
 4.460  -01 9.62   +00 1.2    -01                                 1146000200316 
 4.480  -01 8.97   +00 1.5    -01                                 1146000200317 
 4.480  -01 9.08   +00 1.1    -01                                 1146000200318 
 4.500  -01 8.70   +00 1.5    -01                                 1146000200319 
 4.500  -01 8.78   +00 1.1    -01                                 1146000200320 
 4.520  -01 8.35   +00 1.0    -01                                 1146000200321 
 4.520  -01 8.77   +00 7.     -02                                 1146000200322 
 4.540  -01 8.18   +00 1.0    -01                                 1146000200323 
 4.540  -01 8.08   +00 7.     -02                                 1146000200324 
 4.560  -01 7.73   +00 1.0    -01                                 1146000200325 
 4.560  -01 7.52   +00 7.     -02                                 1146000200326 
 4.580  -01 7.53   +00 1.0    -01                                 1146000200327 
 4.580  -01 7.63   +00 7.     -02                                 1146000200328 
 4.600  -01 6.90   +00 6.     -02                                 1146000200329 
 4.620  -01 6.93   +00 6.     -02                                 1146000200330 
 4.640  -01 6.76   +00 6.     -02                                 1146000200331 
 4.660  -01 6.60   +00 6.     -02                                 1146000200332 
 4.680  -01 6.44   +00 6.     -02                                 1146000200333 
 4.700  -01 6.02   +00 6.     -02                                 1146000200334 
 4.720  -01 5.80   +00 6.     -02                                 1146000200335 
 4.740  -01 5.49   +00 6.     -02                                 1146000200336 
 4.760  -01 5.72   +00 6.     -02                                 1146000200337 
 4.780  -01 5.45   +00 6.     -02                                 1146000200338 
 4.800  -01 5.36   +00 6.     -02                                 1146000200339 
 4.820  -01 5.32   +00 6.     -02                                 1146000200340 
 4.840  -01 5.00   +00 6.     -02                                 1146000200341 
 4.860  -01 5.13   +00 6.     -02                                 1146000200342 
 4.880  -01 4.86   +00 6.     -02                                 1146000200343 
 4.900  -01 4.49   +00 6.     -02                                 1146000200344 
 4.920  -01 4.62   +00 6.     -02                                 1146000200345 
 4.940  -01 4.39   +00 5.     -02                                 1146000200346 
 4.950  -01 4.09   +00 7.     -02                                 1146000200347 
 4.950  -01 4.10   +00 5.     -02                                 1146000200348 
 4.960  -01 4.47   +00 7.     -02                                 1146000200349 
 4.960  -01 4.06   +00 4.     -02                                 1146000200350 
 4.970  -01 6.24   +00 7.     -02                                 1146000200351 
 4.970  -01 5.29   +00 5.     -02                                 1146000200352 
 4.980  -01 6.72   +00 7.     -02                                 1146000200353 
 4.980  -01 6.48   +00 5.     -02                                 1146000200354 
 4.990  -01 6.81   +00 7.     -02                                 1146000200355 
 4.990  -01 6.46   +00 5.     -02                                 1146000200356 
 5.000  -01 6.30   +00 7.     -02                                 1146000200357 
 5.000  -01 6.00   +00 5.     -02                                 1146000200358 
 5.010  -01 5.87   +00 7.     -02                                 1146000200359 
 5.010  -01 5.59   +00 5.     -02                                 1146000200360 
 5.020  -01 5.25   +00 7.     -02                                 1146000200361 
 5.020  -01 5.39   +00 5.     -02                                 1146000200362 
 5.040  -01 5.08   +00 7.     -02                                 1146000200363 
 5.040  -01 4.99   +00 5.     -02                                 1146000200364 
 5.060  -01 4.88   +00 7.     -02                                 1146000200365 
 5.060  -01 4.97   +00 5.     -02                                 1146000200366 
 5.080  -01 5.04   +00 7.     -02                                 1146000200367 
 5.080  -01 4.80   +00 5.     -02                                 1146000200368 
 5.100  -01 4.76   +00 7.     -02                                 1146000200369 
 5.100  -01 4.89   +00 5.     -02                                 1146000200370 
 5.120  -01 4.78   +00 7.     -02                                 1146000200371 
 5.120  -01 4.59   +00 5.     -02                                 1146000200372 
 5.140  -01 4.82   +00 7.     -02                                 1146000200373 
 5.140  -01 4.70   +00 5.     -02                                 1146000200374 
 5.160  -01 4.60   +00 5.     -02                                 1146000200375 
 5.180  -01 4.66   +00 5.     -02                                 1146000200376 
 5.200  -01 4.60   +00 5.     -02                                 1146000200377 
 5.220  -01 4.75   +00 5.     -02                                 1146000200378 
 5.240  -01 4.70   +00 5.     -02                                 1146000200379 
 5.260  -01 4.59   +00 5.     -02                                 1146000200380 
 5.280  -01 4.38   +00 5.     -02                                 1146000200381 
 5.300  -01 4.84   +00 5.     -02                                 1146000200382 
 5.320  -01 4.52   +00 5.     -02                                 1146000200383 
 5.340  -01 4.72   +00 5.     -02                                 1146000200384 
 5.360  -01 4.77   +00 5.     -02                                 1146000200385 
 5.380  -01 4.83   +00 5.     -02                                 1146000200386 
 5.400  -01 5.08   +00 5.     -02                                 1146000200387 
 5.420  -01 4.84   +00 5.     -02                                 1146000200388 
 5.440  -01 5.01   +00 5.     -02                                 1146000200389 
 5.460  -01 4.97   +00 5.     -02                                 1146000200390 
 5.480  -01 5.03   +00 5.     -02                                 1146000200391 
 5.500  -01 5.04   +00 5.     -02                                 1146000200392 
 5.520  -01 4.70   +00 5.     -02                                 1146000200393 
 5.540  -01 4.61   +00 5.     -02                                 1146000200394 
 5.560  -01 4.86   +00 5.     -02                                 1146000200395 
 5.580  -01 5.01   +00 5.     -02                                 1146000200396 
 5.600  -01 5.08   +00 5.     -02                                 1146000200397 
 5.620  -01 5.23   +00 5.     -02                                 1146000200398 
 5.640  -01 5.07   +00 5.     -02                                 1146000200399 
 5.660  -01 5.09   +00 5.     -02                                 1146000200400 
 5.680  -01 5.17   +00 5.     -02                                 1146000200401 
 5.700  -01 4.88   +00 5.     -02                                 1146000200402 
 5.720  -01 5.08   +00 5.     -02                                 1146000200403 
 5.740  -01 5.11   +00 5.     -02                                 1146000200404 
 5.760  -01 4.89   +00 5.     -02                                 1146000200405 
 5.780  -01 4.96   +00 5.     -02                                 1146000200406 
 5.800  -01 4.97   +00 5.     -02                                 1146000200407 
 5.820  -01 4.56   +00 5.     -02                                 1146000200408 
 5.840  -01 4.71   +00 5.     -02                                 1146000200409 
 5.860  -01 4.83   +00 5.     -02                                 1146000200410 
 5.880  -01 4.98   +00 5.     -02                                 1146000200411 
 5.900  -01 4.72   +00 5.     -02                                 1146000200412 
 5.920  -01 4.72   +00 5.     -02                                 1146000200413 
 5.940  -01 4.65   +00 5.     -02                                 1146000200414 
 5.960  -01 4.43   +00 5.     -02                                 1146000200415 
 5.980  -01 4.28   +00 5.     -02                                 1146000200416 
 6.000  -01 4.27   +00 5.     -02                                 1146000200417 
 6.020  -01 4.37   +00 5.     -02                                 1146000200418 
 6.040  -01 4.41   +00 5.     -02                                 1146000200419 
 6.060  -01 4.39   +00 5.     -02                                 1146000200420 
 6.080  -01 4.10   +00 5.     -02                                 1146000200421 
 6.100  -01 4.06   +00 5.     -02                                 1146000200422 
 6.120  -01 3.99   +00 5.     -02                                 1146000200423 
 6.140  -01 3.90   +00 5.     -02                                 1146000200424 
 6.160  -01 3.51   +00 5.     -02                                 1146000200425 
 6.180  -01 3.90   +00 5.     -02                                 1146000200426 
 6.200  -01 3.77   +00 5.     -02                                 1146000200427 
 6.220  -01 3.82   +00 5.     -02                                 1146000200428 
 6.240  -01 3.97   +00 5.     -02                                 1146000200429 
 6.260  -01 3.75   +00 5.     -02                                 1146000200430 
ENDDATA            423          0                                 1146000200431 
ENDSUBENT          430          0                                 1146000299999 
SUBENT        11460003   19820813                             00001146000300001 
BIB                  2          2                                 1146000300002 
