ENTRY            13740   20000328                             00001374000000001 
SUBENT        13740001   20000328                             00001374000100001 
BIB                 13         32                                 1374000100002 
INSTITUTE  (1USALAS,1USAOHO,2AUSIRK)                              1374000100003 
REFERENCE  (J,PR/C,60,064609,1999)                                1374000100004 
AUTHOR     (F.B.BATEMAN,R.C.HAIGHT,M.B.CHADWICK,S.M.STERBENZ,     1374000100005 
           S.M.GRIMES,H.VONACH)                                   1374000100006 
TITLE      Light charged-particle production from neutron         1374000100007 
            bombardment of silicon up to 60 MeV: Role of level    1374000100008 
            densities and isospin                                 1374000100009 
FACILITY   (MESON,1USALAS) WNR at LANSCE.                         1374000100010 
INC-SOURCE (SPALL) Protons on w target.                           1374000100011 
SAMPLE     2 natural silicon foils.                               1374000100012 
           9.78 mg/cm2 sample used for deuteron and most proton   1374000100013 
            data.                                                 1374000100014 
           0.320 mg/cm2 sample used for alpha-particle data and   1374000100015 
            lowest proton energies.                               1374000100016 
METHOD     (EDE)                                                  1374000100017 
DETECTOR   (TELES) Four 3-element  telescopes.                    1374000100018 
           1st element consisted of either a thin-window low-     1374000100019 
            pressure gass proportional counter for alpha          1374000100020 
            detection, or a thin silicon surface barrier detector.1374000100021 
           2nd element consisted of silicon surface barrier E     1374000100022 
            detectors.                                            1374000100023 
           3rd element consisted of CsI(Tl) detectors for higher  1374000100024 
            energy protons and alphas.                            1374000100025 
MONITOR    Silicon detectors calibrated using 228,229Th alpha-    1374000100026 
            particle source.                                      1374000100027 
CORRECTION Corrected for:                                         1374000100028 
           . particles not stopped in silicon detector,           1374000100029 
           . energy loss in detectors,                            1374000100030 
           .ejectile flight time from sample to detector.         1374000100031 
STATUS     Data received by email from R.Haight, 25 February 2000.1374000100032 
           No reply from R. Haight to author proof.               1374000100033 
HISTORY    (20000228C)                                            1374000100034 
ENDBIB              32          0                                 1374000100035 
NOCOMMON             0          0                                 1374000100036 
ENDSUBENT           35          0                                 1374000199999 
SUBENT        13740002   20000228                             00001374000200001 
BIB                  2          3                                 1374000200002 
REACTION   (14-SI-0(N,X)1-H-1,,DA/DE)                             1374000200003 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       1374000200004 
           Systematic uncertainty about 10%.                      1374000200005 
ENDBIB               3          0                                 1374000200006 
NOCOMMON             0          0                                 1374000200007 
DATA                 6       4583                                 1374000200008 
EN-MIN     EN-MAX     ANG        E-MEAN     DATA       ERR-S      1374000200009 
    7.00       9.00    30.           3.25     5.6528     0.4574   1374000200187 
    7.00       9.00    30.           3.75     7.8729     0.5264   1374000200188 
    7.00       9.00    30.           4.25     2.9789     0.0545   1374000200189 
    7.00       9.00    30.           4.75     1.4523     0.0395   1374000200190 
    7.00       9.00    30.           5.25     0.1720     0.0216   1374000200191 
    7.00       9.00    30.           5.75     0.0216     0.0122   1374000200192 
    7.00       9.00    30.           6.25     0.0000     0.0122   1374000200193 
    7.00       9.00    30.           6.75     0.0056     0.0094   1374000200194 
    7.00       9.00    30.           7.25     0.0009     0.0066   1374000200195 
    7.00       9.00    30.           7.75     0.0000     0.0038   1374000200196 
    7.00       9.00    30.           8.25     0.0038     0.0019   1374000200197 
    7.00       9.00    30.           9.25     0.0000     0.0038   1374000200198 
    7.00       9.00    30.           9.75     0.0094     0.0075   1374000200199 
    7.00       9.00    30.          10.25     0.0038     0.0056   1374000200200 
    7.00       9.00    30.          10.75     0.0019     0.0038   1374000200201 
    7.00       9.00    30.          11.25     0.0000     0.0038   1374000200202 
    7.00       9.00    30.          12.75     0.0019              1374000200203 
    7.00       9.00    30.          17.25     0.0000     0.0019   1374000200204 
    7.00       9.00    30.          17.75     0.0000     0.0028   1374000200205 
    7.00       9.00    30.          30.75     0.0019              1374000200206 
    7.00       9.00    30.          34.25     0.0000     0.0028   1374000200207 
    7.00       9.00    30.          34.75     0.0000     0.0019   1374000200208 
    7.00       9.00    30.          40.25     0.0019              1374000200209 
    7.00       9.00    30.          42.75     0.0019              1374000200210 
    7.00       9.00    30.          47.25     0.0019              1374000200211 
    7.00       9.00    30.          48.75     0.0019              1374000200212 
    7.00       9.00    60.           1.25     0.1370     0.0539   1374000200213 
    7.00       9.00    60.           1.75     1.4817     0.2154   1374000200214 
    7.00       9.00    60.           2.25     3.7987     0.2814   1374000200215 
    7.00       9.00    60.           2.75     5.6337     0.3269   1374000200216 
    7.00       9.00    60.           3.25     5.3777     0.3083   1374000200217 
    7.00       9.00    60.           3.75     8.7153     0.3751   1374000200218 
    7.00       9.00    60.           4.25     2.0351     0.0367   1374000200219 
    7.00       9.00    60.           4.75     0.7774     0.0226   1374000200220 
    7.00       9.00    60.           5.25     0.0385     0.0066   1374000200221 
    7.00       9.00    60.           5.75     0.0132     0.0038   1374000200222 
    7.00       9.00    60.           6.25     0.0000     0.0028   1374000200223 
    7.00       9.00    60.           8.75     0.0000     0.0028   1374000200224 
    7.00       9.00    60.           9.75     0.0000     0.0038   1374000200225 
    7.00       9.00    60.          10.25     0.0009     0.0028   1374000200226 
    7.00       9.00    60.          26.25     0.0000     0.0019   1374000200227 
    7.00       9.00    60.          41.75     0.0000     0.0019   1374000200228 
    7.00       9.00    90.           1.75     0.7798     0.1649   1374000200229 
    7.00       9.00    90.           2.25     2.3869     0.2235   1374000200230 
    7.00       9.00    90.           2.75     4.9763     0.2452   1374000200231 
    7.00       9.00    90.           3.25     4.5807     0.2420   1374000200232 
    7.00       9.00    90.           3.75     6.9935     0.2838   1374000200233 
    7.00       9.00    90.           4.25     5.0871     0.2476   1374000200234 
    7.00       9.00    90.           4.75     1.0998     0.0216   1374000200235 
    7.00       9.00    90.           5.25     0.1241     0.0075   1374000200236 
    7.00       9.00    90.           5.75     0.0169     0.0038   1374000200237 
    7.00       9.00    90.           6.25     0.0028     0.0019   1374000200238 
    7.00       9.00    90.           7.75     0.0019              1374000200239 
    7.00       9.00    90.           9.75     0.0000     0.0019   1374000200240 
    7.00       9.00    90.          10.25     0.0000     0.0038   1374000200241 
    7.00       9.00    90.          10.75     0.0000     0.0038   1374000200242 
    7.00       9.00    90.          11.25     0.0038              1374000200243 
    7.00       9.00    90.          34.75     0.0000     0.0019   1374000200244 
    7.00       9.00    90.          49.75     0.0000     0.0019   1374000200245 
    7.00       9.00   135.           1.75     0.0188     0.0133   1374000200246 
    7.00       9.00   135.           2.25     1.1898     0.1799   1374000200247 
    7.00       9.00   135.           2.75     3.4719     0.2591   1374000200248 
    7.00       9.00   135.           3.25     3.6256     0.2708   1374000200249 
    7.00       9.00   135.           3.75     5.2322     0.2864   1374000200250 
    7.00       9.00   135.           4.25     4.8469     0.2911   1374000200251 
    7.00       9.00   135.           4.75     2.2730     0.2317   1374000200252 
    7.00       9.00   135.           5.25     0.0273     0.0047   1374000200253 
    7.00       9.00   135.           5.75     0.0009     0.0038   1374000200254 
    7.00       9.00   135.           6.25     0.0028     0.0019   1374000200255 
    7.00       9.00   135.           6.75     0.0000     0.0019   1374000200256 
    7.00       9.00   135.           9.75     0.0000     0.0056   1374000200257 
    7.00       9.00   135.          10.25     0.0019     0.0038   1374000200258 
    7.00       9.00   135.          10.75     0.0019     0.0019   1374000200259 
    7.00       9.00   135.          11.75     0.0000     0.0019   1374000200260 
    7.00       9.00   135.          19.25     0.0000     0.0019   1374000200261 
    8.00      10.00    30.           1.25     0.1558     0.2427   1374000200262 
    8.00      10.00    30.           1.75     1.4039     0.5108   1374000200263 
    8.00      10.00    30.           2.25     1.8124     0.5215   1374000200264 
    8.00      10.00    30.           2.75     3.9267     0.5150   1374000200265 
    8.00      10.00    30.           3.25     5.8502     0.5425   1374000200266 
    8.00      10.00    30.           3.75     5.4896     0.5472   1374000200267 
    8.00      10.00    30.           4.25     4.5346     0.0761   1374000200268 
    8.00      10.00    30.           4.75     3.1838     0.0639   1374000200269 
    8.00      10.00    30.           5.25     2.3162     0.0555   1374000200270 
    8.00      10.00    30.           5.75     1.3470     0.0432   1374000200271 
    8.00      10.00    30.           6.25     0.0573     0.0188   1374000200272 
    8.00      10.00    30.           6.75     0.0338     0.0141   1374000200273 
    8.00      10.00    30.           7.25     0.0000     0.0122   1374000200274 
    8.00      10.00    30.           7.75     0.0000     0.0132   1374000200275 
    8.00      10.00    30.           8.25     0.0019     0.0066   1374000200276 
    8.00      10.00    30.           8.75     0.0000     0.0075   1374000200277 
    8.00      10.00    30.           9.25     0.0000     0.0132   1374000200278 
    8.00      10.00    30.           9.75     0.0404     0.0132   1374000200279 
    8.00      10.00    30.          10.25     0.0066     0.0075   1374000200280 
    8.00      10.00    30.          10.75     0.0000     0.0047   1374000200281 
    8.00      10.00    30.          11.25     0.0009     0.0019   1374000200282 
    8.00      10.00    30.          12.25     0.0038     0.0019   1374000200283 
    8.00      10.00    30.          16.25     0.0019              1374000200284 
    8.00      10.00    30.          17.25     0.0000     0.0038   1374000200285 
    8.00      10.00    30.          17.75     0.0000     0.0047   1374000200286 
    8.00      10.00    30.          19.25     0.0019              1374000200287 
    8.00      10.00    30.          34.25     0.0000     0.0038   1374000200288 
    8.00      10.00    30.          34.75     0.0000     0.0019   1374000200289 
    8.00      10.00    30.          35.25     0.0019              1374000200290 
    8.00      10.00    30.          40.75     0.0000     0.0028   1374000200291 
    8.00      10.00    30.          41.25     0.0000     0.0038   1374000200292 
    8.00      10.00    30.          42.25     0.0019     0.0019   1374000200293 
    8.00      10.00    30.          42.75     0.0019              1374000200294 
    8.00      10.00    30.          43.75     0.0000     0.0047   1374000200295 
    8.00      10.00    30.          44.25     0.0009     0.0019   1374000200296 
    8.00      10.00    30.          48.25     0.0000     0.0047   1374000200297 
    8.00      10.00    30.          48.75     0.0028     0.0019   1374000200298 
    8.00      10.00    60.           1.25     0.1245     0.0628   1374000200299 
    8.00      10.00    60.           1.75     0.6065     0.2777   1374000200300 
    8.00      10.00    60.           2.25     3.0603     0.3022   1374000200301 
    8.00      10.00    60.           2.75     5.1015     0.3414   1374000200302 
    8.00      10.00    60.           3.25     5.5843     0.3464   1374000200303 
    8.00      10.00    60.           3.75     5.6215     0.3685   1374000200304 
    8.00      10.00    60.           4.25     3.8202     0.0564   1374000200305 
    8.00      10.00    60.           4.75     2.6151     0.0461   1374000200306 
    8.00      10.00    60.           5.25     1.7484     0.0385   1374000200307 
    8.00      10.00    60.           5.75     0.4907     0.0197   1374000200308 
    8.00      10.00    60.           6.25     0.0235     0.0056   1374000200309 
    8.00      10.00    60.           6.75     0.0000     0.0028   1374000200310 
    8.00      10.00    60.           8.25     0.0000     0.0028   1374000200311 
    8.00      10.00    60.           8.75     0.0000     0.0028   1374000200312 
    8.00      10.00    60.           9.75     0.0000     0.0066   1374000200313 
    8.00      10.00    60.          10.25     0.0028     0.0038   1374000200314 
    8.00      10.00    60.          10.75     0.0019              1374000200315 
    8.00      10.00    60.          43.25     0.0019              1374000200316 
    8.00      10.00    90.           1.25     0.0181     0.0139   1374000200317 
    8.00      10.00    90.           1.75     0.5182     0.2025   1374000200318 
    8.00      10.00    90.           2.25     2.0712     0.2556   1374000200319 
    8.00      10.00    90.           2.75     4.2402     0.2694   1374000200320 
    8.00      10.00    90.           3.25     4.4025     0.2775   1374000200321 
    8.00      10.00    90.           3.75     4.9601     0.2872   1374000200322 
    8.00      10.00    90.           4.25     2.9431     0.2514   1374000200323 
    8.00      10.00    90.           4.75     2.7993     0.0395   1374000200324 
    8.00      10.00    90.           5.25     1.5313     0.0291   1374000200325 
    8.00      10.00    90.           5.75     0.6091     0.0188   1374000200326 
    8.00      10.00    90.           6.25     0.0705     0.0066   1374000200327 
    8.00      10.00    90.           6.75     0.0085     0.0038   1374000200328 
    8.00      10.00    90.           7.25     0.0009     0.0019   1374000200329 
    8.00      10.00    90.           7.75     0.0019              1374000200330 
    8.00      10.00    90.           9.75     0.0000     0.0038   1374000200331 
    8.00      10.00    90.          10.25     0.0000     0.0047   1374000200332 
    8.00      10.00    90.          10.75     0.0038     0.0047   1374000200333 
    8.00      10.00    90.          11.25     0.0085     0.0019   1374000200334 
    8.00      10.00    90.          11.75     0.0019              1374000200335 
    8.00      10.00    90.          34.75     0.0000     0.0019   1374000200336 
    8.00      10.00   135.           1.75     0.0318     0.0196   1374000200337 
    8.00      10.00   135.           2.25     0.5236     0.2254   1374000200338 
    8.00      10.00   135.           2.75     2.5398     0.2941   1374000200339 
    8.00      10.00   135.           3.25     3.1364     0.3164   1374000200340 
    8.00      10.00   135.           3.75     4.2344     0.3079   1374000200341 
    8.00      10.00   135.           4.25     2.6087     0.2896   1374000200342 
    8.00      10.00   135.           4.75     4.0260     0.2995   1374000200343 
    8.00      10.00   135.           5.25     0.5377     0.0197   1374000200344 
    8.00      10.00   135.           5.75     0.0197     0.0066   1374000200345 
    8.00      10.00   135.           6.25     0.0103     0.0047   1374000200346 
    8.00      10.00   135.           6.75     0.0000     0.0047   1374000200347 
    8.00      10.00   135.           7.25     0.0028     0.0028   1374000200348 
    8.00      10.00   135.           7.75     0.0000     0.0019   1374000200349 
    8.00      10.00   135.           9.75     0.0000     0.0103   1374000200350 
    8.00      10.00   135.          10.25     0.0056     0.0047   1374000200351 
    8.00      10.00   135.          10.75     0.0038     0.0028   1374000200352 
    8.00      10.00   135.          11.25     0.0000     0.0028   1374000200353 
    8.00      10.00   135.          14.25     0.0000     0.0019   1374000200354 
    9.00      11.00    30.           1.25     0.1159     0.2789   1374000200355 
    9.00      11.00    30.           1.75     1.9599     0.5764   1374000200356 
    9.00      11.00    30.           2.25     1.9456     0.5618   1374000200357 
    9.00      11.00    30.           2.75     2.9837     0.5872   1374000200358 
    9.00      11.00    30.           3.25     5.3515     0.6420   1374000200359 
    9.00      11.00    30.           3.75     5.3669     0.6270   1374000200360 
    9.00      11.00    30.           4.25     4.3268     0.0827   1374000200361 
    9.00      11.00    30.           4.75     3.5288     0.0761   1374000200362 
    9.00      11.00    30.           5.25     3.9912     0.0799   1374000200363 
