ENTRY            13610   20050720                             13361361000000001 
SUBENT        13610001   20050720                             13361361000100001 
BIB                 12         26                                 1361000100002 
INSTITUTE  (1USALAS,1USATEX,1USATAM,1USAMTU,1USAANL,3CRORBZ,      1361000100003 
           1USAWSU) and U. of Central Arkansas.                   1361000100004 
REFERENCE  (J,PR/C,48,256,1993)                                   1361000100005 
AUTHOR     (M.W.MC Naughton,K.Johnston,D.R.Swenson,D.Tupa,        1361000100006 
           R.L.York,D.A.Ambrose,P.Coffey,K.H.McNaughton,          1361000100007 
           P.J.Riley,G.Glass,J.C.Hiebert,R.H.Jeppesen,H.Spinka,   1361000100008 
           I.Supek,G.E.Tripard,H.Woolverton)                      1361000100009 
TITLE      np-elastic analyzing power A(N0) and spin transfer     1361000100010 
            K(NN)                                                 1361000100011 
FACILITY   (MESON,1USALAS) LAMPF                                  1361000100012 
INC-SOURCE (POLNS,P-D) Polarized protons on liquid deuterium      1361000100013 
SAMPLE     Liquid hydrogen                                        1361000100014 
DETECTOR   (SCIN) 24-element plastic scintillator hodoscope for   1361000100015 
            scattered neutron detection.                          1361000100016 
           (MAGSP) Recoil protons                                 1361000100017 
           Proton polarization analyzed using Janus carbon        1361000100018 
            polarimeter.                                          1361000100019 
CORRECTION Correected for detector efficiency, system live time,  1361000100020 
            and background.                                       1361000100021 
ERR-ANALYS (DATA-ERR1) Overall point-to-point uncertainty         1361000100022 
           (DATA-ERR2) Normalization uncertainty due to           1361000100023 
            uncertainty in neutron-beam polarization.             1361000100024 
STATUS     Data taken from tables in article.                     1361000100025 
           Not proofread by author.                               1361000100026 
HISTORY    (19960320C)                                            1361000100027 
           (20050720C) DR Format updated and reference corrected  1361000100028 
ENDBIB              26          0                                 1361000100029 
NOCOMMON             0          0                                 1361000100030 
ENDSUBENT           29          0                                 1361000199999 
SUBENT        13610002   19960325                             00001361000200001 
BIB                  2          2                                 1361000200002 
REACTION   (1-H-1(N,EL)1-H-1,,POL/DA,,ANA)                        1361000200003 
METHOD     Beam spin flipped.                                     1361000200004 
ENDBIB               2          0                                 1361000200005 
NOCOMMON             0          0                                 1361000200006 
DATA                 5         90                                 1361000200007 
EN         ANG-CM     DATA-CM    DATA-ERR1  DATA-ERR2             1361000200008 
788.        70.17     -0.081      0.005      2.0                  1361000200095 
788.        66.52     -0.126      0.005      2.0                  1361000200096 
788.        64.20     -0.142      0.005      2.0                  1361000200097 
788.        60.73     -0.178      0.005      2.0                  1361000200098 
788.        57.31     -0.209      0.005      2.0                  1361000200099 
ENDDATA             92          0                                 1361000200100 
ENDSUBENT           99          0                                 1361000299999 
SUBENT        13610003   19970423                             13361361000300001 
BIB                  4          4                                 1361000300002 
REACTION   (1-H-1(N,EL)1-H-1,NN,POL/DA,,K)                        1361000300003 
METHOD     Left-right asymmetry and analyzing power measured.     1361000300004 
STATUS     (DEP,13610002)                                         1361000300005 
HISTORY    (19970423A) REACTION corrected.                        1361000300006 
ENDBIB               4          0                                 1361000300007 
NOCOMMON             0          0                                 1361000300008 
DATA                 5         96                                 1361000300009 
EN         ANG-CM     DATA       DATA-ERR1  DATA-ERR2             1361000300010 
MEV        ADEG       NO-DIM     NO-DIM     PER-CENT              1361000300011 
485.       160.45      0.316      0.049      2.0                  1361000300012 
485.       157.84      0.303      0.043      2.0                  1361000300013 
485.       154.93      0.261      0.043      2.0                  1361000300014 
485.       150.05      0.262      0.068      2.0                  1361000300015 
485.       147.14      0.123      0.060      2.0                  1361000300016 
485.       143.85      0.163      0.062      2.0                  1361000300017 
485.       139.71      0.029      0.041      2.0                  1361000300018 
485.       136.34     -0.032      0.038      2.0                  1361000300019 
485.       132.51     -0.123      0.035      2.0                  1361000300020 
485.       128.66     -0.190      0.050      2.0                  1361000300021 
485.       125.31     -0.200      0.050      2.0                  1361000300022 
485.       121.71     -0.245      0.047      2.0                  1361000300023 
485.       118.26     -0.179      0.053      2.0                  1361000300024 
485.       115.15     -0.156      0.048      2.0                  1361000300025 
485.       111.39     -0.180      0.043      2.0                  1361000300026 
485.       107.46     -0.108      0.049      2.0                  1361000300027 
485.       103.89     -0.027      0.041      2.0                  1361000300028 
485.       100.14     -0.091      0.047      2.0                  1361000300029 
485.        96.82      0.099      0.057      2.0                  1361000300030 
485.        93.12      0.062      0.052      2.0                  1361000300031 
485.        89.57      0.124      0.068      2.0                  1361000300032 
485.        86.34      0.013      0.061      2.0                  1361000300033 
485.        82.79     -0.048      0.067      2.0                  1361000300034 
485.        79.55      0.041      0.092      2.0                  1361000300035 
485.        76.62     -0.034      0.091      2.0                  1361000300036 
485.        73.12     -0.124      0.104      2.0                  1361000300037 
485.        69.92     -0.153      0.169      2.0                  1361000300038 
485.        66.88     -0.034      0.108      2.0                  1361000300039 
485.        63.81     -0.082      0.160      2.0                  1361000300040 
485.        60.87      0.052      0.187      2.0                  1361000300041 
635.       171.54      0.339      0.055      2.0                  1361000300042 
635.       169.13      0.389      0.053      2.0                  1361000300043 
635.       166.42      0.439      0.049      2.0                  1361000300044 
635.       159.26      0.468      0.031      2.0                  1361000300045 
635.       156.69      0.408      0.031      2.0                  1361000300046 
635.       153.99      0.287      0.029      2.0                  1361000300047 
635.       148.59      0.128      0.048      2.0                  1361000300048 
635.       145.94     -0.070      0.043      2.0                  1361000300049 
635.       142.98      0.014      0.043      2.0                  1361000300050 
635.       138.31     -0.133      0.039      2.0                  1361000300051 
635.       134.93     -0.180      0.037      2.0                  1361000300052 
635.       131.13     -0.110      0.035      2.0                  1361000300053 
635.       127.69     -0.097      0.043      2.0                  1361000300054 
635.       124.45     -0.098      0.038      2.0                  1361000300055 
635.       120.55     -0.054      0.034      2.0                  1361000300056 
635.       116.41     -0.031      0.030      2.0                  1361000300057 
635.       113.03      0.019      0.028      2.0                  1361000300058 
635.       109.38      0.089      0.026      2.0                  1361000300059 
635.       105.28      0.172      0.044      2.0                  1361000300060 
635.       101.90      0.146      0.044      2.0                  1361000300061 
635.        98.44      0.231      0.042      2.0                  1361000300062 
635.        94.96      0.134      0.033      2.0                  1361000300063 
635.        91.40      0.141      0.029      2.0                  1361000300064 
635.        87.60      0.175      0.035      2.0                  1361000300065 
635.        84.44      0.182      0.040      2.0                  1361000300066 
635.        81.03      0.117      0.040      2.0                  1361000300067 
635.        77.82      0.163      0.045      2.0                  1361000300068 
635.        74.35      0.055      0.043      2.0                  1361000300069 
635.        70.78     -0.065      0.048      2.0                  1361000300070 
635.        67.78     -0.120      0.073      2.0                  1361000300071 
635.        65.04     -0.055      0.034      2.0                  1361000300072 
635.        61.73     -0.006      0.044      2.0                  1361000300073 
635.        58.81     -0.131      0.071      2.0                  1361000300074 
788.       170.97      0.471      0.101      2.0                  1361000300075 
788.       168.67      0.663      0.096      2.0                  1361000300076 
788.       166.13      0.621      0.085      2.0                  1361000300077 
788.       159.40      0.440      0.036      2.0                  1361000300078 
788.       157.05      0.370      0.030      2.0                  1361000300079 
788.       154.18      0.266      0.030      2.0                  1361000300080 
788.       148.27      0.068      0.031      2.0                  1361000300081 
788.       145.47      0.010      0.026      2.0                  1361000300082 
788.       142.11     -0.044      0.024      2.0                  1361000300083 
788.       137.21     -0.083      0.044      2.0                  1361000300084 
788.       134.36     -0.158      0.034      2.0                  1361000300085 
788.       130.84     -0.085      0.032      2.0                  1361000300086 
788.       126.25     -0.135      0.046      2.0                  1361000300087 
788.       123.06     -0.117      0.039      2.0                  1361000300088 
788.       119.10     -0.110      0.037      2.0                  1361000300089 
788.       114.89     -0.011      0.026      2.0                  1361000300090 
788.       111.56      0.011      0.024      2.0                  1361000300091 
788.       107.88     -0.017      0.024      2.0                  1361000300092 
788.       104.49      0.014      0.044      2.0                  1361000300093 
788.       101.30      0.087      0.033      2.0                  1361000300094 
788.        97.50      0.113      0.028      2.0                  1361000300095 
788.        93.23      0.139      0.033      2.0                  1361000300096 
788.        89.99      0.089      0.031      2.0                  1361000300097 
788.        86.63      0.098      0.028      2.0                  1361000300098 
788.        83.17      0.026      0.039      2.0                  1361000300099 
788.        79.97      0.096      0.034      2.0                  1361000300100 
788.        76.62      0.158      0.034      2.0                  1361000300101 
788.        73.07      0.070      0.031      2.0                  1361000300102 
788.        70.17      0.098      0.028      2.0                  1361000300103 
788.        66.94      0.065      0.028      2.0                  1361000300104 
788.        63.75      0.037      0.034      2.0                  1361000300105 
788.        60.73      0.029      0.034      2.0                  1361000300106 
788.        57.55      0.027      0.042      2.0                  1361000300107 
ENDDATA             98          0                                 1361000300108 
ENDSUBENT          107          0                                 1361000399999 
ENDENTRY             3          0                                 1361099999999 
