ENTRY            D0858   20180109                             D113D085800000001 
SUBENT        D0858001   20180109                             D113D085800100001 
BIB                  8         12                                 D085800100002 
TITLE      The 56Fe(a,g)60Ni reaction at excitation energies      D085800100003 
           in the region of the giant dipole resonance            D085800100004 
AUTHOR     (G.S.Foote, D.Branford, R.A.I.Bell, R.B.Watson)        D085800100005 
INSTITUTE  (3AULCBR)                                              D085800100006 
REFERENCE  (J,NP/A,220,505,1974)                                  D085800100007 
           #doi:10.1016/0375-9474(74)90131-6                      D085800100008 
FACILITY   (VDGT,3AULCBR) EN tandem Van de Graaff accelerator.    D085800100009 
DETECTOR   (NAICR) 23.8x25.4 cm detector placed with its front    D085800100010 
           face 28 cm from the target was used for gamma          D085800100011 
           registration.                                          D085800100012 
METHOD     (BCINT,GSPEC)                                          D085800100013 
HISTORY    (20180109C) SS+On                                      D085800100014 
ENDBIB              12          0                                 D085800100015 
NOCOMMON             0          0                                 D085800100016 
ENDSUBENT           15          0                                 D085800199999 
SUBENT        D0858002   20180109                             D113D085800200001 
BIB                  5          9                                 D085800200002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA)                         D085800200003 
SAMPLE     (26-FE-56,ENR=0.985) Self-supporting targets with the  D085800200004 
           thicknesses of 88, 86, 218 and 97 mu-g/cm2 for         D085800200005 
           12.0-17.6, 8.0-9.0, 9.0-12.0, 11.0-11.4 MeV energy     D085800200006 
           intervals, respectively.                               D085800200007 
INC-SOURCE 0.3-0.8 mu-A beams of 4He++ ions.                      D085800200008 
ERR-ANALYS (ERR-S) Statistical error.                             D085800200009 
           (ERR-1) Error in the absolute values.                  D085800200010 
STATUS     (CURVE) Figure 2 from Nucl.Phys.A220,505(1974).        D085800200011 
ENDBIB               9          0                                 D085800200012 
COMMON               4          3                                 D085800200013 
ANG        ERR-1      EN-ERR-DIG ERR-DIG                          D085800200014 
         0.                 9.932     0.8717     0.0970           D085800200050 
         0.                 9.989     1.1198     0.0668           D085800200051 
         0.                10.038     1.5074     0.1094           D085800200052 
         0.                10.093     1.6222     0.1394           D085800200053 
         0.                10.138     1.6947     0.1279           D085800200054 
         0.                10.199     2.2276     0.1948           D085800200055 
         0.                10.237     1.7607     0.1335           D085800200056 
         0.                10.282     1.8089     0.1930           D085800200057 
         0.                10.340     0.8329     0.0846           D085800200058 
         0.                10.390     1.2689     0.1153           D085800200059 
         0.                10.439     1.6141     0.1335           D085800200060 
         0.                10.483     2.2380     0.2007           D085800200061 
         0.                10.547     1.7589     0.1278           D085800200062 
         0.                10.596     1.3768     0.1519           D085800200063 
         0.                10.639     1.2856     0.1217           D085800200064 
         0.                10.700     1.1822     0.1576           D085800200065 
         0.                10.736     1.2123     0.1034           D085800200066 
         0.                10.794     0.9150     0.1513           D085800200067 
         0.                10.840     1.0783     0.1033           D085800200068 
         0.                10.898     0.7446     0.1270           D085800200069 
         0.                10.940     0.5202     0.0608           D085800200070 
         0.                10.988     2.2047     0.1697           D085800200071 
         0.                10.996     2.1076     0.1457           D085800200072 
         0.                11.034     0.9499     0.0907           D085800200073 
         0.                11.084     0.6587     0.0915           D085800200074 
         0.                11.141     0.9977     0.1039           D085800200075 
         0.                11.194     0.9429     0.1219           D085800200076 
         0.                11.236     0.7608     0.0978           D085800200077 
         0.                11.289     2.1362     0.1277           D085800200078 
         0.                11.290     2.2331     0.1695           D085800200079 
         0.                11.344     0.9116     0.1093           D085800200080 
         0.                11.383     0.4872     0.0724           D085800200081 
         0.                11.445     0.4686     0.0548           D085800200082 
         0.                11.496     0.3229     0.0548           D085800200083 
         0.                11.535     0.5529     0.0606           D085800200084 
         0.                11.596     1.1283     0.1456           D085800200085 
         0.                11.643     1.3704     0.0973           D085800200086 
         0.                11.691     0.9580     0.1334           D085800200087 
         0.                11.744     0.9032     0.0900           D085800200088 
         0.                11.788     0.8665     0.1338           D085800200089 
         0.                11.892     1.3507     0.1277           D085800200090 
         0.                11.981     0.7563     0.1035           D085800200091 
         0.                12.084     0.4829     0.0969           D085800200092 
         0.                12.192     0.5732     0.0849           D085800200093 
         0.                12.294     0.9119     0.0977           D085800200094 
         0.                12.384     0.3235     0.0726           D085800200095 
         0.                12.494     0.5411     0.0844           D085800200096 
         0.                12.590     0.4617     0.0786           D085800200097 
         0.                12.696     0.3944     0.0787           D085800200098 
         0.                12.794     0.4483     0.0669           D085800200099 
         0.                12.900     0.4174     0.0728           D085800200100 
         0.                12.995     0.2229     0.0666           D085800200101 
         0.                13.096     0.4223     0.0844           D085800200102 
         0.                13.185     0.4520     0.0783           D085800200103 
         0.                13.392     0.6508     0.1035           D085800200104 
         0.                13.597     0.7404     0.0840           D085800200105 
         0.                13.798     0.4847     0.0847           D085800200106 
         0.                13.992     0.3987     0.0846           D085800200107 
         0.                14.002     0.4834     0.1034           D085800200108 
         0.                14.198     0.5307     0.0906           D085800200109 
         0.                14.401     0.4871     0.0978           D085800200110 
         0.                14.602     0.2374     0.0607           D085800200111 
         0.                14.805     0.0907     0.0544           D085800200112 
         0.                14.996     0.4714     0.0844           D085800200113 
         0.                15.199     0.3792     0.0668           D085800200114 
         0.                15.401     0.2204     0.0726           D085800200115 
         0.                15.605     0.2192     0.0665           D085800200116 
         0.                15.810     0.2786     0.0547           D085800200117 
         0.                16.009     0.5440     0.0724           D085800200118 
         0.                16.208     0.1549     0.0548           D085800200119 
         0.                16.414     0.3113     0.0666           D085800200120 
         0.                16.611     0.4495     0.0908           D085800200121 
         0.                16.812     0.2180     0.0768           D085800200122 
         0.                16.822     0.2724     0.0667           D085800200123 
         0.                17.027     0.3500     0.0785           D085800200124 
         0.                17.221     0.2215     0.0548           D085800200125 
         0.                17.437     0.4263     0.0724           D085800200126 
         0.                17.629     0.2433     0.0664           D085800200127 
                    1.      8.006     0.5952     0.1266           D085800200128 
                    1.      8.106     0.8056     0.1208           D085800200129 
                    1.      8.198     0.3774     0.1020           D085800200130 
                    1.      8.309     0.7926     0.1508           D085800200131 
                    1.      8.400     1.0753     0.1446           D085800200132 
                    1.      8.492     0.5206     0.0904           D085800200133 
                    1.      8.610     0.8513     0.1322           D085800200134 
                    1.      8.696     0.6220     0.1323           D085800200135 
                    1.      8.804     0.7661     0.1445           D085800200136 
                    1.      8.904     1.0487     0.1860           D085800200137 
                    1.      9.006     0.6506     0.1449           D085800200138 
                    1.      9.060     1.6203     0.1567           D085800200139 
                    1.      9.104     2.4093     0.1925           D085800200140 
                    1.      9.161     1.9090     0.1802           D085800200141 
                    1.      9.201     1.5774     0.1684           D085800200142 
                    1.      9.248     1.7700     0.1569           D085800200143 
                    1.      9.296     1.3661     0.1627           D085800200144 
                    1.      9.357     1.2152     0.1566           D085800200145 
                    1.      9.401     2.0283     0.1689           D085800200146 
                    1.      9.442     1.7148     0.1687           D085800200147 
                    1.      9.502     1.5398     0.1685           D085800200148 
                    1.      9.547     1.6480     0.1683           D085800200149 
                    1.      9.596     1.2321     0.1809           D085800200150 
                    1.      9.643     1.5030     0.1689           D085800200151 
                    1.      9.693     2.9546     0.2476           D085800200152 
                    1.      9.744     1.8880     0.1803           D085800200153 
                    1.      9.806     1.0865     0.1265           D085800200154 
                    1.      9.856     1.6405     0.1800           D085800200155 
                    1.      9.899     0.6463     0.1509           D085800200156 
                    1.      9.947     1.0316     0.1327           D085800200157 
                    1.     10.010     1.0795     0.1625           D085800200158 
                    1.     10.055     1.1696     0.1505           D085800200159 
                    1.     10.090     0.3321     0.1140           D085800200160 
                    1.     10.139     0.7415     0.1569           D085800200161 
                    1.     10.196     1.1388     0.1627           D085800200162 
                    1.     10.253     1.5663     0.1685           D085800200163 
                    1.     10.300     0.9395     0.1983           D085800200164 
                    1.     10.355     1.1320     0.1686           D085800200165 
                    1.     10.396     0.8667     0.1320           D085800200166 
                    1.     10.443     1.0713     0.1628           D085800200167 
                    1.     10.490     1.3422     0.2226           D085800200168 
                    1.     10.545     0.7335     0.1384           D085800200169 
                    1.     10.597     1.4863     0.1984           D085800200170 
                    1.     10.649     1.3776     0.1440           D085800200171 
                    1.     10.686     0.6786     0.1806           D085800200172 
                    1.     10.742     0.9795     0.1329           D085800200173 
                    1.     10.793     1.5757     0.2296           D085800200174 
                    1.     10.845     1.5031     0.1563           D085800200175 
                    1.     10.887     1.3041     0.1204           D085800200176 
                    1.     10.936     0.8521     0.1325           D085800200177 
                    1.     10.986     1.4482     0.1680           D085800200178 
                    1.     10.993     1.2494     0.2049           D085800200179 
                    1.     11.042     0.8937     0.1267           D085800200180 
                    1.     11.091     0.5320     0.1085           D085800200181 
                    1.     11.139     0.8270     0.1263           D085800200182 
                    1.     11.193     1.7906     0.1740           D085800200183 
                    1.     11.237     0.8807     0.1748           D085800200184 
                    1.     11.285     2.1095     0.1925           D085800200185 
                    1.     11.290     1.7902     0.2470           D085800200186 
                    1.     11.347     0.4464     0.1029           D085800200187 
                    1.     11.385     0.6933     0.1028           D085800200188 
                    1.     11.437     0.6388     0.0845           D085800200189 
                    1.     11.488     0.3795     0.1023           D085800200190 
                    1.     11.533     0.5239     0.0722           D085800200191 
                    1.     11.588     1.5477     0.1984           D085800200192 
                    1.     11.642     0.7884     0.1320           D085800200193 
                    1.     11.682     1.2521     0.1809           D085800200194 
                    1.     11.739     0.7277     0.1027           D085800200195 
                    1.     11.792     0.7455     0.2164           D085800200196 
                    1.     11.882     0.8595     0.1923           D085800200197 
                    1.     11.981     0.2265     0.1146           D085800200198 
                    1.     12.082     0.5995     0.0966           D085800200199 
                    1.     12.194     0.2676     0.1029           D085800200200 
                    1.     12.294     0.5563     0.1085           D085800200201 
                    1.     12.385     0.7908     0.1024           D085800200202 
                    1.     12.491     0.7963     0.0966           D085800200203 
                    1.     12.597     0.8078     0.1028           D085800200204 
                    1.     12.688     0.2170     0.0728           D085800200205 
                    1.     12.789     0.5720     0.0969           D085800200206 
                    1.     12.895     0.4871     0.0847           D085800200207 
                    1.     12.992     0.4625     0.1083           D085800200208 
                    1.     13.098     0.5223     0.1081           D085800200209 
                    1.     13.185     0.3893     0.1383           D085800200210 
                    1.     13.395     0.1533     0.0780           D085800200211 
                    1.     13.600     0.2909     0.0969           D085800200212 
                    1.     13.793     0.1393     0.0786           D085800200213 
                    1.     13.992     0.5480     0.1022           D085800200214 
                    1.     13.999     0.4155     0.1025           D085800200215 
                    1.     14.195     0.5230     0.1026           D085800200216 
                    1.     14.396     0.2930     0.0969           D085800200217 
                    1.     14.599     0.2860     0.1146           D085800200218 
                    1.     14.793     0.1947     0.1023           D085800200219 
                    1.     14.997     0.3443     0.1208           D085800200220 
                    1.     15.194     0.4940     0.1087           D085800200221 
                    1.     15.405     0.4207     0.1023           D085800200222 
                    1.     15.608     0.3956     0.1140           D085800200223 
                    1.     15.796     0.6176     0.1208           D085800200224 
                    1.     15.999     0.5383     0.1266           D085800200225 
                    1.     16.198     0.2060     0.1022           D085800200226 
                    1.     16.403     0.3074     0.1085           D085800200227 
                    1.     16.603     0.0233     0.0789           D085800200228 
                    1.     16.809     0.2452     0.0967           D085800200229 
                    1.     16.810     0.3295     0.0964           D085800200230 
                    1.     17.006     0.4611     0.1147           D085800200231 
                    1.     17.198     0.2915     0.1084           D085800200232 
                    1.     17.408     0.0856     0.0842           D085800200233 
                    1.     17.605     0.2473     0.1081           D085800200234 
ENDDATA            216          0                                 D085800200235 
ENDSUBENT          234          0                                 D085800299999 
SUBENT        D0858003   20180109                             D113D085800300001 
BIB                  5         10                                 D085800300002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA)                         D085800300003 
           Detailed measurement of 56Fe(a,g)60Ni reaction.        D085800300004 
SAMPLE     (26-FE-56,ENR=0.985) Self-supporting targets with the  D085800300005 
           thicknesses of 88, 86, 218 and 97 mu-g/cm2 for         D085800300006 
           12.0-17.6, 8.0-9.0, 9.0-12.0, 11.0-11.4 MeV energy     D085800300007 
           intervals, respectively.                               D085800300008 
INC-SOURCE 0.3-0.8 mu-A beams of 4He++ ions.                      D085800300009 
ERR-ANALYS (ERR-S) Statistical error.                             D085800300010 
           (ERR-1) Error in the absolute values.                  D085800300011 
STATUS     (CURVE) Figure 3 from Nucl.Phys.A220,505(1974).        D085800300012 
ENDBIB              10          0                                 D085800300013 
COMMON               4          3                                 D085800300014 
ANG        ERR-1      EN-ERR-DIG ERR-DIG                          D085800300015 
ADEG       PER-CENT   MEV        MU-B/SR                          D085800300016 
        90.        25.      0.002     0.0149                      D085800300017 
ENDCOMMON            3          0                                 D085800300018 
DATA                 5         32                                 D085800300019 
E-LVL      LVL-NUMB   EN         DATA       ERR-S                 D085800300020 
MEV        NO-DIM     MEV        MU-B/SR    MU-B/SR               D085800300021 
         0.                11.025     0.8113     0.1017           D085800300022 
         0.                11.046     0.9270     0.1137           D085800300023 
         0.                11.067     1.1667     0.1125           D085800300024 
         0.                11.093     0.6817     0.1246           D085800300025 
         0.                11.116     1.6668     0.1464           D085800300026 
         0.                11.148     1.0321     0.1135           D085800300027 
         0.                11.179     1.8221     0.1249           D085800300028 
         0.                11.207     0.7030     0.1019           D085800300029 
         0.                11.233     3.1557     0.1917           D085800300030 
         0.                11.250     0.7646     0.0905           D085800300031 
         0.                11.271     1.5923     0.1244           D085800300032 
         0.                11.298     2.2591     0.1692           D085800300033 
         0.                11.324     1.0846     0.1244           D085800300034 
         0.                11.354     0.9257     0.1129           D085800300035 
         0.                11.376     1.4704     0.1479           D085800300036 
         0.                11.398     0.5009     0.0907           D085800300037 
                    1.     11.023     1.6221     0.2465           D085800300038 
                    1.     11.047     0.8823     0.2023           D085800300039 
                    1.     11.072     0.5910     0.1797           D085800300040 
                    1.     11.097     0.5355     0.1687           D085800300041 
                    1.     11.122     0.9290     0.2464           D085800300042 
                    1.     11.148     0.8281     0.2024           D085800300043 
                    1.     11.177     1.1752     0.2589           D085800300044 
                    1.     11.201     1.7708     0.2587           D085800300045 
                    1.     11.223     0.8753     0.2466           D085800300046 
                    1.     11.248     0.8197     0.2134           D085800300047 
                    1.     11.272     0.8319     0.2468           D085800300048 
                    1.     11.299     2.1112     0.3026           D085800300049 
                    1.     11.322     0.6536     0.1904           D085800300050 
                    1.     11.347     0.4524     0.1462           D085800300051 
                    1.     11.374     1.3387     0.2581           D085800300052 
                    1.     11.399     0.6885     0.1568           D085800300053 
ENDDATA             34          0                                 D085800300054 
ENDSUBENT           53          0                                 D085800399999 
SUBENT        D0858004   20180109                             D113D085800400001 
BIB                  5          7                                 D085800400002 
REACTION   (27-CO-59(P,G)28-NI-60,PAR,DA)                         D085800400003 
SAMPLE     Self-supporting Co-59 target with the thickness of     D085800400004 
           670 mu-g/cm2 was used.                                 D085800400005 
INC-SOURCE 50 nA beam of H+ ions was used for bombardment.        D085800400006 
ERR-ANALYS (ERR-S) Statistical error.                             D085800400007 
           (ERR-1) Error in the absolute values.                  D085800400008 
STATUS     (CURVE) Figure 3 from Nucl.Phys.A220,505(1974).        D085800400009 
ENDBIB               7          0                                 D085800400010 
COMMON               4          3                                 D085800400011 
ANG        ERR-1      EN-ERR-DIG ERR-DIG                          D085800400012 
ADEG       PER-CENT   MEV        MU-B/SR                          D085800400013 
        90.        25.      0.002     0.0049                      D085800400014 
ENDCOMMON            3          0                                 D085800400015 
DATA                 5         32                                 D085800400016 
E-LVL      LVL-NUMB   EN         DATA       ERR-S                 D085800400017 
MEV        NO-DIM     MEV        MU-B/SR    MU-B/SR               D085800400018 
         0.                 7.184     1.1685     0.1045           D085800400019 
         0.                 7.214     0.6755     0.0820           D085800400020 
         0.                 7.240     0.8174     0.0782           D085800400021 
         0.                 7.261     0.8743     0.0894           D085800400022 
         0.                 7.286     0.5798     0.0747           D085800400023 
         0.                 7.310     0.8079     0.0821           D085800400024 
         0.                 7.337     0.8342     0.0782           D085800400025 
         0.                 7.359     0.7937     0.0747           D085800400026 
         0.                 7.384     0.5664     0.0596           D085800400027 
         0.                 7.407     0.5185     0.0671           D085800400028 
         0.                 7.426     0.9563     0.0745           D085800400029 
         0.                 7.456     0.5865     0.0633           D085800400030 
         0.                 7.478     0.3670     0.0633           D085800400031 
         0.                 7.504     0.8635     0.0671           D085800400032 
         0.                 7.530     0.8414     0.0709           D085800400033 
         0.                 7.552     0.8533     0.0784           D085800400034 
                    1.      7.189     2.1796     0.1912           D085800400035 
                    1.      7.215     1.9001     0.1687           D085800400036 
                    1.      7.239     1.0689     0.1125           D085800400037 
                    1.      7.264     1.3530     0.1350           D085800400038 
                    1.      7.286     1.3226     0.1350           D085800400039 
                    1.      7.312     1.9218     0.1354           D085800400040 
                    1.      7.336     1.1698     0.1238           D085800400041 
                    1.      7.358     1.3531     0.1125           D085800400042 
                    1.      7.383     1.4231     0.1462           D085800400043 
                    1.      7.407     1.1332     0.1242           D085800400044 
                    1.      7.431     1.6765     0.1354           D085800400045 
                    1.      7.456     2.2532     0.1692           D085800400046 
                    1.      7.480     0.8928     0.1237           D085800400047 
                    1.      7.504     0.7716     0.1462           D085800400048 
                    1.      7.524     1.1137     0.1237           D085800400049 
                    1.      7.551     1.2171     0.1350           D085800400050 
ENDDATA             34          0                                 D085800400051 
ENDSUBENT           50          0                                 D085800499999 
SUBENT        D0858005   20180109                             D113D085800500001 
BIB                  4          5                                 D085800500002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA)                         D085800500003 
SAMPLE     Isotopically enriched by Fe-56 target (200 mu-g/cm2    D085800500004 
           thick) evaporated onto gold backing was used.          D085800500005 
ERR-ANALYS (DATA-ERR) No source of uncertainty is given.          D085800500006 
STATUS     (CURVE) Figure 5,6 from Nucl.Phys.A220,505(1974).      D085800500007 
ENDBIB               5          0                                 D085800500008 
COMMON               2          3                                 D085800500009 
ANG-ERR-D  ERR-DIG                                                D085800500010 
ADEG       MU-B/SR                                                D085800500011 
      0.348    0.01712                                            D085800500012 
ENDCOMMON            3          0                                 D085800500013 
DATA                 6        140                                 D085800500014 
E-LVL      LVL-NUMB   EN         ANG        DATA       DATA-ERR   D085800500015 
MEV        NO-DIM     MEV        ADEG       MU-B/SR    MU-B/SR    D085800500016 
         0.                  8.65      0.082    0.09429    0.05408D085800500017 
         0.                  8.65     28.966    0.48375    0.08178D085800500018 
         0.                  8.65     54.428    0.91411    0.08158D085800500019 
         0.                  8.65     89.587    1.08690    0.08178D085800500020 
         0.                  8.65    109.560    0.88258    0.06762D085800500021 
         0.                  8.65    124.180    1.04350    0.06747D085800500022 
         0.                  8.65    148.420    0.41994    0.06732D085800500023 
         0.                  9.25      0.054    0.09299    0.05328D085800500024 
         0.                  9.25     29.225    0.37059    0.06667D085800500025 
         0.                  9.25     54.696    0.86188    0.08002D085800500026 
         0.                  9.25     89.340    1.23240    0.09337D085800500027 
         0.                  9.25    109.870    1.12410    0.09333D085800500028 
         0.                  9.25    124.440    0.96294    0.09332D085800500029 
         0.                  9.25    148.710    0.57431    0.06668D085800500030 
         0.                  9.65      0.061    0.10625    0.06666D085800500031 
         0.                  9.65     29.756    0.63623    0.06667D085800500032 
         0.                  9.65     54.710    1.12680    0.10666D085800500033 
         0.                  9.65     89.875    1.28300    0.07994D085800500034 
         0.                  9.65    110.480    1.62740    0.06664D085800500035 
         0.                  9.65    124.930    0.82581    0.08002D085800500036 
         0.                  9.65    148.670    0.55655    0.08006D085800500037 
         0.                 10.00      0.056    0.11969    0.06679D085800500038 
         0.                 10.00     30.284    0.42418    0.08006D085800500039 
         0.                 10.00     55.186    0.74242    0.06664D085800500040 
         0.                 10.00     89.846    1.30000    0.09332D085800500041 
         0.                 10.00    109.810    0.97855    0.08003D085800500042 
         0.                 10.00    124.390    0.87085    0.08009D085800500043 
         0.                 10.00    149.190    0.29575    0.07998D085800500044 
         0.                 10.30      0.080    0.14452    0.06575D085800500045 
         0.                 10.30     30.045    0.53771    0.07895D085800500046 
         0.                 10.30     54.979    1.33910    0.09213D085800500047 
         0.                 10.30     90.165    1.92940    0.09215D085800500048 
         0.                 10.30    109.600    1.65210    0.09219D085800500049 
         0.                 10.30    124.160    1.28300    0.09218D085800500050 
         0.                 10.30    148.980    0.71590    0.07897D085800500051 
         0.                 10.60      0.456    0.37260    0.10656D085800500052 
         0.                 10.60     30.219    0.82034    0.13343D085800500053 
         0.                 10.60     55.143    1.58900    0.15989D085800500054 
         0.                 10.60     90.291    1.76900    0.15989D085800500055 
         0.                 10.60    109.770    2.05870    0.13322D085800500056 
         0.                 10.60    124.870    1.52260    0.13343D085800500057 
         0.                 10.60    149.140    0.82469    0.13312D085800500058 
         0.                 10.95      0.371    0.19320    0.08668D085800500059 
         0.                 10.95     30.150    0.44562    0.07343D085800500060 
         0.                 10.95     54.542    0.78487    0.09333D085800500061 
         0.                 10.95     90.249    0.94378    0.09363D085800500062 
         0.                 10.95    109.690    0.84986    0.08666D085800500063 
         0.                 10.95    124.800    0.71607    0.08000D085800500064 
         0.                 10.95    149.050    0.33534    0.07331D085800500065 
         0.                 11.30      0.285    0.14280    0.09335D085800500066 
         0.                 11.30     30.195    0.31119    0.06678D085800500067 
         0.                 11.30     55.354    0.97368    0.09383D085800500068 
         0.                 11.30     90.854    1.72780    0.11969D085800500069 
         0.                 11.30    110.920    1.64450    0.11929D085800500070 
         0.                 11.30    125.940    0.96205    0.11994D085800500071 
         0.                 11.30    149.730    0.58481    0.07996D085800500072 
         0.                 11.50      0.440    0.21324    0.04667D085800500073 
         0.                 11.50     30.186    0.33261    0.06000D085800500074 
         0.                 11.50     54.529    0.47210    0.06667D085800500075 
         0.                 11.50     89.689    0.65803    0.05333D085800500076 
         0.                 11.50    109.690    0.63094    0.06000D085800500077 
         0.                 11.50    124.820    0.65729    0.05333D085800500078 
         0.                 11.50    149.120    0.42344    0.04666D085800500079 
         0.                 12.40      0.848    0.15773    0.05263D085800500080 
         0.                 12.40     30.618    0.33433    0.05265D085800500081 
         0.                 12.40     54.970    0.45191    0.05921D085800500082 
         0.                 12.40     90.162    0.70070    0.05921D085800500083 
         0.                 12.40    110.080    0.35790    0.05263D085800500084 
         0.                 12.40    125.200    0.29159    0.04605D085800500085 
         0.                 12.40    148.950    0.15261    0.04605D085800500086 
                    1.       8.65      2.620    0.89148    0.08108D085800500087 
                    1.       8.65     32.535    1.15840    0.10541D085800500088 
                    1.       8.65     57.161    1.14210    0.10864D085800500089 
                    1.       8.65     91.730    1.04350    0.12168D085800500090 
                    1.       8.65    112.200    1.23040    0.09460D085800500091 
                    1.       8.65    126.790    0.72876    0.09457D085800500092 
                    1.       8.65    151.950    0.79348    0.10817D085800500093 
                    1.       9.25      1.875    0.93216    0.12162D085800500094 
                    1.       9.25     31.759    1.06510    0.13587D085800500095 
                    1.       9.25     56.428    1.42810    0.13763D085800500096 
                    1.       9.25     91.045    1.70930    0.16216D085800500097 
                    1.       9.25    110.970    1.81590    0.13479D085800500098 
                    1.       9.25    125.640    1.76080    0.18956D085800500099 
                    1.       9.25    149.690    1.34010    0.17568D085800500100 
                    1.       9.65      1.137    0.43219    0.08113D085800500101 
                    1.       9.65     28.435    0.82179    0.13514D085800500102 
                    1.       9.65     55.699    0.94111    0.12163D085800500103 
                    1.       9.65     90.841    1.19490    0.10811D085800500104 
                    1.       9.65    108.100    0.90965    0.20271D085800500105 
                    1.       9.65    125.390    0.92170    0.12165D085800500106 
                    1.       9.65    149.510    1.01430    0.12463D085800500107 
                    1.      10.00      0.881    1.44580    0.13518D085800500108 
                    1.      10.00     30.770    1.66020    0.13614D085800500109 
                    1.      10.00     55.903    1.44250    0.13514D085800500110 
                    1.      10.00     90.506    1.64310    0.16217D085800500111 
                    1.      10.00    109.880    1.47970    0.13514D085800500112 
                    1.      10.00    125.090    1.62750    0.16217D085800500113 
                    1.      10.00    149.130    0.88276    0.09460D085800500114 
                    1.      10.30      0.616    0.99946    0.18912D085800500115 
                    1.      10.30     30.499    1.29290    0.18969D085800500116 
                    1.      10.30     55.682    1.91130    0.18419D085800500117 
                    1.      10.30     90.278    2.12300    0.21622D085800500118 
                    1.      10.30    110.180    1.82320    0.18919D085800500119 
                    1.      10.30    124.850    1.76720    0.16216D085800500120 
                    1.      10.30    149.960    1.06130    0.18919D085800500121 
