ENTRY            D5133   20190805                             D122D5133  0    1 
SUBENT        D5133001   20190805                             D122D5133  1    1 
BIB                 12         32                                 D5133  1    2 
TITLE      Cluster structure of 17O                               D5133  1    3 
AUTHOR     (S.Yu.Mezhevych,A.T.Rudchik,A.A.Rudchik,               D5133  1    4 
           O.A.Ponkratenko, N.Keeley,K.W.Kemper,M.Mazzocco,       D5133  1    5 
           K.Rusek,S.B.Sakuta)                                    D5133  1    6 
INSTITUTE  (4UKRIJD,3POLIPJ,1USAFSU,2ITYUPV,3POLWWA,4RUSKUR)      D5133  1    7 
FACILITY   (CYCLO,3POLWWA) Cyclotron U-200P                       D5133  1    8 
REFERENCE  (J,PR/C,95,034607,2017)                                D5133  1    9 
           #doi:10.1103/PhysRevC.95.034607                        D5133  1   10 
           #nsr:2017ME04                                          D5133  1   11 
           (J,YFE,19,341,2018)                                    D5133  1   12 
           #doi:10.15407/jnpae2018.04.341                         D5133  1   13 
SAMPLE     (8-C-13,ENR=0.90) A self-supporting carbon foil was    D5133  1   14 
           used as a target.                                      D5133  1   15 
DETECTOR   (TELES,IOCH,SI) Delta E-E telescopes, each consisting  D5133  1   16 
           of a gas ionization chamber and a 1 mm thick silicon   D5133  1   17 
           detector. Argon was used as the working gas. The energyD5133  1   18 
           loss of the ions in the ionization chamber correspondedD5133  1   19 
           to that deposited in an approximately 15 micro-m thick D5133  1   20 
           silicon detector.                                      D5133  1   21 
METHOD     (EXTB,EDE)                                             D5133  1   22 
CORRECTION Corrected for background.                              D5133  1   23 
ADD-RES    (POT,COMP) Spectroscopic amplitudes, parameters of the D5133  1   24 
           nucleus-nucleus potentials were determined. Optical    D5133  1   25 
           model and the coupled-reaction-channels method were    D5133  1   26 
           used.                                                  D5133  1   27 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D5133  1   28 
           and uncertainties from the spectrum fitting procedure. D5133  1   29 
HISTORY    (20170520R) Data were received from A.Rudchik.         D5133  1   30 
           (20170530C) UkrNDC                                     D5133  1   31 
           (20190805A) OG. The 2-nd reference added.              D5133  1   32 
           Subentries 2-7 combined. Subentries 3-7 deleted.       D5133  1   33 
           STATUS, SAMPLE and REACTION updated.                   D5133  1   34 
ENDBIB              32          0                                 D5133  1   35 
COMMON               1          3                                 D5133  1   36 
EN                                                                D5133  1   37 
MEV                                                               D5133  1   38 
45.                                                               D5133  1   39 
ENDCOMMON            3          0                                 D5133  1   40 
ENDSUBENT           39          0                                 D5133  199999 
SUBENT        D5133002   20190805                             D122D5133  2    1 
BIB                  4          5                                 D5133  2    2 
REACTION   (6-C-13(5-B-11,3-LI-7)8-O-17,PAR,DA)                   D5133  2    3 
EN-SEC     (E-LVL1,3-LI-7)                                        D5133  2    4 
           (E-LVL2,8-O-17)                                        D5133  2    5 
STATUS     (TABLE) Correspond to figures 2-4 in the main ref.     D5133  2    6 
HISTORY    (20190805A) OG. Subentries 2-7 combined.               D5133  2    7 
ENDBIB               5          0                                 D5133  2    8 
NOCOMMON             0          0                                 D5133  2    9 
DATA                 5        177                                 D5133  2   10 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D5133  2   11 
0.         0.871      45.4       0.0103     0.03594               D5133  2   66 
0.         0.871      117.3      0.001716   0.03594               D5133  2   67 
0.         0.871      120.1      0.00157    0.03594               D5133  2   68 
0.         0.871      122.9      0.00163    0.03594               D5133  2   69 
0.         0.871      125.6      0.001823   0.03594               D5133  2   70 
0.         0.871      128.3      0.002028   0.03594               D5133  2   71 
0.         0.871      133.7      0.001616   0.03594               D5133  2   72 
0.         0.871      136.3      0.001427   0.03594               D5133  2   73 
0.         0.871      138.9      0.001521   0.03594               D5133  2   74 
0.         0.871      141.6      0.001433   0.03594               D5133  2   75 
0.         0.871      144.2      0.001774   0.03594               D5133  2   76 
0.         0.871      146.8      0.001873   0.03594               D5133  2   77 
0.         0.871      149.4      0.002082   0.03594               D5133  2   78 
0.         0.871      152.       0.001765   0.03594               D5133  2   79 
0.         0.871      154.5      0.001717   0.03594               D5133  2   80 
0.         0.871      157.1      0.002373   0.03594               D5133  2   81 
0.         0.871      159.7      0.002982   0.03594               D5133  2   82 
0.         0.871      164.8      0.002914   0.03594               D5133  2   83 
0.         3.055      16.7       0.1181     0.03543               D5133  2   84 
0.         3.055      18.4       0.06986    0.020958              D5133  2   85 
0.         3.055      21.7       0.0353     0.01059               D5133  2   86 
0.         3.055      23.3       0.02885    0.008655              D5133  2   87 
0.         3.055      25.        0.02171    0.006513              D5133  2   88 
0.         3.055      26.7       0.02013    0.006039              D5133  2   89 
0.         3.055      28.3       0.01523    0.004569              D5133  2   90 
0.         3.055      30.        0.01099    0.003297              D5133  2   91 
0.         3.055      31.6       0.008729   0.0026187             D5133  2   92 
0.         3.055      33.3       0.006875   0.0020625             D5133  2   93 
0.         3.055      34.9       0.009295   0.0027885             D5133  2   94 
0.         3.055      36.6       0.01397    0.004191              D5133  2   95 
0.         3.055      39.8       0.01993    0.005979              D5133  2   96 
0.         3.055      41.5       0.0191     0.00573               D5133  2   97 
0.         3.055      43.1       0.01209    0.003627              D5133  2   98 
0.         3.055      44.7       0.01033    0.003099              D5133  2   99 
0.         3.055      46.4       0.009171   0.0027513             D5133  2  100 
0.         3.055      114.7      0.004517   0.0013551             D5133  2  101 
0.         3.055      117.7      0.003802   0.0011406             D5133  2  102 
0.         3.055      120.6      0.003412   0.0010236             D5133  2  103 
0.         3.055      123.5      0.003803   0.0011409             D5133  2  104 
0.         3.055      126.3      0.003484   0.0010452             D5133  2  105 
0.         3.055      129.1      0.004738   0.0014214             D5133  2  106 
0.         3.055      131.9      0.005171   0.0015513             D5133  2  107 
0.         3.055      134.7      0.004723   0.0014169             D5133  2  108 
0.         3.055      137.4      0.003987   0.0011961             D5133  2  109 
0.         3.055      140.2      0.003181   0.0009543             D5133  2  110 
0.         3.055      142.9      0.003414   0.0010242             D5133  2  111 
0.         3.055      145.6      0.004008   0.0012024             D5133  2  112 
0.         3.055      148.3      0.004272   0.0012816             D5133  2  113 
0.         3.055      151.       0.003207   0.0009621             D5133  2  114 
0.         3.055      153.6      0.002016   0.0006048             D5133  2  115 
0.         3.055      156.3      0.003789   0.0011367             D5133  2  116 
0.         3.055      159.       0.005769   0.0017307             D5133  2  117 
0.         3.055      161.6      0.007166   0.0021498             D5133  2  118 
0.         3.055      164.2      0.009778   0.0029334             D5133  2  119 
0.         3.843      16.8       0.1135     0.03405               D5133  2  120 
0.         3.843      18.5       0.1175     0.03525               D5133  2  121 
0.         3.843      21.9       0.08335    0.025005              D5133  2  122 
0.         3.843      23.5       0.08036    0.024108              D5133  2  123 
0.         3.843      25.2       0.06368    0.019104              D5133  2  124 
0.         3.843      26.9       0.05988    0.017964              D5133  2  125 
0.         3.843      30.2       0.05257    0.015771              D5133  2  126 
0.         3.843      31.9       0.04616    0.013848              D5133  2  127 
0.         3.843      33.6       0.0327     0.00981               D5133  2  128 
0.         3.843      35.2       0.03034    0.009102              D5133  2  129 
0.         3.843      36.9       0.03009    0.009027              D5133  2  130 
0.         3.843      38.5       0.02831    0.008493              D5133  2  131 
0.         3.843      40.2       0.01801    0.005403              D5133  2  132 
0.         3.843      41.8       0.02091    0.006273              D5133  2  133 
0.         3.843      43.5       0.01986    0.005958              D5133  2  134 
0.         3.843      45.1       0.01733    0.005199              D5133  2  135 
0.         3.843      46.8       0.01691    0.005073              D5133  2  136 
0.         3.843      113.6      0.001148   0.000344              D5133  2  137 
0.         3.843      116.7      0.001023   0.000307              D5133  2  138 
0.         3.843      119.6      0.00125    0.000375              D5133  2  139 
0.         3.843      122.6      0.001284   0.000385              D5133  2  140 
0.         3.843      125.5      0.001792   0.000538              D5133  2  141 
0.         3.843      128.4      0.001278   0.000383              D5133  2  142 
0.         3.843      131.2      0.0013     0.00039               D5133  2  143 
0.         3.843      134.       0.0009982  0.000299              D5133  2  144 
0.         3.843      136.8      0.001153   0.000346              D5133  2  145 
0.         3.843      139.6      0.0008942  0.000268              D5133  2  146 
0.         3.843      142.4      0.001235   0.000371              D5133  2  147 
0.         3.843      145.1      0.001213   0.000364              D5133  2  148 
0.         3.843      147.9      0.001939   0.000582              D5133  2  149 
0.         3.843      150.6      0.002011   0.000603              D5133  2  150 
0.         3.843      153.3      0.002835   0.000851              D5133  2  151 
0.         3.843      156.       0.001528   0.000458              D5133  2  152 
0.         3.843      158.7      0.002274   0.000682              D5133  2  153 
0.         3.843      161.4      0.004402   0.001321              D5133  2  154 
0.         3.843      164.       0.003599   0.00108               D5133  2  155 
0.         4.554      17.        0.1156     0.03468               D5133  2  156 
0.         4.554      18.7       0.08748    0.026244              D5133  2  157 
0.         4.554      22.1       0.06881    0.020643              D5133  2  158 
0.         4.554      23.7       0.04806    0.014418              D5133  2  159 
0.         4.554      25.4       0.04924    0.014772              D5133  2  160 
0.         4.554      27.1       0.04296    0.012888              D5133  2  161 
0.         4.554      28.8       0.03328    0.009984              D5133  2  162 
0.         4.554      30.5       0.03232    0.009696              D5133  2  163 
0.         4.554      32.2       0.02948    0.008844              D5133  2  164 
0.         4.554      33.8       0.0228     0.00684               D5133  2  165 
0.         4.554      35.5       0.02067    0.006201              D5133  2  166 
0.         4.554      37.2       0.02433    0.007299              D5133  2  167 
0.         4.554      38.9       0.01915    0.005745              D5133  2  168 
0.         4.554      40.5       0.01579    0.004737              D5133  2  169 
0.         4.554      42.2       0.01287    0.003861              D5133  2  170 
0.         4.554      43.8       0.01359    0.004077              D5133  2  171 
0.         6.356      17.4       0.02978    0.008934              D5133  2  172 
0.         6.356      19.1       0.02538    0.007614              D5133  2  173 
0.         6.356      22.6       0.01844    0.005532              D5133  2  174 
0.         6.356      24.3       0.01702    0.005106              D5133  2  175 
0.         6.356      26.        0.01593    0.004779              D5133  2  176 
0.         6.356      27.7       0.0131     0.00393               D5133  2  177 
0.         6.356      29.5       0.01411    0.004233              D5133  2  178 
0.         6.356      31.2       0.01529    0.004587              D5133  2  179 
0.         6.356      32.9       0.01589    0.004767              D5133  2  180 
0.         6.356      34.6       0.01575    0.004725              D5133  2  181 
0.         6.356      36.3       0.01061    0.003183              D5133  2  182 
0.         6.356      38.1       0.01431    0.004293              D5133  2  183 
0.         6.356      39.8       0.0102     0.00306               D5133  2  184 
0.         6.356      41.5       0.00665    0.001995              D5133  2  185 
0.         6.356      43.2       0.006771   0.002031              D5133  2  186 
0.         6.356      44.9       0.007229   0.002169              D5133  2  187 
0.         6.356      46.6       0.007101   0.00213               D5133  2  188 
0.         6.356      48.3       0.005021   0.001506              D5133  2  189 
ENDDATA            179          0                                 D5133  2  190 
ENDSUBENT          189          0                                 D5133  299999 
NOSUBENT      D5133003   20190805                             D122D5133  3    1 
NOSUBENT      D5133004   20190805                             D122D5133  4    1 
NOSUBENT      D5133005   20190805                             D122D5133  5    1 
NOSUBENT      D5133006   20190805                             D122D5133  6    1 
NOSUBENT      D5133007   20190805                             D122D5133  7    1 
ENDENTRY             7          0                                 D513399999999 
