ENTRY            D0720   20131014                             D092D072000000001 
SUBENT        D0720001   20131014                             D092D072000100001 
BIB                 12         33                                 D072000100002 
TITLE      Cross sections for inelastic scattering of neutrons on D072000100003 
            28Si and comparison with the 25Mg(a,n)28Si reaction   D072000100004 
AUTHOR     (A.Negret, C.Borcea, D.Bucurescu, D.Deleanu,           D072000100005 
            Ph.Dessagne, D.Filipescu, D.Ghita, T.Glodariu,        D072000100006 
            M.Kerveno, N.Marginean, R.Marginean, C.Mihai, S.Pascu,D072000100007 
            A.J.M.Plompen, T.Sava, L.Stroe)                       D072000100008 
INSTITUTE  (3RUMBUC,2FR ULP,2ZZZGEL)                              D072000100009 
REFERENCE  (J,PR/C,88,034604,2013)                                D072000100010 
REL-REF    (O,,A.Negret+,J,PR/C,88,034604,2013)                   D072000100011 
            28Si(n,n'+g)28Si data compiled separately             D072000100012 
FACILITY   (VDGT,3RUMBUC)                                         D072000100013 
SAMPLE     Self-supporting 25Mg target (0.626+/-0.017 mg/cm2).    D072000100014 
           Monte Carlo simulations with SRIM shows that the       D072000100015 
            energy loss of the alpha-particles ranges from        D072000100016 
            400 keV (at 5.6 MeV) to 200 keV (at 15 MeV).          D072000100017 
METHOD     (BCINT) A Faraday cup was used to determine the        D072000100018 
            integrated beam intensity                             D072000100019 
DETECTOR   (HPGE) Placed at 30 and 70 deg with respect to the     D072000100020 
            beam axis.                                            D072000100021 
           Efficiency was calibrated by a 152Eu source (for       D072000100022 
            determination of absolute efficiency below 1.5 MeV)   D072000100023 
            and an uncalibrated 56Co source (for determination of D072000100024 
            the shape of the efficiency curve at high energies    D072000100025 
            up to 3.25 MeV).                                      D072000100026 
ERR-ANALYS (EN-ERR) Calculated based on incident beam energy and  D072000100027 
            energy loss in 25Mg by alphas                         D072000100028 
           (ERR-T) Uncertainties propagated from                  D072000100029 
           (ERR-1)     Detector efficiency        (2%)            D072000100030 
           (ERR-2)     Target thickness         (2.7%)            D072000100031 
           (ERR-S,0.2) Statistical uncertainty (>0.2%)            D072000100032 
STATUS     (APRVD) Approved by Alexandru Negret (2013-10-14)      D072000100033 
HISTORY    (20131001C) On                                         D072000100034 
           (20131014R) On. Received from Alexandru Negret         D072000100035 
ENDBIB              33          0                                 D072000100036 
COMMON               2          3                                 D072000100037 
ERR-1      ERR-2                                                  D072000100038 
PER-CENT   PER-CENT                                               D072000100039 
 2.         2.7                                                   D072000100040 
ENDCOMMON            3          0                                 D072000100041 
ENDSUBENT           40          0                                 D072000199999 
SUBENT        D0720002   20131014                             D092D072000200001 
BIB                  2          2                                 D072000200002 
REACTION   (12-MG-25(A,N)14-SI-28,PAR,SIG,G)                      D072000200003 
STATUS     (TABLE) Plotted in Fig.5 of Phys.Rev.C88(2013)034604   D072000200004 
ENDBIB               2          0                                 D072000200005 
NOCOMMON             0          0                                 D072000200006 
DATA                 5        120                                 D072000200007 
E          EN         EN-ERR     DATA       ERR-T                 D072000200008 
 4497.       6.23      0.09       0.02477    0.00087              D072000200089 
 4497.       6.33      0.1        0.0267     0.00094              D072000200090 
 4497.       6.33      0.1        0.02671    0.00096              D072000200091 
 4497.       6.44      0.1        0.02731    0.00096              D072000200092 
 4497.       6.54      0.09       0.02787    0.00098              D072000200093 
 4497.       6.64      0.09       0.02786    0.00098              D072000200094 
 4497.       6.74      0.09       0.02968    0.00104              D072000200095 
 4497.       6.84      0.1        0.0293     0.00156              D072000200096 
 4497.       7.15      0.09       0.0285     0.00101              D072000200097 
 4497.       7.45      0.09       0.02578    0.00091              D072000200098 
 4497.       7.65      0.08       0.02663    0.00097              D072000200099 
 4497.       7.86      0.09       0.03081    0.0032               D072000200100 
 4497.       8.36      0.07       0.02644    0.00096              D072000200101 
 4497.       8.87      0.07       0.03086    0.00256              D072000200102 
 4497.       9.88      0.07       0.0351     0.00339              D072000200103 
 4497.      11.89      0.07       0.02782    0.00359              D072000200104 
 4497.      14.91      0.05       0.01738    0.00355              D072000200105 
 5099.       5.41      0.12       0.01142    0.00041              D072000200106 
 5099.       5.62      0.1        0.01637    0.00058              D072000200107 
 5099.       5.82      0.1        0.02493    0.00087              D072000200108 
 5099.       5.93      0.1        0.02957    0.00105              D072000200109 
 5099.       5.93      0.1        0.0313     0.00124              D072000200110 
 5099.       6.03      0.1        0.03351    0.00117              D072000200111 
 5099.       6.13      0.1        0.03269    0.00115              D072000200112 
 5099.       6.23      0.09       0.02954    0.00104              D072000200113 
 5099.       6.33      0.1        0.02735    0.00097              D072000200114 
 5099.       6.33      0.1        0.02796    0.001                D072000200115 
 5099.       6.44      0.1        0.02888    0.00102              D072000200116 
 5099.       6.54      0.09       0.03007    0.00105              D072000200117 
 5099.       6.64      0.09       0.03326    0.00116              D072000200118 
 5099.       6.74      0.09       0.03455    0.00121              D072000200119 
 5099.       6.84      0.1        0.03574    0.00126              D072000200120 
 5099.       7.15      0.09       0.04539    0.00159              D072000200121 
 5099.       7.45      0.09       0.04514    0.00158              D072000200122 
 5099.       7.65      0.08       0.03902    0.00139              D072000200123 
 5099.       7.86      0.09       0.04391    0.00168              D072000200124 
 5099.       8.36      0.07       0.04918    0.00173              D072000200125 
 5099.       8.87      0.07       0.05684    0.00222              D072000200126 
 5099.       9.88      0.07       0.04989    0.00205              D072000200127 
 5099.      11.89      0.07       0.06815    0.00291              D072000200128 
 5099.      14.91      0.05       0.05486    0.00201              D072000200129 
ENDDATA            122          0                                 D072000200130 
ENDSUBENT          129          0                                 D072000299999 
SUBENT        D0720003   20131014                             D092D072000300001 
BIB                  2          2                                 D072000300002 
REACTION   (12-MG-25(A,INL)12-MG-25,PAR,SIG,G)                    D072000300003 
STATUS     (TABLE) Plotted in Fig.11 of Phys.Rev.C88(2013)034604  D072000300004 
ENDBIB               2          0                                 D072000300005 
COMMON               1          3                                 D072000300006 
E                                                                 D072000300007 
KEV                                                               D072000300008 
 390.                                                             D072000300009 
ENDCOMMON            3          0                                 D072000300010 
DATA                 4         24                                 D072000300011 
EN         EN-ERR     DATA       ERR-T                            D072000300012 
MEV        MEV        B          B                                D072000300013 
  5.41      0.12       0.00173    0.0001                          D072000300014 
  5.62      0.1        0.00329    0.00013                         D072000300015 
  5.82      0.1        0.00454    0.00017                         D072000300016 
  5.93      0.1        0.00451    0.00019                         D072000300017 
  5.93      0.1        0.00471    0.0003                          D072000300018 
  6.03      0.1        0.00521    0.0002                          D072000300019 
  6.13      0.1        0.00609    0.00023                         D072000300020 
  6.23      0.09       0.00684    0.00025                         D072000300021 
  6.33      0.1        0.00767    0.00028                         D072000300022 
  6.33      0.1        0.00801    0.0003                          D072000300023 
  6.44      0.1        0.00827    0.0003                          D072000300024 
  6.54      0.09       0.00839    0.0003                          D072000300025 
  6.64      0.09       0.00889    0.00032                         D072000300026 
  6.74      0.09       0.00932    0.00034                         D072000300027 
  6.84      0.1        0.00955    0.00035                         D072000300028 
  7.15      0.09       0.01202    0.00043                         D072000300029 
  7.45      0.09       0.01384    0.00049                         D072000300030 
  7.65      0.08       0.01632    0.00059                         D072000300031 
  7.86      0.09       0.02134    0.00075                         D072000300032 
  8.36      0.07       0.02242    0.00079                         D072000300033 
  8.87      0.07       0.02675    0.00093                         D072000300034 
  9.88      0.07       0.03278    0.00113                         D072000300035 
 11.89      0.07       0.04481    0.00155                         D072000300036 
 14.91      0.05       0.05156    0.00178                         D072000300037 
ENDDATA             26          0                                 D072000300038 
ENDSUBENT           37          0                                 D072000399999 
SUBENT        D0720004   20131014                             D092D072000400001 
BIB                  2          2                                 D072000400002 
REACTION   (12-MG-25(A,P)13-AL-28,PAR,SIG,G)                      D072000400003 
STATUS     (TABLE) Plotted in Fig.11 of Phys.Rev.C88(2013)034604  D072000400004 
ENDBIB               2          0                                 D072000400005 
COMMON               1          3                                 D072000400006 
E                                                                 D072000400007 
KEV                                                               D072000400008 
 941.                                                             D072000400009 
ENDCOMMON            3          0                                 D072000400010 
DATA                 4         24                                 D072000400011 
EN         EN-ERR     DATA       ERR-T                            D072000400012 
MEV        MEV        B          B                                D072000400013 
  5.41      0.12       0.00245    0.00012                         D072000400014 
  5.62      0.1        0.00262    0.00012                         D072000400015 
  5.82      0.1        0.00338    0.00015                         D072000400016 
  5.93      0.1        0.00383    0.00019                         D072000400017 
  5.93      0.1        0.00408    0.00034                         D072000400018 
  6.03      0.1        0.00426    0.00019                         D072000400019 
  6.13      0.1        0.00466    0.00021                         D072000400020 
  6.23      0.09       0.00527    0.00021                         D072000400021 
  6.33      0.1        0.00484    0.0002                          D072000400022 
  6.33      0.1        0.00536    0.00024                         D072000400023 
  6.44      0.1        0.00452    0.00019                         D072000400024 
  6.54      0.09       0.0041     0.00017                         D072000400025 
  6.64      0.09       0.00313    0.00015                         D072000400026 
  6.74      0.09       0.00318    0.00016                         D072000400027 
  6.84      0.1        0.00351    0.00018                         D072000400028 
  7.15      0.09       0.00353    0.00018                         D072000400029 
  7.45      0.09       0.00395    0.00019                         D072000400030 
  7.65      0.08       0.00443    0.00026                         D072000400031 
  7.86      0.09       0.00487    0.00023                         D072000400032 
  8.36      0.07       0.00462    0.00024                         D072000400033 
  8.87      0.07       0.00557    0.00026                         D072000400034 
  9.88      0.07       0.00546    0.00024                         D072000400035 
 11.89      0.07       0.00611    0.00028                         D072000400036 
 14.91      0.05       0.00319    0.00024                         D072000400037 
ENDDATA             26          0                                 D072000400038 
ENDSUBENT           37          0                                 D072000499999 
ENDENTRY             4          0                                 D072099999999 
