ENTRY            D0078   20110912                             D080D007800000001 
SUBENT        D0078001   20110912                             D080D007800100001 
BIB                 10         25                                 D007800100002 
TITLE      Measurement of (p,p) elastic differential cross        D007800100003 
            sections fo carbon, nitrogen, oxygen, aluminium and   D007800100004 
            silicon in  the 500-2500 keV range at 140 deg and     D007800100005 
            178 deg laboratory scattering angles                  D007800100006 
AUTHOR     (A.R.Ramos, A.Paul, L.Rijniers, M.F.da Silva,          D007800100007 
            J.C.Soares)                                           D007800100008 
INSTITUTE  (2PRTLIS,2PRTLFE,2NEDENT)                              D007800100009 
REFERENCE  (J,NIM/B,190,95,2002)                                  D007800100010 
FACILITY   (VDG,2PRTLFE)                                          D007800100011 
SAMPLE     All samples were carefully investigated by 4He BS      D007800100012 
            experiments (EHe = 1600 and 2000 keV) to determine    D007800100013 
            the stoichiometry, layer thickness, homogeneity and   D007800100014 
            presence of impurities that could affect the results. D007800100015 
           All samples are natural.                               D007800100016 
DETECTOR   (SIBAR) The annular detector, a Si surface barrier     D007800100017 
             detector, accepts particles scattered at 178 deg.    D007800100018 
             effective scattering angle and has a solid angle     D007800100019 
             of 18 msr and an energy resolution of 20 keV.        D007800100020 
            Another Si surface barrier detector is located at     D007800100021 
             140 deg. in IBM geometry, with a solid angle of      D007800100022 
             3.4 msr and an energy resolution of 15 keV.          D007800100023 
STATUS     (APRVD) Proof-read by Ana Rita L.Ramos Whal(2011-09-14)D007800100024 
ERR-ANALYS (DATA-ERR) Due to Signal area and areal density        D007800100025 
HISTORY    (20040116C) SD                                         D007800100026 
           (20110908R) On. Revised data from Ana Rita L.Ramos WahlD007800100027 
ENDBIB              25          0                                 D007800100028 
NOCOMMON             0          0                                 D007800100029 
ENDSUBENT           28          0                                 D007800199999 
SUBENT        D0078002   20110912                             D080D007800200001 
BIB                  4         14                                 D007800200002 
REACTION  1(13-AL-27(P,EL)13-AL-27,,DA,,RTH)                      D007800200003 
          2(13-AL-27(P,EL)13-AL-27,,DA)                           D007800200004 
SAMPLE     Aluminium and nitrogen where measured simultaneously   D007800200005 
            using a (1350+-70)x10**15/cm2 thick AlN film,         D007800200006 
            reactive sputter deposited over a vitreous graphite   D007800200007 
            substrate.                                            D007800200008 
           Over the AlN film, a gold layer (55 +-5)xl0**15/cm2    D007800200009 
            thick was evaporated.                                 D007800200010 
           4He BS experiments showed that the film was            D007800200011 
            stoichiometric (49 at.% N and 48 at.% Al).            D007800200012 
           Minor impurities of 0 (2.5 at. %) and Cu (0.5 at. %)   D007800200013 
            were detected.                                        D007800200014 
STATUS     (TABLE) Fig.4 of Nucl.Instrum.Meth.B190(2002)95        D007800200015 
HISTORY    (20110912A) On. STATUS added                           D007800200016 
ENDBIB              14          0                                 D007800200017 
NOCOMMON             0          0                                 D007800200018 
DATA                 5        322                                 D007800200019 
ANG        EN         DATA      1DATA      2DATA-ERR  2           D007800200020 
ADEG       KEV        NO-DIM     B/SR       B/SR                  D007800200021 
 140.       2224.      1.032      0.0585     0.0034               D007800200160 
 140.       2249.      1.242      0.0689     0.0030               D007800200161 
 140.       2274.      1.270      0.0689     0.0026               D007800200162 
 140.       2299.      1.341      0.0712     0.0023               D007800200163 
 140.       2324.      1.261      0.0655     0.0026               D007800200164 
 140.       2349.      1.284      0.0653     0.0027               D007800200165 
 140.       2354.      1.237      0.0626     0.0020               D007800200166 
 140.       2358.      1.143      0.0576     0.0021               D007800200167 
 140.       2361.      1.124      0.0566     0.0020               D007800200168 
 140.       2369.      0.913      0.0456     0.0029               D007800200169 
 140.       2374.      1.178      0.0586     0.0020               D007800200170 
 140.       2378.      0.901      0.0447     0.0023               D007800200171 
 140.       2384.      1.026      0.0507     0.0023               D007800200172 
 140.       2389.      1.164      0.0572     0.0019               D007800200173 
 140.       2395.      1.216      0.0595     0.0018               D007800200174 
 140.       2398.      1.161      0.0566     0.0033               D007800200175 
 140.       2399.      1.235      0.0602     0.0021               D007800200176 
 140.       2424.      1.168      0.0558     0.0018               D007800200177 
 140.       2450.      1.235      0.0577     0.0013               D007800200178 
 140.       2466.      1.248      0.0576     0.0019               D007800200179 
 140.       2474.      1.206      0.0553     0.0022               D007800200180 
 140.       2484.      1.332      0.0606     0.0022               D007800200181 
 140.       2498.      0.978      0.0440     0.0020               D007800200182 
 140.       2500.      1.145      0.0514     0.0014               D007800200183 
 178.        499.      0.991      0.8747     0.0032               D007800200184 
 178.        529.      0.971      0.7632     0.0030               D007800200185 
 178.        559.      0.975      0.6861     0.0027               D007800200186 
 178.        589.      1.002      0.6351     0.0022               D007800200187 
 178.        599.      1.010      0.6182     0.0020               D007800200188 
 178.        618.      0.988      0.5669     0.0016               D007800200189 
 178.        649.      0.996      0.5195     0.0019               D007800200190 
 178.        678.      0.984      0.4689     0.0017               D007800200191 
 178.        698.      1.025      0.4608     0.0015               D007800200192 
 178.        709.      0.991      0.4327     0.0016               D007800200193 
 178.        739.      0.992      0.3983     0.0015               D007800200194 
 178.        769.      0.999      0.3704     0.0014               D007800200195 
 178.        798.      0.977      0.3360     0.0011               D007800200196 
 178.        799.      1.006      0.3459     0.0013               D007800200197 
 178.        829.      0.982      0.3134     0.0013               D007800200198 
 178.        849.      0.971      0.2954     0.0012               D007800200199 
 178.        859.      0.986      0.2926     0.0012               D007800200200 
 178.        868.      0.983      0.2855     0.0012               D007800200201 
 178.        878.      0.967      0.2745     0.0013               D007800200202 
 178.        889.      0.958      0.2656     0.0010               D007800200203 
 178.        899.      0.972      0.2636     0.0010               D007800200204 
 178.        909.      0.985      0.2610     0.0010               D007800200205 
 178.        919.      0.986      0.2558     0.0009               D007800200206 
 178.        949.      0.989      0.2407     0.0009               D007800200207 
 178.        958.      0.976      0.2327     0.0009               D007800200208 
 178.        979.      0.956      0.2184     0.0009               D007800200209 
 178.       1000.      0.968      0.2122     0.0009               D007800200210 
 178.       1004.      0.974      0.2116     0.0007               D007800200211 
 178.       1009.      0.984      0.2118     0.0006               D007800200212 
 178.       1014.      0.949      0.2022     0.0010               D007800200213 
 178.       1018.      0.952      0.2009     0.0010               D007800200214 
 178.       1023.      0.967      0.2023     0.0011               D007800200215 
 178.       1030.      0.969      0.2001     0.0009               D007800200216 
 178.       1034.      0.969      0.1986     0.0009               D007800200217 
 178.       1039.      0.968      0.1964     0.0009               D007800200218 
 178.       1044.      0.901      0.1808     0.0007               D007800200219 
 178.       1049.      0.937      0.1865     0.0008               D007800200220 
 178.       1053.      0.927      0.1829     0.0008               D007800200221 
 178.       1058.      0.919      0.1797     0.0008               D007800200222 
 178.       1064.      0.944      0.1824     0.0008               D007800200223 
 178.       1070.      0.922      0.1765     0.0008               D007800200224 
 178.       1074.      0.961      0.1824     0.0008               D007800200225 
 178.       1079.      0.934      0.1756     0.0007               D007800200226 
 178.       1084.      0.905      0.1686     0.0007               D007800200227 
 178.       1089.      0.916      0.1690     0.0006               D007800200228 
 178.       1094.      0.918      0.1679     0.0007               D007800200229 
 178.       1099.      0.970      0.1758     0.0007               D007800200230 
 178.       1100.      0.907      0.1641     0.0006               D007800200231 
 178.       1139.      0.911      0.1537     0.0007               D007800200232 
 178.       1149.      0.964      0.1598     0.0006               D007800200233 
 178.       1167.      0.866      0.1392     0.0007               D007800200234 
 178.       1199.      1.123      0.1710     0.0006               D007800200235 
 178.       1219.      1.014      0.1495     0.0006               D007800200236 
 178.       1249.      1.025      0.1437     0.0006               D007800200237 
 178.       1259.      0.949      0.1311     0.0005               D007800200238 
 178.       1299.      0.946      0.1228     0.0005               D007800200239 
 178.       1340.      0.909      0.1108     0.0005               D007800200240 
 178.       1349.      0.958      0.1152     0.0005               D007800200241 
 178.       1380.      0.948      0.1090     0.0005               D007800200242 
 178.       1399.      1.051      0.1176     0.0005               D007800200243 
 178.       1409.      1.010      0.1113     0.0006               D007800200244 
 178.       1418.      0.994      0.1081     0.0005               D007800200245 
 178.       1429.      0.952      0.1021     0.0006               D007800200246 
 178.       1438.      0.889      0.0941     0.0005               D007800200247 
 178.       1449.      0.847      0.0883     0.0007               D007800200248 
 178.       1458.      1.041      0.1071     0.0007               D007800200249 
 178.       1468.      1.049      0.1064     0.0006               D007800200250 
 178.       1479.      1.028      0.1028     0.0006               D007800200251 
 178.       1489.      0.968      0.0955     0.0006               D007800200252 
 178.       1498.      1.072      0.1045     0.0006               D007800200253 
 178.       1499.      0.895      0.0871     0.0006               D007800200254 
 178.       1509.      1.022      0.0982     0.0006               D007800200255 
 178.       1519.      1.042      0.0987     0.0005               D007800200256 
 178.       1529.      1.054      0.0986     0.0007               D007800200257 
 178.       1534.      1.030      0.0958     0.0006               D007800200258 
 178.       1540.      1.052      0.0971     0.0006               D007800200259 
 178.       1544.      1.006      0.0924     0.0005               D007800200260 
 178.       1549.      0.996      0.0908     0.0006               D007800200261 
 178.       1549.      1.050      0.0958     0.0004               D007800200262 
 178.       1558.      0.929      0.0837     0.0005               D007800200263 
 178.       1565.      0.787      0.0703     0.0006               D007800200264 
 178.       1569.      0.742      0.0660     0.0006               D007800200265 
 178.       1573.      1.000      0.0884     0.0006               D007800200266 
 178.       1579.      1.175      0.1030     0.0007               D007800200267 
 178.       1588.      1.011      0.0876     0.0006               D007800200268 
 178.       1599.      1.001      0.0856     0.0006               D007800200269 
 178.       1609.      0.994      0.0840     0.0006               D007800200270 
 178.       1618.      1.013      0.0846     0.0006               D007800200271 
 178.       1629.      0.963      0.0794     0.0006               D007800200272 
 178.       1639.      0.898      0.0731     0.0006               D007800200273 
 178.       1649.      0.935      0.0753     0.0006               D007800200274 
 178.       1655.      0.890      0.0711     0.0005               D007800200275 
 178.       1660.      1.256      0.0998     0.0005               D007800200276 
 178.       1663.      1.206      0.0953     0.0005               D007800200277 
 178.       1668.      1.051      0.0826     0.0005               D007800200278 
 178.       1679.      1.026      0.0796     0.0005               D007800200279 
 178.       1690.      0.883      0.0676     0.0005               D007800200280 
 178.       1699.      0.866      0.0656     0.0005               D007800200281 
 178.       1708.      0.923      0.0692     0.0005               D007800200282 
 178.       1719.      1.025      0.0759     0.0003               D007800200283 
 178.       1724.      1.187      0.0873     0.0004               D007800200284 
 178.       1728.      1.148      0.0841     0.0005               D007800200285 
 178.       1735.      1.135      0.0825     0.0004               D007800200286 
 178.       1739.      1.072      0.0775     0.0006               D007800200287 
 178.       1749.      1.342      0.0960     0.0004               D007800200288 
 178.       1753.      1.281      0.0911     0.0004               D007800200289 
 178.       1760.      1.199      0.0847     0.0004               D007800200290 
 178.       1765.      1.154      0.0810     0.0003               D007800200291 
 178.       1769.      1.100      0.0769     0.0004               D007800200292 
 178.       1774.      1.094      0.0761     0.0005               D007800200293 
 178.       1778.      1.158      0.0801     0.0005               D007800200294 
 178.       1784.      1.078      0.0741     0.0006               D007800200295 
 178.       1789.      0.978      0.0668     0.0005               D007800200296 
 178.       1795.      1.011      0.0687     0.0005               D007800200297 
 178.       1800.      1.080      0.0729     0.0006               D007800200298 
 178.       1804.      1.065      0.0716     0.0005               D007800200299 
 178.       1814.      1.086      0.0722     0.0004               D007800200300 
 178.       1825.      1.072      0.0705     0.0003               D007800200301 
 178.       1834.      1.088      0.0708     0.0003               D007800200302 
 178.       1849.      1.055      0.0675     0.0004               D007800200303 
 178.       1899.      0.899      0.0545     0.0005               D007800200304 
 178.       1901.      0.801      0.0485     0.0007               D007800200305 
 178.       1950.      0.786      0.0452     0.0004               D007800200306 
 178.       1951.      0.812      0.0467     0.0004               D007800200307 
 178.       2000.      1.289      0.0705     0.0005               D007800200308 
 178.       2024.      0.969      0.0517     0.0003               D007800200309 
 178.       2050.      1.923      0.1001     0.0006               D007800200310 
 178.       2074.      1.214      0.0618     0.0043               D007800200311 
 178.       2099.      1.135      0.0564     0.0027               D007800200312 
 178.       2123.      1.153      0.0560     0.0017               D007800200313 
 178.       2149.      1.442      0.0683     0.0015               D007800200314 
 178.       2150.      1.374      0.0650     0.0015               D007800200315 
 178.       2174.      1.014      0.0469     0.0013               D007800200316 
 178.       2199.      0.735      0.0332     0.0013               D007800200317 
 178.       2200.      0.639      0.0289     0.0016               D007800200318 
 178.       2224.      0.982      0.0434     0.0013               D007800200319 
 178.       2249.      1.651      0.0714     0.0013               D007800200320 
 178.       2274.      1.559      0.0659     0.0012               D007800200321 
 178.       2299.      1.932      0.0799     0.0010               D007800200322 
 178.       2324.      1.539      0.0623     0.0009               D007800200323 
 178.       2349.      1.301      0.0515     0.0009               D007800200324 
 178.       2350.      1.368      0.0542     0.0008               D007800200325 
 178.       2354.      1.211      0.0478     0.0010               D007800200326 
 178.       2358.      1.219      0.0479     0.0008               D007800200327 
 178.       2361.      1.144      0.0449     0.0009               D007800200328 
 178.       2369.      0.764      0.0298     0.0008               D007800200329 
 178.       2374.      0.928      0.0360     0.0008               D007800200330 
 178.       2378.      0.766      0.0296     0.0009               D007800200331 
 178.       2384.      1.069      0.0411     0.0009               D007800200332 
 178.       2389.      1.305      0.0500     0.0009               D007800200333 
 178.       2395.      1.587      0.0605     0.0007               D007800200334 
 178.       2398.      1.334      0.0507     0.0009               D007800200335 
 178.       2399.      1.228      0.0467     0.0014               D007800200336 
 178.       2424.      1.144      0.0426     0.0009               D007800200337 
 178.       2450.      1.410      0.0514     0.0008               D007800200338 
 178.       2466.      1.186      0.0427     0.0010               D007800200339 
 178.       2474.      1.213      0.0434     0.0008               D007800200340 
 178.       2484.      1.542      0.0547     0.0008               D007800200341 
 178.       2498.      0.805      0.0282     0.0009               D007800200342 
 178.       2500.      0.926      0.0324     0.0009               D007800200343 
ENDDATA            324          0                                 D007800200344 
ENDSUBENT          343          0                                 D007800299999 
SUBENT        D0078003   20110912                             D080D007800300001 
BIB                  4          9                                 D007800300002 
REACTION  1(6-C-12(P,EL)6-C-12,,DA,,RTH)                          D007800300003 
          2(6-C-12(P,EL)6-C-12,,DA)                               D007800300004 
SAMPLE     The carbon target consisted of a self-supporting,      D007800300005 
            (1200+-60)x10**15/cm2 thick C foil, prepared by       D007800300006 
            evaporation and coated with (270+-13)x10**15/cm2 gold,D007800300007 
            also evaporated over its surface.                     D007800300008 
           No impurities were detected in the sample.             D007800300009 
STATUS     (TABLE) Fig.1 of Nucl.Instrum.Meth.B190(2002)95        D007800300010 
HISTORY    (20110912A) On. Uncertainty of Rutherford ratio added  D007800300011 
ENDBIB               9          0                                 D007800300012 
NOCOMMON             0          0                                 D007800300013 
DATA                 6        122                                 D007800300014 
ANG        EN         DATA      1DATA-ERR  1DATA      2DATA-ERR  2D007800300015 
ADEG       KEV        NO-DIM     NO-DIM     B/SR       B/SR       D007800300016 
 140.        493.       2.751     0.021      0.6993     0.0053    D007800300017 
 140.        542.       2.375     0.027      0.4962     0.0057    D007800300018 
 140.        643.       2.374     0.030      0.3496     0.0045    D007800300019 
 140.        693.       2.430     0.030      0.3073     0.0038    D007800300020 
 140.        744.       2.550     0.031      0.2790     0.0034    D007800300021 
 140.        845.       2.955     0.041      0.2502     0.0035    D007800300022 
 140.        894.       3.124     0.048      0.2356     0.0037    D007800300023 
 140.        945.       3.198     0.050      0.2158     0.0034    D007800300024 
 140.        995.       3.343     0.050      0.2032     0.0030    D007800300025 
 140.       1044.       3.643     0.049      0.2007     0.0027    D007800300026 
 140.       1094.       3.860     0.055      0.1935     0.0028    D007800300027 
 140.       1145.       4.166     0.051      0.1905     0.0023    D007800300028 
 140.       1195.       4.368     0.040      0.1834     0.0017    D007800300029 
 140.       1246.       4.570     0.056      0.1764     0.0022    D007800300030 
 140.       1294.       4.913     0.073      0.1755     0.0026    D007800300031 
 140.       1345.       5.310     0.081      0.1755     0.0027    D007800300032 
 140.       1396.       5.654     0.072      0.1735     0.0022    D007800300033 
 140.       1445.       5.870     0.090      0.1681     0.0026    D007800300034 
 140.       1495.       6.373     0.100      0.1704     0.0027    D007800300035 
 140.       1544.       6.632     0.102      0.1660     0.0026    D007800300036 
 140.       1595.       6.920     0.098      0.1624     0.0023    D007800300037 
 140.       1646.       4.885     0.062      0.1076     0.0014    D007800300038 
 140.       1655.       3.741     0.054      0.0815     0.0012    D007800300039 
 140.       1665.       1.981     0.029      0.0426     0.0006    D007800300040 
 140.       1675.       0.297     0.008      0.0063     0.0002    D007800300041 
 140.       1686.       1.373     0.020      0.0288     0.0004    D007800300042 
 140.       1695.       5.423     0.080      0.1126     0.0017    D007800300043 
 140.       1696.       5.603     0.075      0.1162     0.0016    D007800300044 
 140.       1704.      11.681     0.184      0.2398     0.0038    D007800300045 
 140.       1711.      17.179     0.280      0.3498     0.0057    D007800300046 
 140.       1716.      19.738     0.306      0.3999     0.0062    D007800300047 
 140.       1720.      22.314     0.393      0.4497     0.0079    D007800300048 
 140.       1724.      24.569     0.362      0.4927     0.0073    D007800300049 
 140.       1731.      24.473     0.379      0.4872     0.0076    D007800300050 
 140.       1736.      22.746     0.403      0.4502     0.0080    D007800300051 
 140.       1745.      18.823     0.318      0.3685     0.0062    D007800300052 
