ENTRY            D8104   20250129                             D145D810400000001 
SUBENT        D8104001   20250129                             D145D810400100001 
BIB                 10         36                                 D810400100002 
TITLE      Multichannel experimental and theoretical approach to  D810400100003 
            the 12C(18O,18F)12B single-charge-exchange reaction atD810400100004 
            275 MeV. II. Competition between the meson exchange   D810400100005 
            and the sequential transfer in the reaction mechanism D810400100006 
AUTHOR     (A.Spatafora, F.Cappuzzello, D.Carbone, M.Cavallaro,   D810400100007 
            G.De Gregorio, J.A.Lay, L.Acosta, C.Agodi,            D810400100008 
            P.Amador-Valenzuela, J.I.Bellone, G.A.Brischetto,     D810400100009 
            D.Calvo, E.R.Chavez Lomeli, I.Ciraldo, F.Delaunay,    D810400100010 
            H.Djapo, C.Eke, P.Finocchiaro, S.Firat, M.Fisichella, D810400100011 
            A.Gargano, A.Hacisalihoglu, L.La Fauci, H.Lenske,     D810400100012 
            R.Linares, N.Medina, M.Moralles, J.R.B.Oliveira,      D810400100013 
            A.Pakou, L.Pandola, S.S.Perrotta, H.Petrascu,         D810400100014 
            O.Sgouros, M.A.G.da Silveira, S.O.Solakci, V.Soukeras,D810400100015 
            G.Souliotis, D.Torresi, S.Tudisco, B.Urazbekov,       D810400100016 
            A.Yildirim, V.A.B.Zagatto)                            D810400100017 
INSTITUTE  (2ITYLNS,2ITYCAT,2ITYFSN,2ITYNAP,2SPNSEU,3MEXUMX,      D810400100018 
            2SPNIEM,3MEXINI,2ITYTUR,2FR CAE,2TUKANK,2FR GAN,      D810400100019 
            2GERJLU,3BZLUFF,3BZLIPE,3BZLUSP,2GRCIOA,1USALRL,      D810400100020 
            3RUMBUC,4KASATN,4KASKAZ)                              D810400100021 
           (2TUKTUK) Akdeniz University, Antalya; Karadeniz       D810400100022 
            Teknik Universitesi, Trabzon; Recep Tayyip Erdogan    D810400100023 
            University, Rize; Turkish Accelerator and Radiation   D810400100024 
            Laboratory, Ankara                                    D810400100025 
           (3BZLBZL) Centro Universitario FEI, Sao Bernardo do    D810400100026 
            Campo                                                 D810400100027 
           (2GRCGRC) University of Athens and Hellenic Institute  D810400100028 
            of Nuclear Physics, Athens                            D810400100029 
REFERENCE  (J,PR/C,110,064612,2024)                               D810400100030 
FACILITY   (CYCLO,2ITYLNS) Superconducting Cyclotron K800         D810400100031 
SAMPLE     Two self-supporting 12c targets (60+/-3 ug/cm2 and     D810400100032 
            200+/-10 ug/cm2)                                      D810400100033 
DETECTOR   (MAGSP,IOCH,SI) MAGNEX scattering chamber              D810400100034 
ERR-ANALYS (ERR-SYS) charge collection and target thickness (10%) D810400100035 
STATUS     (APRVD) Proof-read by Alessandro Spatafora             D810400100036 
HISTORY    (20250107R) Received by e-mail from A.Spatafora        D810400100037 
           (20250127C) M.Odsuren, N.Otsuka                        D810400100038 
ENDBIB              36          0                                 D810400100039 
COMMON               2          3                                 D810400100040 
EN         ERR-SYS                                                D810400100041 
MEV        PER-CENT                                               D810400100042 
 275.       10.                                                   D810400100043 
ENDCOMMON            3          0                                 D810400100044 
ENDSUBENT           43          0                                 D810400199999 
SUBENT        D8104002   20250129                             D145D810400200001 
BIB                  4          4                                 D810400200002 
REACTION   (6-C-12(8-O-18,5-B-12)9-F-18,PAR,DA,RSD)               D810400200003 
ANG-SEC    (ANG-CM,9-F-18)                                        D810400200004 
ERR-ANALYS (DATA-ERR) statistics and solid angle determination    D810400200005 
STATUS     (TABLE,,A.Spatafora,J,PR/C,110,064612,2024) Fig.2      D810400200006 
ENDBIB               4          0                                 D810400200007 
NOCOMMON             0          0                                 D810400200008 
DATA                 5        120                                 D810400200009 
Q-VAL-MAX  Q-VAL-MIN  ANG-CM     DATA-CM    DATA-ERR              D810400200010 
-20.0      -21.3       18.65604   0.194077   0.009462             D810400200120 
-20.0      -21.3       19.728615  0.13524    0.010319             D810400200121 
-20.0      -21.3       23.761303  0.072453   0.028742             D810400200122 
-20.0      -21.3       24.839821  0.058425   0.002977             D810400200123 
-20.0      -21.3       25.919802  0.057951   0.002953             D810400200124 
-20.0      -21.3       27.001324  0.051563   0.002826             D810400200125 
-20.0      -21.3       28.084466  0.044764   0.002637             D810400200126 
-20.0      -21.3       29.169311  0.032881   0.002222             D810400200127 
-20.0      -21.3       30.255943  0.030316   0.002206             D810400200128 
-20.0      -21.3       31.889435  0.020157   0.001256             D810400200129 
-20.0      -21.3       34.074521  0.015133   0.001135             D810400200130 
-20.0      -21.3       36.818375  0.007441   0.000664             D810400200131 
ENDDATA            122          0                                 D810400200132 
ENDSUBENT          131          0                                 D810400299999 
SUBENT        D8104003   20250129                             D145D810400300001 
BIB                  4          4                                 D810400300002 
REACTION   (6-C-12(8-O-18,5-B-12)9-F-18,PAR,IPA,RSD)              D810400300003 
ANG-SEC    (ANG,9-F-18)                                           D810400300004 
ERR-ANALYS (DATA-ERR) statistics and solid angle determination    D810400300005 
STATUS     (TABLE,,A.Spatafora,J,PR/C,110,064612,2024) Table 1    D810400300006 
ENDBIB               4          0                                 D810400300007 
COMMON               2          3                                 D810400300008 
ANG-MIN    ANG-MAX                                                D810400300009 
ADEG       ADEG                                                   D810400300010 
 3.5        13.4                                                  D810400300011 
ENDCOMMON            3          0                                 D810400300012 
DATA                 4          5                                 D810400300013 
Q-VAL-MAX  Q-VAL-MIN  DATA       DATA-ERR                         D810400300014 
MEV        MEV        MICRO-B    MICRO-B                          D810400300015 
-14.5      -15.5        18.       1.                              D810400300016 
-15.5      -16.5        43.       1.                              D810400300017 
-16.5      -17.3        47.       1.                              D810400300018 
-19.0      -20.0       114.       2.                              D810400300019 
-20.0      -21.3       216.       3.                              D810400300020 
ENDDATA              7          0                                 D810400300021 
ENDSUBENT           20          0                                 D810400399999 
ENDENTRY             3          0                                 D810499999999 
