ENTRY            C1467   20080410                             C084C146700000001 
SUBENT        C1467001   20080410                             C084C146700100001 
BIB                 11         40                                 C146700100002 
INSTITUTE  (1USANCA,1USATNL)+ Univ. of North Carolina, Wilmington C146700100003 
            and University of Pisa, Italy                         C146700100004 
REFERENCE  (J,PR/C,74,034001,2006)                                C146700100005 
AUTHOR     (B.M.Fisher,C.R.Brune,H.J.Karwowski,D.S.Leonard,       C146700100006 
            E.J.Ludwig,T.C.Black,M.Viviani,A.Kievsky,S.Rosati)    C146700100007 
TITLE      Proton-3He elastic scattering at low energies          C146700100008 
FACILITY   (ACCEL,1USATNL) the TUNL supersonic gas-jet target, a  C146700100009 
            refurbished and upgraded version of the target        C146700100010 
            designed and built at the University of               C146700100011 
            Erlangen-Nurnberg                                     C146700100012 
INC-SPECT  A beam of 3He++ ions was accelerated with the FN       C146700100013 
            tandem accelerator and then deflected onto the        C146700100014 
            hydrogen gas-jet target.                              C146700100015 
SAMPLE     Target thicknesses of about 5 x 10E17 atoms/cm2 were   C146700100016 
            routinely obtained in a narrow jet (about1 mm) for    C146700100017 
            the measurements in this work, facilitating very      C146700100018 
            reasonable counting times for the cross sections      C146700100019 
            measured.                                             C146700100020 
DETECTOR   (SIBAR) Each detector was fitted with a pair of        C146700100021 
            rectangular slits mounted in a cylindrical "snout".   C146700100022 
METHOD     The measurements were performed in inverse kinematics  C146700100023 
            using a 3He beam incident on a hydrogen gas-jet.      C146700100024 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C146700100025 
           (ERR-SYS) Systematic uncertainty                       C146700100026 
           Source               Mixed-jet type        Error (%)   C146700100027 
           Counting statistics     stat.                0.3       C146700100028 
           40Ar/H2 ratio           stat.                0.6       C146700100029 
                                   sys.                 0.5       C146700100030 
           40Ar-3He cross. sect.   sys.                 0.8       C146700100031 
           Angle setting           sys.                 1.0       C146700100032 
            *************************************************     C146700100033 
           Source             Beam-switching type     Error (%)   C146700100034 
           Counting statistics        stat.             0.4       C146700100035 
           Proton-proton cross. sect. sys.              0.7       C146700100036 
           BCI correction factor      sys.              1.0       C146700100037 
           Beam energy                sys.             <0.1       C146700100038 
           Angle setting              sys.             <0.1       C146700100039 
           Jet reproducibility        sys.              0.8       C146700100040 
HISTORY    (20070226C) DR                                         C146700100041 
           (20080210A) NDS SD. Reaction code was corrected        C146700100042 
ENDBIB              40          0                                 C146700100043 
NOCOMMON             0          0                                 C146700100044 
ENDSUBENT           43          0                                 C146700199999 
SUBENT        C1467002   20080410                             C084C146700200001 
BIB                  2          2                                 C146700200002 
REACTION   (1-H-1(HE3,EL)1-H-1,,DA)                               C146700200003 
STATUS     Data received by email from B.M.Fisher, Feb. 22,2007   C146700200004 
ENDBIB               2          0                                 C146700200005 
NOCOMMON             0          0                                 C146700200006 
DATA                 5         98                                 C146700200007 
EN         ANG-CM     DATA-CM    ERR-S      ERR-SYS               C146700200008 
1.6        104.461    0.076410   0.001527                         C146700300025 
1.6        109.538    0.070262   0.001724                         C146700300026 
1.6        114.460    0.065440   0.001229                         C146700300027 
1.6        119.228    0.061426   0.001299                         C146700300028 
1.6        123.845    0.056326   0.002268                         C146700300029 
1.6        128.315    0.050280   0.002416                         C146700300030 
2.27        33.132    0.045660   0.001872                         C146700300031 
2.27        39.634    0.085779   0.002440                         C146700300032 
2.27        46.068    0.114105   0.002895                         C146700300033 
2.27        52.423    0.143487   0.002581                         C146700300034 
2.27        58.689    0.161876   0.004125                         C146700300035 
2.27        64.855    0.169347   0.004245                         C146700300036 
2.27        70.910    0.179332   0.002866                         C146700300037 
2.27        76.846    0.185451   0.003968                         C146700300038 
2.27        82.654    0.185596   0.003964                         C146700300039 
2.27        88.326    0.179642   0.003801                         C146700300040 
2.27        93.856    0.168013   0.003909                         C146700300041 
2.27        99.238    0.160035   0.003628                         C146700300042 
2.27       104.469    0.147664   0.003355                         C146700300043 
2.27       109.545    0.138683   0.003409                         C146700300044 
2.27       114.467    0.122617   0.003039                         C146700300045 
2.27       119.235    0.108109   0.002705                         C146700300046 
2.27       123.852    0.098145   0.002593                         C146700300047 
2.27       128.321    0.089905   0.002316                         C146700300048 
2.27       132.647    0.077888   0.002168                         C146700300049 
2.27       136.839    0.072156   0.002351                         C146700300050 
2.27       140.902    0.064073   0.002413                         C146700300051 
2.27       144.846    0.056155   0.002023                         C146700300052 
2.27       148.680    0.049742   0.002097                         C146700300053 
2.27       152.415    0.045477   0.001953                         C146700300054 
2.27       156.060    0.040170   0.002001                         C146700300055 
2.27       159.627    0.026261   0.002328                         C146700300056 
2.27       163.126    0.027176   0.001666                         C146700300057 
2.27       166.568    0.023582   0.001423                         C146700300058 
3.13        26.578    0.079216   0.002301                         C146700300059 
3.13        33.138    0.132363   0.002132                         C146700300060 
3.13        39.640    0.152121   0.002454                         C146700300061 
3.13        46.075    0.166768   0.002628                         C146700300062 
3.13        52.431    0.187321   0.002002                         C146700300063 
3.13        58.697    0.206868   0.002106                         C146700300064 
3.13        64.864    0.227527   0.001827                         C146700300065 
3.13        70.919    0.257034   0.002269                         C146700300066 
3.13        76.856    0.277728   0.002414                         C146700300067 
3.13        82.664    0.298277   0.003687                         C146700300068 
3.13        88.336    0.308038   0.003867                         C146700300069 
3.13        93.866    0.301417   0.003649                         C146700300070 
3.13        99.248    0.290232   0.003471                         C146700300071 
3.13       104.478    0.270506   0.003331                         C146700300072 
3.13       109.555    0.247253   0.002253                         C146700300073 
3.13       114.476    0.217801   0.002856                         C146700300074 
3.13       119.244    0.199098   0.002759                         C146700300075 
3.13       123.860    0.174141   0.001815                         C146700300076 
3.13       128.328    0.155274   0.002361                         C146700300077 
3.13       132.655    0.131052   0.001931                         C146700300078 
3.13       136.845    0.111848   0.001334                         C146700300079 
3.13       140.908    0.100185   0.001198                         C146700300080 
3.13       144.852    0.089494   0.001453                         C146700300081 
3.13       148.685    0.075126   0.001512                         C146700300082 
3.13       152.419    0.065208   0.001510                         C146700300083 
3.13       156.064    0.054725   0.001519                         C146700300084 
3.13       159.630    0.048287   0.001516                         C146700300085 
3.13       163.128    0.035177   0.001230                         C146700300086 
3.13       166.570    0.032536   0.001441                         C146700300087 
3.13       169.967    0.024411   0.001319                         C146700300088 
4.06        26.583    0.103176   0.003761                         C146700300089 
4.06        33.143    0.103885   0.003154                         C146700300090 
4.06        39.647    0.109463   0.001867                         C146700300091 
4.06        46.083    0.115866   0.002168                         C146700300092 
4.06        52.440    0.125040   0.003170                         C146700300093 
4.06        58.707    0.143063   0.001844                         C146700300094 
4.06        64.873    0.174717   0.002759                         C146700300095 
4.06        70.929    0.206947   0.004632                         C146700300096 
4.06        76.866    0.255925   0.003116                         C146700300097 
4.06        82.674    0.301128   0.006456                         C146700300098 
4.06        88.347    0.353034   0.007506                         C146700300099 
4.06        93.876    0.384756   0.004574                         C146700300100 
4.06        99.258    0.396909   0.008303                         C146700300101 
4.06       104.488    0.381134   0.008000                         C146700300102 
4.06       109.565    0.360691   0.007370                         C146700300103 
4.06       114.486    0.324317   0.006618                         C146700300104 
4.06       119.253    0.284090   0.005892                         C146700300105 
4.06       123.869    0.249300   0.005224                         C146700300106 
4.06       128.337    0.226378   0.004852                         C146700300107 
4.06       132.662    0.193231   0.004176                         C146700300108 
4.06       136.853    0.166348   0.003680                         C146700300109 
4.06       140.915    0.139398   0.002231                         C146700300110 
4.06       144.858    0.119214   0.001982                         C146700300111 
4.06       148.691    0.102234   0.001800                         C146700300112 
4.06       152.424    0.090840   0.002649                         C146700300113 
4.06       156.068    0.075013   0.002378                         C146700300114 
4.06       159.634    0.062294   0.002258                         C146700300115 
4.06       166.573    0.032507   0.001632                         C146700300116 
ENDDATA            105          0                                 C146700300117 
ENDSUBENT          116          0                                 C146700399999 
ENDENTRY             3          0                                 C146799999999 
