ENTRY            C2900   20231107                             C237C2900000    1 
SUBENT        C2900001   20231107                             C237C2900001    1 
BIB                 10         17                                 C2900001    2 
TITLE       (f7/2) 2,0(d3/2)-1 configuration states in 41Ca       C2900001    3 
           strongly populated by the 39K(alpha,d) reaction        C2900001    4 
AUTHOR     (H.Nann,W.S.Chien,A.Saha,B.H.Wildenthal)               C2900001    5 
INSTITUTE  (1USAMSU)                                              C2900001    6 
REFERENCE  (J,PR/C,12,1524,1975)                                  C2900001    7 
           #doi:10.1103/PhysRevC.12.1524                          C2900001    8 
           (J,PR/C,12,1524,1975) Data for K-39 at E-LVL=5.22 MeV. C2900001    9 
FACILITY   (CYCLO,1USAMSU)                                        C2900001   10 
DETECTOR   (MAGSP,PROPC,SCIN) Products detected in focal plane of C2900001   11 
            an Engle splin-pole magnetic spectrograph with a      C2900001   12 
            proportional-counter plastic-scintillator combination.C2900001   13 
METHOD     (STTA)                                                 C2900001   14 
SAMPLE     The target thicknesses were determined by measuring    C2900001   15 
           the elastic scattering and normalizing to              C2900001   16 
           calculations with standard optical model parameters.   C2900001   17 
ERR-ANALYS (DATA-ERR) Estimated absolute uncertainty.             C2900001   18 
HISTORY    (20230209C)                                            C2900001   19 
ENDBIB              17          0                                 C2900001   20 
COMMON               2          3                                 C2900001   21 
EN         DATA-ERR                                               C2900001   22 
MEV        PER-CENT                                               C2900001   23 
  40.        30.                                                  C2900001   24 
ENDCOMMON            3          0                                 C2900001   25 
ENDSUBENT           24          0                                 C290000199999 
SUBENT        C2900002   20231107                             C237C2900002    1 
BIB                  4          7                                 C2900002    2 
REACTION   (19-K-39(A,D)20-CA-41,PAR,DA)                          C2900002    3 
SAMPLE     The target was made by evaporating natural potassium   C2900002    4 
           metal onto a thin carbon backing and was kept under    C2900002    5 
           vacuum at all times. The target thickness was about    C2900002    6 
           60 mu-g/cm2.                                           C2900002    7 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C2900002    8 
STATUS     (CURVE,,H.Nann+,J,PR/C,12,1524,1975) Figs.2-3 (p.1525) C2900002    9 
ENDBIB               7          0                                 C2900002   10 
NOCOMMON             0          0                                 C2900002   11 
DATA                 4        114                                 C2900002   12 
       3.92     20.990  2.131E+02  2.256E+01                      C2900002   47 
       3.92     25.303  1.586E+02  1.804E+01                      C2900002   48 
       3.92     29.521  1.180E+02  1.890E+01                      C2900002   49 
       3.92     33.834  8.727E+01  1.187E+01                      C2900002   50 
       3.92     38.051  5.953E+01  1.279E+01                      C2900002   51 
       3.92     43.514  4.707E+01  1.128E+01                      C2900002   52 
       3.92     53.962  5.642E+01  1.442E+01                      C2900002   53 
       3.97     10.639  9.402E+01  1.017E+01                      C2900002   54 
       3.97     16.102  8.087E+01  1.187E+01                      C2900002   55 
       3.97     21.086  8.143E+01  8.810E+00                      C2900002   56 
       3.97     25.399  6.107E+01  7.083E+00                      C2900002   57 
       3.97     29.521  3.412E+01  8.704E+00                      C2900002   58 
       3.97     33.642  2.423E+01  3.367E+00                      C2900002   59 
       3.97     37.859  2.084E+01  4.578E+00                      C2900002   60 
       3.97     43.227  2.084E+01  5.106E+00                      C2900002   61 
       3.97     53.866  1.880E+01  5.423E+00                      C2900002   62 
       4.52      6.411  2.484E+02  2.223E+01                      C2900002   63 
       4.52     10.723  2.354E+02  2.249E+01                      C2900002   64 
       4.52     16.281  2.230E+02  2.356E+01                      C2900002   65 
       4.52     21.359  2.043E+02  1.560E+01                      C2900002   66 
       4.52     25.477  1.727E+02  1.226E+01                      C2900002   67 
       4.52     29.687  1.252E+02  8.104E+00                      C2900002   68 
       4.52     33.895  8.426E+01  6.508E+00                      C2900002   69 
       4.52     38.104  5.946E+01  4.957E+00                      C2900002   70 
       4.52     43.366  3.845E+01  5.045E+00                      C2900002   71 
       4.52     53.916  5.226E+01  7.891E+00                      C2900002   72 
       4.98      5.618  2.360E+02  3.268E+01                      C2900002   73 
       4.98      9.751  1.820E+02  2.304E+01                      C2900002   74 
       4.98     15.474  1.246E+02  1.683E+01                      C2900002   75 
       4.98     21.079  1.091E+02  1.291E+01                      C2900002   76 
       4.98     24.677  9.623E+01  1.059E+01                      C2900002   77 
       4.98     28.804  8.361E+01  9.195E+00                      C2900002   78 
       4.98     31.667  6.741E+01  7.415E+00                      C2900002   79 
       4.98     37.292  3.918E+01  5.624E+00                      C2900002   80 
       4.98     42.796  3.137E+01  4.235E+00                      C2900002   81 
       4.98     53.369  2.592E+01  3.283E+00                      C2900002   82 
       5.22      6.517  8.434E+02  7.407E+01                      C2900002   83 
       5.22     11.128  7.636E+02  7.160E+01                      C2900002   84 
       5.22     16.511  7.380E+02  7.640E+01                      C2900002   85 
       5.22     21.315  6.904E+02  3.101E+01                      C2900002   86 
       5.22     25.633  5.739E+02  2.938E+01                      C2900002   87 
       5.22     29.755  4.352E+02  1.956E+01                      C2900002   88 
       5.22     34.065  3.050E+02  2.126E+01                      C2900002   89 
       5.22     38.280  2.152E+02  1.760E+01                      C2900002   90 
       5.22     43.650  1.579E+02  2.034E+01                      C2900002   91 
       5.22     54.222  1.437E+02  1.518E+01                      C2900002   92 
       5.35      6.607  3.467E+02  5.108E+01                      C2900002   93 
       5.35     10.736  3.513E+02  4.084E+01                      C2900002   94 
       5.35     16.493  3.167E+02  3.439E+01                      C2900002   95 
       5.35     21.293  3.058E+02  2.402E+01                      C2900002   96 
       5.35     25.611  2.893E+02  2.272E+01                      C2900002   97 
       5.35     29.924  2.065E+02  1.622E+01                      C2900002   98 
       5.35     33.946  1.329E+02  1.545E+01                      C2900002   99 
       5.35     38.352  8.441E+01  1.244E+01                      C2900002  100 
       5.35     43.532  7.154E+01  2.199E+01                      C2900002  101 
       5.35     54.382  7.653E+01  1.753E+01                      C2900002  102 
       5.52      6.116  3.059E+02  3.012E+01                      C2900002  103 
       5.52     10.123  2.757E+02  3.468E+01                      C2900002  104 
       5.52     16.028  2.343E+02  2.307E+01                      C2900002  105 
       5.52     20.879  1.365E+02  1.603E+01                      C2900002  106 
       5.52     24.886  1.000E+02  1.258E+01                      C2900002  107 
       5.52     29.209  7.220E+01  1.152E+01                      C2900002  108 
       5.52     33.322  5.868E+01  1.089E+01                      C2900002  109 
       5.52     37.645  5.572E+01  8.892E+00                      C2900002  110 
       5.52     42.812  5.409E+01  1.295E+01                      C2900002  111 
       6.07      6.608  7.361E+02  9.943E+01                      C2900002  112 
       6.07     10.620  6.932E+02  7.052E+01                      C2900002  113 
       6.07     16.425  5.622E+02  5.570E+01                      C2900002  114 
       6.07     21.273  3.620E+02  1.940E+01                      C2900002  115 
       6.07     25.492  2.808E+02  2.173E+01                      C2900002  116 
       6.07     29.709  1.992E+02  1.568E+01                      C2900002  117 
       6.07     33.928  1.569E+02  1.127E+01                      C2900002  118 
       6.07     38.153  1.522E+02  1.800E+01                      C2900002  119 
       6.07     43.534  1.189E+02  1.307E+01                      C2900002  120 
       6.07     54.191  7.373E+01  8.107E+00                      C2900002  121 
       6.48      6.919  3.643E+02  4.855E+01                      C2900002  122 
       6.48     11.029  3.107E+02  3.195E+01                      C2900002  123 
       6.48     16.617  2.569E+02  2.570E+01                      C2900002  124 
       6.48     21.451  1.671E+02  1.997E+01                      C2900002  125 
       6.48     29.859  8.089E+01  8.985E+00                      C2900002  126 
       6.48     34.185  7.492E+01  8.328E+00                      C2900002  127 
       6.48     38.301  7.046E+01  7.829E+00                      C2900002  128 
ENDDATA            116          0                                 C2900002  129 
ENDSUBENT          128          0                                 C290000299999 
SUBENT        C2900003   20231107                             C237C2900003    1 
BIB                  2          2                                 C2900003    2 
REACTION   (20-CA-40(A,D)21-SC-42,PAR,DA)                         C2900003    3 
STATUS     (CURVE,,H.Nann+,J,PR/C,12,1524,1975) Figs.2-3 (p.1525) C2900003    4 
ENDBIB               2          0                                 C2900003    5 
NOCOMMON             0          0                                 C2900003    6 
DATA                 3         28                                 C2900003    7 
E-LVL      ANG-CM     DATA-CM                                     C2900003    8 
MEV        ADEG       MB/SR                                       C2900003    9 
       0.62      6.438  1.965E+03                                 C2900003   10 
       0.62     10.764  1.874E+03                                 C2900003   11 
       0.62     15.089  1.752E+03                                 C2900003   12 
       0.62     19.511  1.671E+03                                 C2900003   13 
       0.62     23.452  1.583E+03                                 C2900003   14 
       0.62     28.063  1.277E+03                                 C2900003   15 
       0.62     32.288  1.017E+03                                 C2900003   16 
       0.62     36.510  6.755E+02                                 C2900003   17 
       0.62     40.730  4.255E+02                                 C2900003   18 
       0.62     44.956  3.479E+02                                 C2900003   19 
       0.62     49.091  3.644E+02                                 C2900003   20 
       0.62     53.229  4.137E+02                                 C2900003   21 
       0.62     58.614  4.275E+02                                 C2900003   22 
       0.62     63.708  3.787E+02                                 C2900003   23 
       1.51      6.276  1.964E+03                                 C2900003   24 
       1.51     10.475  1.718E+03                                 C2900003   25 
       1.51     14.751  1.267E+03                                 C2900003   26 
       1.51     18.932  9.167E+02                                 C2900003   27 
       1.51     23.275  5.199E+02                                 C2900003   28 
       1.51     27.260  3.476E+02                                 C2900003   29 
       1.51     31.662  3.537E+02                                 C2900003   30 
       1.51     35.870  3.349E+02                                 C2900003   31 
       1.51     39.974  2.874E+02                                 C2900003   32 
       1.51     44.164  2.294E+02                                 C2900003   33 
       1.51     48.350  1.749E+02                                 C2900003   34 
       1.51     52.422  1.095E+02                                 C2900003   35 
       1.51     57.427  6.628E+01                                 C2900003   36 
       1.51     62.665  6.272E+01                                 C2900003   37 
ENDDATA             30          0                                 C2900003   38 
ENDSUBENT           37          0                                 C290000399999 
ENDENTRY             3          0                                 C290099999999 
