ENTRY            C1500   20070123                             C079C150000000001 
SUBENT        C1500001   20070123                             C079C150000100001 
BIB                 10         17                                 C150000100002 
INSTITUTE  (1USANOT,1USAFSU)                                      C150000100003 
REFERENCE  (J,PAN,69,1979,2006)                                   C150000100004 
AUTHOR     (B.B.Skorodumov,G.V.Rogachev,P.Boutachkov,A.Aprahamian,C150000100005 
            J.J.Kolata,L.O.Lamm,M.Quinn,A.Woehr)                  C150000100006 
TITLE      Investigation of the 19Na Nucleus via Resonance        C150000100007 
            Elastic Scattering                                    C150000100008 
FACILITY   (ACCEL,1USANOT) ISNAP (Institute of Structure and      C150000100009 
            Nuclear Astrophysics) at the University of Notre      C150000100010 
            Dame.                                                 C150000100011 
INC-SPECT  A beam of 18Ne was produced via the 3He(16O,18Ne)n     C150000100012 
            reaction.                                             C150000100013 
SAMPLE     Polyethylene (CH2) foil was used as the secondary      C150000100014 
            target. Its thickness of 5.52 mg/cm2 was chosen to    C150000100015 
            stop the 18Ne ions completely.                        C150000100016 
METHOD     Thick-target inverse-kinematics method.                C150000100017 
DETECTOR   (SIBAR)                                                C150000100018 
HISTORY    (20070109C) DR                                         C150000100019 
ENDBIB              17          0                                 C150000100020 
NOCOMMON             0          0                                 C150000100021 
ENDSUBENT           20          0                                 C150000199999 
SUBENT        C1500002   20070123                             C079C150000200001 
BIB                  3          4                                 C150000200002 
REACTION   (10-NE-18(P,EL)10-NE-18,,DA)                           C150000200003 
ERR-ANALYS (DATA-ERR) No information                              C150000200004 
STATUS     (CURVE) Data taken from Fig. 4, No answer from main    C150000200005 
            author.                                               C150000200006 
ENDBIB               4          0                                 C150000200007 
NOCOMMON             0          0                                 C150000200008 
DATA                 5         88                                 C150000200009 
ANG-CM     ANG-ERR    EN-CM      DATA-CM    DATA-ERR              C150000200010 
135.       2.4          1.260E+00  2.752E+02  3.158E+01           C150000200037 
135.       2.4          1.320E+00  2.879E+02  3.316E+01           C150000200038 
135.       2.4          1.380E+00  2.555E+02  3.000E+01           C150000200039 
135.       2.4          1.438E+00  2.823E+02  3.158E+01           C150000200040 
135.       2.4          1.500E+00  2.207E+02  2.842E+01           C150000200041 
135.       2.4          1.560E+00  2.389E+02  3.000E+01           C150000200042 
135.       2.4          1.620E+00  2.073E+02  2.526E+01           C150000200043 
135.       2.4          1.678E+00  1.836E+02  2.447E+01           C150000200044 
135.       2.4          1.743E+00  2.626E+02  2.921E+01           C150000200045 
135.       2.4          1.800E+00  1.244E+02  1.974E+01           C150000200046 
135.       2.4          1.863E+00  1.907E+02  2.447E+01           C150000200047 
135.       2.4          1.921E+00  1.631E+02  2.289E+01           C150000200048 
135.       2.4          1.983E+00  1.449E+02  1.974E+01           C150000200049 
135.       2.4          2.049E+00  1.694E+02  2.368E+01           C150000200050 
135.       2.4          2.109E+00  1.307E+02  1.895E+01           C150000200051 
135.       2.4          2.169E+00  1.205E+02  2.053E+01           C150000200052 
135.       2.4          2.231E+00  1.362E+02  1.895E+01           C150000200053 
135.       2.4          2.291E+00  1.023E+02  1.658E+01           C150000200054 
135.       2.4          2.354E+00  1.528E+02  2.132E+01           C150000200055 
135.       2.4          2.419E+00  1.189E+02  1.895E+01           C150000200056 
135.       2.4          2.479E+00  1.346E+02  1.974E+01           C150000200057 
135.       2.4          2.539E+00  1.078E+02  1.658E+01           C150000200058 
135.       2.4          2.602E+00  1.307E+02  1.816E+01           C150000200059 
135.       2.4          2.667E+00  1.267E+02  1.816E+01           C150000200060 
165.       2.5          6.736E-01  2.297E+02  3.441E+01           C150000200061 
165.       2.5          7.232E-01  2.544E+02  3.529E+01           C150000200062 
165.       2.5          7.754E-01  2.315E+02  3.353E+01           C150000200063 
165.       2.5          8.251E-01  1.891E+02  2.912E+01           C150000200064 
165.       2.5          8.773E-01  2.200E+02  3.176E+01           C150000200065 
165.       2.5          9.217E-01  8.588E+01  2.118E+01           C150000200066 
165.       2.5          9.765E-01  1.071E+02  2.294E+01           C150000200067 
165.       2.5          1.031E+00  1.856E+02  2.912E+01           C150000200068 
165.       2.5          1.084E+00  3.682E+02  4.059E+01           C150000200069 
165.       2.5          1.136E+00  3.647E+02  3.706E+01           C150000200070 
165.       2.5          1.185E+00  2.641E+02  3.441E+01           C150000200071 
165.       2.5          1.238E+00  2.888E+02  3.353E+01           C150000200072 
165.       2.5          1.290E+00  3.135E+02  3.529E+01           C150000200073 
165.       2.5          1.342E+00  2.809E+02  3.441E+01           C150000200074 
165.       2.5          1.397E+00  2.518E+02  3.176E+01           C150000200075 
165.       2.5          1.447E+00  1.882E+02  2.559E+01           C150000200076 
165.       2.5          1.504E+00  2.509E+02  3.176E+01           C150000200077 
165.       2.5          1.554E+00  2.518E+02  3.441E+01           C150000200078 
165.       2.5          1.606E+00  1.582E+02  2.294E+01           C150000200079 
165.       2.5          1.658E+00  1.618E+02  2.294E+01           C150000200080 
165.       2.5          1.713E+00  1.521E+02  2.206E+01           C150000200081 
165.       2.5          1.768E+00  1.874E+02  2.471E+01           C150000200082 
165.       2.5          1.817E+00  1.476E+02  2.029E+01           C150000200083 
165.       2.5          1.877E+00  1.300E+02  2.206E+01           C150000200084 
165.       2.5          1.930E+00  1.724E+02  2.382E+01           C150000200085 
165.       2.5          1.979E+00  1.238E+02  1.853E+01           C150000200086 
165.       2.5          2.031E+00  1.450E+02  2.029E+01           C150000200087 
165.       2.5          2.078E+00  1.176E+02  2.029E+01           C150000200088 
165.       2.5          2.138E+00  1.097E+02  1.853E+01           C150000200089 
165.       2.5          2.191E+00  1.247E+02  2.029E+01           C150000200090 
165.       2.5          2.246E+00  1.185E+02  2.118E+01           C150000200091 
165.       2.5          2.298E+00  1.476E+02  2.206E+01           C150000200092 
165.       2.5          2.358E+00  6.471E+01  1.500E+01           C150000200093 
165.       2.5          2.407E+00  1.238E+02  1.853E+01           C150000200094 
165.       2.5          2.454E+00  1.485E+02  2.029E+01           C150000200095 
165.       2.5          2.512E+00  1.026E+02  1.765E+01           C150000200096 
165.       2.5          2.567E+00  1.088E+02  1.765E+01           C150000200097 
165.       2.5          2.622E+00  1.176E+02  1.676E+01           C150000200098 
165.       2.5          2.679E+00  1.229E+02  1.676E+01           C150000200099 
ENDDATA             90          0                                 C150000200100 
ENDSUBENT           99          0                                 C150000299999 
ENDENTRY             2          0                                 C150099999999 
