ENTRY            C2721   20220402                             C219C2721  0    1 
SUBENT        C2721001   20220402                             C219C2721  1    1 
BIB                 10         26                                 C2721  1    2 
TITLE      Search for giant spin-flip transitions in 90Zr and     C2721  1    3 
           208Pb                                                  C2721  1    4 
AUTHOR     (F.E.Cecil,G.T.Garvey,W.J.Braithwaite)                 C2721  1    5 
INSTITUTE  (1USAPTN)                                              C2721  1    6 
REFERENCE  (J,NP/A,232,22,1974)                                   C2721  1    7 
           #doi:10.1016/0375-9474(74)90643-5                      C2721  1    8 
FACILITY   (CYCLO,1USAPTN)                                        C2721  1    9 
DETECTOR   (NAICR) The gamma-detector was a 12.7 cm diameter by   C2721  1   10 
           10.2 cm NaI(Tl) crystal coupled to an RCA 4522         C2721  1   11 
           phototube.                                             C2721  1   12 
           (SIBAR) A stack of surface barrier detectors (ORTEC    C2721  1   13 
           2000mu-m) cooled to dry ice temperature, was used for  C2721  1   14 
           particle detection.                                    C2721  1   15 
           The efficiency was determined by measuring the         C2721  1   16 
           gamma-spectrum in coincidence with the proton          C2721  1   17 
           excitation of states in 12C and 160 at 4.43, 6.13,     C2721  1   18 
           6.92, 7.12 and 15.11 MeV.                              C2721  1   19 
SAMPLE     90Zr or 208Pb targets (typically 1 mg/cm2 thickness)   C2721  1   20 
METHOD     (COINC) The detection of inelastically scattered       C2721  1   21 
           protons in coincidence with ground-state de-excitation C2721  1   22 
           gamma-rays.                                            C2721  1   23 
CORRECTION Accidental coincidences were subtracted by counting    C2721  1   24 
           the number of elastically scattered protons, observed  C2721  1   25 
           in coincidence with gamma-rays in a given gamma-ray    C2721  1   26 
           energy interval.                                       C2721  1   27 
HISTORY    (20220402C) OG                                         C2721  1   28 
ENDBIB              26          0                                 C2721  1   29 
COMMON               1          3                                 C2721  1   30 
EN                                                                C2721  1   31 
MEV                                                               C2721  1   32 
24.                                                               C2721  1   33 
ENDCOMMON            3          0                                 C2721  1   34 
ENDSUBENT           33          0                                 C2721  199999 
SUBENT        C2721002   20220402                             C219C2721  2    1 
BIB                  3          4                                 C2721  2    2 
REACTION   (40-ZR-90(P,INL)40-ZR-90,PAR,DA)                       C2721  2    3 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   C2721  2    4 
STATUS     (CURVE) Fig.9 (p.33) in Nucl.Phys.A,232,22,1974 was    C2721  2    5 
           digitized by GSYS2.4.7.                                C2721  2    6 
ENDBIB               4          0                                 C2721  2    7 
NOCOMMON             0          0                                 C2721  2    8 
DATA                 4         68                                 C2721  2    9 
       5.89     20.879  1.486E+02  1.330E+01                      C2721  2   48 
       5.89     26.121  8.706E+01  7.681E+00                      C2721  2   49 
       5.89     33.440  3.110E+01  3.116E+00                      C2721  2   50 
       5.89     34.429  3.131E+01  3.322E+00                      C2721  2   51 
       5.89     37.198  2.453E+01  2.602E+00                      C2721  2   52 
       5.89     41.154  2.485E+01  2.928E+00                      C2721  2   53 
       5.89     46.396  3.070E+01  2.708E+00                      C2721  2   54 
       5.89     52.429  1.835E+01  3.590E+00                      C2721  2   55 
       5.89     61.626  9.549E+00  1.868E+00                      C2721  2   56 
       5.89     66.473  5.522E+00  2.723E+00                      C2721  2   57 
       5.89     81.802  4.442E+00  1.716E+00                      C2721  2   58 
       6.42     13.035  3.599E+02  2.741E+01                      C2721  2   59 
       6.42     15.999  3.849E+02  3.130E+01                      C2721  2   60 
       6.42     21.227  2.864E+02  2.181E+01                      C2721  2   61 
       6.42     25.940  1.872E+02  1.425E+01                      C2721  2   62 
       6.42     33.995  5.924E+01  5.734E+00                      C2721  2   63 
       6.42     37.087  3.003E+01  2.597E+00                      C2721  2   64 
       6.42     39.867  2.461E+01  2.880E+00                      C2721  2   65 
       6.42     41.141  2.694E+01  3.916E+00                      C2721  2   66 
       6.42     46.151  3.799E+01  3.484E+00                      C2721  2   67 
       6.42     49.188  3.333E+01  3.780E+00                      C2721  2   68 
       6.42     52.074  3.924E+01  3.799E+00                      C2721  2   69 
       6.42     56.025  2.565E+01  3.073E+00                      C2721  2   70 
       6.42     59.064  2.276E+01  2.776E+00                      C2721  2   71 
       6.42     61.077  1.695E+01  1.983E+00                      C2721  2   72 
       6.42     63.003  1.200E+01  2.321E+00                      C2721  2   73 
       6.42     66.300  1.165E+01  2.959E+00                      C2721  2   74 
       6.42     75.072  7.354E+00  1.456E+00                      C2721  2   75 
       6.42     81.198  1.391E+01  3.004E+00                      C2721  2   76 
       6.42     84.927  1.583E+01  2.917E+00                      C2721  2   77 
       6.42     91.106  1.731E+01  3.109E+00                      C2721  2   78 
       6.42     96.336  1.332E+01  3.052E+00                      C2721  2   79 
ENDDATA             70          0                                 C2721  2   80 
ENDSUBENT           79          0                                 C2721  299999 
ENDENTRY             2          0                                 C272199999999 
