ENTRY            G0070   20200212                             G044G007000000001 
SUBENT        G0070001   20200212                             G044G007000100001 
BIB                 11         18                                 G007000100002 
TITLE      Product yields for the photofission of 235U with 12-,  G007000100003 
            15-, 20-, 30-, and 70-MeV bremsstrahlung              G007000100004 
AUTHOR     (E.Jacobs, H.Thierens, D.De Frenne, A.De Clercq,       G007000100005 
            P.D'hondt, P.De Gelder, A.J.Deruytter)                G007000100006 
INSTITUTE  (2BLGGHT)                                              G007000100007 
REFERENCE  (J,PR/C,21,237,1980)                                   G007000100008 
FACILITY   (LINAC,2BLGGHT)                                        G007000100009 
INC-SOURCE (BRST)                                                 G007000100010 
SAMPLE     (92-U-235,ENR=0.97)                                    G007000100011 
           U3O8 target (15 mg/cm2 thick) on a 1 mm thick Al.      G007000100012 
           The target was followed by a 0.1 mm thick Al catcher   G007000100013 
            foil with a purity of 99.999% at a distance of 1 mm   G007000100014 
            from the target.                                      G007000100015 
METHOD     (ACTIV)                                                G007000100016 
           (CHSEP) Radiochemical procedure for Cd and I           G007000100017 
DETECTOR   (GELI)                                                 G007000100018 
REL-REF    (M,,E.Jacobs+,J,PR/C,19,422,1979)                      G007000100019 
HISTORY    (20200212C) Ayano Makinaga + LV                        G007000100020 
ENDBIB              18          0                                 G007000100021 
NOCOMMON             0          0                                 G007000100022 
ENDSUBENT           21          0                                 G007000199999 
SUBENT        G0070002   20200212                             G044G007000200001 
BIB                  4          5                                 G007000200002 
REACTION   (92-U-235(G,F)MASS,CHN,FY,,BRA)                        G007000200003 
REL-REF    (M,,E.Jacobs+,J,PR/C,19,422,1979)                      G007000200004 
            Method to obtain the yields for unmeasured mass chain G007000200005 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000200006 
STATUS     (TABLE) Table I of Phys.Rev.C21(1980)237               G007000200007 
ENDBIB               5          0                                 G007000200008 
NOCOMMON             0          0                                 G007000200009 
DATA                 4        198                                 G007000200010 
 15.         89.       4.74       0.25                            G007000200052 
 15.         91.       5.73       0.25                            G007000200053 
 15.         92.       5.76       0.30                            G007000200054 
 15.         93.       6.14       0.50                            G007000200055 
 15.         94.       6.44       0.48                            G007000200056 
 15.         95.       6.33       0.28                            G007000200057 
 15.         97.       5.71       0.30                            G007000200058 
 15.         99.       5.29       0.22                            G007000200059 
 15.        101.       4.18       0.24                            G007000200060 
 15.        103.       2.67       0.19                            G007000200061 
 15.        104.       1.77       0.15                            G007000200062 
 15.        105.       1.24       0.07                            G007000200063 
 15.        112.       0.310      0.032                           G007000200064 
 15.        113.       0.307      0.049                           G007000200065 
 15.        115.       0.295      0.029                           G007000200066 
 15.        123.       0.308      0.037                           G007000200067 
 15.        125.       0.454      0.091                           G007000200068 
 15.        127.       0.916      0.055                           G007000200069 
 15.        128.       1.38       0.13                            G007000200070 
 15.        131.       4.16       0.25                            G007000200071 
 15.        132.       4.79       0.18                            G007000200072 
 15.        133.       5.55       0.28                            G007000200073 
 15.        134.       5.88       0.20                            G007000200074 
 15.        135.       6.19       0.26                            G007000200075 
 15.        140.       5.62       0.21                            G007000200076 
 15.        141.       5.45       0.37                            G007000200077 
 15.        142.       5.22       0.39                            G007000200078 
 15.        143.       4.40       0.31                            G007000200079 
 15.        144.       3.50       0.52                            G007000200080 
 15.        146.       2.24       0.14                            G007000200081 
 15.        147.       1.64       0.12                            G007000200082 
 15.        149.       0.811      0.099                           G007000200083 
 15.        151.       0.473      0.041                           G007000200084 
 15.        153.       0.207      0.028                           G007000200085 
 20.         78.       0.133      0.025                           G007000200086 
 20.         84.       1.33       0.16                            G007000200087 
 20.         85.       1.91       0.14                            G007000200088 
 20.         87.       2.79       0.20                            G007000200089 
 20.         88.       3.67       0.15                            G007000200090 
 20.         89.       4.32       0.22                            G007000200091 
 20.         91.       5.49       0.26                            G007000200092 
 20.         92.       5.70       0.29                            G007000200093 
 20.         93.       6.03       0.40                            G007000200094 
 20.         94.       6.01       0.42                            G007000200095 
 20.         95.       6.51       0.32                            G007000200096 
 20.         97.       5.70       0.28                            G007000200097 
 20.         99.       5.38       0.23                            G007000200098 
 20.        101.       3.80       0.18                            G007000200099 
 20.        103.       2.74       0.20                            G007000200100 
 20.        104.       1.79       0.13                            G007000200101 
 20.        105.       1.27       0.14                            G007000200102 
 20.        106.       0.745      0.106                           G007000200103 
 20.        112.       0.476      0.041                           G007000200104 
 20.        113.       0.419      0.063                           G007000200105 
 20.        115.       0.415      0.043                           G007000200106 
 20.        117.       0.401      0.076                           G007000200107 
 20.        123.       0.441      0.073                           G007000200108 
 20.        125.       0.576      0.068                           G007000200109 
 20.        127.       1.15       0.06                            G007000200110 
 20.        128.       1.40       0.13                            G007000200111 
 20.        131.       4.30       0.36                            G007000200112 
 20.        132.       4.93       0.16                            G007000200113 
 20.        133.       5.64       0.29                            G007000200114 
 20.        134.       5.67       0.21                            G007000200115 
 20.        135.       6.32       0.26                            G007000200116 
 20.        137.       6.43       0.62                            G007000200117 
 20.        140.       5.79       0.20                            G007000200118 
 20.        141.       5.36       0.28                            G007000200119 
 20.        142.       4.76       0.35                            G007000200120 
 20.        143.       4.43       0.31                            G007000200121 
 20.        144.       3.65       0.31                            G007000200122 
 20.        146.       2.17       0.12                            G007000200123 
 20.        147.       1.60       0.11                            G007000200124 
 20.        149.       0.842      0.067                           G007000200125 
 20.        151.       0.470      0.056                           G007000200126 
 20.        153.       0.189      0.032                           G007000200127 
 30.         78.       0.135      0.027                           G007000200128 
 30.         84.       1.35       0.19                            G007000200129 
 30.         85.       1.95       0.14                            G007000200130 
 30.         87.       2.84       0.21                            G007000200131 
 30.         88.       3.63       0.15                            G007000200132 
 30.         89.       4.39       0.22                            G007000200133 
 30.         91.       5.64       0.24                            G007000200134 
 30.         92.       5.80       0.32                            G007000200135 
 30.         93.       5.91       0.44                            G007000200136 
 30.         94.       5.98       0.43                            G007000200137 
 30.         95.       6.18       0.27                            G007000200138 
 30.         97.       5.55       0.29                            G007000200139 
 30.         99.       5.23       0.24                            G007000200140 
 30.        101.       3.99       0.20                            G007000200141 
 30.        103.       2.73       0.20                            G007000200142 
 30.        104.       1.77       0.15                            G007000200143 
 30.        105.       1.31       0.11                            G007000200144 
 30.        106.       0.953      0.143                           G007000200145 
 30.        112.       0.568      0.044                           G007000200146 
 30.        113.       0.512      0.071                           G007000200147 
 30.        115.       0.522      0.040                           G007000200148 
 30.        117.       0.534      0.071                           G007000200149 
 30.        123.       0.517      0.051                           G007000200150 
 30.        125.       0.716      0.077                           G007000200151 
 30.        127.       1.17       0.06                            G007000200152 
 30.        128.       1.48       0.14                            G007000200153 
 30.        131.       4.06       0.23                            G007000200154 
 30.        132.       4.63       0.21                            G007000200155 
 30.        133.       5.46       0.28                            G007000200156 
 30.        134.       5.59       0.27                            G007000200157 
 30.        135.       6.03       0.25                            G007000200158 
 30.        137.       6.21       0.57                            G007000200159 
 30.        140.       5.73       0.22                            G007000200160 
 30.        141.       5.44       0.29                            G007000200161 
 30.        142.       4.78       0.35                            G007000200162 
 30.        143.       4.25       0.30                            G007000200163 
 30.        144.       3.60       0.30                            G007000200164 
 30.        146.       2.24       0.13                            G007000200165 
 30.        147.       1.67       0.11                            G007000200166 
 30.        149.       0.847      0.069                           G007000200167 
 30.        151.       0.408      0.036                           G007000200168 
 30.        153.       0.201      0.034                           G007000200169 
 70.         78.       0.155      0.019                           G007000200170 
 70.         84.       1.29       0.14                            G007000200171 
 70.         85.       1.81       0.13                            G007000200172 
 70.         87.       2.81       0.21                            G007000200173 
 70.         88.       3.55       0.15                            G007000200174 
 70.         89.       4.24       0.22                            G007000200175 
 70.         91.       5.36       0.23                            G007000200176 
 70.         92.       5.72       0.33                            G007000200177 
 70.         93.       5.55       0.40                            G007000200178 
 70.         94.       5.95       0.43                            G007000200179 
 70.         95.       6.01       0.26                            G007000200180 
 70.         97.       5.27       0.27                            G007000200181 
 70.         99.       5.13       0.23                            G007000200182 
 70.        101.       3.98       0.22                            G007000200183 
 70.        103.       2.76       0.20                            G007000200184 
 70.        104.       1.84       0.14                            G007000200185 
 70.        105.       1.35       0.14                            G007000200186 
 70.        106.       1.11       0.24                            G007000200187 
 70.        112.       0.774      0.060                           G007000200188 
 70.        113.       0.808      0.081                           G007000200189 
 70.        115.       0.711      0.051                           G007000200190 
 70.        117.       0.715      0.078                           G007000200191 
 70.        125.       0.847      0.073                           G007000200192 
 70.        127.       1.21       0.06                            G007000200193 
 70.        128.       1.48       0.12                            G007000200194 
 70.        131.       3.93       0.21                            G007000200195 
 70.        132.       4.46       0.21                            G007000200196 
 70.        133.       5.30       0.28                            G007000200197 
 70.        134.       5.67       0.37                            G007000200198 
 70.        135.       5.80       0.26                            G007000200199 
 70.        137.       6.19       0.53                            G007000200200 
 70.        140.       5.34       0.23                            G007000200201 
 70.        141.       5.18       0.37                            G007000200202 
 70.        142.       4.48       0.34                            G007000200203 
 70.        143.       4.18       0.30                            G007000200204 
 70.        144.       3.62       0.28                            G007000200205 
 70.        146.       2.23       0.13                            G007000200206 
 70.        147.       1.60       0.09                            G007000200207 
 70.        149.       0.818      0.060                           G007000200208 
 70.        151.       0.463      0.040                           G007000200209 
 70.        153.       0.215      0.037                           G007000200210 
ENDDATA            200          0                                 G007000200211 
ENDSUBENT          210          0                                 G007000299999 
SUBENT        G0070003   20200212                             G044G007000300001 
BIB                  4          6                                 G007000300002 
REACTION   (92-U-235(G,F),,NU,,BRA,DERIV)                         G007000300003 
ANALYSIS   Calculated from the mass distribution                  G007000300004 
ERR-ANALYS (ERR-S) Uncertainty due to statistical treatment of    G007000300005 
            the uncertainties of the yields                       G007000300006 
STATUS     (TABLE) Table II of Phys.Rev.C21(1980)237              G007000300007 
           (DEP,G0070002) Mass distribution                       G007000300008 
ENDBIB               6          0                                 G007000300009 
NOCOMMON             0          0                                 G007000300010 
DATA                 3          5                                 G007000300011 
EN-MAX     DATA       ERR-S                                       G007000300012 
MEV        PRT/FIS    PRT/FIS                                     G007000300013 
 12.        2.78       0.12                                       G007000300014 
 15.        3.06       0.12                                       G007000300015 
 20.        3.15       0.11                                       G007000300016 
 30.        3.25       0.11                                       G007000300017 
 70.        3.26       0.11                                       G007000300018 
ENDDATA              7          0                                 G007000300019 
ENDSUBENT           18          0                                 G007000399999 
SUBENT        G0070004   20200212                             G044G007000400001 
BIB                  3          3                                 G007000400002 
REACTION   (92-U-235(G,F)ELEM/MASS,IND,FY,,FRC/BRA)               G007000400003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000400004 
STATUS     (TABLE) Table III of Phys.Rev.C21(1980)237             G007000400005 
ENDBIB               3          0                                 G007000400006 
NOCOMMON             0          0                                 G007000400007 
DATA                 6         51                                 G007000400008 
EN-MAX     ELEMENT    MASS       ISOMER     DATA       DATA-ERR   G007000400009 
MEV        NO-DIM     NO-DIM     NO-DIM     NO-DIM     NO-DIM     G007000400010 
 12.        52.        131.       0.         0.125      0.052     G007000400011 
 12.        52.        131.       1.         0.180      0.023     G007000400012 
 12.        53.        132.                  0.046      0.019     G007000400013 
 12.        53.        134.                  0.407      0.045     G007000400014 
 12.        54.        135.                  0.16       0.02      G007000400015 
 15.        51.        126.       0.         0.059      0.022     G007000400016 
 15.        51.        126.       1.         0.064      0.020     G007000400017 
 15.        51.        128.       0.         0.140      0.026     G007000400018 
 15.        51.        128.       1.         0.155      0.057     G007000400019 
 15.        52.        131.       0.         0.151      0.034     G007000400020 
 15.        52.        131.       1.         0.215      0.019     G007000400021 
 15.        53.        130.                  0.0036     0.0017    G007000400022 
 15.        53.        132.                  0.062      0.006     G007000400023 
 15.        53.        134.                  0.457      0.017     G007000400024 
 15.        54.        135.                  0.206      0.015     G007000400025 
 15.        57.        136.                  0.0202     0.0050    G007000400026 
 15.        57.        140.                  0.0060     0.0020    G007000400027 
 20.        51.        126.       0.         0.082      0.017     G007000400028 
 20.        51.        126.       1.         0.067      0.017     G007000400029 
 20.        51.        128.       0.         0.160      0.037     G007000400030 
 20.        51.        128.       1.         0.155      0.043     G007000400031 
 20.        52.        131.       0.         0.167      0.028     G007000400032 
 20.        52.        131.       1.         0.263      0.026     G007000400033 
 20.        53.        130.                  0.0057     0.0010    G007000400034 
 20.        53.        132.                  0.076      0.008     G007000400035 
 20.        53.        134.                  0.478      0.018     G007000400036 
 20.        54.        135.                  0.228      0.013     G007000400037 
 20.        57.        136.                  0.0289     0.0049    G007000400038 
 20.        57.        140.                  0.0065     0.0017    G007000400039 
 30.        51.        126.       0.         0.110      0.017     G007000400040 
 30.        51.        126.       1.         0.080      0.019     G007000400041 
 30.        51.        128.       0.         0.198      0.033     G007000400042 
 30.        51.        128.       1.         0.160      0.057     G007000400043 
 30.        52.        131.       0.         0.168      0.037     G007000400044 
 30.        52.        131.       1.         0.270      0.023     G007000400045 
 30.        53.        130.                  0.0098     0.0016    G007000400046 
 30.        53.        132.                  0.091      0.009     G007000400047 
 30.        53.        134.                  0.498      0.016     G007000400048 
 30.        54.        135.                  0.245      0.012     G007000400049 
 30.        57.        136.                  0.0356     0.0045    G007000400050 
 30.        57.        140.                  0.0093     0.0015    G007000400051 
 70.        51.        126.       0.         0.131      0.016     G007000400052 
 70.        51.        126.       1.         0.066      0.015     G007000400053 
 70.        51.        128.       0.         0.242      0.031     G007000400054 
 70.        51.        128.       1.         0.157      0.042     G007000400055 
 70.        52.        131.       0.         0.178      0.032     G007000400056 
 70.        52.        131.       1.         0.273      0.020     G007000400057 
 70.        53.        132.                  0.110      0.010     G007000400058 
 70.        53.        134.                  0.525      0.015     G007000400059 
 70.        54.        135.                  0.272      0.022     G007000400060 
 70.        57.        136.                  0.0452     0.0058    G007000400061 
ENDDATA             53          0                                 G007000400062 
ENDSUBENT           61          0                                 G007000499999 
SUBENT        G0070005   20200212                             G044G007000500001 
BIB                  3          3                                 G007000500002 
REACTION   (92-U-235(G,F)ELEM/MASS,CUM,FY,,FRC/BRA)               G007000500003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000500004 
STATUS     (TABLE) Table III of Phys.Rev.C21(1980) 242            G007000500005 
ENDBIB               3          0                                 G007000500006 
NOCOMMON             0          0                                 G007000500007 
DATA                 5          9                                 G007000500008 
EN-MAX     ELEMENT    MASS       DATA       DATA-ERR              G007000500009 
MEV        NO-DIM     NO-DIM     NO-DIM     NO-DIM                G007000500010 
 12.        51.        131.       0.668      0.047                G007000500011 
 15.        50.        128.       0.685      0.053                G007000500012 
 15.        51.        131.       0.601      0.033                G007000500013 
 20.        50.        128.       0.661      0.046                G007000500014 
 20.        51.        131.       0.528      0.031                G007000500015 
 30.        50.        128.       0.611      0.049                G007000500016 
 30.        51.        131.       0.520      0.032                G007000500017 
 70.        50.        128.       0.551      0.041                G007000500018 
 70.        51.        131.       0.500      0.030                G007000500019 
ENDDATA             11          0                                 G007000500020 
ENDSUBENT           19          0                                 G007000599999 
SUBENT        G0070006   20200213                             G044G007000600001 
BIB                  3          3                                 G007000600002 
REACTION   (92-U-235(G,F)MASS,SEC,ZP,,BRA)                        G007000600003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000600004 
STATUS     (TABLE) Table IV of Phys.Rev.C21(1980) 242             G007000600005 
ENDBIB               3          0                                 G007000600006 
NOCOMMON             0          0                                 G007000600007 
DATA                 6         31                                 G007000600008 
EN-MAX     MASS       DATA       DATA-ERR   +DATA-ERR  -DATA-ERR  G007000600009 
MEV        NO-DIM     NO-DIM     NO-DIM     NO-DIM     NO-DIM     G007000600010 
 12.        131.       51.24      0.11                            G007000600011 
 12.        132.       51.51                 0.10       0.15      G007000600012 
 12.        134.       52.41      0.10                            G007000600013 
 12.        135.       52.93      0.06                            G007000600014 
 15.        126.       49.82      0.09                            G007000600015 
 15.        128.       50.21      0.12                            G007000600016 
 15.        130.       50.89                 0.09       0.13      G007000600017 
 15.        131.       51.34      0.07                            G007000600018 
 15.        132.       51.60      0.03                            G007000600019 
 15.        134.       52.50      0.04                            G007000600020 
 15.        135.       53.04      0.04                            G007000600021 
 15.        136.       53.28      0.06                            G007000600022 
 15.        140.       55.01      0.07                            G007000600023 
 20.        126.       49.89      0.06                            G007000600024 
 20.        128.       50.24      0.11                            G007000600025 
 20.        130.       50.97      0.05                            G007000600026 
 20.        131.       51.45      0.08                            G007000600027 
 20.        132.       51.65      0.03                            G007000600028 
 20.        134.       52.55      0.04                            G007000600029 
 20.        135.       53.08      0.03                            G007000600030 
 20.        136.       53.37      0.05                            G007000600031 
 20.        140.       55.02      0.06                            G007000600032 
 30.        126.       49.97      0.06                            G007000600033 
 30.        128.       50.32      0.11                            G007000600034 
 30.        130.       51.04      0.05                            G007000600035 
 30.        131.       51.47      0.08                            G007000600036 
 30.        132.       51.68      0.04                            G007000600037 
 30.        134.       52.60      0.04                            G007000600038 
 30.        135.       53.10      0.02                            G007000600039 
 30.        136.       53.40      0.04                            G007000600040 
 30.        140.       55.09      0.04                            G007000600041 
ENDDATA             33          0                                 G007000600042 
ENDSUBENT           41          0                                 G007000699999 
SUBENT        G0070007   20200213                             G044G007000700001 
BIB                  3          3                                 G007000700002 
REACTION   (92-U-235(G,F)51-SB-126-M/T,IND,FY/RAT,,BRA)           G007000700003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000700004 
STATUS     (TABLE) Table V of Phys.Rev.C21(1980)237               G007000700005 
ENDBIB               3          0                                 G007000700006 
NOCOMMON             0          0                                 G007000700007 
DATA                 3          4                                 G007000700008 
EN-MAX     DATA       DATA-ERR                                    G007000700009 
MEV        NO-DIM     NO-DIM                                      G007000700010 
 15.        0.52       0.12                                       G007000700011 
 20.        0.45       0.08                                       G007000700012 
 30.        0.42       0.07                                       G007000700013 
 70.        0.34       0.05                                       G007000700014 
ENDDATA              6          0                                 G007000700015 
ENDSUBENT           14          0                                 G007000799999 
SUBENT        G0070008   20200213                             G044G007000800001 
BIB                  3          3                                 G007000800002 
REACTION   (92-U-235(G,F)51-SB-128-M/T,IND,FY/RAT,,BRA)           G007000800003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000800004 
STATUS     (TABLE) Table V of phys. Rev.C21(1980)237              G007000800005 
ENDBIB               3          0                                 G007000800006 
NOCOMMON             0          0                                 G007000800007 
DATA                 3          4                                 G007000800008 
EN-MAX     DATA       DATA-ERR                                    G007000800009 
MEV        NO-DIM     NO-DIM                                      G007000800010 
 15.        0.53       0.10                                       G007000800011 
 20.        0.49       0.10                                       G007000800012 
 30.        0.45       0.11                                       G007000800013 
 70.        0.39       0.08                                       G007000800014 
ENDDATA              6          0                                 G007000800015 
ENDSUBENT           14          0                                 G007000899999 
SUBENT        G0070009   20200213                             G044G007000900001 
BIB                  3          3                                 G007000900002 
REACTION   (92-U-235(G,F)52-TE-131-M/T,IND,FY/RAT,,BRA)           G007000900003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000900004 
STATUS     (TABLE) Table V of Phys.Rev.C21(1980)237               G007000900005 
ENDBIB               3          0                                 G007000900006 
NOCOMMON             0          0                                 G007000900007 
DATA                 3          5                                 G007000900008 
EN-MAX     DATA       DATA-ERR                                    G007000900009 
MEV        NO-DIM     NO-DIM                                      G007000900010 
 12.        0.59       0.11                                       G007000900011 
 15.        0.59       0.06                                       G007000900012 
 20.        0.61       0.05                                       G007000900013 
 30.        0.62       0.07                                       G007000900014 
 70.        0.61       0.05                                       G007000900015 
ENDDATA              7          0                                 G007000900016 
ENDSUBENT           15          0                                 G007000999999 
ENDENTRY             9          0                                 G007099999999 
