ENTRY            G0029   20110902                             G025G002900000001 
SUBENT        G0029001   20110902                             G025G002900100001 
BIB                 16         36                                 G002900100002 
TITLE      Fragmentation and systematics of the pygmy dipole      G002900100003 
            resonance in the stable N=82 isotones                 G002900100004 
AUTHOR     (D.Savran, M.Elvers, J.Endres, M.Fritzsche, B.Loeher,  G002900100005 
            N.Pietralla, V.Yu.Ponomarev, C.Romig,                 G002900100006 
            L.Schnorrenberger, K.Sonnabend, A.Zilges)             G002900100007 
INSTITUTE  (2GERGSI,2GERKLN,2GERTHD,2GERFRK)                      G002900100008 
           (2GERGER) Frankfurt Institute for Advanced Studies,    G002900100009 
             Frankfurt                                            G002900100010 
REFERENCE  (J,PR/C,84,024326,2011) Data given in table            G002900100011 
           (J,PRL,100,232501,2008) Spectrum in figure             G002900100012 
FACILITY   (LINAC,2GERTHD) Electron linear accelerator S-DALINAC  G002900100013 
INC-SOURCE (BRST) End point energy at 8.2 and 9.2 MeV             G002900100014 
INC-SPECT  Bremsstrahlung spectrum                                G002900100015 
SAMPLE     (54-XE-136,ENR=0.999) filled in high-pressure gas      G002900100016 
             containers made of titanium. 2.2925 g in total.      G002900100017 
DETECTOR   (HPGE) Equiped with a bismuth germanate (BGO) anti-    G002900100018 
             Compton shield with heavy passive shielding          G002900100019 
ANALYSIS   No systematic deviations observed between the          G002900100020 
            measurements at the two different end-point energies, G002900100021 
            and thus, the results for the single experiments have G002900100022 
            been combined.                                        G002900100023 
MONITOR    (5-B-11(G,EL),,ARE)                                    G002900100024 
            136Xe target was sandwiched between two 11B targets   G002900100025 
             with a total mass of 0.77 g.                         G002900100026 
            Product of the simulated photon spectrum and          G002900100027 
             efficiency is fitted to the experimental values at   G002900100028 
             the 11B energies in order to yield an absolute       G002900100029 
             calibration the entire energy region                 G002900100030 
MONIT-REF  (,F.Ajzenberg-Selove,J,NP/A,506,1,1990)                G002900100031 
COMMENT    Denitz Savran (2011-09-02):                            G002900100032 
            The experiments at different endpoint energies did    G002900100033 
            not give hints on clear identification of inelastic   G002900100034 
            transition.                                           G002900100035 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     G002900100036 
STATUS     (APRVD) Denitz Savran (2011-09-02)                     G002900100037 
HISTORY    (20110901C) On                                         G002900100038 
ENDBIB              36          0                                 G002900100039 
NOCOMMON             0          0                                 G002900100040 
ENDSUBENT           39          0                                 G002900199999 
SUBENT        G0029002   20110902                             G025G002900200001 
BIB                  3          9                                 G002900200002 
REACTION  1(54-XE-136(G,0),,EN)                                   G002900200003 
          2((54-XE-136(G,EL)54-XE-136,,DA)//                      G002900200004 
           (54-XE-136(G,EL)54-XE-136,,DA))                        G002900200005 
          3((54-XE-136(G,EL),,WID,,SQ)/                           G002900200006 
           (54-XE-136(G,TOT),,WID))                               G002900200007 
ADD-RES    (STRUC) Spin J of the resonances are clearly assigned  G002900200008 
             to 1 except for the following resonances (keV):      G002900200009 
             3626, 5458, 6003, 6030                               G002900200010 
STATUS     (TABLE) Table I of Phys.Rev.C84(2011)024326            G002900200011 
ENDBIB               9          0                                 G002900200012 
COMMON               2          3                                 G002900200013 
ANG-NM    2ANG-DN    2                                            G002900200014 
ADEG       ADEG                                                   G002900200015 
 90.        130.                                                  G002900200016 
ENDCOMMON            3          0                                 G002900200017 
DATA                 6         77                                 G002900200018 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3DATA-ERR  3G002900200019 
 7053.      1.         0.74       0.10       0.398      0.033     G002900200075 
 7071.      1.         0.99       0.11       0.670      0.049     G002900200076 
 7082.      1.         0.86       0.05       1.44       0.08      G002900200077 
 7094.      1.         0.90       0.25       0.283      0.044     G002900200078 
 7121.      1.         0.79       0.11       0.394      0.034     G002900200079 
 7134.      1.         0.84       0.26       0.247      0.042     G002900200080 
 7165.      1.         0.77       0.02       3.43       0.18      G002900200081 
 7193.      1.         1.01       0.19       0.74       0.08      G002900200082 
 7200.      1.         0.73       0.11       0.84       0.08      G002900200083 
 7212.      1.         1.15       0.22       0.91       0.09      G002900200084 
 7232.      1.         0.81       0.06       1.00       0.07      G002900200085 
 7245.      1.         0.79       0.12       0.361      0.038     G002900200086 
 7343.      1.         0.69       0.13       0.292      0.031     G002900200087 
 7370.      1.         0.83       0.14       0.357      0.035     G002900200088 
 7692.      1.         0.59       0.06       0.78       0.06      G002900200089 
 7727.      1.         0.80       0.06       1.69       0.11      G002900200090 
 7883.      1.         0.93       0.17       0.80       0.09      G002900200091 
 7908.      1.         0.83       0.08       1.65       0.14      G002900200092 
 7990.      1.         0.98       0.20       0.75       0.09      G002900200093 
 8024.      1.         0.76       0.08       1.40       0.12      G002900200094 
 8051.      1.         0.93       0.13       1.11       0.11      G002900200095 
 8066.      1.         0.75       0.12       0.86       0.09      G002900200096 
 8093.      1.         0.77       0.10       1.02       0.10      G002900200097 
ENDDATA             79          0                                 G002900200098 
ENDSUBENT           97          0                                 G002900299999 
ENDENTRY             2          0                                 G002999999999 
