ENTRY            M0114   20210404                             M111M0114  0    1 
SUBENT        M0114001   20210404                             M111M0114  1    1 
BIB                 12         22                                 M0114  1    2 
TITLE      Photonuclear reactions on Li-6 with charged-particles  M0114  1    3 
            emission.                                             M0114  1    4 
AUTHOR     (V.P.Denisov,L.A.Kul'chitskii,I.Ya.Chubukov)           M0114  1    5 
INSTITUTE  (4RUSFTI)                                              M0114  1    6 
REFERENCE  (J,IZV,37,107,1973)                                    M0114  1    7 
           (J,BAS,37,(1),94,1973)                                 M0114  1    8 
           English translation of J,IZV,37,107,1973.              M0114  1    9 
FACILITY   (SYNCH,4RUSFTI)                                        M0114  1   10 
SAMPLE     (3-LI-6,ENR=0.90) 8.2mg/cm2 foil of metallic lithium.  M0114  1   11 
INC-SOURCE (BRST)                                                 M0114  1   12 
METHOD     (EXTB,SITA)                                            M0114  1   13 
DETECTOR   (TELES,PROPC,NAICR)                                    M0114  1   14 
COMMENT    2-20 MeV protons, 3-20 MeV deuterons, and 4-20 MeV     M0114  1   15 
            tritons were recorded.                                M0114  1   16 
ERR-ANALYS (ERR-S) Statistical errors.                            M0114  1   17 
HISTORY    (19840420C)                                            M0114  1   18 
           (19910202A) Corrected by V.Varlamov, V.Mclane.         M0114  1   19 
           (20130604A) Corrected   by   V.Varlamov:   REFERENCE,  M0114  1   20 
            dates, REACTION, STATUS, lowercase.                   M0114  1   21 
           (20210404A) Corrected by SD and VV: COMMENT, SAMPLE    M0114  1   22 
            added, INC-SOURCE, SUBENTs 002-007; 008-010, 011-012  M0114  1   23 
            merged, corrections in all SUBENTs.                   M0114  1   24 
ENDBIB              22          0                                 M0114  1   25 
COMMON               1          3                                 M0114  1   26 
ANG                                                               M0114  1   27 
ADEG                                                              M0114  1   28 
    90.                                                           M0114  1   29 
ENDCOMMON            3          0                                 M0114  1   30 
ENDSUBENT           29          0                                 M0114  199999 
SUBENT        M0114002   20210404                             M111M0114  2    1 
BIB                  3          6                                 M0114  2    2 
REACTION   (3-LI-6(G,P)2-HE-5,PAR,DA,,BRA/REL)                    M0114  2    3 
STATUS     (CURVE) fig.1 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114  2    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS deleted.      M0114  2    5 
           (20210404A) Corrected by SD and VV: REACTION,          M0114  2    6 
            CRITOQUE deleted, DATA from SUBENTs 003-007 wadded,   M0114  2    7 
            STATUS updated.                                       M0114  2    8 
ENDBIB               6          0                                 M0114  2    9 
NOCOMMON             0          0                                 M0114  2   10 
DATA                 5        212                                 M0114  2   11 
E-MIN      E-MAX      EN-MAX     DATA       ERR-S                 M0114  2   12 
         4.         5.       30.7       5.17       0.25           M0114  2   60 
         4.         5.       31.7       5.25       0.38           M0114  2   61 
         4.         5.       32.8       4.97       0.52           M0114  2   62 
         4.         5.       34.0       5.04       0.20           M0114  2   63 
         4.         5.       34.9       4.81       0.44           M0114  2   64 
         4.         5.       35.8       5.00       0.19           M0114  2   65 
         4.         5.       36.8       4.62       0.43           M0114  2   66 
         4.         5.       37.9       4.74       0.18           M0114  2   67 
         4.         5.       38.9       4.60       0.40           M0114  2   68 
         4.         5.       39.9       4.72       0.20           M0114  2   69 
         4.         5.       40.8       4.61       0.24           M0114  2   70 
         4.         5.       41.9       4.69       0.20           M0114  2   71 
         4.         5.       42.9       4.50       0.29           M0114  2   72 
         4.         5.       44.0       4.56       0.21           M0114  2   73 
         4.         5.       45.0       4.56       0.34           M0114  2   74 
         4.         5.       46.0       4.46       0.20           M0114  2   75 
         4.         5.       47.0       4.67       0.29           M0114  2   76 
         4.         5.       47.9       4.30       0.17           M0114  2   77 
         4.         5.       48.9       4.36       0.34           M0114  2   78 
         4.         5.       50.0       4.22       0.25           M0114  2   79 
         4.         5.       50.9       4.05       0.20           M0114  2   80 
         4.         5.       51.9       4.04       0.20           M0114  2   81 
         4.         5.       53.0       3.73       0.26           M0114  2   82 
         4.         5.       53.9       3.66       0.22           M0114  2   83 
         4.         5.       55.0       3.83       0.36           M0114  2   84 
         4.         5.       56.0       3.56       0.23           M0114  2   85 
         5.         6.       20.6       5.08       0.54           M0114  2   86 
         5.         6.       21.7       5.45       0.44           M0114  2   87 
         5.         6.       22.7       5.42       0.40           M0114  2   88 
         5.         6.       23.8       5.12       0.44           M0114  2   89 
         5.         6.       24.8       4.99       0.31           M0114  2   90 
         5.         6.       25.7       4.63       0.52           M0114  2   91 
         5.         6.       26.8       4.74       0.64           M0114  2   92 
         5.         6.       27.8       4.38       0.34           M0114  2   93 
         5.         6.       28.8       4.55       0.32           M0114  2   94 
         5.         6.       29.8       4.51       0.31           M0114  2   95 
         5.         6.       30.8       4.67       0.21           M0114  2   96 
         5.         6.       31.8       4.75       0.31           M0114  2   97 
         5.         6.       32.9       4.74       0.60           M0114  2   98 
         5.         6.       33.9       4.60       0.19           M0114  2   99 
         5.         6.       34.9       4.67       0.50           M0114  2  100 
         5.         6.       35.6       4.28       0.21           M0114  2  101 
         5.         6.       37.0       4.42       0.49           M0114  2  102 
         5.         6.       37.9       4.24       0.20           M0114  2  103 
         5.         6.       39.0       4.18       0.38           M0114  2  104 
         5.         6.       40.0       4.42       0.20           M0114  2  105 
         5.         6.       40.9       4.00       0.30           M0114  2  106 
         5.         6.       42.0       4.32       0.20           M0114  2  107 
         5.         6.       43.0       4.21       0.42           M0114  2  108 
         5.         6.       44.0       4.12       0.16           M0114  2  109 
         5.         6.       45.0       3.79       0.38           M0114  2  110 
         5.         6.       46.0       4.03       0.16           M0114  2  111 
         5.         6.       47.1       3.94       0.35           M0114  2  112 
         5.         6.       48.0       3.92       0.16           M0114  2  113 
         5.         6.       49.1       3.45       0.38           M0114  2  114 
         5.         6.       50.0       3.70       0.22           M0114  2  115 
         5.         6.       51.0       3.81       0.34           M0114  2  116 
         5.         6.       52.1       3.54       0.19           M0114  2  117 
         5.         6.       53.1       3.59       0.29           M0114  2  118 
         5.         6.       54.1       3.38       0.16           M0114  2  119 
         5.         6.       55.0       3.57       0.39           M0114  2  120 
         5.         6.       56.2       3.10       0.33           M0114  2  121 
         7.         8.       20.4       3.62       0.71           M0114  2  122 
         7.         8.       21.5       3.52       0.32           M0114  2  123 
         7.         8.       22.5       3.52       0.41           M0114  2  124 
         7.         8.       23.5       3.41       0.32           M0114  2  125 
         7.         8.       24.5       3.46       0.30           M0114  2  126 
         7.         8.       25.5       3.37       0.32           M0114  2  127 
         7.         8.       26.5       3.41       0.33           M0114  2  128 
         7.         8.       27.6       3.20       0.35           M0114  2  129 
         7.         8.       28.6       3.26       0.30           M0114  2  130 
         7.         8.       29.5       3.16       0.26           M0114  2  131 
         7.         8.       30.5       3.37       0.20           M0114  2  132 
         7.         8.       31.6       3.64       0.23           M0114  2  133 
         7.         8.       32.7       3.54       0.46           M0114  2  134 
         7.         8.       33.8       3.36       0.19           M0114  2  135 
         7.         8.       34.8       3.19       0.43           M0114  2  136 
         7.         8.       35.8       3.11       0.20           M0114  2  137 
         7.         8.       36.8       3.26       0.46           M0114  2  138 
         7.         8.       37.8       3.13       0.18           M0114  2  139 
         7.         8.       38.9       2.96       0.37           M0114  2  140 
         7.         8.       39.9       3.33       0.19           M0114  2  141 
         7.         8.       40.9       3.33       0.23           M0114  2  142 
         7.         8.       41.8       3.05       0.21           M0114  2  143 
         7.         8.       42.9       3.20       0.39           M0114  2  144 
         7.         8.       43.9       3.21       0.18           M0114  2  145 
         7.         8.       44.9       3.19       0.39           M0114  2  146 
         7.         8.       45.9       3.09       0.18           M0114  2  147 
         7.         8.       47.0       2.95       0.36           M0114  2  148 
         7.         8.       48.0       3.05       0.18           M0114  2  149 
         7.         8.       48.9       3.12       0.39           M0114  2  150 
         7.         8.       49.9       2.89       0.22           M0114  2  151 
         7.         8.       50.8       2.84       0.24           M0114  2  152 
         7.         8.       52.0       2.60       0.19           M0114  2  153 
         7.         8.       53.0       2.47       0.32           M0114  2  154 
         7.         8.       53.9       2.54       0.24           M0114  2  155 
         7.         8.       54.9       2.64       0.31           M0114  2  156 
         7.         8.       56.1       2.27       0.21           M0114  2  157 
        10.        11.       20.3       1.37       0.24           M0114  2  158 
        10.        11.       21.5       1.56       0.21           M0114  2  159 
        10.        11.       22.6       1.82       0.23           M0114  2  160 
        10.        11.       23.4       1.66       0.23           M0114  2  161 
        10.        11.       24.5       1.61       0.27           M0114  2  162 
        10.        11.       25.5       1.69       0.22           M0114  2  163 
        10.        11.       26.5       1.86       0.20           M0114  2  164 
        10.        11.       27.5       1.75       0.21           M0114  2  165 
        10.        11.       28.6       1.84       0.25           M0114  2  166 
        10.        11.       29.5       1.78       0.19           M0114  2  167 
        10.        11.       30.6       1.65       0.18           M0114  2  168 
        10.        11.       31.6       1.48       0.16           M0114  2  169 
        10.        11.       32.7       1.64       0.29           M0114  2  170 
        10.        11.       33.8       1.61       0.19           M0114  2  171 
        10.        11.       34.6       1.68       0.33           M0114  2  172 
        10.        11.       35.7       1.80       0.15           M0114  2  173 
        10.        11.       36.7       1.90       0.34           M0114  2  174 
        10.        11.       37.7       1.83       0.20           M0114  2  175 
        10.        11.       38.9       1.80       0.22           M0114  2  176 
        10.        11.       39.8       1.79       0.18           M0114  2  177 
        10.        11.       40.8       1.79       0.23           M0114  2  178 
        10.        11.       41.8       1.86       0.19           M0114  2  179 
        10.        11.       42.8       1.86       0.30           M0114  2  180 
        10.        11.       43.9       1.80       0.17           M0114  2  181 
        10.        11.       44.8       1.96       0.26           M0114  2  182 
        10.        11.       45.8       1.79       0.17           M0114  2  183 
        10.        11.       46.7       1.77       0.20           M0114  2  184 
        10.        11.       47.8       1.77       0.19           M0114  2  185 
        10.        11.       48.8       1.72       0.26           M0114  2  186 
        10.        11.       49.8       1.76       0.17           M0114  2  187 
        10.        11.       50.8       1.84       0.23           M0114  2  188 
        10.        11.       51.9       1.67       0.20           M0114  2  189 
        10.        11.       52.8       1.67       0.27           M0114  2  190 
        10.        11.       53.7       1.53       0.18           M0114  2  191 
        10.        11.       54.8       1.55       0.23           M0114  2  192 
        10.        11.       55.7       1.36       0.23           M0114  2  193 
        15.        17.       24.3       0.45       0.15           M0114  2  194 
        15.        17.       25.4       0.56       0.18           M0114  2  195 
        15.        17.       26.4       1.07       0.28           M0114  2  196 
        15.        17.       27.6       1.21       0.17           M0114  2  197 
        15.        17.       28.5       1.31       0.22           M0114  2  198 
        15.        17.       29.5       1.46       0.23           M0114  2  199 
        15.        17.       30.6       1.45       0.21           M0114  2  200 
        15.        17.       31.6       1.46       0.17           M0114  2  201 
        15.        17.       32.7       1.53       0.34           M0114  2  202 
        15.        17.       33.8       1.46       0.17           M0114  2  203 
        15.        17.       34.7       1.46       0.36           M0114  2  204 
        15.        17.       35.8       1.49       0.17           M0114  2  205 
        15.        17.       36.8       1.65       0.29           M0114  2  206 
        15.        17.       37.8       1.52       0.18           M0114  2  207 
        15.        17.       38.8       1.61       0.26           M0114  2  208 
        15.        17.       39.9       1.47       0.17           M0114  2  209 
        15.        17.       40.9       1.44       0.15           M0114  2  210 
        15.        17.       41.9       1.55       0.17           M0114  2  211 
        15.        17.       43.0       1.63       0.26           M0114  2  212 
        15.        17.       43.9       1.76       0.16           M0114  2  213 
        15.        17.       45.1       1.87       0.35           M0114  2  214 
        15.        17.       46.1       1.99       0.16           M0114  2  215 
        15.        17.       47.1       1.89       0.28           M0114  2  216 
        15.        17.       48.0       1.95       0.18           M0114  2  217 
        15.        17.       49.1       2.16       0.50           M0114  2  218 
        15.        17.       50.0       1.84       0.18           M0114  2  219 
        15.        17.       51.1       2.05       0.27           M0114  2  220 
        15.        17.       52.2       1.85       0.18           M0114  2  221 
        15.        17.       53.2       1.98       0.27           M0114  2  222 
        15.        17.       54.2       1.77       0.18           M0114  2  223 
        15.        17.       55.0       1.43       0.20           M0114  2  224 
        15.        17.       56.3       1.67       0.20           M0114  2  225 
ENDDATA            214          0                                 M0114  2  226 
ENDSUBENT          225          0                                 M0114  299999 
NOSUBENT      M0114003   20210404                             M111M0114  3    1 
NOSUBENT      M0114004   20210404                             M111M0114  4    1 
NOSUBENT      M0114005   20210404                             M111M0114  5    1 
NOSUBENT      M0114006   20210404                             M111M0114  6    1 
NOSUBENT      M0114007   20210404                             M111M0114  7    1 
SUBENT        M0114008   20210404                             M111M0114  8    1 
BIB                  3          7                                 M0114  8    2 
REACTION   (3-LI-6(G,P)2-HE-5,PAR,DA)                             M0114  8    3 
STATUS     (CURVE) Fig.2 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114  8    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted,      M0114  8    5 
            E-MIN.                                                M0114  8    6 
           (20210404A) Corrected by SD and VV: REACTION, DATA     M0114  8    7 
            from SUBENTs 009, 010 were added, EN-SEC deleted,     M0114  8    8 
            NOCOMMON, STATUS updated.                             M0114  8    9 
ENDBIB               7          0                                 M0114  8   10 
NOCOMMON             0          0                                 M0114  8   11 
DATA                 4         30                                 M0114  8   12 
E-LVL      EN         DATA       ERR-S                            M0114  8   13 
MEV        MEV        MB/SR      MB/SR                            M0114  8   14 
        0.         16.      0.007      0.038                      M0114  8   15 
        0.         17.      0.030      0.015                      M0114  8   16 
        0.         18.      0.047      0.010                      M0114  8   17 
        0.         20.      0.052      0.011                      M0114  8   18 
        0.         21.      0.035      0.012                      M0114  8   19 
        0.         24.      0.021      0.007                      M0114  8   20 
        0.         26.      0.020      0.013                      M0114  8   21 
        2.6        18.      0.081      0.050                      M0114  8   22 
        2.6        20.      0.043      0.019                      M0114  8   23 
        2.6        21.      0.023      0.026                      M0114  8   24 
        2.6        22.      0.014      0.014                      M0114  8   25 
        2.6        24.      0.025      0.028                      M0114  8   26 
        2.6        26.      0.034      0.015                      M0114  8   27 
        2.6        29.      0.016      0.005                      M0114  8   28 
       16.7        25.      0.075      0.013                      M0114  8   29 
       16.7        26.      0.082      0.014                      M0114  8   30 
       16.7        28.      0.065      0.013                      M0114  8   31 
       16.7        29.      0.061      0.008                      M0114  8   32 
       16.7        30.      0.065      0.012                      M0114  8   33 
       16.7        31.      0.036      0.013                      M0114  8   34 
       16.7        32.      0.056      0.019                      M0114  8   35 
       16.7        34.      0.059      0.008                      M0114  8   36 
       16.7        35.      0.052      0.019                      M0114  8   37 
       16.7        36.      0.058      0.007                      M0114  8   38 
       16.7        37.      0.055      0.006                      M0114  8   39 
       16.7        38.      0.047      0.007                      M0114  8   40 
       16.7        39.      0.057      0.011                      M0114  8   41 
       16.7        41.      0.072      0.011                      M0114  8   42 
       16.7        42.      0.057      0.011                      M0114  8   43 
       16.7        44.      0.007      0.014                      M0114  8   44 
ENDDATA             32          0                                 M0114  8   45 
ENDSUBENT           44          0                                 M0114  899999 
NOSUBENT      M0114009   20210404                             M111M0114  9    1 
NOSUBENT      M0114010   20210404                             M111M0114 10    1 
SUBENT        M0114011   20210404                             M111M0114 11    1 
BIB                  6         11                                 M0114 11    2 
REACTION   (3-LI-6(G,P)2-HE-5,PAR,SIG,,,DERIV)                    M0114 11    3 
INC-SOURCE (KINDT)                                                M0114 11    4 
ANALYSIS   Angular distribution of Chuvilo et al. nomalized to    M0114 11    5 
            the current 90 deg cross section.                     M0114 11    6 
REL-REF    (R,,N.V.Chuvilo+,C,57MOSCOW,,435,1957)                 M0114 11    7 
STATUS     (CURVE) Fig.3 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 11    8 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted,      M0114 11    9 
            E-MIN added.                                          M0114 11   10 
           (20210404A) Corrected by SD and VV: REACTION,          M0114 11   11 
            ANAYSIS, INC-SOURCE, data from SUBENT 012 added,      M0114 11   12 
            EN-SEC deleted, NOCOMMON, STATUS updated.             M0114 11   13 
ENDBIB              11          0                                 M0114 11   14 
NOCOMMON             0          0                                 M0114 11   15 
DATA                 4         23                                 M0114 11   16 
E-LVL      EN         DATA       ERR-S                            M0114 11   17 
MEV        MEV        MB         MB                               M0114 11   18 
        0.        10.0       0.93                                 M0114 11   19 
        0.        11.3       1.02                                 M0114 11   20 
        0.        12.5       0.97       0.08                      M0114 11   21 
        0.        13.7       0.92                                 M0114 11   22 
        0.        14.9       0.91       0.08                      M0114 11   23 
        0.        16.1       0.75                                 M0114 11   24 
        0.        17.3       0.63       0.08                      M0114 11   25 
        0.        18.5       0.62       0.08                      M0114 11   26 
        0.        19.6       0.66                                 M0114 11   27 
        0.        21.4       0.57                                 M0114 11   28 
        0.        23.8       0.45       0.08                      M0114 11   29 
        0.        26.2       0.30       0.15                      M0114 11   30 
        2.6       12.4       1.27                                 M0114 11   31 
        2.6       13.9       1.38                                 M0114 11   32 
        2.6       15.1       1.27       0.11                      M0114 11   33 
        2.6       16.3       1.20                                 M0114 11   34 
        2.6       17.5       1.18       0.12                      M0114 11   35 
        2.6       18.7       0.98                                 M0114 11   36 
        2.6       20.4       0.82                                 M0114 11   37 
        2.6       22.3       0.84       0.08                      M0114 11   38 
        2.6       24.1       0.72       0.08                      M0114 11   39 
        2.6       26.4       0.58                                 M0114 11   40 
        2.6       28.8       0.38                                 M0114 11   41 
ENDDATA             25          0                                 M0114 11   42 
ENDSUBENT           41          0                                 M0114 1199999 
NOSUBENT      M0114012   20210404                             M111M0114 12    1 
SUBENT        M0114013   20210404                             M111M0114 13    1 
BIB                  3          5                                 M0114 13    2 
REACTION   (3-LI-6(G,X)1-H-1,PAR,DA,,4PI)                         M0114 13    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 13    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted.      M0114 13    5 
           (20210404U) Corrected by SD and VV: REACTION,          M0114 13    6 
            INC-SOURCE, STATUS updated.                           M0114 13    7 
ENDBIB               5          0                                 M0114 13    8 
COMMON               1          3                                 M0114 13    9 
E-MIN                                                             M0114 13   10 
MEV                                                               M0114 13   11 
     3.                                                           M0114 13   12 
ENDCOMMON            3          0                                 M0114 13   13 
DATA                 3         20                                 M0114 13   14 
EN         DATA       ERR-S                                       M0114 13   15 
MEV        MB         MB                                          M0114 13   16 
      35.76       0.45       0.12                                 M0114 13   17 
      36.02       0.55       0.12                                 M0114 13   18 
      36.24       0.64       0.11                                 M0114 13   19 
      36.59       0.75       0.11                                 M0114 13   20 
      36.93       0.87       0.14                                 M0114 13   21 
      37.09       0.90       0.13                                 M0114 13   22 
      37.32       0.95       0.13                                 M0114 13   23 
      37.84       1.06       0.11                                 M0114 13   24 
      37.99       1.11       0.12                                 M0114 13   25 
      38.72       1.18       0.13                                 M0114 13   26 
      39.44       1.22       0.14                                 M0114 13   27 
      40.53       1.19       0.15                                 M0114 13   28 
      41.34       1.09       0.17                                 M0114 13   29 
      41.75       1.03       0.20                                 M0114 13   30 
      42.05       0.98       0.20                                 M0114 13   31 
      42.54       0.89       0.22                                 M0114 13   32 
      42.82       0.84       0.23                                 M0114 13   33 
      43.32       0.75       0.23                                 M0114 13   34 
      44.10       0.61       0.26                                 M0114 13   35 
      44.81       0.47       0.28                                 M0114 13   36 
ENDDATA             22          0                                 M0114 13   37 
ENDSUBENT           36          0                                 M0114 1399999 
SUBENT        M0114014   20210404                             M111M0114 14    1 
BIB                  3          5                                 M0114 14    2 
REACTION   (3-LI-6(G,X)1-H-1,PAR,DA,,BRA/REL)                     M0114 14    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 14    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS -> BRA.       M0114 14    5 
           (20210404A) Corrected by SD and VV: REACTION, STATUS   M0114 14    6 
            updated.                                              M0114 14    7 
ENDBIB               5          0                                 M0114 14    8 
COMMON               1          3                                 M0114 14    9 
E-MIN                                                             M0114 14   10 
MEV                                                               M0114 14   11 
     3.                                                           M0114 14   12 
ENDCOMMON            3          0                                 M0114 14   13 
DATA                 3         26                                 M0114 14   14 
EN-MAX     DATA       ERR-S                                       M0114 14   15 
MEV        ARB-UNITS  ARB-UNITS                                   M0114 14   16 
      31.1       0.50       0.79                                  M0114 14   17 
      32.2       0.53       0.78                                  M0114 14   18 
      33.2       0.39       1.20                                  M0114 14   19 
      34.2      -0.21       0.81                                  M0114 14   20 
      35.2      -0.52       0.99                                  M0114 14   21 
      36.3       0.53       0.81                                  M0114 14   22 
      37.2      -0.11       1.20                                  M0114 14   23 
      38.2       0.02       0.70                                  M0114 14   24 
      39.4       0.81       1.01                                  M0114 14   25 
      40.3       1.96       0.61                                  M0114 14   26 
      41.3       2.42       0.77                                  M0114 14   27 
      42.4       2.42       0.66                                  M0114 14   28 
      43.4       2.73       0.99                                  M0114 14   29 
      44.4       2.81       0.70                                  M0114 14   30 
      45.4       2.55       0.99                                  M0114 14   31 
      46.5       2.59       0.70                                  M0114 14   32 
      47.5       3.04       0.97                                  M0114 14   33 
      48.6       3.30       0.70                                  M0114 14   34 
      49.5       3.10       0.99                                  M0114 14   35 
      50.5       2.79       0.70                                  M0114 14   36 
      51.5       2.41       0.96                                  M0114 14   37 
      52.5       2.73       0.61                                  M0114 14   38 
      53.6       2.59       1.02                                  M0114 14   39 
      54.6       2.73       0.57                                  M0114 14   40 
      55.6       2.50       1.01                                  M0114 14   41 
      56.63      1.91       0.99                                  M0114 14   42 
ENDDATA             28          0                                 M0114 14   43 
ENDSUBENT           42          0                                 M0114 1499999 
SUBENT        M0114015   20210404                             M111M0114 15    1 
BIB                  3          5                                 M0114 15    2 
REACTION   (3-LI-6(G,X)1-H-2,PAR,DA,,4PI)                         M0114 15    3 
STATUS     (CURVE) Fig.4 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114 15    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRA deleted.      M0114 15    5 
           (20210404U) Corrected by SD and VV: REACTION,          M0114 15    6 
            INC-SOURCE, STATUS updated.                           M0114 15    7 
ENDBIB               5          0                                 M0114 15    8 
COMMON               1          3                                 M0114 15    9 
E-MIN                                                             M0114 15   10 
MEV                                                               M0114 15   11 
     4.                                                           M0114 15   12 
ENDCOMMON            3          0                                 M0114 15   13 
DATA                 3         26                                 M0114 15   14 
EN         DATA       ERR-S                                       M0114 15   15 
MEV        MB         MB                                          M0114 15   16 
      30.37       0.13       0.04                                 M0114 15   17 
      30.95       0.16       0.03                                 M0114 15   18 
      31.33       0.18       0.03                                 M0114 15   19 
      31.98       0.21       0.03                                 M0114 15   20 
      32.50       0.24       0.03                                 M0114 15   21 
