ENTRY            32763   20181120                             31873276300000001 
SUBENT        32763001   20181120                             31873276300100001 
BIB                 10         26                                 3276300100002 
TITLE      Measurement of double-differential (n,xp) cross        3276300100003 
            sections of natural nickel in 14.6 MeV neutron energy 3276300100004 
AUTHOR     (Bangjiao Ye, Zhongmin Wang, Yangmei Fan, Rongdian Han,3276300100005 
            Zhenxi Xiao)                                          3276300100006 
INSTITUTE  (3CPRHST)                                              3276300100007 
REFERENCE  (J,NP/A,612,213,1997)                                  3276300100008 
           (J,CST,29,290,1995) 88 deg DDX and DE in figs          3276300100009 
FACILITY   (CCW,3CPRHST) 150 kV Cockcroft-Walton accelerator      3276300100010 
INC-SOURCE (D-T) T-Ti target, 1.5E+09 neutrons/s                  3276300100011 
SAMPLE     Natural metallic Ni sheet with 99% purity, 0.5 mm in   3276300100012 
            thickness and 40 mm in length                         3276300100013 
DETECTOR   (TELES,PROPC,CSICR)                                    3276300100014 
           32 proportional counters (dE) + a CsI(Tl) crystal (E). 3276300100015 
           16 telescopes were for measurement of the Fe target,   3276300100016 
            and the other 16 for simultaneous measurement of the  3276300100017 
            background.                                           3276300100018 
ERR-ANALYS (ERR-T) Statistical and systematic errors.             3276300100019 
            The latters consist of errors in:                     3276300100020 
           (ERR-1) neutron flux                    (3.3%)         3276300100021 
           (ERR-2) target height                     (2%)         3276300100022 
           (ERR-3) solid angle of central detector   (3%)         3276300100023 
           (ERR-4) value of dE/dx                    (2%)         3276300100024 
           (ERR-5) data reduction procedure          (2%)         3276300100025 
           (ERR-6) other                             (3%)         3276300100026 
HISTORY    (20171018C) Compiled by Jimin Wang (CNDC)              3276300100027 
           (20181120A) On. ANG-RSL moved to 002.                  3276300100028 
ENDBIB              26          0                                 3276300100029 
COMMON               6          3                                 3276300100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      3276300100031 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   3276300100032 
 3.3        2.         3.         2.         2.         3.        3276300100033 
ENDCOMMON            3          0                                 3276300100034 
ENDSUBENT           33          0                                 3276300199999 
SUBENT        32763002   20181120                             31873276300200001 
BIB                  3          3                                 3276300200002 
REACTION   (28-NI-0(N,X)1-H-1,,DA/DE)                             3276300200003 
STATUS     (TABLE) Table 1 of Nucl.Phys.A,612(1997)213            3276300200004 
HISTORY    (20181120A) On. ANG-RSL moved from 001.                3276300200005 
ENDBIB               3          0                                 3276300200006 
COMMON               2          3                                 3276300200007 
EN         ANG-RSL                                                3276300200008 
MEV        ADEG                                                   3276300200009 
 14.6       12.                                                   3276300200010 
ENDCOMMON            3          0                                 3276300200011 
DATA                 5        165                                 3276300200012 
ANG-CM     E-MIN      E-MAX      DATA-CM    ERR-T                 3276300200013 
 164.9       4.         5.         3.90       0.27                3276300200170 
 164.9       5.         6.         3.23       0.23                3276300200171 
 164.9       6.         7.         3.09       0.21                3276300200172 
 164.9       7.         8.         0.81       0.09                3276300200173 
 164.9       8.         9.         1.16       0.10                3276300200174 
 164.9       9.        10.         1.04       0.09                3276300200175 
 164.9      10.        11.         0.07       0.04                3276300200176 
 164.9      11.        12.         0.19       0.03                3276300200177 
 164.9      12.        13.         0.05       0.02                3276300200178 
 164.9      13.        14.         0.13       0.01                3276300200179 
ENDDATA            167          0                                 3276300200180 
ENDSUBENT          179          0                                 3276300299999 
SUBENT        32763003   20181120                             31873276300300001 
BIB                  3          4                                 3276300300002 
REACTION   (28-NI-0(N,X)1-H-1,,DE)                                3276300300003 
STATUS     (TABLE) Table 2 of Nucl.Phys.A,612(1997)213            3276300300004 
           (DEP,32763002) Double differential cross section       3276300300005 
HISTORY    (20181120U) On. STATUS updated.                        3276300300006 
ENDBIB               4          0                                 3276300300007 
COMMON               1          3                                 3276300300008 
EN                                                                3276300300009 
MEV                                                               3276300300010 
 14.6                                                             3276300300011 
ENDCOMMON            3          0                                 3276300300012 
DATA                 4         11                                 3276300300013 
E-MIN      E-MAX      DATA       ERR-T                            3276300300014 
MEV        MEV        MB/MEV     MB/MEV                           3276300300015 
  3.         4.        142.7       9.0                            3276300300016 
  4.         5.        133.9      11.5                            3276300300017 
  5.         6.        117.4      13.8                            3276300300018 
  6.         7.         84.1       8.7                            3276300300019 
  7.         8.         60.1       8.5                            3276300300020 
  8.         9.         33.7       2.8                            3276300300021 
  9.        10.         20.2       1.7                            3276300300022 
 10.        11.         10.3       1.6                            3276300300023 
 11.        12.          6.4       0.8                            3276300300024 
 12.        13.          2.9       0.3                            3276300300025 
 13.        14.          1.1       0.3                            3276300300026 
ENDDATA             13          0                                 3276300300027 
ENDSUBENT           26          0                                 3276300399999 
SUBENT        32763004   20181120                             31873276300400001 
BIB                  3          4                                 3276300400002 
REACTION   (28-NI-0(N,X)1-H-1,PAR,SIG)                            3276300400003 
STATUS     (TABLE) Text (p219) of Nucl.Phys.A,612(1997)213        3276300400004 
           (DEP,32763003) Energy differential cross section       3276300400005 
HISTORY    (20181120U) On. STATUS updated.                        3276300400006 
ENDBIB               4          0                                 3276300400007 
NOCOMMON             0          0                                 3276300400008 
DATA                 4          1                                 3276300400009 
EN         E-MIN      DATA       ERR-T                            3276300400010 
MEV        MEV        MB         MB                               3276300400011 
 14.6       3.         612.8      44.8                            3276300400012 
ENDDATA              3          0                                 3276300400013 
ENDSUBENT           12          0                                 3276300499999 
ENDENTRY             4          0                                 3276399999999 
