ENTRY            31461   20181120                             31873146100000001 
SUBENT        31461001   20181120                             31873146100100001 
BIB                 11         26                                 3146100100002 
TITLE      Proton emission in reaction of 14.6 MeV neutrons with  3146100100003 
            natural iron                                          3146100100004 
AUTHOR     (Bangjiao Ye, Yangmei Fan, Zhongmin Wang, Rongdian Han)3146100100005 
INSTITUTE  (3CPRHST)                                              3146100100006 
REFERENCE  (J,NSE,122,136,1996)                                   3146100100007 
           (J,CST,29,290,1995) 88 deg DDX and DE in figs          3146100100008 
FACILITY   (CCW,3CPRHST) 150 kV Cockcroft-Walton accelerator      3146100100009 
INC-SOURCE (D-T) T-Ti target, 1.5E+09 neutrons/s                  3146100100010 
SAMPLE     Natural iron sheet, 0.5 mm thick and 40 mm high        3146100100011 
METHOD     (EDE)                                                  3146100100012 
DETECTOR   (TELES,PROPC,CSICR)                                    3146100100013 
           32 proportional counters (dE) + a CsI(Tl) crystal (E). 3146100100014 
           16 telescopes were for measurement of the Fe target,   3146100100015 
            and the other 16 for simultaneous measurement of the  3146100100016 
            background.                                           3146100100017 
ERR-ANALYS (ERR-T) Statistical and systematic errors.             3146100100018 
            The latters consist of errors in:                     3146100100019 
           (ERR-1) neutron flux                    (3.3%)         3146100100020 
           (ERR-2) target height                     (2%)         3146100100021 
           (ERR-3) solid angle of central detector   (3%)         3146100100022 
           (ERR-4) value of dE/dx                    (2%)         3146100100023 
           (ERR-5) data reduction procedure          (2%)         3146100100024 
           (ERR-6) other                             (3%)         3146100100025 
HISTORY    (19960815C) HW                                         3146100100026 
           (20100221U) SD: 4-digits year, cosmetic changes        3146100100027 
           (20181120A) On. Major revisions in 002-017.            3146100100028 
ENDBIB              26          0                                 3146100100029 
COMMON               6          3                                 3146100100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      3146100100031 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   3146100100032 
 3.3        2.         3.         2.         2.         3.        3146100100033 
ENDCOMMON            3          0                                 3146100100034 
ENDSUBENT           33          0                                 3146100199999 
SUBENT        31461002   20181120                             31873146100200001 
BIB                  3          3                                 3146100200002 
REACTION   (26-FE-0(N,X)1-H-1,,DA/DE)                             3146100200003 
STATUS     (TABLE) Table 1 of Nucl.Sci.Eng.122(1996)136           3146100200004 
HISTORY    (20181120A) On. 002-017 merged into 002.               3146100200005 
ENDBIB               3          0                                 3146100200006 
COMMON               2          3                                 3146100200007 
EN         ANG-RSL                                                3146100200008 
MEV        ADEG                                                   3146100200009 
 14.6       12.                                                   3146100200010 
ENDCOMMON            3          0                                 3146100200011 
DATA                 5        165                                 3146100200012 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3146100200013 
 108.6      13.        14.        0.00       0.00                 3146100200106 
 117.9       4.         5.        3.73       0.31                 3146100200107 
 117.9       5.         6.        2.77       0.19                 3146100200108 
 117.9       6.         7.        2.10       0.15                 3146100200109 
 117.9       7.         8.        1.75       0.12                 3146100200110 
 117.9       8.         9.        1.03       0.08                 3146100200111 
 117.9       9.        10.        0.60       0.05                 3146100200112 
 117.9      10.        11.        0.27       0.03                 3146100200113 
 117.9      11.        12.        0.16       0.02                 3146100200114 
 117.9      12.        13.        0.01       0.01                 3146100200115 
 117.9      13.        14.        0.04       0.00                 3146100200116 
 128.0       4.         5.        3.50       0.26                 3146100200117 
 128.0       5.         6.        2.99       0.20                 3146100200118 
 128.0       6.         7.        1.55       0.12                 3146100200119 
 128.0       7.         8.        1.54       0.11                 3146100200120 
 128.0       8.         9.        1.20       0.09                 3146100200121 
 128.0       9.        10.        0.77       0.06                 3146100200122 
 128.0      10.        11.        0.07       0.02                 3146100200123 
 128.0      11.        12.        0.18       0.02                 3146100200124 
 128.0      12.        13.        0.12       0.01                 3146100200125 
 128.0      13.        14.        0.01       0.00                 3146100200126 
 136.6       3.         4.        2.04       0.16                 3146100200127 
 136.6       4.         5.        3.07       0.21                 3146100200128 
 136.6       5.         6.        3.36       0.22                 3146100200129 
 136.6       6.         7.        1.04       0.09                 3146100200130 
 136.6       7.         8.        1.62       0.11                 3146100200131 
 136.6       8.         9.        0.85       0.07                 3146100200132 
 136.6       9.        10.        0.46       0.04                 3146100200133 
 136.6      10.        11.        0.35       0.03                 3146100200134 
 136.6      11.        12.        0.09       0.02                 3146100200135 
 136.6      12.        13.        0.01       0.01                 3146100200136 
 136.6      13.        14.        0.01       0.00                 3146100200137 
 144.3       4.         5.        1.03       0.11                 3146100200138 
 144.3       5.         6.        2.04       0.15                 3146100200139 
 144.3       6.         7.        2.33       0.16                 3146100200140 
 144.3       7.         8.        1.02       0.08                 3146100200141 
 144.3       8.         9.        0.49       0.05                 3146100200142 
 144.3       9.        10.        0.40       0.04                 3146100200143 
 144.3      10.        11.        0.19       0.02                 3146100200144 
 144.3      11.        12.        0.16       0.02                 3146100200145 
 144.3      12.        13.        0.03       0.01                 3146100200146 
 144.3      13.        14.        0.04       0.00                 3146100200147 
 151.9       4.         5.        1.35       0.12                 3146100200148 
 151.9       5.         6.        0.95       0.10                 3146100200149 
 151.9       6.         7.        1.88       0.13                 3146100200150 
 151.9       7.         8.        0.88       0.08                 3146100200151 
 151.9       8.         9.        0.44       0.05                 3146100200152 
 151.9       9.        10.        0.34       0.04                 3146100200153 
 151.9      10.        11.        0.17       0.02                 3146100200154 
 151.9      11.        12.        0.02       0.01                 3146100200155 
 151.9      12.        13.        0.03       0.01                 3146100200156 
 151.9      13.        14.        0.04       0.01                 3146100200157 
 157.8       3.         4.        1.94       0.15                 3146100200158 
 157.8       4.         5.        0.21       0.08                 3146100200159 
 157.8       5.         6.        0.90       0.10                 3146100200160 
 157.8       6.         7.        0.87       0.08                 3146100200161 
 157.8       7.         8.        0.93       0.08                 3146100200162 
 157.8       8.         9.        0.36       0.05                 3146100200163 
 157.8       9.        10.        0.33       0.04                 3146100200164 
 157.8      10.        11.        0.06       0.02                 3146100200165 
 157.8      11.        12.        0.04       0.01                 3146100200166 
 157.8      12.        13.        0.04       0.01                 3146100200167 
 157.8      13.        14.        0.03       0.01                 3146100200168 
 164.5       3.         4.        1.42       0.16                 3146100200169 
 164.5       4.         5.        1.10       0.11                 3146100200170 
 164.5       5.         6.        0.46       0.09                 3146100200171 
 164.5       6.         7.        0.59       0.08                 3146100200172 
 164.5       7.         8.        0.33       0.06                 3146100200173 
 164.5       8.         9.        0.10       0.05                 3146100200174 
 164.5       9.        10.        0.66       0.06                 3146100200175 
 164.5      10.        11.        0.02       0.03                 3146100200176 
 164.5      11.        12.        0.05       0.02                 3146100200177 
 164.5      12.        13.        0.08       0.02                 3146100200178 
 164.5      13.        14.        0.02       0.01                 3146100200179 
ENDDATA            167          0                                 3146100200180 
ENDSUBENT          179          0                                 3146100299999 
NOSUBENT      31461003   20181120                             31873146100300001 
NOSUBENT      31461004   20181120                             31873146100400001 
NOSUBENT      31461005   20181120                             31873146100500001 
NOSUBENT      31461006   20181120                             31873146100600001 
NOSUBENT      31461007   20181120                             31873146100700001 
NOSUBENT      31461008   20181120                             31873146100800001 
NOSUBENT      31461009   20181120                             31873146100900001 
NOSUBENT      31461010   20181120                             31873146101000001 
NOSUBENT      31461011   20181120                             31873146101100001 
NOSUBENT      31461012   20181120                             31873146101200001 
NOSUBENT      31461013   20181120                             31873146101300001 
NOSUBENT      31461014   20181120                             31873146101400001 
NOSUBENT      31461015   20181120                             31873146101500001 
NOSUBENT      31461016   20181120                             31873146101600001 
NOSUBENT      31461017   20181120                             31873146101700001 
SUBENT        31461018   20181120                             31873146101800001 
BIB                  4          5                                 3146101800002 
REACTION   (26-FE-0(N,X)1-H-1,,DE)                                3146101800003 
ANALYSIS   (INTAD) Legendre fitting up to L=2.                    3146101800004 
STATUS     (TABLE) Table 2 of Nucl.Sci.Eng.122(1996)136           3146101800005 
           (DEP,31461002) Double differential cross section       3146101800006 
HISTORY    (20181120U) On. STATUS updated.                        3146101800007 
ENDBIB               5          0                                 3146101800008 
COMMON               1          3                                 3146101800009 
EN                                                                3146101800010 
MEV                                                               3146101800011 
 14.6                                                             3146101800012 
ENDCOMMON            3          0                                 3146101800013 
DATA                 4         11                                 3146101800014 
E-MIN      E-MAX      DATA       ERR-T                            3146101800015 
MEV        MEV        MB/MEV     MB/MEV                           3146101800016 
  3.         4.        33.78      3.28                            3146101800017 
  4.         5.        34.31      4.88                            3146101800018 
  5.         6.        33.89      4.23                            3146101800019 
  6.         7.        24.32      3.90                            3146101800020 
  7.         8.        20.81      2.06                            3146101800021 
  8.         9.        10.92      1.56                            3146101800022 
  9.        10.         7.18      0.97                            3146101800023 
 10.        11.         3.63      0.59                            3146101800024 
 11.        12.         1.20      0.48                            3146101800025 
 12.        13.         0.46      0.20                            3146101800026 
 13.        14.         0.16      0.07                            3146101800027 
ENDDATA             13          0                                 3146101800028 
ENDSUBENT           27          0                                 3146101899999 
SUBENT        31461019   20181120                             31873146101900001 
BIB                  4          5                                 3146101900002 
REACTION   (26-FE-0(N,X)1-H-1,PAR,SIG)                            3146101900003 
ANALYSIS   (INTED)                                                3146101900004 
STATUS     (TABLE) Table 4 of Nucl.Sci.Eng.122(1996)136           3146101900005 
           (DEP,31461018) Energy differential cross section       3146101900006 
HISTORY    (20181120U) On. STATUS updated.                        3146101900007 
ENDBIB               5          0                                 3146101900008 
COMMON               1          3                                 3146101900009 
EN                                                                3146101900010 
MEV                                                               3146101900011 
 14.6                                                             3146101900012 
ENDCOMMON            3          0                                 3146101900013 
DATA                 4          1                                 3146101900014 
E-MIN      E-MAX      DATA       ERR-T                            3146101900015 
MEV        MEV        MB         MB                               3146101900016 
 3.         14.        171.       14.                             3146101900017 
ENDDATA              3          0                                 3146101900018 
ENDSUBENT           17          0                                 3146101999999 
ENDENTRY            19          0                                 3146199999999 
