ENTRY            A0645   20220807                             A102A0645  0    1 
SUBENT        A0645001   20220807                             A102A0645  1    1 
BIB                 11         34                                 A0645  1    2 
TITLE      The p+p--pi-positive+d reaction close to threshold at  A0645  1    3 
           COSY                                                   A0645  1    4 
AUTHOR     (GEM Collaboration, M.Drochner, J.Ernst, S.Foertsch,   A0645  1    5 
           L.Freindl, D.Frekers, W.Garske, K.Grewer, S.Igel,      A0645  1    6 
           R.Jahn, L.Jarczyk, G.Kemmerling, K.Kilian,             A0645  1    7 
           S.Kliczewski, W.Klimala, D.Kolev, T.Kutsarova,         A0645  1    8 
           G.Lippert, H.Machner, R.Maier, C.Nake, B.Rasen,        A0645  1    9 
           P.von Rossen, B.R.Roy, K.Scho, R.Siudak, J.Smyrski,    A0645  1   10 
           A.Strzalkowski, R.Tsenov, P.A.Zolnierczuk, K.Zwoll)    A0645  1   11 
INSTITUTE  (2GERJUL,3POLUJK,3POLIFJ,3BULBLA,3BULSOF,2GERBON,      A0645  1   12 
           2GERMST,3INDTRM)                                       A0645  1   13 
REFERENCE  (J,NP/A,643,55,1998) Main Reference                    A0645  1   14 
           (J,NP/A,626,63,1997) Proceeding of Conference.         A0645  1   15 
           (J,PRL,77,454,1996)  Preliminary publication.          A0645  1   16 
FACILITY   (ISOCY,2GERJUL) As Injector                            A0645  1   17 
           (SYNCH,2GERJUL) Cooler Synchrotron = COSY              A0645  1   18 
SAMPLE     Liquid hydrogen targets were employed. The target cellsA0645  1   19 
           had 6 mm diam. and windows made of mylar foils 1.5 um  A0645  1   20 
           thick. At this thickness their influence on the cross  A0645  1   21 
           section measurement is almost negligible.              A0645  1   22 
DETECTOR   (MWPC)                                                 A0645  1   23 
           (SCIN) Complex system of detectors different types.    A0645  1   24 
METHOD     (COINC)                                                A0645  1   25 
ERR-ANALYS (DATA-ERR) An analysis is absent.                      A0645  1   26 
MISC-COL   (MISC) The ratio of linear momentum of positive pions  A0645  1   27 
           to m(pion)*c                                           A0645  1   28 
HISTORY    (19990708C)                                            A0645  1   29 
           (20000503A) Remarks of Otto Schwerer are included      A0645  1   30 
           (20000717A) DATE is corrected                          A0645  1   31 
           (20110826A) "GEM Collaboration" as 1st author was      A0645  1   32 
           added, according M.Bossant comment-SB                  A0645  1   33 
           (20220807A) SD: Corrections in all Subents. Subent 004 A0645  1   34 
           deleted (The same A0 numbers are compiled with the A2  A0645  1   35 
           coefficients in Subent 003).                           A0645  1   36 
ENDBIB              34          0                                 A0645  1   37 
COMMON               1          3                                 A0645  1   38 
EN-ERR                                                            A0645  1   39 
PER-CENT                                                          A0645  1   40 
      0.056                                                       A0645  1   41 
ENDCOMMON            3          0                                 A0645  1   42 
ENDSUBENT           41          0                                 A0645  199999 
SUBENT        A0645002   20220807                             A102A0645  2    1 
BIB                  3          5                                 A0645  2    2 
REACTION   (1-H-1(P,PIP)1-H-2,,DA)                                A0645  2    3 
STATUS     (TABLE) The data table was taken from                  A0645  2    4 
           http://Ikpgem02.ikp.kfa-Juelich.de (the URL is not     A0645  2    5 
           accessible now, 2022/08/07)                            A0645  2    6 
HISTORY    (20220807A) SD: SF9=EXP deleted from REACTION code.    A0645  2    7 
ENDBIB               5          0                                 A0645  2    8 
NOCOMMON             0          0                                 A0645  2    9 
DATA                 5        242                                 A0645  2   10 
EN         COS-CM     DATA-CM    DATA-ERR   MISC                  A0645  2   11 
     288.87      -0.74      1.236      0.149       0.09           A0645  2   67 
     288.87       -0.7      1.289      0.152       0.09           A0645  2   68 
     288.87      -0.66      1.379      0.157       0.09           A0645  2   69 
     288.87      -0.62      1.128      0.142       0.09           A0645  2   70 
     288.87      -0.58       1.11      0.141       0.09           A0645  2   71 
     288.87      -0.54      1.236      0.149       0.09           A0645  2   72 
     288.87       -0.5      1.021      0.135       0.09           A0645  2   73 
     288.87      -0.46      1.164      0.144       0.09           A0645  2   74 
     288.87      -0.42      1.236      0.149       0.09           A0645  2   75 
     288.87      -0.38      1.218      0.148       0.09           A0645  2   76 
     288.87      -0.34      1.379      0.157       0.09           A0645  2   77 
     288.87       -0.3      1.343      0.155       0.09           A0645  2   78 
     288.87      -0.26      1.003      0.134       0.09           A0645  2   79 
     288.87      -0.22       1.11      0.141       0.09           A0645  2   80 
     288.87      -0.18      0.985      0.133       0.09           A0645  2   81 
     288.87      -0.14      1.361      0.156       0.09           A0645  2   82 
     288.87       -0.1      1.415      0.159       0.09           A0645  2   83 
     288.87      -0.06      1.039      0.136       0.09           A0645  2   84 
     288.87      -0.02      1.021      0.135       0.09           A0645  2   85 
     288.87       0.02      1.182      0.145       0.09           A0645  2   86 
     288.87       0.06      1.128      0.142       0.09           A0645  2   87 
     288.87        0.1       1.11      0.141       0.09           A0645  2   88 
     288.87       0.14      1.397      0.158       0.09           A0645  2   89 
     288.87       0.18      1.254       0.15       0.09           A0645  2   90 
     288.87       0.22       1.11      0.141       0.09           A0645  2   91 
     288.87       0.26      1.146      0.143       0.09           A0645  2   92 
     288.87        0.3      1.236      0.149       0.09           A0645  2   93 
     288.87       0.34      1.343      0.155       0.09           A0645  2   94 
     288.87       0.38      1.218      0.148       0.09           A0645  2   95 
     288.87       0.42      1.021      0.135       0.09           A0645  2   96 
     288.87       0.46      1.343      0.155       0.09           A0645  2   97 
     288.87        0.5      1.433       0.16       0.09           A0645  2   98 
     288.87       0.54      1.343      0.155       0.09           A0645  2   99 
     288.87       0.58      1.021      0.135       0.09           A0645  2  100 
     288.87       0.62        1.2      0.147       0.09           A0645  2  101 
     288.87       0.66      1.254       0.15       0.09           A0645  2  102 
     288.87        0.7      1.576      0.168       0.09           A0645  2  103 
     288.87       0.74      1.307      0.153       0.09           A0645  2  104 
     288.87       0.78      1.576      0.168       0.09           A0645  2  105 
     288.87       0.82      1.272      0.151       0.09           A0645  2  106 
     288.87       0.86      1.451      0.161       0.09           A0645  2  107 
     288.87        0.9      1.325      0.154       0.09           A0645  2  108 
     288.87       0.94      1.594      0.169       0.09           A0645  2  109 
     288.87       0.98      1.361      0.156       0.09           A0645  2  110 
     290.22      -0.74      1.991      0.158       0.13           A0645  2  111 
     290.22       -0.7      2.042       0.16       0.13           A0645  2  112 
     290.22      -0.66      2.117      0.163       0.13           A0645  2  113 
     290.22      -0.62      1.852      0.153       0.13           A0645  2  114 
     290.22      -0.58      2.003      0.159       0.13           A0645  2  115 
     290.22      -0.54      2.445      0.175       0.13           A0645  2  116 
     290.22       -0.5      2.016      0.159       0.13           A0645  2  117 
     290.22      -0.46      2.318      0.171       0.13           A0645  2  118 
     290.22      -0.42      1.903      0.155       0.13           A0645  2  119 
     290.22      -0.38      1.827      0.152       0.13           A0645  2  120 
     290.22      -0.34      1.991      0.158       0.13           A0645  2  121 
     290.22       -0.3      1.952      0.157       0.13           A0645  2  122 
     290.22      -0.26      1.738      0.148       0.13           A0645  2  123 
     290.22      -0.22      2.167      0.165       0.13           A0645  2  124 
     290.22      -0.18      1.839      0.152       0.13           A0645  2  125 
     290.22      -0.14      2.154      0.165       0.13           A0645  2  126 
     290.22       -0.1      1.751      0.149       0.13           A0645  2  127 
     290.22      -0.06      1.852      0.153       0.13           A0645  2  128 
     290.22      -0.02      1.877      0.154       0.13           A0645  2  129 
     290.22       0.02      1.839      0.152       0.13           A0645  2  130 
     290.22       0.06      2.066      0.161       0.13           A0645  2  131 
     290.22        0.1      1.864      0.153       0.13           A0645  2  132 
     290.22       0.14      1.764      0.149       0.13           A0645  2  133 
     290.22       0.18      2.331      0.171       0.13           A0645  2  134 
     290.22       0.22      1.864      0.153       0.13           A0645  2  135 
     290.22       0.26      2.042       0.16       0.13           A0645  2  136 
     290.22        0.3      1.978      0.158       0.13           A0645  2  137 
     290.22       0.34      1.789       0.15       0.13           A0645  2  138 
     290.22       0.38      1.928      0.156       0.13           A0645  2  139 
     290.22       0.42      1.827      0.152       0.13           A0645  2  140 
     290.22       0.46      1.965      0.157       0.13           A0645  2  141 
     290.22        0.5      1.727      0.147       0.13           A0645  2  142 
     290.22       0.54      2.142      0.164       0.13           A0645  2  143 
     290.22       0.58      1.789       0.15       0.13           A0645  2  144 
     290.22       0.62      2.053      0.161       0.13           A0645  2  145 
     290.22       0.66      1.991      0.158       0.13           A0645  2  146 
     290.22        0.7      1.815      0.151       0.13           A0645  2  147 
     290.22       0.74      2.179      0.166       0.13           A0645  2  148 
     290.22       0.78      2.066      0.161       0.13           A0645  2  149 
     290.22       0.82       2.28       0.17       0.13           A0645  2  150 
     290.22       0.86      1.952      0.157       0.13           A0645  2  151 
     290.22        0.9      2.142      0.164       0.13           A0645  2  152 
     290.22       0.94      2.357      0.172       0.13           A0645  2  153 
     290.22       0.98      2.608      0.181       0.13           A0645  2  154 
     292.49      -0.98      3.124      0.189       0.18           A0645  2  155 
     292.49      -0.94      3.056      0.187       0.18           A0645  2  156 
     292.49       -0.9      2.824       0.18       0.18           A0645  2  157 
     292.49      -0.86       2.85      0.181       0.18           A0645  2  158 
     292.49      -0.82      2.631      0.174       0.18           A0645  2  159 
     292.49      -0.78      2.517       0.17       0.18           A0645  2  160 
     292.49      -0.74      2.495      0.169       0.18           A0645  2  161 
     292.49       -0.7      2.635      0.174       0.18           A0645  2  162 
     292.49      -0.66      2.562      0.172       0.18           A0645  2  163 
     292.49      -0.62       2.38      0.165       0.18           A0645  2  164 
     292.49      -0.58      2.633      0.174       0.18           A0645  2  165 
     292.49      -0.54      2.156      0.157       0.18           A0645  2  166 
     292.49       -0.5      2.143      0.157       0.18           A0645  2  167 
     292.49      -0.46      2.213      0.159       0.18           A0645  2  168 
     292.49      -0.42      2.345      0.164       0.18           A0645  2  169 
     292.49      -0.38      2.458      0.168       0.18           A0645  2  170 
     292.49      -0.34      2.231       0.16       0.18           A0645  2  171 
     292.49       -0.3      2.211      0.159       0.18           A0645  2  172 
     292.49      -0.26      2.237       0.16       0.18           A0645  2  173 
     292.49      -0.22      2.288      0.162       0.18           A0645  2  174 
     292.49      -0.18      2.383      0.165       0.18           A0645  2  175 
     292.49      -0.14       2.17      0.158       0.18           A0645  2  176 
     292.49       -0.1      2.265      0.161       0.18           A0645  2  177 
     292.49      -0.06      2.279      0.162       0.18           A0645  2  178 
     292.49      -0.02      2.744      0.177       0.18           A0645  2  179 
     292.49       0.02      2.653      0.175       0.18           A0645  2  180 
     292.49       0.06      2.333      0.164       0.18           A0645  2  181 
     292.49        0.1      2.421      0.167       0.18           A0645  2  182 
     292.49       0.14      2.318      0.163       0.18           A0645  2  183 
     292.49       0.18      2.818       0.18       0.18           A0645  2  184 
     292.49       0.22      2.549      0.171       0.18           A0645  2  185 
     292.49       0.26      2.523       0.17       0.18           A0645  2  186 
     292.49        0.3      2.671      0.175       0.18           A0645  2  187 
     292.49       0.34       2.33      0.164       0.18           A0645  2  188 
     292.49       0.38      3.018      0.186       0.18           A0645  2  189 
     292.49       0.42      2.203      0.159       0.18           A0645  2  190 
     292.49       0.46      2.393      0.166       0.18           A0645  2  191 
     292.49        0.5      2.784      0.179       0.18           A0645  2  192 
     292.49       0.54      2.703      0.176       0.18           A0645  2  193 
     292.49       0.58      2.663      0.175       0.18           A0645  2  194 
     292.49       0.62      2.682      0.175       0.18           A0645  2  195 
     292.49       0.66         3.      0.186       0.18           A0645  2  196 
     292.49        0.7       2.95      0.184       0.18           A0645  2  197 
     292.49       0.74      2.311      0.163       0.18           A0645  2  198 
     292.49       0.78      2.614      0.173       0.18           A0645  2  199 
     292.49       0.82      2.954      0.184       0.18           A0645  2  200 
     292.49       0.86      3.079      0.188       0.18           A0645  2  201 
     292.49        0.9      3.448      0.199       0.18           A0645  2  202 
     292.49       0.94      3.502      0.201       0.18           A0645  2  203 
     292.49       0.98      4.139      0.218       0.18           A0645  2  204 
     295.08      -0.98      5.238      0.252       0.22           A0645  2  205 
     295.08      -0.94      4.514      0.234       0.22           A0645  2  206 
     295.08       -0.9      3.766      0.214       0.22           A0645  2  207 
     295.08      -0.86      4.184      0.225       0.22           A0645  2  208 
     295.08      -0.82      3.942      0.219       0.22           A0645  2  209 
     295.08      -0.78      4.053      0.222       0.22           A0645  2  210 
     295.08      -0.74      3.932      0.218       0.22           A0645  2  211 
     295.08       -0.7      3.863      0.216       0.22           A0645  2  212 
     295.08      -0.66      3.371      0.202       0.22           A0645  2  213 
     295.08      -0.62      3.137      0.195       0.22           A0645  2  214 
     295.08      -0.58      3.741      0.213       0.22           A0645  2  215 
     295.08      -0.54      3.879      0.217       0.22           A0645  2  216 
     295.08       -0.5      4.051      0.222       0.22           A0645  2  217 
     295.08      -0.46      3.726      0.212       0.22           A0645  2  218 
     295.08      -0.42      4.043      0.221       0.22           A0645  2  219 
     295.08      -0.38      3.418      0.203       0.22           A0645  2  220 
     295.08      -0.34         3.       0.19       0.22           A0645  2  221 
     295.08       -0.3       2.95      0.189       0.22           A0645  2  222 
     295.08      -0.26      3.524      0.207       0.22           A0645  2  223 
     295.08      -0.22        3.4      0.203       0.22           A0645  2  224 
     295.08      -0.18      3.241      0.198       0.22           A0645  2  225 
     295.08      -0.14      3.467      0.205       0.22           A0645  2  226 
     295.08       -0.1       3.57      0.208       0.22           A0645  2  227 
     295.08      -0.06      3.723      0.212       0.22           A0645  2  228 
     295.08      -0.02      3.457      0.205       0.22           A0645  2  229 
     295.08       0.02      3.586      0.208       0.22           A0645  2  230 
     295.08       0.06      3.625      0.209       0.22           A0645  2  231 
     295.08        0.1       3.32        0.2       0.22           A0645  2  232 
     295.08       0.14      3.395      0.203       0.22           A0645  2  233 
     295.08       0.18      3.411      0.203       0.22           A0645  2  234 
     295.08       0.22      3.363      0.202       0.22           A0645  2  235 
     295.08       0.26       3.83      0.215       0.22           A0645  2  236 
     295.08        0.3      3.361      0.202       0.22           A0645  2  237 
     295.08       0.34      3.688      0.211       0.22           A0645  2  238 
     295.08       0.38       3.45      0.204       0.22           A0645  2  239 
     295.08       0.42      3.999       0.22       0.22           A0645  2  240 
     295.08       0.46        3.7      0.212       0.22           A0645  2  241 
     295.08        0.5      3.361      0.202       0.22           A0645  2  242 
     295.08       0.54       3.76      0.213       0.22           A0645  2  243 
     295.08       0.58      3.045      0.192       0.22           A0645  2  244 
     295.08       0.62      3.524      0.207       0.22           A0645  2  245 
     295.08       0.66      3.793      0.214       0.22           A0645  2  246 
     295.08        0.7       4.05      0.222       0.22           A0645  2  247 
     295.08       0.74      4.179      0.225       0.22           A0645  2  248 
     295.08       0.78      4.618      0.237       0.22           A0645  2  249 
     295.08       0.82      5.285      0.253       0.22           A0645  2  250 
     295.08       0.86      5.351      0.255       0.22           A0645  2  251 
     295.08        0.9      5.563       0.26       0.22           A0645  2  252 
     295.08       0.94      5.378      0.256       0.22           A0645  2  253 
     295.08       0.98      4.993      0.246       0.22           A0645  2  254 
ENDDATA            244          0                                 A0645  2  255 
ENDSUBENT          254          0                                 A0645  299999 
SUBENT        A0645003   20220807                             A102A0645  3    1 
BIB                  4         11                                 A0645  3    2 
REACTION   (1-H-1(P,PIP)1-H-2,,DA,,LEG)                           A0645  3    3 
STATUS     (TABLE) Table 2 from Nucl.Phys.,A643(1998)55           A0645  3    4 
           (DEP,A0645002)                                         A0645  3    5 
COMMENT    - By Authors - It was found that two parameters are    A0645  3    6 
           sufficient to account for the data.                    A0645  3    7 
           - By Compiler - Table 2 of original publication        A0645  3    8 
           contains dimension "micro-b" for data. It is           A0645  3    9 
           incorrect, probably.  The compiler changed zuthors'    A0645  3   10 
           dimension for "mu-b/sr".                               A0645  3   11 
HISTORY    (20220807A) SD: SF8=LEG/L4P -> LEG; SF9=EXP deleted    A0645  3   12 
           from REACTION code. MU-B/SR                            A0645  3   13 
ENDBIB              11          0                                 A0645  3   14 
NOCOMMON             0          0                                 A0645  3   15 
DATA                 5         10                                 A0645  3   16 
NUMBER     EN         DATA-CM    DATA-ERR   MISC                  A0645  3   17 
NO-DIM     MEV        MU-B/SR    MU-B/SR    NO-DIM                A0645  3   18 
         0.     288.16       9.47       1.17      0.062           A0645  3   19 
         0.     288.87       15.3        1.5       0.09           A0645  3   20 
         0.     290.22        25.        2.8       0.13           A0645  3   21 
         0.     292.49       32.7        4.9       0.18           A0645  3   22 
         0.     295.08        48.        7.3       0.22           A0645  3   23 
         2.     288.16      0.012      0.056      0.062           A0645  3   24 
         2.     288.87       0.26       0.14       0.09           A0645  3   25 
         2.     290.22       0.62       0.16       0.13           A0645  3   26 
         2.     292.49       1.44       0.28       0.18           A0645  3   27 
         2.     295.08       2.58       0.56       0.22           A0645  3   28 
ENDDATA             12          0                                 A0645  3   29 
ENDSUBENT           28          0                                 A0645  399999 
NOSUBENT      A0645004   20220807                             A102A0645  4    1 
ENDENTRY             4          0                                 A064599999999 
